"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4de711c8-d90b-4183-8456-111a5cf20486","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections"
"2538d6b7-2225-4072-9d10-583ec3377032","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections","1. Structure"
"cb3feb1e-b9fe-43ba-83d6-3775b1b8b5aa","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","2. Safe n Silent Pro - Rockwool"
"95c27518-2a78-40e0-a63d-4a2214daefc1","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","3. Moisture Gypsum board 1220x2440x9.0mm Boral Moistbloc"
"0df277f4-c312-4f5f-a068-31bdbacccc92","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","4. Gypsum fireshield board 15.9mm, size: 1220mmx2440mm"
"3c9ca8cb-d69b-4304-aae2-0aa5e431c798","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","5. Gypsum fireshield board 12.7mm, size: 1220mmx2440mm"
"1fd8a673-2103-4971-80fc-18327c5328e8","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","6. Gypsum standardshield board 12.7mm, size: 1220mmx2440mm"
"c70d1829-d0a5-4bbf-b897-eac52e68a7ff","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","7. Shera board 8x1220x2440mm "
"eec44d42-0ba8-4d72-a932-0aa6fc54138e","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","8. Shera board Recessed edge 10x1220x2440mm"
"f4f81adf-4a80-4cdc-a4f7-e8b604492573","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","9. Shera board 12x1220x2440mm "
"a1402da2-b975-4bd7-84cd-7e726692008e","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","10. Shera board 18x1220x2440mm"
"ba55077f-7c03-405c-b57e-acb292596fcc","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","11. Wakai Self-drilling screw"
"9f51af4f-0de1-42c1-ace8-4e96c89e6c1c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","12. USG Boral Easy Joint 90"
"85012c16-7ff9-4a03-ac11-91a9d4ab6aa5","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","13. Rockwool insulation 600mmWx1200mmL 60kg/m3, thick 50mm"
"8901957d-bd60-4953-b0db-20fa9f062e14","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","14. Rockwool insulation 600mmWx1200mmL 60kg/m3, thick 100mm"
"80313b13-4b9c-45db-87f2-03dcb024d733","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","15. PIR insulation board 20mm thk, size 1000x2400mm"
"4ade2e0f-d5e8-4ec7-802d-01f32f3e02a6","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","16. PIR insulation board 30mm thk, size 1000x2400mm"
"a6f47b68-5371-47b0-a1c3-2b42a126c47c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","17. ProctorPassive Wraptite SA"
"2d7d9d45-67c4-409e-b25c-2254cb8548b1","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","18. Vapor Barrier Procheck Premier 500"
"0924d59c-3faa-4bde-aa48-50b29e366832","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","19. Mortars Kerabond T white"
"daa96e86-0614-4239-998b-43d5f81e62ae","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","20. Mastic interior Dulux Professional Diamond A1000"
"06861955-e7a6-4acb-9799-ed88f1fabd31","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","21. Dulux Diamond A1000 Sealer paint, White color "
"cb852eb2-660a-43c7-8b4b-a00d2e551a54","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","22. Dulux Professional Interior Washable top coat paint"
"3a7e3998-3084-4a7d-a82a-92f5967e1e3f","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","23. Bathroom wall tiles"
"08aabb2f-634a-4001-811e-1dd733c3883a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","24. Wakai screw 5.5-14x35"
"defae778-9c06-4be4-a362-789e4d8d741f","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","25. Probond tape"
"5f4fca50-838e-42df-8b33-98f5a299e56a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","26.  Reflectafoil tape"
"a6a2e571-723e-46bb-84a0-9ad9f1798a74","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","27. SPC flooring"
"22b54e1b-2472-4b36-9308-4acfd7cf1282","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","28.  RP Premium skimcoat, sealler, RP EnviroCote membrane"
"c39cbfb1-e528-429b-9614-c3a7c1e41541","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","29. Terraco paint"
"82cbc418-79f8-4c11-a936-08eb7515b61e","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","30. Pro clima - Tescon Extoseal"
"de82bc40-b450-4b3e-9bf1-01f4109264d8","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","31. Shera fiber glass tape 50mmx90mL (Alkaline resistant)"
"ccd434d5-9c38-457d-8485-6e954f7d58dd","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","32. Shera Acrylic Joining compound"
"42cc543c-7c9b-4958-9892-98830953ed00","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","33. SHERA sealant PU25"
"2b332ea6-019a-4f10-b25a-4b0b637f01c4","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","34. Shera splendid plank, Croton profile, Cassia Texture, 10x150x3000mm"
"713fe40c-eabd-4962-8eab-d709a2486f95","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","35. Mapenet"
"4176593a-5c08-4463-b3de-d48f0320c9bb","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","36. Mapei sealant"
"9887b7bb-2d82-41f5-8e69-2af8fe6b7a61","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","37. Mapelastic Mortar & Isolastic 50"
"02bdea9a-1eb8-4c7f-8b9d-db3ceb6e3ed8","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","38. Hilti 606"
"601270b1-40a1-42ef-9f3e-0f08b5a8449a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","39. Mapei Keracolor SF mortars "
"91ec3384-2a76-4658-beda-66675b7b05c8","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","40. Alminium corner trim"
"ded79e54-b447-4680-aad1-d3c11a95cb6f","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections","3. Electrical"
"02ccf5bc-095e-4dec-b1b0-ef0ea221c475","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","1. Coaxial RG6 Cable (Sattleline Cable)"
"776cf6c8-2ef1-4dc6-bd77-5a8d06de732e","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","2. Rigid PVC Conduit and fittings"
"37e80545-885f-4bf7-9b29-ae142fbd273c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","3. PVC flexible pipe"
"2d113793-9975-427d-908b-0cdfc57af760","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","4. PVC conduit clip"
"97ba273c-a3ed-4a9d-b79c-7a592703c638","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","5. Galvanised steel conduit & fittings"
"59c01e97-70fb-4d8c-a051-f4ba40afe87d","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","6. Cable Multicore PVC/PVC "
"2aeddb91-46cd-441b-a1a7-0df247d51515","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","7. Cable 2C+E_25 mm2 XLPE/SWA/XLPE"
"0d7b579a-71ad-4812-8f43-ca70f2b8db34","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","8. Cable 1C_16mm2 Earth"
"12da7bf5-8cac-4d86-b7c2-7a70fa664c53","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","9. Junction boxes, connectors"
"2912ef04-cf6f-4e77-8e59-3b2c238720aa","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","10. HDPE pipe and fittings"
"5d04dba0-3f97-4e65-b3fd-1ee7817e1fab","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","11. Cable Cu/PVC/PVC, 450/750V"
"dba87bc0-4515-4c22-952f-613972da1f6d","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","3. Electrical","12. Firestop Intumescent Sealant"
"6eb0be65-0d5e-4d41-a244-1fa69c67d21d","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections","4. Plumbing Accessories"
"7df0c233-8baa-468b-ab70-b8390346ad0b","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","1. RAUPIANO PLUS Pipe 50mm x 150mmL"
"2a794c3d-d7aa-4667-b90d-d3b975cde6c6","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","2. RAUPIANO PLUS Pipe 110mm x 150mmL"
"48d86bc8-bffb-4e65-b749-467325d2de41","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","3. RAUPIANO PLUS Flexible roof vent Adaptor DN110"
"d4f87f74-8f2d-4d6e-b57f-2b901a01c67a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","4. RAUPIANO Closet Connection 100x250"
"06f84acb-2455-4c83-b169-ad0cdeeb4690","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","5. RAUPIANO PLUS Bend 110 x 45degree"
"9c6fe520-982d-4c1c-a284-3d233e7d7c8a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","6. RAUPIANO PLUS Sinle Branc 50x40 mm x 45 degree"
"bd2fad00-2231-4d8e-8c1f-765f0c2eb4cf","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","7. RAUPIANO PLUS access pipe DN110"
"74dd0dd5-e8c4-4d3a-8c67-bcca47fb3503","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","8. RAUPIANO PLUS double branch corner max flow DN110/110/110 87 degree"
"cae1133a-7fcb-4664-9ab5-4e7109857c49","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","9. RAUPIANO PLUS double branch DN110/110/110 87 degree"
"1eea8e4b-e398-4d85-b575-4480ca8f525c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","10. RAUPIANO PLUS Level Invert Taper (LIT) 100x50 mm"
"fdc82803-7c00-4587-9dbe-4068155360c9","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","11. REHAU RAUPIANO PLUS Pipe 50 mm x 3000mmL"
"7e4b4f7e-0bb4-4b9c-b2b5-a99884f16f99","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","12. RAUPIANO PLUS Pipe 40mm x 3000mmL"
"eecf3a75-0e9e-4f06-9102-48b3c8f890a8","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","13. Raupiano Rubber Slv Adaptor 110 X 110mm"
"c04cfcf3-44c8-4dbb-b5dc-fb38d428a1ec","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","14. Rautitan Flex pipe 16x2.2 mm"
"db013b3a-ad59-49b2-995d-b387ba576481","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","15. Rautitan Flex pipe 20x2.8 mm"
"2e821cce-171c-4567-8a00-449845a2f9da","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","16. Rehau No.24 Equal Tee 20-20- 20"
"69a089a7-22be-48db-9364-1a21cca12083","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","17. Pipe bend fomer sanitary 45 deg 16mm, Rautitan"
"291ea424-c8d3-4c91-a634-05df67aa7a83","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","18. Pipe bend fomer sanitary 45 deg, Rautitan 20mm"
"dd58e64c-f392-45e7-9d29-5425fca45b08","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","19. TPIECE 20-16-16 RAUTITAN PX, code 160081-001"
"3128123a-86fb-4b26-8bb5-59cb8fe5f967","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","20. DWV Bend 40 X 88 Deg Plain"
"dee7ba9e-12f2-4d57-b706-b8d1e78552c1","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","21. M & F/ L.I.T. DWV 50mm x 40mm"
"fd4e8c20-f845-4a1d-b3d6-9424f346f09a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","22. Thermal insulation D19x13mmx2000mmL K-Flex"
"7d816f42-25d0-4c10-aa69-cbe91245faa9","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","23. Wall-elbow 20-Rp3/4 long RAUTITAN MX,code 217431-001"
"657fbafd-4218-40a9-925c-69068ed59c5a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","24.  Geberit Delta concealed cistern, Geberit dual flush plate"
"cf297d45-8085-486a-8552-45eeb071e137","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","25. RAUPIANO PLUS Sinle Branc 110x50x87 Degree"
"f1d7e948-fed2-409a-9541-7ea1ee583569","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","26. Raupiano Long Socket 110mm"
"2c88b92a-7b0a-482e-b160-f304ad02754c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","4. Plumbing Accessories","27.  Armaflex Class 0 insulation"
"8af7c073-0216-49e5-9a1a-83edf254c33d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","1. Material Inspections","5. Fire & Sprinkler System"
"64592b4f-4f98-4abe-8c9a-a90f70e7cab4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","1. Material Inspections","6. Mechanical"
"56ec7fa2-9a40-46b5-b743-2e6886fa891a","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections","7. Sanitary "
"bd1700a6-ae35-41ac-a8d4-62e0a86c4950","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","1. Wall-mounted Bath mixer tab, Chrome Brass"
"c966bd67-9c1c-4e51-a4c3-ff5bef53e7ca","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","2. Bath Shower Screen"
"a9c00d6c-ae40-4a38-adab-aaaaf3aa470f","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","3. Roof Flashing for tiled roof with pipe diameter 76-203 mm"
"3ae2721a-5b3a-46d7-8d03-cc2661593ece","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","4. 50mm Water Seal Swivel Bath Trap and Overflow Assembly "
"0da976c4-68c5-489a-a110-1967d0acc84c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","5.  Flexible Connector - Universal Connection x Plain Spigot- 1-1/2"" (DN40)"
"f7a5249d-c350-4e9b-8483-58afde046461","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","6. 1-1/2"" Double Bowl Kit , including tubular swivel P trap"
"33642261-b410-40f8-ba00-332776760e26","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","7. Macvalve 40mm BSP inlet-comp outlet"
"126b3912-663b-4735-86cf-fcb7dc35956a","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","7. Sanitary ","8.  Air admittance valve DN100 "
"267c4f32-efd7-4d26-9a79-9331c2870d7e","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","8. Material Register"
"02ac71d7-b02b-4462-8fb7-e234d04bd1bb","","folder-normal","work-in-progress","","step","TRUE","FALSE","2. QA/QC - Offsite Mfg. Inspections"
"92f3bbe6-4d6a-4fe5-8e19-ffa38cb7539c","","folder-normal","work-in-progress","","step","TRUE","FALSE","2. QA/QC - Offsite Mfg. Inspections","1. Town Homes"
"edfededf-b1ba-41d8-9c05-ffa8b019b3fa","","folder-normal","work-in-progress","","step","TRUE","FALSE","2. QA/QC - Offsite Mfg. Inspections","1. Town Homes","1 - Bedroom"
"90d6d315-5838-4549-8caf-2c7a5f83ca27","","folder-normal","work-in-progress","","step","TRUE","FALSE","2. QA/QC - Offsite Mfg. Inspections","1. Town Homes","1 - Bedroom","STW1_02_1B_GF-876 (29)"
"27cec194-5c35-4a8c-8e98-16eb18dde772","","checklist-flat","pass","ICS - Module Structure","checklist-flat","FALSE","FALSE","2. QA/QC - Offsite Mfg. Inspections","1. Town Homes","1 - Bedroom","STW1_02_1B_GF-876 (29)","Module Structure"
"572b1eb9-43bd-473f-a643-1c6ab7871a89","","checklist-flat","work-in-progress","ICS - DWV System","checklist-flat","FALSE","FALSE","2. QA/QC - Offsite Mfg. Inspections","1. Town Homes","1 - Bedroom","STW1_02_1B_GF-876 (29)","Drain, Waste & Vent System"
"590d5ce5-12b1-416b-860b-4455a25ad069","","checklist-flat","not-started","ICS - HWC System","checklist-flat","FALSE","FALSE","2. QA/QC - Offsite Mfg. Inspections","1. Town Homes","1 - Bedroom","STW1_02_1B_GF-876 (29)","Hot & Cold Water Systems"
