"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4bf01d52-2549-49a3-a8bf-bad0681c0354","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"fe22c2fd-941d-4e65-bb78-43c812765efc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building 6"
"ae2370c6-3bf9-409c-8231-8ad1f557938a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building 6","Basement"
"c0491013-079d-4653-9998-9583cf77f323","","checklist-sectioned","pass","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01"
"ff175408-21c3-5951-bfa4-0b204a4b7268","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01","Drawing"
"83f93bc8-8ed8-5fed-889e-ad2e2c4a8dc7","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01","Concrete"
"5c5920bc-96a2-5c0f-86da-b3e5b485d58d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"3d643280-7fbb-57b6-8adc-10d6a6d1ef53","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Concrete","Concrete Test"
"f100675e-f5ad-5dfc-a2dc-eca75767608d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Concrete","Concrete Test Report - (photo required)"
"aaf4cf75-11e7-53de-82c3-5c200aebd1f8","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01","Post Pour"
"a5d8de3c-8465-5fac-83c7-fc2fdfba7cc9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Ferrules exposed"
"a44424c7-f9c3-5d15-8600-11085fdce0c2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Grout Tubes Open"
"20bd88a3-3cad-5226-a19b-d881fc190da6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Lifters installed central to panel"
"0a2126a8-77c1-513d-b3ff-c615eca184a8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Lifters Cleaned"
"bc8c1057-9fce-5166-8df4-5600f2ed83aa","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Patching required - Pass=No / Fail=Yes"
"8f40d61e-ba32-5c29-bd1d-eacae5ddd036","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","ID TAG filled out and correct"
"78c25089-f8b4-5bcf-94e4-f00b64adabcf","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Strongbacks installed - (photo required)"
"44cd4bce-109a-5d0d-94c5-91c231a24018","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Chamfers Installed"
"16403df8-b9a8-5266-b974-b3152ce877ac","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Panels QA sticker completed"
"88552ef2-8d8c-56ec-9dc4-b80931bdb609","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Post Pour","Panel ready for delivery, damage free"
"e9e6bac5-d4cb-444f-a189-33d843911033","","checklist-sectioned","pass","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC02"
"60e86196-03d4-5fe9-b86b-1a708e446012","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC02","Drawing"
"50a8674a-52cc-5fde-8b19-fa5c0633f133","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"9128aeb7-8822-56f2-84c7-6e25ec26c593","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC02","Panel Properties"
"f66ee571-0500-5dcc-90cc-312daedae129","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Panel Properties","Properties - Pass once entered"
"900c2bd5-a368-57da-8aa3-aaf7c0405bcb","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC02","Formwork"
"534fc97c-2560-5b99-a331-dac622f2ecae","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Formwork","Correct Dimensions & Square"
"969f7bf9-023d-5df4-b2cd-83bf45bd3b87","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Formwork","Grout tube set out"
"2901d68d-cb90-53ef-af07-36445e7e9c89","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Formwork","Magnets Locked Down"
"415831ad-567b-5f45-8240-1d835ba9ebc6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Formwork","Fillet Installed"
"d029f967-4b55-5eba-8421-160873db7cd5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Formwork","ID TAG Installed (photo required)"
"0ca0e5d8-c11a-5991-b8a3-fd9cd3440a44","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Formwork","Starter bars & couplers (photo required)"
"feb33459-6319-5eb4-9827-58d3f387affa","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC02","Reinforcement"
"b26fe239-6327-5d62-b174-687d06c9bc71","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Correct Mesh/Cage (photo required)"
"a893ffa1-7aee-54be-b36b-2f9e79422075","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Correct Lig Spacing/Mesh Centers"
"eee5d039-f9ac-5ad0-8836-fbef0f5e82f3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Correct Cover"
"b051db83-32d6-51ed-bc5f-6e7950f07ad5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Lifter location & Type Correct (photo required)"
"61e5042b-0f5c-5f3f-b912-15ffe98c46d1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Starter bars & couplers (photo required)"
"0dd05f56-c36e-5a84-9b27-0fae5ef4b4c3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Strongbacks installed - If required"
"9130dd4d-bf6e-51a9-a3a5-ce48fd1d091c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"ad800471-435f-5dd8-9886-cd16fe63c9dc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Reinforcement","Ferrues Installed - (photo required)"
"a2196091-6a0a-5b25-9cfa-bfca8f144e85","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC02","Concrete"
"b38ac0f9-2844-5d80-a538-a940544d1184","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"bff414a4-1891-5dd4-9771-f1c5fcd9c837","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Concrete","Concrete Test"
"1251ee3e-89f4-5ae9-8036-39107faab3c0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Concrete","Concrete Test Report - (photo required)"
"e1b7c03f-4b16-59e2-bc3d-21fc3b5e07e9","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC02","Post Pour"
"0814c44e-7ec3-526b-8d51-55ea817deb47","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Ferrules exposed"
"a8920d1d-2ad5-527f-b261-c3bdeccab910","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Grout Tubes Open"
"35afa8fc-c390-5804-9a73-b35fbb7ad93e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Lifters installed central to panel"
"d0c0b1a0-76f8-57eb-ae4f-702e38a20ce5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Lifters Cleaned"
"46afee28-f545-5b6d-bcea-7ae307f05649","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Patching required - Pass=No / Fail=Yes"
"31d1036f-1160-5915-a20b-d12008187aa7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","ID TAG filled out and correct"
"037360ae-5142-58b1-9422-bb87fd893fa3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Strongbacks installed - (photo required)"
"8d34aa2d-3b06-5f3f-9621-e1029bb37bc5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Chamfers Installed"
"2b43ba70-76ca-5863-997f-5c4267586700","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Panels QA sticker completed"
"72695c83-0fb7-5c25-aa75-7ff01c28e2a7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC02","Post Pour","Panel ready for delivery, damage free"
"ca72aa04-56e5-4aa7-b7ac-e1aa34cc8a72","","checklist-sectioned","pass","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC03"
"e2717ca9-05f7-5be7-bfdb-62b27eadbc6c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC03","Drawing"
"e231930f-db18-5670-bc1e-8b6c15860eda","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"7ac26734-5f8d-5439-8efb-e3172663150d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC03","Panel Properties"
"37af0acb-48fe-51f5-aa33-7eac784d7c71","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Panel Properties","Properties - Pass once entered"
"70c187ea-df0a-50e4-8a2e-37195d21826d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC03","Formwork"
"09a7ead0-2825-5271-bb27-a734fd2286d9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Formwork","Correct Dimensions & Square"
"5dfc60cb-ea56-50c5-9eb1-04c4ee23479b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Formwork","Grout tube set out"
"44cbe0fc-55c9-5e8d-a7e4-711aace89169","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Formwork","Magnets Locked Down"
"b11505c1-b3a9-5339-97f7-6401579d79a5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Formwork","Fillet Installed"
"316562d7-fb48-5a5f-b8d5-f1a6d9c2b495","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Formwork","ID TAG Installed (photo required)"
"ba61b120-d83c-59e8-a257-44136e4731ab","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Formwork","Starter bars & couplers (photo required)"
"c6046ac3-06c5-50a3-b012-1d3421b060e1","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC03","Reinforcement"
"2decd71f-10b0-5143-beaf-ee15b9b85dbb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Correct Mesh/Cage (photo required)"
"9ee63cdf-e12c-5d08-b3e3-a64a0ccfa920","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Correct Lig Spacing/Mesh Centers"
"030cbd4f-b5d2-5763-9f38-f3bc78779ace","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Correct Cover"
"a53eb3f7-3d63-56d3-865d-66325252a0dc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Lifter location & Type Correct (photo required)"
"445c1112-884b-538f-a290-ee0ddc8514fe","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Starter bars & couplers (photo required)"
"701970c7-3d1c-559a-b5d3-fac5fae9f491","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Strongbacks installed - If required"
"6f266f85-2ef7-5c4f-80a7-1ed438cfb673","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"e4e453d0-f403-5d9d-aaf3-95963411e684","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Reinforcement","Ferrues Installed - (photo required)"
"9272dc09-6407-5c3d-a3d2-fe87a4b40494","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC03","Concrete"
"f12b9b5c-3df5-5155-9a73-fa5af5f00b0b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"7c6e22d1-c761-5123-ab07-1832c6736734","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Concrete","Concrete Test"
"2ee33f9a-ddae-537b-9625-32b8b2c0142b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Concrete","Concrete Test Report - (photo required)"
"70976ea0-9c0f-5087-a2e1-3d034d832b19","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC03","Post Pour"
"8ee13864-10ad-5235-9ec0-923eb9634ce1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Ferrules exposed"
"da285b70-4e52-5d4b-84c2-39f20454678c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Grout Tubes Open"
"43a4fc94-2240-5649-b96d-dbc567270b93","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Lifters installed central to panel"
"8b4e864d-f64d-5cb4-89d8-0c274ee3a094","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Lifters Cleaned"
"a2f1c625-e54b-5ae5-b833-38df824eda2b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Patching required - Pass=No / Fail=Yes"
"494fcf97-cf69-5dd4-a02c-b5b82e2bae4f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","ID TAG filled out and correct"
"892e8a54-fe41-56a2-a583-dc4686e8978f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Strongbacks installed - (photo required)"
"9d4de192-109b-535b-b545-f0cadde87e69","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Chamfers Installed"
"9f6c494c-cddd-58e0-a883-b1f1889a80f0","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Panels QA sticker completed"
"7907aad3-1ab6-5d00-a1bb-3fabaa3451d3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC03","Post Pour","Panel ready for delivery, damage free"
"6a4b34cc-0945-4df2-a7b3-02806f0fdb02","","checklist-sectioned","pass","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC04"
"8f50f503-e1ff-5cff-914b-2743a39ce0e5","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC04","Drawing"
"f81d047a-0310-548f-bc16-3ee91ec6ab2b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"eddbbd75-ea95-5637-8211-6037268f780d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC04","Panel Properties"
"889a28b3-965c-5121-b980-5ceca87add48","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Panel Properties","Properties - Pass once entered"
"38e8f254-ad69-501d-a8f7-eb35724ab92e","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC04","Formwork"
"3374bb5f-50c2-5079-b27c-c625dad977ae","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Formwork","Correct Dimensions & Square"
"a9aa9767-2504-5a09-8b6b-82ad364f1d42","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Formwork","Grout tube set out"
"5d5843c5-47aa-523e-8494-2c8c2295b522","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Formwork","Magnets Locked Down"
"3a25d618-1624-5779-9af4-3d35185efa1c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Formwork","Fillet Installed"
"f0e4ff51-e4e2-59d8-87ed-3478f5ad9f85","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Formwork","ID TAG Installed (photo required)"
"b317b8d1-9ab4-5f47-862c-b752a0876624","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Formwork","Starter bars & couplers (photo required)"
"a75e3add-bd61-5205-af4c-536a851e2c5c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC04","Reinforcement"
"50590fe9-8420-5479-af29-ccf5f0422dd4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Correct Mesh/Cage (photo required)"
"9db5ad9d-a5ba-5575-98bc-817d0186399c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Correct Lig Spacing/Mesh Centers"
"44c19b06-b86e-5653-9fe9-012108b1e189","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Correct Cover"
"cb587544-54b1-5581-b3a5-d5a49c501cd8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Lifter location & Type Correct (photo required)"
"3c2affc9-6991-55f2-9de5-6a65d66bbff9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Starter bars & couplers (photo required)"
"11f75e9e-a4ad-5ae4-b79a-4ab3f0bf4eb9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Strongbacks installed - If required"
"453dc876-e72c-5c82-8ac6-3a230d9af29c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"02054c87-6c97-5fff-8139-e15505074022","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Reinforcement","Ferrues Installed - (photo required)"
"02b59ace-06df-542f-a839-35853960da89","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC04","Concrete"
"cb3978de-f94d-5f7f-9690-308063922204","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"10e43b53-1989-50c7-9bbf-c040a43b2cf8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Concrete","Concrete Test"
"a3a842ba-bd52-5f83-b021-7d8162155923","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Concrete","Concrete Test Report - (photo required)"
"e13edafb-3134-5924-a941-a0e3f3bf1178","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC04","Post Pour"
"3b622a65-27c5-558d-958b-ffcd64b72b0b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Ferrules exposed"
"3a79292f-48ed-5924-bd37-8d37f3a29498","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Grout Tubes Open"
"0b891e0e-fe7e-53df-bc74-602e0af75e27","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Lifters installed central to panel"
"4412e3b1-c77d-5c2a-946d-62a59d764941","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Lifters Cleaned"
"582e0860-c052-5010-9765-2b2df9a1e65d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Patching required - Pass=No / Fail=Yes"
"e022abf7-6466-589c-b3b8-b5ff303983a9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","ID TAG filled out and correct"
"874a39da-d433-5e95-89cf-87c8ff580188","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Strongbacks installed - (photo required)"
"07345b31-cc66-575b-aadd-0da4d3a332f8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Chamfers Installed"
"bc77c6d2-89d2-5b78-af20-31f3d14b0ae8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Panels QA sticker completed"
"33de484f-9837-5a88-a17b-6004c08ffad7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC04","Post Pour","Panel ready for delivery, damage free"
