"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cd597728-a43e-4088-b0c0-e383610c6d63","","checklist-sectioned","work-in-progress","3f05f0cde938f93c83214a38393dcf7768317bbfc05b3d716d80494ba1803b1a","checklist","FALSE","FALSE","Kaiteriteri Checklist"
"4f5a21bd-1efa-5110-9ecd-2468fab5b584","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","1. Consent Conditions"
"93b146b9-51a8-5446-b6bc-69192186c7ab","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","4. Road Widening","AUTHORITY HOLDPOINT"
"a4a4ee96-3a69-5fcd-af43-24df2b033648","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","4. Road Widening","4.3 - Pre Seal Inspection"
"a43974d9-140d-5ba6-90a0-44e92ea6a2f9","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","4. Road Widening","AUTHORITY HOLDPOINT"
"c6e87b1e-f903-5649-84f9-4dbdf47b8d2c","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","5. Kerb"
"51e4cab7-b38d-55b8-9499-ffe0c94acbfe","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","5. Kerb","5.1 - Compaction of basecourse (Field Dry Density)"
"2efa57e5-cb89-5fc5-9fe7-8fda1db74e21","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","5. Kerb","AUTHORITY HOLDPOINT"
"e9e66f10-0555-54d1-bae5-e893a5805ada","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","5. Kerb","5.2 - Saturation"
"55899b9a-f5d4-55da-9376-751433b4f66d","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","5. Kerb","AUTHORITY HOLDPOINT"
"fd665017-c7c7-5ff7-a52b-ddf4189fd075","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","5. Kerb","5.3 - Pre Seal Inspection"
"178cf37d-5852-58e1-9966-705127dc650d","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","5. Kerb","AUTHORITY HOLDPOINT"
"0b0c7bb5-611f-42cf-a9d2-d7cd462ae395","","checkpoint-status","pass","","","FALSE","FALSE","Kaiteriteri Checklist","5. Kerb","5.4 - Kerb Channel Drain"
"670d5918-6a51-5aa8-bbe4-092f7a807f3b","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","6. AC Between Kerb & Rd"
"8477b38c-07ba-5cd2-bd42-c292a8ee5548","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","6.1 - Surface shape on completion"
"470f77ce-6d63-51d1-9f75-ee11978291ac","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","AUTHORITY HOLDPOINT"
"220472f2-bb38-5633-91bc-bef72c735373","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","6.2 - Depth"
"f75ef707-c108-5431-bcbe-3a72029ffc53","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","AUTHORITY HOLDPOINT"
"cecb8d50-80f5-5cab-b5c9-658f745f0af0","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","6.3 - Compaction of basecourse (Field Dry Density)"
"0432ca35-d65f-52f4-aba7-75ff435ca511","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","AUTHORITY HOLDPOINT"
"b91759ef-427b-5ccd-acba-0bcd2359bfaf","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","6.4 - Saturation"
"084a1ad8-8930-5a51-b9ae-f0ead6e6d103","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","6. AC Between Kerb & Rd","AUTHORITY HOLDPOINT"
"3d4c37cb-4703-580e-b185-376c5453db6d","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","7. Footpath"
"9b9e9ecb-47b6-537f-8763-ec2b6d451516","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","7. Footpath","7.1 Riwaka Gold material being used for the footpath"
"dcebb95c-ebdf-5e9b-9715-eb580edfbc51","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","7. Footpath","AUTHORITY HOLDPOINT"
"bf8f7f9c-95a9-5868-9c54-d2569aeede24","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Kaiteriteri Checklist","8. Boardwalk"
"bf218a44-941e-58b5-84bf-ea209e0a59fe","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Kaiteriteri Checklist","8. Boardwalk","8.1 - Refer to DRG 5-G3445.40"
"688a6388-a16d-54bf-8ed6-94252317aa6d","","holdpoint","work-in-progress","","","TRUE","TRUE","Kaiteriteri Checklist","8. Boardwalk","AUTHORITY HOLDPOINT"
"2b175c40-c0bd-5d25-ae14-07192145353b","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","8. Boardwalk","8.2 - Post set out"
"eb2e7faa-95bd-5963-a5a2-53a4ec8c1119","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","8. Boardwalk","AUTHORITY HOLDPOINT"
"5032a2ae-77a5-5223-bbf8-500310fb88ce","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","8. Boardwalk","8.3 - Depth of piles"
"7bd41569-ab2d-5870-b4a5-c681b94ca506","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","8. Boardwalk","8.4 - Resistance"
