"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a956a4bc-6144-49c2-987e-f1968de6a602","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"0dfef658-7904-4b3a-8e85-75d78eda0678","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Prefab"
"124849e5-d340-4984-96c3-4334bd2f383e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Prefab","Basement 1"
"c0510d3c-3200-4b0f-b383-c67005267f39","","checklist-sectioned","pass","ecb2479798b1587856a70a3357c9fe2237629a137416afc7f984a3c2dfb120e3","checklist","FALSE","FALSE","Site QA","Prefab","Basement 1","25293 514-B1-01"
"50bba2fb-8425-59ea-8198-1721a5520efd","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 1","25293 514-B1-01","Set Out"
"b131feb5-4679-5e62-b4b3-20e4c3755dac","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Rebates Near"
"6c01cc12-ce35-5893-a34d-4b74dea58f80","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Rebates Far"
"fa4f5fe3-c521-5aee-be76-0b9a8fbe05b9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Propoints Near"
"7da000ee-062b-5cf6-9d30-1f50d5944425","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Propoints Far"
"8a298692-d505-5e2e-9008-8f966af0d18d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Correct Heights for Panel Thickness"
"46159d60-bf85-52c7-ac5f-024b1f3d3208","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Grout Tubes - Top"
"7b9a9138-844b-554d-ad88-14a77d7eb803","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Grout Tubes - Bottom"
"81d4e022-0c9f-5927-9359-d878b532ab81","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Spouts - Near"
"1f35572c-2b6b-579c-ad39-aec8ac6bdf37","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Spouts - Far"
"1cae6054-73a9-5aa6-9a44-cdda924f3725","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Structural Connections"
"ddb80752-0323-576f-9c53-02000873a129","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","M16"
"dd0b1d62-2e89-5dc5-a73a-61a9f64f4456","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","M20"
"fa8462d3-c184-5a39-8336-17473ac62f9e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Cast Plate"
"04ab2407-165a-58d9-b737-b56be42d4e13","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Correct Heights for Panel Thickness"
"a82d6ae1-7aa9-54f8-99d2-a59356dec8bf","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Slab Connections"
"f9677f00-d68a-5e5d-bfe5-6a210ac697ac","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Lifters: GAL Top"
"7bdf43bc-6737-5fce-abf6-df81d2e13a2a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Lifters: GAL Side"
"ecc1a498-f881-5bff-b25f-0fade60e6072","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Lifters: GAL Face"
"162fc24a-d0e0-53b2-9f54-00bcd652336b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Prefab Built By"
"ba87e9d2-4398-57bc-af66-59ca860ff95e","","holdpoint","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25293 514-B1-01","Prefab","Checked By"
"42fb4acf-b918-475c-8b2f-568d37ff5f53","","checklist-sectioned","pass","ecb2479798b1587856a70a3357c9fe2237629a137416afc7f984a3c2dfb120e3","checklist","FALSE","FALSE","Site QA","Prefab","Basement 1","25294 514-B1-02"
"fcd7d310-4b82-50c8-9d13-a086fbf73dab","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 1","25294 514-B1-02","Set Out"
"e7deefe9-b1ba-5623-9440-40f7ee2eb92b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Set Out","Attach any relevant documents or photos"
"ad8dbcf7-83b2-5f83-a336-b44775556123","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab"
"df2b6d5c-7b33-52fe-b1d5-12617416052c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","U Bars Top"
"ebc63400-a4cb-5a39-81f9-ce6b271ef012","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","U Bars Bottom"
"602a501a-769d-5bca-bff9-5ffdd699a103","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Sides"
"374474a4-50aa-5dda-b799-6623a60098ed","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Trimmer/ Corner Bar Near Side"
"661b298c-9879-516a-8b2a-0013779b81d3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Central"
"d733a13f-0d9f-57ed-b848-c2d748927946","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Far Side"
"1b11044b-2310-5bab-9524-b58f83b04fb1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Bar"
"5a15c7f4-165a-5ddb-b6c2-a07bd865444c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Mesh"
"ac48f8bb-6d55-5490-bc65-43d979fb81b6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Penos"
"83b733f4-ff2e-5849-8838-2a76b729acfa","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Rebates Near"
"07b26831-77d7-5523-ae7c-d44122ea642b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Rebates Far"
"4ee75228-51bb-5ae2-bade-7cc3a477378e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Propoints Near"
"d645312d-1e56-5036-87ca-74cb5ef6cdbc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Propoints Far"
"a1f038a0-44b8-5ee4-95d3-12475a79fd40","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Correct Heights for Panel Thickness"
"40acf6dc-cc71-5ee1-bc7b-7087271743ff","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Grout Tubes - Top"
"5377a97a-2c9f-5831-8c91-2c33156c382d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Grout Tubes - Bottom"
"83595a18-26e5-5b0c-9d9d-20985b783c21","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Spouts - Near"
"a2d45248-fb4b-5a8a-af5b-ba8579cc1c57","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Spouts - Far"
"c18ba540-20cf-5704-92ce-73ff0b39ee4b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Structural Connections"
"642d0ffb-3c76-521b-b514-2da0ce746164","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","M16"
"6ff5e852-2e52-5186-ace9-004d6c230ee8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","M20"
"62d81197-5e2d-5d9f-a124-7803fbf7307d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Cast Plate"
"096ab8bb-d042-581f-8afb-9f4327979e17","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Correct Heights for Panel Thickness"
"f542fa5c-c016-545f-bc9c-08e1bed9df4d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Slab Connections"
"e0f4a76d-6474-52ce-82eb-e327d4f17559","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Lifters: GAL Top"
"69bde91c-2e27-568a-a960-22fcb2d9dcac","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Lifters: GAL Side"
"79555a4e-9ba5-5caf-9f5f-88d5ae78c8fc","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Lifters: GAL Face"
"138a42e4-75b5-5b79-bcfe-0a2f65c157cc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Prefab Built By"
"e25261cf-9a7b-53fe-a542-c90a853854a0","","holdpoint","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 1","25294 514-B1-02","Prefab","Checked By"
"768011c3-3e77-405d-857d-66bf4ffa51f1","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Prefab","Basement 2"
"a67652bf-9f4e-4b57-96b6-7f7396de46f9","","checklist-sectioned","pass","ecb2479798b1587856a70a3357c9fe2237629a137416afc7f984a3c2dfb120e3","checklist","FALSE","FALSE","Site QA","Prefab","Basement 2","25295 514-B2-01"
"85f0d2de-8d9a-5133-824c-29c9ca7d87fa","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 2","25295 514-B2-01","Set Out"
"dc9ea8fc-0df0-5633-b753-0c5f59906502","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Set Out","Attach any relevant documents or photos"
"5a1c0c16-48e1-5b1e-8037-763b7e770905","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab"
"a6eb0ddf-d4dd-580f-8495-2260513f7a5c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","U Bars Top"
"c1f5564b-843d-54e6-8bc1-133a5b81b28f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","U Bars Bottom"
"c53a9c3c-1039-579d-98aa-52915befb221","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Sides"
"64903054-5200-5c74-9ae7-5961f6fda033","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Trimmer/ Corner Bar Near Side"
"0658dfa1-299f-5982-9530-a1a1e1886438","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Central"
"c22cdedf-bfc3-5724-89e5-86a40d710a78","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Far Side"
"a8693771-ddf0-5859-8ea3-eb236684bb99","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Bar"
"34afea9c-e3bb-51b3-9013-20ac2280d958","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Mesh"
"b0642e5d-0066-5b16-8de8-235fc1d7555a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Penos"
"f6d4940c-248d-52d4-b847-4a059706456f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Rebates Near"
"0e0e4657-303f-50b5-8909-5677a9b4bd00","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Rebates Far"
"5036a5e6-1827-5c42-8eaa-a7e2347da1af","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Propoints Near"
"b829c8b7-e6eb-504a-9712-80a645ac3e61","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Propoints Far"
"f3684989-f7de-526e-9c1e-eeae6f87b9e8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Correct Heights for Panel Thickness"
"e9770e55-4bae-543c-9e61-c0234ed6b1ea","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Grout Tubes - Top"
"663d0e74-79c9-50f9-b281-777403f0577a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Grout Tubes - Bottom"
"70211bd1-ffde-5efe-8f4b-61337e1eefee","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Spouts - Near"
"797e234f-cb04-5749-90fd-d8ea58fb816c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Spouts - Far"
"b0dd20ef-ba3a-539d-9650-cf874f738857","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Structural Connections"
"6d7590d4-53b2-5db6-9e0c-6157a6117568","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","M16"
"9da005d4-7404-5655-9c8d-a1a01d7812f3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","M20"
"e5f82568-1f65-5fcf-aa30-c6abfc305466","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Cast Plate"
"b1b381bc-9f19-5b3d-bb8f-c85bf63e55bc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Correct Heights for Panel Thickness"
"d5aff920-238d-5a12-8e17-fd14f40035f6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Slab Connections"
"adb5135e-8a67-538f-a483-9659f6ff2722","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Lifters: GAL Top"
"d0f5b1f6-0862-5f3c-b714-984bf1021ab9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Lifters: GAL Side"
"375a2d01-cdd1-59a6-a835-cc1f6d0bfbb8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Lifters: GAL Face"
"f7187fe0-0b56-54b2-a509-77c56ef6fc8a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Prefab Built By"
"237057dd-f2a7-5808-a350-e39d83125c62","","holdpoint","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25295 514-B2-01","Prefab","Checked By"
"4b5a8446-c8da-4eb5-946c-f22c5d8f213b","","checklist-sectioned","pass","ecb2479798b1587856a70a3357c9fe2237629a137416afc7f984a3c2dfb120e3","checklist","FALSE","FALSE","Site QA","Prefab","Basement 2","25296 514-B2-02"
"e0ea6e26-a6e4-5e40-ae68-5547d7d3a8e6","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 2","25296 514-B2-02","Set Out"
"81a89a0a-eb67-5882-a8bf-022166daa324","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Set Out","Attach any relevant documents or photos"
"15bc87f8-fd77-5947-a9aa-d90a4879e605","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab"
"fccffd08-11fb-5379-9235-7a8e8ea20fac","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","U Bars Top"
"eb885521-438a-57ef-b8ee-289899b143dd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","U Bars Bottom"
"955bfb84-3cda-5bc6-b63c-87dc534edb79","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Sides"
"a9e64f59-4394-5e72-9c9f-f21bfe590c78","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Trimmer/ Corner Bar Near Side"
"e62569e8-a6f5-5ece-ba9d-a1e2f9b127c1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Central"
"4cd0e203-66de-52d4-b24a-05852dec97c6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Far Side"
"b80fc638-67d0-5f4a-b7c9-e6647e274679","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Bar"
"33dfeb29-1968-59e6-998a-49dc51386f00","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Mesh"
"7939aa78-3d77-58fa-88c8-d29467eaf720","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Penos"
"bb6fee9f-e531-541d-97e4-f7db622024a1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Rebates Near"
"09a8bc2b-f70e-50a0-8e51-5efb0f04c314","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Rebates Far"
"7d5490a4-977a-5171-a311-8b5bca5e21fc","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Propoints Near"
"e5c94059-219f-5269-ace1-db2c93944510","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Propoints Far"
"30c6ce7d-739a-5490-a699-4f137f112199","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Correct Heights for Panel Thickness"
"2bccbc77-1448-5298-87da-12f68a3f2808","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Grout Tubes - Top"
"a6ffd722-9be6-55fa-ac91-df6172b38788","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Grout Tubes - Bottom"
"803a6058-1cc5-5f1e-ba1d-f4d5705a3167","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Spouts - Near"
"5a78b525-eea5-5774-817f-5463126c1ff7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Spouts - Far"
"f3732ab3-04e3-5986-951b-ee1d408e45f1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Structural Connections"
"46ae395b-f6ae-5501-ac88-b17433032ce3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","M16"
"d3dfb262-51ec-5136-8496-3832b3a63bd6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","M20"
"af5db9b8-92db-549e-8873-da998f716f34","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Cast Plate"
"298b4a2a-7a77-5ab2-b865-d07a3e44b4b7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Correct Heights for Panel Thickness"
"519a3cec-c808-532d-987e-7abca0d25565","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Slab Connections"
"609ef4a6-0c0e-5e4f-808e-5e4f41eb89a9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Lifters: GAL Top"
"1e2d7927-eada-5717-8f0b-99f2836a6898","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Lifters: GAL Side"
"b6055547-500e-58ba-ab44-031f8257a7e2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Lifters: GAL Face"
"68389fc3-2693-5f15-9822-4539c1a5e06b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Prefab Built By"
"2f001ce3-064c-56b8-bc7d-14106a4b9cfd","","holdpoint","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 2","25296 514-B2-02","Prefab","Checked By"
"bb1fe44f-5936-4443-b36e-5ef6b0b80397","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Prefab","Basement 3"
"8c31ca01-ef54-472b-92bd-b0da55fa7ecd","","checklist-sectioned","pass","ecb2479798b1587856a70a3357c9fe2237629a137416afc7f984a3c2dfb120e3","checklist","FALSE","FALSE","Site QA","Prefab","Basement 3","25016 514-B3-01"
"4a0943e2-aaf3-55b6-9282-21c726b6a1bc","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 3","25016 514-B3-01","Set Out"
"27d31284-678c-5d76-8feb-d999110598dd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 3","25016 514-B3-01","Set Out","Attach any relevant documents or photos"
"f44197ef-7835-5677-b75d-af62fd2f86e1","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Prefab","Basement 3","25016 514-B3-01","Prefab"
"77db9503-386d-58c9-a37a-ae786ef69f41","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 3","25016 514-B3-01","Prefab","U Bars Top"
"ffcce3e0-ee9d-5d6e-8574-caa2cf3b1f7c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 3","25016 514-B3-01","Prefab","U Bars Bottom"
"c7888138-e73f-5b7d-bacc-145d2958e51e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Prefab","Basement 3","25016 514-B3-01","Prefab","Sides"
"e5f48101-6837-5f2f-98fa-581fe803c6d9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Prefab","Basement 3","25016 514-B3-01","Prefab","Trimmer/ Corner Bar Near Side"
