type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: All drainage trenches (subsoil drainage),,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Engineer notified and must inspect prior to backfilling of the drainage trench,,,,,,,,,,,,,,,,,,,
checkpoint,Visual inspection of swale,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/ Engineer/ Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Visual inspection of swale,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Engineer notified and must inspect finished surface,,,,,,,,,,,,,,,,,,,
checkpoint,Visual inspection of duct installation,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: PM/PE/Engineer/Site Supervisor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Finished section of duct prior to backfilling,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Engineer notified and given the opportunity to inspect.Duct laid according to the Specification and KiwiRail Standard S-ST-CW-2140,,,,,,,,,,,,,,,,,,,
checkpoint,As-built Survey of Formation including top of rail,,,,,,,,,,,,,,,,,,,
label,INSPECTION BY: Surveyor,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Finished rail install,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: As-built drawings to be provided to the Engineer following completion of works. Tolerances as per the Specification. Where tolerances differ from the Specification they shall be agreed with the Engineer prior to completion of the works. Initial survey completed immediately following construction. A second as-built 4 weeks after rail is opened for settlement monitoring.,,,,,,,,,,,,,,,,,,,
section,Tests for aggreagte quality,,,,,,,,,,,,,,,,,,,
checkpoint,Density - General Fill (GAP 100 River Run),,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Each 20 Linear meters for each lane,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Density >= 95% mean, Density >= 92% minimum",,,,,,,,,,,,,,,,,,,
checkpoint,Density - Structural Fill (GAP 65) ,,,,,,,,,,,,,,,,,,,
label,TASK TIMING OR TASK FREQUENCY: Each 20 Linear meters for each lane,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Density >= 98% mean, Density >= 95% minimum",,,,,,,,,,,,,,,,,,,
section,Sign Off,,,,,,,,,,,,,,,,,,,
checkpoint,ITP Sign Off for Construction,,,,,,,,,,,,,,,,,,,
text,Project Engineer:,,,,,,,,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,,,,,,,,
checkpoint,"All works completed, records attached and work conforming",,,,,,,,,,,,,,,,,,,
text,Site Engineer:,,,,,,,,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,,,,,,,,
text,Project Engineer:,,,,,,,,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,,,,,,,,
text,Quality Manager:,,,,,,,,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
