"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef7512c8-0e2b-40c8-bf62-7b3f2576bed9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"648580ea-4a0c-4a7f-b099-63256b5dc447","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1"
"64ccaac1-f150-43cb-ac4c-ef0cdfd67543","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8"
"8c609bc7-4957-4dae-b5b4-583addc8cd93","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire"
"3be5062d-8020-4902-a4bf-10924993b45b","","checklist-sectioned","not-started","EFPQF04 - Pre Action - Sprinkler","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler"
"b7369518-674e-5b7b-b467-09f213a88ff7","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Documentation"
"d4aad0ba-2c19-5885-9cd8-e736897b91f4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm pipework installed fall back to drain"
"8ec37c1f-a52b-51e6-9cb1-8eaa079d14de","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Mains minimum 2mm per 1m."
"54da2028-6836-5f1c-8fd8-9b1dcba2f3ee","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Ranges minimum 4mm per 1m."
"bdca764a-b96d-5128-b799-7ac13255efe9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm sprinklers installed."
"ee5cf6a0-7254-5d48-b0ec-e1d3990f4449","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm sprinkler guards installed."
"5a89b5b4-d19a-5805-a087-5d9f4bdfab76","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Testing"
"e1dfe39e-984c-5598-abde-90ac3537191a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Confirm all open ends plugged."
"a51b557b-ef0b-5199-b6d3-fcb54cf11d36","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Confirm isolation and drain valves are closed."
"7c2f859d-3483-5d88-8027-1b5236b85c4f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Fill pipework with air to 50kpa to confirm no open ends."
"073dadcd-f533-54b0-8698-7fcbff3c84ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Fill pipework with water to 1600kpa. Hold 2 hours. No pressure loss permitted."
"3e085427-7748-583f-a25c-63c376597583","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Fill pipework with air to 300kpa. Hold for 30 minutes. Pressure loss of 10% (60kpa) permitted."
"aa294761-f39e-584a-8a91-8674bd167a03","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Record pressure test results on Pressure Test Form."
"4e9d86d7-e3cf-5c0b-a201-60328d41e91e","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet"
"cbe1ab6e-8030-53c6-98cb-5d4203aae6b6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet","Test Details & Results"
"3be0fcec-2583-533a-bad0-01961c394f40","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet","Test completed to specification/drawings & Area left clean/tidy"
"1f4efff9-ffc6-56c7-9585-44ad8c48f725","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet","Entire Fire Sign-Off (attach signature)"
"27c0ac7a-0ea4-4cd2-b03e-77b0b0fa3d37","","checklist-sectioned","not-started","EFPQF05 - Pre Action - Sprinkler Control Valve","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve"
"2b20c951-019a-5922-a792-06395bea327c","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Documentation"
"66bda017-ae20-5114-9dd2-2be0917d600c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Documentation","Confirm construction drawings approved for use."
"fa34781b-6b67-546b-8863-cfa8f080e7f4","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Incoming Inspection"
"981c638e-6798-5735-a7ac-43da50b955ac","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Incoming Inspection","Incoming Inspection - PASS if received in good condition - If not FAIL & Attach Photos/Comments below"
"559669d6-b27a-50cb-b744-86bc2960447a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation"
"ce40bf0e-cf2a-56df-93ee-2ad0a0b40c8d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation","Main stop valve installed"
"d5ecf78b-0cd3-517d-af59-7b74c2fdad3d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation","Alarm valve installed"
"057e66e1-1a67-5708-911f-59a4ea47020a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation","Drain valve installed"
"4c6efc4c-44d3-5ade-a2af-e13bf32d348c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation","Alarm pressure switches installed"
"9fbd7d20-c2b6-5bb6-8fd0-5409eb62ebab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation","Water motor alarm installed"
"a56be0c3-bac1-5480-bbb1-3bb614e9e9c3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation","Pressure gauges installed"
"dbf1d9dd-dc8a-5592-95f3-e29c9cc2b1d0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve","Installation","Nitrogen generator/air compressor installed"
"54f03050-810f-4027-93bc-55b760acde81","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire"
"49ccf8a5-bb84-4085-b8a5-396826ef2da4","","checklist-sectioned","not-started","EFPQF07 - Fire Alarms Install","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install"
"c43b6fc6-5bf9-5efb-94b4-011665c9a99d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Documentation"
"57e193af-84db-5061-a328-bab35b4a317c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Documentation","Confirm construction drawings approved for use."
"187d453f-087f-5e3a-b4bc-0c1d1d94d2c4","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Incoming Inspection"
"b4ef96b5-c636-5390-8d7f-964714f265fb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Incoming Inspection","Incoming Inspection - PASS if received in good condition - If not FAIL & Attach Photos/Comments below"
"9f2ec802-3f89-5c13-bc8a-800b42b85aaf","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off"
"4c4f6a5c-530e-50f7-9f11-c5facaa2db50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm correct cable type run"
"a0bcd742-e882-5a94-a6cd-aca7d2c7d5ca","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm cable support/conduit fixings and spacings"
"f2b47a6e-f23b-5511-bf8f-fccd440074b2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm segregation from other electrical services"
"f7e9128e-fc97-5bff-8115-602e775e43f0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm detector fit off locations"
"4fce4868-259e-59d0-8902-549ba368be55","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm speaker fit off locations"
"eca56c6f-0475-5e26-b989-beba18c82700","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm strobe fit off locations"
"ec796e63-05fc-5ee5-b983-16177084f3d8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm fire interfaces connected to sprinkler installation"
"db05699a-5f42-55d3-bfe5-3ee68dc62156","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm fire interfaces connected to security"
"11392c65-e29b-5557-812f-9eefe01accd0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm fire interfaces connected to mechanical"
"84596bdf-99bb-51ab-8717-05f250396459","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Installation Rough In / Fit Off","Confirm fire interfaces connected to BMS"
"25240001-756c-563a-8738-a47532189953","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Sign-Off"
"e8be63eb-21f7-5c0d-ba05-c770dd6e5de7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install","Sign-Off","Work(s) completed to specification/drawings & area left clean/tidy - Builder final signature to be attached below if applicable"
"1275e7e2-ac80-4b3e-8263-96ee815826fd","","checklist-sectioned","not-started","EFPQF08 - MASDS Install","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install"
"781fc782-b44c-5eed-9baa-63e5679a4250","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Documentation"
"9afdc393-6a5a-5fbf-bc5d-cb856fe870cd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Documentation","Confirm construction drawings approved for use."
"15fa0dd6-84e1-5121-b823-c212f3445ff7","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Incoming Inspection"
"dc4a533d-a9d3-543d-9de2-d3c064ee85a2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Incoming Inspection","Incoming Inspection - PASS if received in good condition - If not FAIL & Attach Photos/Comments below"
"c617a43e-0112-55b6-ac41-289bb8f061f8","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off"
"69e05d75-0e8c-5274-aa9a-647e6343d799","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off","Confirm correct cable type run"
"62037519-c2f3-5e6b-9d5e-c23806a53ec2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off","Confirm cable support/conduit fixings and spacings"
"2740f2c5-6918-5ab3-8510-de8a403455e7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off","Confirm segregation from other electrical services"
"44653057-f7b5-510a-8e9b-7d4726e4c47e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off","Confirm MASDS pipework installed as per drawing"
"80a61c1b-d3ce-5418-bcdc-806e010c118c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off","Confirm MASDS sampling points size & spacing"
"a1ee3cb1-df05-594f-b637-854ce3115dbc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off","Confirm MASDS unit fit off locations"
"fb613bda-2e6f-5c9d-b03d-1414218e9890","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Installation Rough In / Fit Off","Confirm MASDS power supply fit off locations"
"3a995e12-6b79-5a54-9a4d-0376a1f83de5","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Sign-Off"
"a37e92fe-4405-5302-8520-6c242b927882","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install","Sign-Off","Work(s) completed to specification/drawings & area left clean/tidy - Builder final signature to be attached below if applicable"
"471ccf11-800f-4667-bb3f-54f085c13417","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 2"
"85745599-2a20-487c-9e41-23ccfcbd78ad","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7"
"aaeaa601-bc83-46c7-8934-4306987ab0c8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire"
"237a8aa1-b790-489a-ab3b-937392df8225","","checklist-sectioned","not-started","EFPQF04 - Pre Action - Sprinkler","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler"
"79a09911-c689-5f9b-8f04-f4ea6800b726","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Documentation"
"57315fb9-f2e5-5441-90d1-ca7677d3adc5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Documentation","Confirm correct construction drawings approved for use."
"eb7dd60a-062e-5517-a7e0-33c773687f86","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Incoming Inspection"
"220bd083-8978-5657-a4e1-d5ea89aa0783","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Incoming Inspection","Incoming Inspection - PASS if received in good condition - If not FAIL & Attach Photos/Comments below"
"66fbaa84-9654-52a5-8a8d-4c725e9c36f2","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off"
"fec1e72f-5a12-5c0b-9c5c-06ea3be660b2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm hanger spacing"
"bb46138a-d9a2-5cbe-9ad5-c7bbd0b3c6dd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm support at change of direction at 1m max."
"e6c52fe9-520d-5e9f-9772-314460bcfc89","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm support of pipework no more than 1m from end."
"8e85ec90-895d-52ce-b79a-f2d1caf197f7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm support of armpiece exceeding 500mm."
"dddf43f0-a953-52eb-bff4-fa998edc3ec3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm first support of range pipe within 2m of mains."
"b64c1ecc-dae2-5143-9b29-116b05f0e17e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm pipework installed as per drawing."
"3f3e2e7d-51e3-5712-ab6e-552cd4f0b2fe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm pipework installed fall back to drain"
"546c4cc8-3b3e-588e-a46d-b5538386dd1e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Mains minimum 2mm per 1m."
"f1458f98-2248-5347-99b7-8d7fdda55608","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Ranges minimum 4mm per 1m."
"78425dc1-b535-5421-b9f9-12b89c899c23","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm sprinklers installed."
"663a0733-ddf7-54c4-974f-9ba188aba20b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm sprinkler guards installed."
"0459eddd-3b03-551f-9068-823a8e64c0ef","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Testing"
"6ad0387d-7605-5cbe-9c34-7d5678c1012b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Confirm all open ends plugged."
"bad81b29-d65b-56f4-815e-83161447378d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Confirm isolation and drain valves are closed."
"42dc3d1c-4c70-5612-a9b5-113329e42647","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Fill pipework with air to 50kpa to confirm no open ends."
"51f63e43-dcfb-5233-a107-ad744d81d42a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Fill pipework with water to 1600kpa. Hold 2 hours. No pressure loss permitted."
"14bec783-2469-584f-b072-cb986cc09a50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Fill pipework with air to 300kpa. Hold for 30 minutes. Pressure loss of 10% (60kpa) permitted."
"6e877d6e-088b-50b9-821d-0afe804f8ea0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Testing","Record pressure test results on Pressure Test Form."
"17bf631c-ee17-5818-9365-4caf68158cab","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet"
"f2907fec-53ae-510c-b6ce-47ffbc5534b4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet","Test Details & Results"
"630ab2c0-3dc8-513d-84a4-655030511cba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet","Test completed to specification/drawings & Area left clean/tidy"
"3a7515dd-8467-5ae3-8ada-387ec207ca45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler","Pressure Test Report Sheet","Entire Fire Sign-Off (attach signature)"
"207459ca-005a-4988-aa59-e386a39576ae","","checklist-sectioned","not-started","EFPQF05 - Pre Action - Sprinkler Control Valve","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler Control Valve"
