"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"630a461f-c42c-4b34-b537-674db6123918","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package"
"861d6f86-b5a1-466a-9afa-dbd0288ffda8","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA"
"de50e605-3478-4190-812f-c0727b859c15","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor"
"d4608f3c-6b99-455c-8d0d-80e38c88323a","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.1-Angiography"
"9655f296-37c5-4457-8fda-46bf9c3cd10f","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.5 - UPS Room","Mechanical Duct"
"3e29be8d-4bb9-4259-b991-b9e830e07cc6","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.5 - UPS Room","Fire Dampers"
"17c48195-aaad-46bd-b97e-8f53a93b3686","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.5 - UPS Room","Condensate Pipe Work"
"5a594666-36bf-4e03-87a2-91100a9ed5e3","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.5 - UPS Room","External Duct Work Insulation QA"
"d459eb08-2967-466f-9881-a9be09c46c44","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.6 - Future Tenancy GF"
"7078dace-1a9b-433b-9e04-eeee78b8f101","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.6 - Future Tenancy GF","Mechanical Duct"
"c1e9c2ac-7ce9-4622-97de-f764f5274079","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.6 - Future Tenancy GF","Fire Dampers"
"f5dc047f-2b72-4725-bd75-07653c501bcc","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.6 - Future Tenancy GF","Condensate Pipe Work"
"5da8a114-d6a8-4b89-bfd1-8ccece7958d1","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.6 - Future Tenancy GF","External Duct Work Insulation QA"
"2b04a695-434f-4c86-b912-66da1c6c0599","","checklist-flat","not-started","V1 HBH - AHU","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.6 - Future Tenancy GF","AHU"
"97ba8181-3d99-4de4-a79d-2c339ba29de6","","checklist-sectioned","not-started","Medical Gas QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","Medical Gas QA"
"70965e29-8097-4fca-9f50-75d876b13896","","checklist-sectioned","not-started","Electrical QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","Electrical QA"
"d0431c2f-d686-42a5-8d9f-8c670d0db871","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 1"
"392aca1b-bf85-49a4-b121-36378c95d208","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.1-Critical Care"
"42c29600-3107-4738-924b-924de2b99e60","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.1-Critical Care","Mechanical Duct"
"5895b7ba-3f50-4201-8e38-d71b3113e4fe","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.1-Critical Care","Fan Coil Units"
"c48a9677-b570-42cc-9e00-cec1f6893344","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.1-Critical Care","Fire Dampers"
"14aa590f-2ab8-4a8d-b9f8-e789505cd704","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.1-Critical Care","Condensate Pipe Work"
"186a94e5-decf-4d9c-aae5-dc05319a27ee","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.1-Critical Care","External Duct Work Insulation QA"
"28d0bd28-3f27-4d4c-9a61-91136048d116","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.2 - Ward 1 & Staff base 1"
"c8da7d30-a350-4360-a9c5-17223b07e80f","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.2 - Ward 1 & Staff base 1","Mechanical Duct"
"17de7355-ace8-4469-ab02-c6908ff7b17c","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.2 - Ward 1 & Staff base 1","Fire Dampers"
"09191830-b2cf-4468-b4b2-6421e611f884","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.2 - Ward 1 & Staff base 1","Condensate Pipe Work"
"bf2e0ab6-55c3-4d03-a661-e7cee70824f9","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.2 - Ward 1 & Staff base 1","External Duct Work Insulation QA"
"cd09bb16-6ac8-41bd-be22-c091065f977d","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.3 - Ward 2 & Staff base 2"
"4e61dfab-8e84-4dff-b023-f261109f9b6d","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.3 - Ward 2 & Staff base 2","Mechanical Duct"
"1583e376-e494-418d-8ca9-2a0d54407819","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.3 - Ward 2 & Staff base 2","Fire Dampers"
"85d1a46a-ca35-49d2-b23e-3dc8725d6e3d","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.3 - Ward 2 & Staff base 2","Condensate Pipe Work"
"89b10217-7745-40f6-b1a0-7426ef25bcd5","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.3 - Ward 2 & Staff base 2","External Duct Work Insulation QA"
"42a5bc10-05cf-46d3-ba35-df0220b05564","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.4 - Common room & store"
"0bc2900d-6477-432c-981f-5f4135a4bafc","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.4 - Common room & store","Mechanical Duct"
"02d78f2f-7d65-4913-8da6-2593a801d02f","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.4 - Common room & store","Fire Dampers"
"972e75ac-8536-4fba-91dd-687cf02e0c24","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.4 - Common room & store","Condensate Pipe Work"
"603ed1a9-f18d-4a5e-b1c4-c9738b69c022","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.4 - Common room & store","External Duct Work Insulation QA"
"2090d641-af30-468e-bc37-859527f3ae21","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.6 - Lifts, Stairwells, IT Rooms & Main corridor"
"dbbec443-8e49-4b0a-b42c-6c80fd98c32c","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.6 - Lifts, Stairwells, IT Rooms & Main corridor","Mechanical Duct"
"2905c6bc-5e60-4680-923e-ce047c785dbc","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.6 - Lifts, Stairwells, IT Rooms & Main corridor","Fire Dampers"
"d2571085-95db-476d-87f7-5491ef73a1a0","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.6 - Lifts, Stairwells, IT Rooms & Main corridor","Condensate Pipe Work"
"48239813-5a55-43e5-91ca-e426a351679a","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","L1.6 - Lifts, Stairwells, IT Rooms & Main corridor","External Duct Work Insulation QA"
"c1665770-ee30-4caf-86c7-d80841342d93","","checklist-sectioned","not-started","Medical Gas QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","Medical Gas QA"
"8d458c67-8e87-47a9-8502-10a063ad8c73","","checklist-sectioned","not-started","Electrical QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 1","Electrical QA"
"df852682-24f0-4018-9004-41a55dcdac5d","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2"
"4796ef65-50d1-4ff9-b372-f3ac1f7a7fa0","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.1 - ENT/Audio"
"ab0054e3-0798-4f7a-8924-f508a217d9d3","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.1 - ENT/Audio","Mechanical Duct"
"fe830fb3-2a84-4d8c-847e-4f765af49f8e","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.1 - ENT/Audio","Fan Coil Units"
"1efd537f-1a0b-4361-8a88-d25e4c429497","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.1 - ENT/Audio","Fire Dampers"
"fbe2c0fe-c719-466e-a1b5-3994f2e3af27","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.1 - ENT/Audio","Condensate Pipe Work"
"b2e63d78-7e75-45e6-96f2-266c8bd75b7f","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.1 - ENT/Audio","External Duct Work Insulation QA"
"14b19d3c-a6ce-4e37-948d-7d29b57c91d9","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.2 - Admin/Education & Toilets"
"850cc7fa-fc88-42c8-9a39-7879cf37bb25","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.2 - Admin/Education & Toilets","Mechanical Duct"
"17d4210f-010a-4e42-bc0d-470a5a1787ec","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.2 - Admin/Education & Toilets","Fan Coil Units"
"0d1307d1-82c5-4089-9c1e-4371d8b8f7f3","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.2 - Admin/Education & Toilets","Fire Dampers"
"c5915420-3307-4442-b15c-7058ed70070d","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.2 - Admin/Education & Toilets","Condensate Pipe Work"
"d0aee686-7d05-4093-b7bb-fc48847e2bb7","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.2 - Admin/Education & Toilets","External Duct Work Insulation QA"
"870d84a9-3ffb-406e-857a-bbd1b9dd90b0","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.3 - Gastro & Urology"
"840b92ac-2047-4872-b20c-d86bb73e3ceb","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.3 - Gastro & Urology","Mechanical Duct"
"df19ba53-5359-4826-a0eb-700f0da77b91","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.3 - Gastro & Urology","Fan Coil Units"
"7ffd13ed-4b5a-4a9f-9bba-88b9679ba318","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.3 - Gastro & Urology","Fire Dampers"
"69a137bc-a505-425d-916b-ea452ed5a108","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.3 - Gastro & Urology","Condensate Pipe Work"
"2800d13a-770b-4330-afbd-bc3144756695","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.3 - Gastro & Urology","External Duct Work Insulation QA"
"ac2be0e9-4e04-4eb7-b20c-6108718c74ea","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.4 - Outpatients Department"
"8b6fdee9-facb-41fd-8a10-0d43329dd0a8","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.4 - Outpatients Department","Mechanical Duct"
"164dec1f-cb60-4d0a-95ec-c53e25484142","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.4 - Outpatients Department","Fan Coil Units"
"fbd45a8b-0383-4ff5-a368-d2b3b25b0f11","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.4 - Outpatients Department","Fire Dampers"
"61f19c93-74bb-43ce-b18c-82397218f1f9","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.4 - Outpatients Department","Condensate Pipe Work"
"16ec226b-c304-4fa0-a58a-7c44b759e4ab","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.4 - Outpatients Department","External Duct Work Insulation QA"
"f01c97f1-fb5b-439f-a494-da9fdf197f5d","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.5 - Procedural Suites & PACU"
"f03c80be-3b9a-4b7b-b5dd-0a4760f459d8","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.5 - Procedural Suites & PACU","Mechanical Duct"
"bcd231f8-1e9a-43dd-ae27-f04648c2ae19","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.5 - Procedural Suites & PACU","Fan Coil Units"
"4ef80d04-5dea-4027-b0f9-e33f2285d945","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.5 - Procedural Suites & PACU","Fire Dampers"
"b462bcf9-84e5-4474-844f-29e7aae32e86","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.5 - Procedural Suites & PACU","Condensate Pipe Work"
"66c0f085-2f2d-4012-898f-d4f619fb352c","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.5 - Procedural Suites & PACU","External Duct Work Insulation QA"
"75438dbf-d048-487e-8002-f6fa31368911","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.6 - Main corridor, Lifts, Stairwells and IT Rooms"
"0579a2b5-e422-4e0c-89e5-da145ae1bd47","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.6 - Main corridor, Lifts, Stairwells and IT Rooms","Mechanical Duct"
"cc7935c3-b31b-4138-9277-d24727bd31b9","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.6 - Main corridor, Lifts, Stairwells and IT Rooms","Fire Dampers"
"a4540f76-a944-4341-a57d-485deafb84b1","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.6 - Main corridor, Lifts, Stairwells and IT Rooms","Condensate Pipe Work"
"37ed0ce9-ccdb-4699-acaa-3bbac536cf50","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.6 - Main corridor, Lifts, Stairwells and IT Rooms","External Duct Work Insulation QA"
"223342e8-e363-4f3c-91b3-6bb650a08faf","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.7 - Future Tenancy L2"
"6d4fe2e8-558e-491e-91d6-ccc0226bc9d7","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.7 - Future Tenancy L2","Mechanical Duct"
"e8b9a18d-5143-43d4-b664-ca887bd9b07b","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.7 - Future Tenancy L2","Fire Dampers"
"e4ea7b39-9324-42e3-8167-8fdcd39801d0","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.7 - Future Tenancy L2","Condensate Pipe Work"
"4f47f90c-0ac0-499d-b905-387d0f5a1bd6","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","L2.7 - Future Tenancy L2","External Duct Work Insulation QA"
"357618a6-b707-4515-95c1-83344acadd5c","","checklist-sectioned","not-started","Medical Gas QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","Medical Gas QA"
"9bccb19a-e32e-473c-b9a9-a41987c86af7","","checklist-sectioned","not-started","Electrical QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 2","Electrical QA"
"2e4acd74-4ffa-4a9d-82ff-ac1c07ee3cfb","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 3"
"81faa46d-3a31-4882-a6ca-f9b2917377e5","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom"
"a0dd988a-8656-4732-a094-c9740c3bfe7d","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom","Mechanical Duct"
"284ca25b-9ff5-4ef5-a21a-bf677b5e6ebf","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom","Fire Dampers"
"ef90ef66-e28d-4abb-b445-026276946b31","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom","Condensate Pipe Work"
"5187abf9-1c8e-4cc5-8e2c-5e18b0bbce79","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom","External Duct Work Insulation QA"
"dd363b39-0cf7-4a62-8202-e72486785f92","","checklist-sectioned","not-started","AHU","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom","AHU"
"4b15e66d-0f6b-45dd-82d0-05a806f49f45","","checklist-flat","not-started","Fans","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom","Fans"
"4adf79d6-50b7-4e60-b5e2-8363e74bbf64","","checklist-flat","not-started","Chillers / Buffer Tank / Dosing Pod / Pumps","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Plantroom","Chillers / Buffer Tank / Dosing Pod / Pumps"
"dbe849ab-4a0e-4783-95cc-d0016a5d3347","","checklist-sectioned","not-started","Medical Gas QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Medical Gas QA"
"124db470-2627-4737-ae75-843fa9b38690","","checklist-sectioned","not-started","Electrical QA","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","Electrical QA"
"460d2e31-169f-4943-989f-184048325344","","checklist-flat","not-started","CHW & HHW Piping (VICTAULIC)","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Level 3","CHW & HHW Piping (VICTAULIC)"
"8580018b-39b1-4b24-8e35-9f5e734a5641","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package"
"187a8a1d-7ce9-4562-98fe-c6438144c2b8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA"
"bb072411-6568-4763-a5cb-e0132e660e3b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1"
"e27038da-8a79-4a4c-a6b2-10e778d9d50a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical"
"cad07c47-ee7c-49d3-ad52-ea2f3e6f645e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 1"
"d030bf8c-db22-4297-ad60-59da37a8374a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Seismic Package","Seismic QA","Level 1","Electrical","Brace Number - 2"
