"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"90927323-c4dd-4ade-bed8-0d286c0e7718","","folder-normal","","","step","TRUE","FALSE","Site QA"
"7cd73ef0-15e5-4041-bc09-0a85d6a27029","","folder-normal","","","step","TRUE","FALSE","Site QA","BASEMENT"
"54e4ad30-5bce-4d4c-a70f-7c221f714279","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 1","Refrigeration Pipe Work"
"5ad847f4-0ede-4db5-b826-412e7f299c4e","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 1","Pipe Insulation/Cladding"
"b2cb1f93-af1d-43fd-a6d3-73f18fb09540","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 1","Mech elec installation"
"e1880cbd-0153-45b6-83af-658fecc9c265","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 1","Controls Installation"
"7308271b-8209-405e-a4db-df9dcbe07b01","","checklist-sectioned","","ITC-07 Fire/smoke damper checklist","checklist","FALSE","FALSE","Site QA","LEVEL 1","Fire Dampers & Fire Penetrations Register"
"cc62d3da-177e-4c0e-97a7-2c7bc22d5658","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 1","FCU Installation"
"04c2943d-5423-468e-a2bc-ab838189269f","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 1","Fan coil splits installation"
"57a7581d-0d08-44a1-af06-5037bd848ead","","checklist-sectioned","","ITC-004 Penetration Treatment (sign off by relevant sub contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 1","Penetration Treatments"
"53d0e8f9-fdd5-45a3-bcb3-d5911a21a64d","","folder-normal","","","step","TRUE","FALSE","Site QA","LEVEL 2"
"758b172f-39c3-442f-a371-85e55a21c295","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 2","Ductwork Installation"
"0d5a1712-26a1-42de-ab17-128d1c984f28","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 2","Ductwork insulation"
"cb2320dc-c800-4bf2-9458-48061c2d93ca","","checklist-sectioned","","ITC-003 Floor Fit Off","checklist","FALSE","FALSE","Site QA","LEVEL 2","Grille Installation"
"fc40320e-9f5a-4b75-b3e8-ab37a2356772","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 2","CHW Pipe work installation"
"6094c57c-2eec-4aaf-9b47-ab22d903e0d7","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 2","HHW Pipe work installation"
"6646e48a-fe3f-43c3-94d7-a704d48f7761","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 2","Refrigeration Pipe Work"
"431fac76-5c0f-4a51-a467-50442b53f949","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 2","Pipe Insulation/Cladding"
"9b1b8aa6-1ca5-4ecc-8c48-7c377e8d0d40","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 2","Mech elec installation"
"902068ab-2da0-48f3-9b5d-afb2726dabcf","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 2","Controls Installation"
"cf565953-f162-4a76-92d1-1209f29bb558","","checklist-sectioned","","ITC-07 Fire/smoke damper checklist","checklist","FALSE","FALSE","Site QA","LEVEL 2","Fire Dampers & Fire Penetrations Register"
"8d456bf5-e7de-4938-917f-575f3b469bb5","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 2","FCU Installation"
"239e4fd4-8d74-45fe-8810-5a18fcde0c2c","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 2","Fan coil splits installation"
"89b372b9-3cde-4e7b-afed-5ad164033cd0","","checklist-sectioned","","ITC-004 Penetration Treatment (sign off by relevant sub contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 2","Penetration Treatments"
"850099b2-35a6-4359-9dc4-a339e26ede31","","folder-normal","","","step","TRUE","FALSE","Site QA","LEVEL 3"
"94b2291a-76b2-47fa-9377-1f3efd7fbeb1","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 3","Ductwork Installation"
"cf7f4750-82bc-4532-b969-7aad6953396e","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 3","Ductwork insulation"
"8d8e6bbd-2773-48ba-b3af-85567761bab5","","checklist-sectioned","","ITC-003 Floor Fit Off","checklist","FALSE","FALSE","Site QA","LEVEL 3","Grille Installation"
"f1a5ca99-7770-4120-89ae-620640b010c5","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 3","CHW Pipe work installation"
"b1009038-1527-4ea2-b815-13878dd06355","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 3","HHW Pipe work installation"
"5ae54705-d6f5-4a74-b05d-b45e3d0f4985","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 3","Refrigeration Pipe Work"
"f8b831b8-afc9-4482-9bcf-36919909e808","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 3","Pipe Insulation/Cladding"
"fad5621d-a9f5-4fa5-954f-19e0b76e7dfc","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 3","Mech elec installation"
"8e7e3069-de20-4920-81ac-4b4ab476a414","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 3","Controls Installation"
"3104dc8f-42a3-49e3-a0c2-bbf8c6abd894","","checklist-sectioned","","ITC-07 Fire/smoke damper checklist","checklist","FALSE","FALSE","Site QA","LEVEL 3","Fire Dampers & Fire Penetrations Register"
"de9f1e26-efe6-4280-a8ae-b1ac9e15b6cc","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 3","FCU Installation"
"68c8fe44-3a7d-4791-8071-6cd1dff0f3c0","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 3","Fan coil splits installation"
"88e0e109-6057-4569-988f-725070f8d206","","checklist-sectioned","","ITC-004 Penetration Treatment (sign off by relevant sub contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 3","Penetration Treatments"
"c2a179f0-cd3b-496e-87e3-ebfa43c9333f","","folder-normal","","","step","TRUE","FALSE","Site QA","LEVEL 4 PLANT ROOM"
"3fed32fb-5c5c-48bd-93a2-2e822d1a4412","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Ductwork Installation"
"c0b11bc9-3a57-4c5b-829b-0117614628fe","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Ductwork insulation"
"5c8cdff3-24f9-4c5b-af5b-7355d948c232","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","CHW Pipe work installation"
"1efbf68e-aea1-40f2-89ca-8a960539c694","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","HHW Pipe work installation"
"ce2edf4d-2913-4112-b169-bc575d4164bd","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Refrigeration Pipe Work"
"3d7ba8eb-1499-49b9-8fb7-2d920172908d","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Pipe Insulation/Cladding"
"0654b455-5544-429e-9fdb-643e1f7c5f28","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Mech elec installation"
"2f791a75-8597-445c-bd28-31f3ecedcafa","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Controls Installation"
"2773db28-df82-4256-a5c6-34ec8f4a4a1d","","checklist-sectioned","","ITC-07 Fire/smoke damper checklist","checklist","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Fire Dampers & Fire Penetrations Register"
"f4f8075c-609f-4130-8ff9-753a2e3e63b9","","checklist-sectioned","","ITC-005 Equipment Installation Level 4 Plant Room","checklist","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Equipment Installation"
"14b23822-0967-46e8-b9cb-882543c85e34","","checklist-sectioned","","ITC-004 Penetration Treatment (sign off by relevant sub contractor)","checklist","FALSE","FALSE","Site QA","LEVEL 4 PLANT ROOM","Penetration Treatments"
