"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"In Ground Stormwater Checklist"
,"Scope",,,"in ground stormwater"
,"Rows"
,,"Basement 2","dynamic","in ground stormwater","basement 2"
,,"In Ground Stormwater - School/Parish Hall","grouping","in ground stormwater - school/parish hall"
,,"School",,"in ground stormwater","school","site qa"
,,"Parish Hall",,"in ground stormwater","parish hall","site qa"
,"Columns"
,,"The correct drawing has been used",,"the correct drawing has been used. is it issued for construction and which issue is it"
,,"All workers inducted & read appropriate SWMS for tasks",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application/sizing is correct",,"appropriate materials have been used for application, also sizing is correct"
,,"Invert levels checked/pipework correct fall as per drawing",,"invert levels been checked, pipework has correct fall as per drawing"
,,"Pipework is secured properly/penetrations through pits are correct",,"pipework is secured properly, penetrations through pits are correct (pits by others)"
,,"Q/A done to ensure all pipework is in place & in correct position",,"q/a been done to ensure all pipework is in place and in correct position (plan attached)"
,,"Pipework has been tested & are all open ends capped/taped off",,"pipework has been tested and are all open ends capped/taped off"

"In Ground Sewer Checklist"
,"Scope",,,"in ground sewer"
,"Rows"
,,"Basement 2","dynamic","basement 2","in ground sewer"
,,"Basement 2 - School/Parish Hall","grouping","basement 2 - school/parish hall"
,,"School",,"school","in ground sewer","site qa"
,,"Parish Hall",,"parish hall","in ground sewer","site qa"
,"Columns"
,,"The correct drawing used & it is issued for construction",,"the correct drawing has been used and it is issued for construction"
,,"All workers inducted & read appropriate SWMS for tasks",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application & sizing is as per drawings",,"appropriate materials have been used for application and sizing is as per drawings"
,,"Invert levels been checked/pipework has correct fall as per drawing",,"invert levels been checked, pipework has correct fall as per drawing"
,,"Pipework bedding is correct material & depth",,"pipework bedding is correct material and depth"
,,"Q/A done to ensure all pipework is in place & in correct position",,"q/a been done to ensure all pipework is in place and in correct position"
,,"All pipework is installed as per AS/NZS 3500",,"all pipework is installed as per as/nzs 3500"
,,"All floor wastes are charged by a fixture",,"all floor wastes are charged by a fixture"
,,"All open ends are capped off/taped off",,"all open ends are capped off/taped off"

"In Ground Pressure Services Checklist"
,"Scope",,,"in ground pressure services"
,"Rows"
,,"In Ground Pressure Services","dynamic","in ground pressure services","site qa"
,"Columns"
,,"The correct drawing used & it is issued for construction",,"the correct drawing has been used and it is issued for construction"
,,"All workers inducted & read appropriate SWMS for tasks",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application & sizing is as per drawings",,"appropriate materials have been used for application and sizing is as per drawings"
,,"Pipework bedding is correct material & depth",,"pipework bedding is correct material and depth"
,,"Q/A done to ensure all pipework is in place & in correct position",,"q/a been done to ensure all pipework is in place and in correct position"
,,"All pipework is installed as per AS/NZS 3500",,"all pipework is installed as per as/nzs 3500"
,,"Pipework has been pressure tested for 24 hours",,"pipework has been pressure tested for 24 hours - attach photo of pressure gauge"
,,"All open ends are capped off/taped off",,"all open ends are capped off/taped off"

"Deckwork"
,"Scope",,,"deckwork"
,"Rows"
,,"Basement 2","dynamic","deckwork","basement 2","site qa"
,,"Basement 1","dynamic","deckwork","basement 1","site qa"
,,"Lower Ground","dynamic","deckwork","lower ground","site qa"
,,"Upper Ground","dynamic","deckwork","upper ground","site qa"
,,"RL (Retired Living) - Level 19","dynamic","site qa","rl (retired living)","level 19","stacks"
,,"RL (Retired Living) - Level 20","dynamic","level 20","site qa","rl (retired living)","stacks"
,,"RL (Retired Living) - Level 21","dynamic","level 21","site qa","rl (retired living)","stacks"
,,"RL (Retired Living) - Level 22","dynamic","site qa","rl (retired living)","level 22","stacks"
,,"RL (Retired Living) - Level 23","dynamic","site qa","rl (retired living)","level 23","stacks"
,,"RL (Retired Living) - Level 24","dynamic","site qa","rl (retired living)","stacks","level 24"
,,"RL (Retired Living) - Level 25","dynamic","site qa","rl (retired living)","level 25","stacks"
,,"RL (Retired Living) - Level 26","dynamic","level 26","site qa","rl (retired living)","stacks"
,,"RL (Retired Living) - Level 27","dynamic","level 27","site qa","rl (retired living)","stacks"
,,"RL (Retired Living) - Level 28","dynamic","level 28","site qa","rl (retired living)","stacks"
,,"RL (Retired Living) - Level 29","dynamic","level 29","site qa","rl (retired living)","stacks"
,"Columns"
,,"Has correct drawing been used",,"has the correct drawing been used. is it issued for construction"
,,"All workers inducted & read SWMS",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Pipework co-ordinated with other trades",,"pipework is co-ordinated with other trades and finished ceiling heights"
,,"Pipework has correct fall & sized correctly",,"pipework has correct fall and is sized correctly"
,,"Stackwork water tested & visual inspection for leaks",,"stackwork has been water tested and visual inspection for leaks"
,,"Stack cap removed",,"stack cap has been removed"
,,"Stackwork clipped as per ASNZS3500",,"stackwork has been clipped as per asnzs3500"
,,"Stackwork acoustically lagged",,"stackwork is acoustically lagged if applicable"

"Wall and Ceiling Pressure Services"
,"Scope",,,"wall and ceiling pressure services"
,"Rows"
,,"School","dynamic","school","wall and ceiling pressure services","site qa"
,,"Parish Hall","dynamic","wall and ceiling pressure services","parish hall","site qa"
,"Columns"
,,"Correct drawings used & issued for construction",,"the correct drawings have been used and issued for construction"
,,"All workers inducted & read appropriate SWMS for tasks",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application & sizing as per drawings",,"appropriate materials have been used for application and sizing is as per drawings"
,,"Meter marks issued by RCC & works completed off them",,"meter marks have been issued by rcc and works have been completed off them"
,,"Q/A done to ensure all pipework/fittings in place & in position",,"q/a been done to ensure all pipework/fittings is in place and in correct position"
,,"All pipework installed & secured as per AS/NZS 3500",,"all pipework is installed and secured as per as/nzs 3500"
,,"Pipework pressure tested for 24 hours",,"pipework has been pressure tested for 24 hours - attach photo of pressure gauge"
,,"Stud grommets installed & pipes through studs siliconed",,"stud grommets are installed and pipes through studs are siliconed"
,,"Check for cross connections",,"check for cross connections"

