resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLmc,,,,,,,,folder-with-checklists,,,,,,00CLA015 Toilet - Patient,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA016 Toilet - Accessible,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLA017 Consult,,,,,
First Fix - SP,First Fix - CLmc,,,,,,,,,,folder-with-checklists,,,,,,00CLA042 Bay -HandWash Typ B,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA043 Consult,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA044 Consult,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA045 Consult,,,,,
,,,,,,,,,,,step,,,,,,00CLA047 Corridor,,,,,
First Fix - NCAP,First Fix - NCAP,,,,,,,,,,folder-with-checklists,,,,,,00CLA048 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00CLA051 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00CLB002 Office - Clinical Workroom,,,,,
,,,,,,,,,,,step,,,,,,00CLB003 Staff Base,,,,,
,,,,,,,,,,,step,,,,,,00CLB004 Bay - Photocopy/Stationary,,,,,
First Fix - SP,First Fix - CLmc,,,,,,,,,,folder-with-checklists,,,,,,00CLB005 PTS,,,,,
,,,,,,,,,,,step,,,,,,00CLB006 Store - Equpment,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,First Fix - PI2,,,,,,,folder-with-checklists,,,,,,00CLB008 Consult,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLB030 Consult/Treatment,,,,,
,,,,,,,,,,,step,,,,,,00CLB031 St Cupboards,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLB032 Consult,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLB033 Consult,,,,,
,,,,,,,,,,,step,,,,,,00CLB034 Bay Ht/Wt,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLB035 Consult,,,,,
First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,,folder-with-checklists,,,,,,00CLB036 Meeting 12m2,,,,,
,,,,,,,,,,,step,,,,,,00CLB037 Bay -HandWash Typ B,,,,,
First Fix - NCAP,First Fix - NCAP,,,,,,,,,,folder-with-checklists,,,,,,00CLB050 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00ENG020 EDB,,,,,
,,,,,,,,,,,step,,,,,ZONE 06,,,,,,
,,,,,,,,,,,step,,,,,,00ENG033 EDG,,,,,
First Fix - CLc,First Fix - PI,,,,,,,,,,folder-with-checklists,,,,,,00TRA014 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00TRC001 Dirty Utility - Sub,,,,,
,,,,,,,,,,,step,,,,,,00TRC002 Bay -HandWash Typ B,,,,,
,,,,,,,,,,,step,,,,,,00TRC003 Resus,,,,,
First Fix - SA,First Fix - CLc,First Fix - CLmc,First Fix - SP,,,,,,,,folder-with-checklists,,,,,,00TRC005 Clean Utility/Medication - Sub,,,,,
,,,,,,,,,,,step,,,,,,00TRC007 Staff Station 12m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - MNet,First Fix - SA,,,,,,,folder-with-checklists,,,,,,00TRC008 Patient bay - Holding 9m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00TRC009 Paitent Bay - Holding 9m2,,,,,
,,,,,,,,,,,step,,,,,,00TRC010 Bay - Linen,,,,,
,,,,,,,,,,,step,,,,,,00TRC011 Mob Equipment,,,,,
,,,,,,,,,,,step,,,,,,00TRC012 Store - Equipment,,,,,
,,,,,,,,,,,step,,,,,,00TRC013 Bay -HandWash Typ B,,,,,
First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,,folder-with-checklists,,,,,,00TRC015 Whanau,,,,,
,,,,,,,,,,,step,,,,,,00TRC016 Toilet - Staff,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00TRC017 Toilet - Paitent,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - PC,First Fix - CLc,,,,,,,folder-with-checklists,,,,,,00TRC018 Ensuite - Accessible,,,,,
,,,,,,,,,,,step,,,,,,00TRC019 Interview,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00TRC020 Patient bay - Holding 6m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00TRC021 Patient Bay - Holding 6m2,,,,,
First Fix - SA,First Fix - EC,First Fix - CLmc,First Fix - DCV,First Fix - NC,First Fix - PI,,,,,,folder-with-checklists,,,,,,00TRC022 Patient bay - Holding 6m2,,,,,
First Fix - SA,First Fix - EC,First Fix - CLmc,First Fix - NC,,,,,,,,folder-with-checklists,,,,,,00TRC023 Patient bay - Holding 6m2,,,,,
,,,,,,,,,,,step,,,,,,00TRC024 Store - Equipment Dirty,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00TRC025 Patient bay - Holding 9m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - MNet,First Fix - DCV,First Fix - SA,,,,,,folder-with-checklists,,,,,,00TRC026 Patient bay - Holding 9m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - MNet,First Fix - SA,,,,,,,folder-with-checklists,,,,,,00TRC027 Patient bay - Holding 6m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - DCV,First Fix - SA,First Fix - PI,,,,,,folder-with-checklists,,,,,,00TRC028 Patient bay - Holding 6m2,,,,,
First Fix - SA,First Fix - EC,First Fix - CLmc,First Fix - DCV,First Fix - MNet,First Fix - NC,,,,,,folder-with-checklists,,,,,,00TRC029 Patient bay - Holding 6m2,,,,,
First Fix - SA,First Fix - EC,First Fix - CLmc,First Fix - NC,,,,,,,,folder-with-checklists,,,,,,00TRC030 Patient bay - Holding 6m2,,,,,
First Fix - NCAP,First Fix - NCAP,,,,,,,,,,folder-with-checklists,,,,,,00TRC032 Corridor,,,,,
,,,,,,,,,,,step,,,,,ZONE 07,,,,,,
,,,,,,,,,,,step,,,,,,00CLA018 Bay - Beverage,,,,,
,,,,,,,,,,,step,,,,,,00CLA019 Resus,,,,,
,,,,,,,,,,,step,,,,,,00CLA020 Bay -Height/ Weight,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA021 Toilet - Patient,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - DCV,First Fix - SA,,,,,,,folder-with-checklists,,,,,,00CLA022 Patient Bay - Holding 6m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLmc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLA023 Patient Bay - Holding 6m2,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLA024 Consult/Treatment Gynae,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLmc,First Fix - PC,,,,,,,folder-with-checklists,,,,,,00CLA025 Ensuite,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLmc,First Fix - PC,,,,,,,folder-with-checklists,,,,,,"00CLA026 Ensuite - Inboard Alternative 1, 5m2",,,,,
,,,,,,,,,,,step,,,,,,00CLA027 Mob Equipment,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLc,First Fix - SA,First Fix - PI,,,,,,,folder-with-checklists,,,,,,00CLA028 Consult/Treatment Gynae,,,,,
,,,,,,,,,,,step,,,,,,00CLA034 Office 1P,,,,,
,,,,,,,,,,,step,,,,,,00CLA035 Linen,,,,,
,,,,,,,,,,,step,,,,,,00CLA036 Dirty Utility - Sub,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA037 Consult,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLA038 Consult,,,,,
,,,,,,,,,,,step,,,,,,00CLA039 Staff Base,,,,,
First Fix - SA,First Fix - CLc,First Fix - PI2,,,,,,,,,folder-with-checklists,,,,,,00CLA040 Medication - Sub,,,,,
First Fix - NCAP,First Fix - NCAP,,,,,,,,,,folder-with-checklists,,,,,,00CLA049 Corridor,,,,,
First Fix - NCAP,,,,,,,,,,,folder-with-checklists,,,,,,00CLA050 Corridor,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLB009 Consult,,,,,
First Fix - NC,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLB010 Consult,,,,,
,,,,,,,,,,,step,,,,,,00CLB011 Parenting,,,,,
First Fix - SA,First Fix - CLc,,,,,,,,,,folder-with-checklists,,,,,,00CLB012 Medication Room,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLc,First Fix - Ca,First Fix - SA,First Fix - PI2,,,,,,folder-with-checklists,,,,,,00CLB014 Procedure,,,,,
,,,,,,,,,,,step,,,,,,00CLB015 Bay -HandWash Typ B,,,,,
,,,,,,,,,,,step,,,,,,00CLB016 BBEV,,,,,
First Fix - EC,First Fix - SA,First Fix - CLc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLB023 1 Bed - Observation,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - PC,First Fix - CLmc,,,,,,,folder-with-checklists,,,,,,00CLB024 Ensuite,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - PC,First Fix - CLmc,,,,,,,folder-with-checklists,,,,,,00CLB025 Ensuite,,,,,
First Fix - EC,First Fix - SA,First Fix - CLc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLB026 1 Bed - Observation,,,,,
First Fix - SA,First Fix - CLc,First Fix - NCAP,,,,,,,,,folder-with-checklists,,,,,,00CLB027 Play Area,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,00CLB028 Toilet - Patient,,,,,
First Fix - EPS,First Fix - EC,First Fix - CLc,First Fix - SA,,,,,,,,folder-with-checklists,,,,,,00CLB029 Cosult - Treatment,,,,,
First Fix - NCAP,,,,,,,,,,,folder-with-checklists,,,,,,00CLB051 Corridor,,,,,
,,,,,,,,,,,step,,,,,ZONE 08,,,,,,
,,,,,,,,,,,step,,,,,,00BHO004 Cleaner,,,,,
,,,,,,,,,,,step,,,,,,00BHO005 Store - Bulk,,,,,
,,,,,,,,,,,step,,,,,,00BHO006 Store - Clean Bin/Trolley Cage,,,,,
,,,,,,,,,,,step,,,,,,00BHO008 Store - Bulk,,,,,
,,,,,,,,,,,step,,,,,,00BHO011 Store - Portable Gases/Full,,,,,
,,,,,,,,,,,step,,,,,,00BHO012 Inward Goods,,,,,
,,,,,,,,,,,step,,,,,,00BHO019 Bay - HandWash Typ C,,,,,
,,,,,,,,,,,step,,,,,,00BHO020 Tea Pt,,,,,
,,,,,,,,,,,step,,,,,,00ENG065 Medical Gases Store,,,,,
,,,,,,,,,,,step,,,,,,00ENG064 Medical Gases Manifold,,,,,
,,,,,,,,,,,step,,,,,,00TRA014 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00TRC031 Store Equipment,,,,,
,,,,,,,,,,,step,,,,,,00BHO024 Corridor,,,,,
,,,,,,,,,,,step,,,,,,0BHO021 Bay - Mobile Equipment,,,,,
,,,,,,,,,,,step,,,,,ZONE 09,,,,,,
,,,,,,,,,,,step,,,,,,00CLA029 Cleaner,,,,,
,,,,,,,,,,,step,,,,,,00CLA030 Disposal,,,,,
,,,,,,,,,,,step,,,,,,00CLA031 Clinical Trials Support,,,,,
,,,,,,,,,,,step,,,,,,00CLA032 Store - Equipment,,,,,
,,,,,,,,,,,step,,,,,,00CLA033 Office - Clinical Workroom,,,,,
,,,,,,,,,,,step,,,,,,00CLB017 Dirty Utility - Sub,,,,,
,,,,,,,,,,,step,,,,,,00CLB018 Store - Base,,,,,
,,,,,,,,,,,step,,,,,,00CLB019 Toy Clean Store,,,,,
,,,,,,,,,,,step,,,,,,00CLB020 Linen,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,First Fix - PI,,,,,,,folder-with-checklists,,,,,,00CLB021 Toilet - Accessible,,,,,
First Fix - EC,First Fix - SA,First Fix - EPS,First Fix - EC,First Fix - SA,First Fix - EPS,First Fix - CLc,,,,,folder-with-checklists,,,,,,00CLB022 2 Bed Observation,,,,,
,,,,,,,,,,,step,,,,,,00ENG021 EDG,,,,,
,,,,,,,,,,,step,,,,,,00ENG109 Hyd Riser,,,,,
,,,,,,,,,,,step,,,,,,00ENG116 Hyd Riser,,,,,
,,,,,,,,,,,step,,,,,,00TRA037 Stairs Circ,,,,,
,,,,,,,,,,,step,,,,,,00WCO001 Seating - Informal,,,,,
,,,,,,,,,,,step,,,,,,00WCO003 Meeting 12m2,,,,,
,,,,,,,,,,,step,,,,,,00WCO004 Booth - Quiet,,,,,
,,,,,,,,,,,step,,,,,,00WCO005 Bay - Photocopy,,,,,
,,,,,,,,,,,step,,,,,,00WCO008 Meeting 20m2,,,,,
,,,,,,,,,,,step,,,,,,00WCO009 Workstations Allocated/Non Allocated,,,,,
,,,,,,,,,,,step,,,,,,00WCO010 Booth Quiet,,,,,
,,,,,,,,,,,step,,,,,,00WCO011 Booth Quiet,,,,,
,,,,,,,,,,,step,,,,,,00WCO012 Booth Quiet,,,,,
,,,,,,,,,,,step,,,,,,00WCO013 Booth Quiet,,,,,
,,,,,,,,,,,step,,,,,,00WCO014 Staff Room,,,,,
,,,,,,,,,,,step,,,,,,00WCO015 Toilet - Staff,,,,,
,,,,,,,,,,,step,,,,,,00WCO016 Toilet - Staff,,,,,
,,,,,,,,,,,step,,,,,,00WCO017 Property Staff,,,,,
,,,,,,,,,,,step,,,,,,00WCO019 Meeting 12m2,,,,,
,,,,,,,,,,,step,,,,,,00WCO020 Booth Quiet,,,,,
,,,,,,,,,,,step,,,,,,00WCO024 Shower/Toilet/Change (Accessible),,,,,
,,,,,,,,,,,step,,,,,,00WCO025 Booth Quiet,,,,,
,,,,,,,,,,,step,,,,,,00WCO026 Booth Quiet,,,,,
,,,,,,,,,,,step,,,,,ZONE 10,,,,,,
,,,,,,,,,,,step,,,,,,00BHO001 Toilet - Staff,,,,,
,,,,,,,,,,,step,,,,,,00BHO002 Toilet - Staff,,,,,
,,,,,,,,,,,step,,,,,,00BHO003 Property Bay - Staff,,,,,
,,,,,,,,,,,step,,,,,,00BHO013 Store - Dirty Linen,,,,,
,,,,,,,,,,,step,,,,,,00BHO014 Store - Genral Waste,,,,,
,,,,,,,,,,,step,,,,,,00BHO016 Bay - Mobile Equipment,,,,,
,,,,,,,,,,,step,,,,,,00BHO017 Bay - HandWash Typ C,,,,,
,,,,,,,,,,,step,,,,,,00BHO018 Store - Hazardous Goods,,,,,
,,,,,,,,,,,step,,,,,,00BHO023 Store - Clinical Waste,,,,,
,,,,,,,,,,,step,,,,,,00BHO026 Loading Docks,,,,,
,,,,,,,,,,,step,,,,,,00BHO027 Staging Area,,,,,
,,,,,,,,,,,step,,,,,,00BHO028 Bay -Wash-down,,,,,
,,,,,,,,,,,step,,,,,,00BHO029 Bay Emerg Shower,,,,,
,,,,,,,,,,,step,,,,,,00TRA005 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00ENG022 EDB,,,,,
,,,,,,,,,,,step,,,,,,00ENG039 Comms,,,,,
,,,,,,,,,,,step,,,,,,00ENG121 Hyd Riser,,,,,
,,,,,,,,,,,step,,,,,,00TRA028 Lift 03,,,,,
,,,,,,,,,,,step,,,,,,00TRA029 Lift 04,,,,,
,,,,,,,,,,,step,,,,,,00TRA031 Lift 05,,,,,
,,,,,,,,,,,step,,,,,,00WCO027 Corridor,,,,,
,,,,,,,,,,,step,,,,,,00BHO015 St Recyclable Waste,,,,,
,,,,,,,,,,,step,,,,,ZONE 11,,,,,,
,,,,,,,,,,,step,,,,,,00ENG054 Fire Water Tank,,,,,
,,,,,,,,,,,step,,,,,,"00ENG055 Fire Pump, Alarm",,,,,
,,,,,,,,,,,step,,,,,,00ENG124 Fire Alarm,,,,,
,,,,,,,,,,,step,,,,,,00ENG053 HV,,,,,
,,,,,,,,,,,step,,,,L-01,,,,,,,
,,,,,,,,,,,step,,,,,ZONE 01,,,,,,
First Fix - EC,First Fix - SA,First Fix - NC,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,01CLC049 Cons,,,,,
First Fix - EC,First Fix - SA,First Fix - NC,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,01CLC050 Cons,,,,,
,,,,,,,,,,,step,,,,,,01CLP002 Recpt Clerical,,,,,
First Fix - NCAP,,,,,,,,,,,folder-with-checklists,,,,,,01CLP003 Off Clin Wkrm,,,,,
,,,,,,,,,,,step,,,,,,01CLP004 St Equip,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,First Fix - PI2,,,,,,,folder-with-checklists,,,,,,01CLP005 WC Acc,,,,,
First Fix - EC,First Fix - SA,First Fix - Ca,First Fix - CLc,First Fix - EC,First Fix - SA,First Fix - CLc,,,,,folder-with-checklists,,,,,,01CLP007 Gymnasium,,,,,
First Fix - EC,First Fix - SA,First Fix - Ca,First Fix - CLc,First Fix - EC,First Fix - SA,First Fix - NCAP,First Fix - CLc,,,,folder-with-checklists,,,,,,01CLP008 Gymnasium,,,,,
First Fix - EC,First Fix - SA,First Fix - CLc,,,,,,,,,folder-with-checklists,,,,,,01CLP009 Hand Thpy/Splint,,,,,
,,,,,,,,,,,step,,,,,,01CLP011 Corridor,,,,,
,,,,,,,,,,,step,,,,,,01CLP012 St Equip,,,,,
,,,,,,,,,,,step,,,,,,01CLS005 Bay - Consumable,,,,,
,,,,,,,,,,,step,,,,,ZONE 02,,,,,,
,,,,,,,,,,,step,,,,,,01ENG145 Fire Riser,,,,,
,,,,,,,,,,,step,,,,,,01TRA032 Stairs Circ,,,,,
,,,,,,,,,,,step,,,,,,01TRA045 Corridor,,,,,
,,,,,,,,,,,step,,,,,,01WCO030 Parents,,,,,
,,,,,,,,,,,step,,,,,ZONE 03,,,,,,
,,,,,,,,,,,step,,,,,,01CLE065 Rec 1,,,,,
,,,,,,,,,,,step,,,,,,01CLP001 Wait 10,,,,,
,,,,,,,,,,,step,,,,,,01CLP006 Propty Stf,,,,,
,,,,,,,,,,,step,,,,,,01PAO001 Wait 10,,,,,
,,,,,,,,,,,step,,,,,,01PAO002 Spec Collect,,,,,
,,,,,,,,,,,step,,,,,,01PAO003 Spec Collect,,,,,
,,,,,,,,,,,step,,,,,,01PAO004 Spec Collect,,,,,
,,,,,,,,,,,step,,,,,,01PAO005 Spec Collect,,,,,
,,,,,,,,,,,step,,,,,,01PAO006 Spec Collect,,,,,
,,,,,,,,,,,step,,,,,,01PAO007 Off Clin Wkrm,,,,,
,,,,,,,,,,,step,,,,,,01PAO009 Path,,,,,
,,,,,,,,,,,step,,,,,,01PAO010 St Sterile,,,,,
First Fix - NC,First Fix - CLc,,,,,,,,,,folder-with-checklists,,,,,,01PAO013 WC Pt,,,,,
,,,,,,,,,,,step,,,,,,01PAO015 Recpt Clerical,,,,,
,,,,,,,,,,,step,,,,,,01TRA004 Corridor,,,,,
,,,,,,,,,,,step,,,,,,01TRA046 Corridor,,,,,
,,,,,,,,,,,step,,,,,,01WCO031 Meet 12m2,,,,,
First Fix - EC,First Fix - CLc,,,,,,,,,,folder-with-checklists,,,,,,01PAO016 Corridor,,,,,
,,,,,,,,,,,step,,,,,,01PAO08 PTS,,,,,
,,,,,,,,,,,step,,,,,ZONE 04,,,,,,
,,,,,,,,,,,step,,,,,,01CLC047 Play,,,,,
,,,,,,,,,,,step,,,,,,01CLC048 Wait 30,,,,,
,,,,,,,,,,,step,,,,,,01ENG017 Riser,,,,,
,,,,,,,,,,,step,,,,,,01ENG018 Comms,,,,,
,,,,,,,,,,,step,,,,,,01ENG059 EDB,,,,,
,,,,,,,,,,,step,,,,,,01PBO001 WC Acc,,,,,
,,,,,,,,,,,step,,,,,,01PBO007 WC Pub,,,,,
,,,,,,,,,,,step,,,,,,01PBO010 WC Pub,,,,,
,,,,,,,,,,,step,,,,,,01RAP001 Reg Kiosk,,,,,
,,,,,,,,,,,step,,,,,,01TRA015 Lift 1,,,,,
,,,,,,,,,,,step,,,,,,01TRA016 Lift 2,,,,,
,,,,,,,,,,,step,,,,,,01WCO029 Meet 12m2,,,,,
,,,,,,,,,,,step,,,,,ZONE 05,,,,,,
,,,,,,,,,,,step,,,,,,01ENG011 Riser,,,,,
,,,,,,,,,,,step,,,,,,01ENG049 EDB,,,,,
,,,,,,,,,,,step,,,,,,01RAP004 Play,,,,,
,,,,,,,,,,,step,,,,,,01RAP005 Wait 30,,,,,
,,,,,,,,,,,step,,,,,,"01RAP006 Recpt Clerical,",,,,,
,,,,,,,,,,,step,,,,,,01RAP008 Bay -HandWash Typ B,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,01RAP009 WC Acc,,,,,
First Fix - NCw,First Fix - ECw,First Fix - SAw,First Fix - CLc,,,,,,,,folder-with-checklists,,,,,,01RAP010 WC Pub,,,,,
,,,,,,,,,,,step,,,,,,01RAP011 WC Stf,,,,,
,,,,,,,,,,,step,,,,,,01RAP012 WC Stf,,,,,
