"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"916f34a6-9c9f-462b-9438-9bae99efb516","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"edee3ad2-a36a-4029-9146-611fdc1d8000","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Waterproofing"
"b7aa37e7-e7eb-4c62-bb94-75aa47309f39","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor"
"1ef366d5-0e99-4e80-b31c-f0c625a48f6d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.01"
"1bd91559-6743-4ee9-a8c0-13f4801445d4","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.06","Laundry"
"b43d31e2-9c05-4ee7-9b43-6ba7ac5d4c89","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.06","Bathroom 1"
"69ccee7f-8d64-4978-9d9c-cc03fd562add","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.06","Bathroom 2"
"6c9a301c-a918-4f19-96df-4be1540717c0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.07"
"d5a2b797-0e02-4613-a17a-d7ff259435da","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.07","Laundry"
"5f97bf1f-2037-4518-bea0-738dc62d5af6","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.07","Bathroom 1"
"3584c591-a447-4939-9268-d44af56bc9b5","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.07","Bathroom 2"
"8afaf1e2-63fe-45e7-8d21-fdb7ad41192d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.08"
"84514b16-81f3-41e3-8491-f0bd9ed1460e","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.08","Laundry"
"e84ccf09-5cab-4605-be39-b1a822768565","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.08","Bathroom 1"
"68906547-7ae7-4b06-aa90-f54c8c873ce0","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.08","Bathroom 2"
"a9d12b48-f780-4af9-b417-13de8a9de51c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.09"
"c7891227-ad7f-4b31-8c26-41f3a313d393","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.09","Laundry"
"e1c40cbc-542c-4018-89ac-b1d563f496dc","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.09","Bathroom"
"2162d19c-ee8b-461d-8544-b7ad9d865802","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Ground Floor","G.10"
"9309142e-1e2d-4ca4-9265-7e20f7044400","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.10","Laundry"
"2ed2957f-02cb-4ba8-a0c8-20c619ec1b03","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.10","Bathroom 1"
"ae2bdeab-86bf-4a8b-bc6a-4d068bef4341","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Ground Floor","G.10","Bathroom 2"
"d6915070-3eaf-46a1-af95-08bc7182a966","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1"
"a11d8372-83aa-4a5a-9543-ffc9f7b3ed48","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.01"
"4354177b-2809-44f7-b325-81c1da21d4a1","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.01","Laundry"
"4b1e8a29-7063-41d3-8771-ab9ba5b67217","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.01","Bathroom 1"
"4d07a493-b615-44bd-a098-0896f506c6c9","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.01","Bathroom 2"
"1ed00401-cea9-4e81-951a-2cc1a565ec4b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.02"
"95a1f0b9-3307-463e-a854-f85d877fc277","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.02","Laundry"
"d0d72e10-7594-4aa9-991b-394b9cba7759","","checklist-sectioned","work-in-progress","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.02","Bathroom 1"
"0c0dceca-a3b5-4aea-83e3-31b84693a3de","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.02","Bathroom 2"
"766e2821-bf0e-4564-90dc-6f996abd82b2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.03"
"bf38fd24-e356-47ef-9c4a-9476cb508aaf","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.03","Laundry"
"f6a66ab9-6981-43e3-beeb-b459de8fe667","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.03","Bathroom 1"
"295044e3-c535-4b54-a5f2-7ad27fd9d54d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.03","Bathroom 2"
"74683027-c3ed-416a-b828-03ab49329974","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.04"
"bc8d349c-5a3b-40c5-a0ff-12bf771316d1","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.04","Laundry"
"522f3c58-ebbc-4be0-9a58-b2ac7de78242","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.04","Bathroom"
"712894ef-68f6-4e76-b817-da80a0835b13","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.05"
"66ec4034-8d5c-4454-ac83-e892fb77e227","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.05","Laundry"
"d941c2ef-7752-493b-b190-ac2bdeb84680","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.05","Bathroom 1"
"0c0d4223-8a80-4fd9-b349-21f7919b426c","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.05","Bathroom 2"
"4050915f-31ae-45a0-bf46-736f436b4cba","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.06"
"3565f121-092c-4a79-a14b-e9d4f33f8fe9","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.06","Laundry"
"12b0f1d2-9a28-43f1-9a4f-0a8949197dc5","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.06","Bathroom 1"
"2f9d98a3-d1ba-4459-9906-faed15a07710","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.06","Bathroom 2"
"0ee129cc-a192-43cc-9895-ec3e6b55c165","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.07"
"fb736976-7bfe-4956-bbd8-f66f46038f74","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.07","Laundry"
"16cc257e-0e91-4002-8300-f3397d84394d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.07","Bathroom 1"
"90116028-9c59-487b-950e-ac9e5942d45d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.07","Bathroom 2"
"940a8bd8-583b-4d2f-b8b6-866eed2f5ab9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.08"
"3288046f-3599-4b73-820b-7d711225fb48","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.08","Laundry"
"7e25fa72-7186-4eab-8c7f-c79d510a6c9d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.08","Bathroom 1"
"daa397df-2a53-47c1-af3a-62cccbaaa2a5","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.08","Bathroom 2"
"f05d4d75-e8f2-4943-a820-92b0d6197874","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.09"
"b4a8d3af-7d38-40f0-9159-e406dc0f1cf4","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.09","Laundry"
"d4b00892-bfc8-462d-9ea3-954a6e889b65","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.09","Bathroom"
"7ccaab27-22b6-4a5e-8562-c3c74f59cf37","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 1","1.10"
"3f75c55c-7b90-44f0-9ddf-a85bb5821dd0","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.10","Laundry"
"85b59733-3fed-4195-bea9-141a0454a8c3","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.10","Bathroom 1"
"16c1f928-440e-46a8-b943-58657f4ed4a5","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 1","1.10","Bathroom 2"
"8d054b54-999a-44d0-b5ce-d8fa0a94dc86","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2"
"f2ff41b9-3c05-42b9-84fc-f53007f34462","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.01"
"4583a239-c3bc-4b03-abd9-2a5f49f342b4","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.01","Laundry"
"0dbdc092-ec6d-4a7d-9e76-b21a95d62bf8","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.01","Bathroom 1"
"b52b5277-ed29-4869-9d13-72ada7af6695","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.01","Bathroom 2"
"0c1b093e-d8e9-4de3-b4a9-e3214d738598","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.02"
"eb89718e-9fec-4c4b-84fa-4819f51e4bec","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.02","Laundry"
"f9c3f393-426b-47a3-9792-c96edbbb0730","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.02","Bathroom 1"
"38a1f926-ae9a-45f5-b37a-a5a4dc1982a9","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.02","Bathroom 2"
"e9717e4c-2a2a-461c-90cd-6c00894abfbb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.03"
"b6989bcc-616e-4ac9-9b17-a205ef9da21e","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.03","Laundry"
"6c48ffed-0652-4ad9-ba6b-6762bc9dc603","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.03","Bathroom 1"
"e8a21cd3-bc70-46f1-8e05-3251eeea5b5b","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.03","Bathroom 2"
"02657020-56be-4abe-8fbe-4c33e0e94927","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.04"
"bf3da797-a26f-498b-b3b8-5f9912f349c0","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.04","Laundry"
"1e988f29-7125-4993-aa7e-74a972540400","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.04","Bathroom"
"98b09d4d-28a7-4fe6-ba22-e0d6cedef2c7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.05"
"4774db32-76f3-4475-9a75-7c478cfd4eca","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.05","Laundry"
"7a741813-a07c-4962-b468-3f54fc748c3b","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.05","Bathroom 1"
"d4a0ff41-30ee-4369-8cf6-b5354fadc0ac","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.05","Bathroom 2"
"07622f97-d3db-4224-94aa-db6d825a7267","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.06"
"28f7a2bd-b25b-4f0b-a573-19823b2dc5a0","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.06","Laundry"
"3ce91ab2-8363-4fc9-8f51-64ad89221de6","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.06","Bathroom 1"
"ef20c866-09c4-4a8d-bd7b-b90014dd8088","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.06","Bathroom 2"
"e6d2aede-c67b-44e6-b9ab-82374ea21a16","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.07"
"95d5ee04-fc22-4fb1-9d7d-de1cf293ccd9","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.07","Laundry"
"b78bb7bf-e26b-4a43-b391-d07b35c8e9a7","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.07","Bathroom 1"
"ff9127c6-459d-4d54-b62c-7ba8901373a7","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.07","Bathroom 2"
"d7da60f5-5ce6-4bc3-9c0c-573411bf56f9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.08"
"00458bf3-dd30-4626-b189-6c5bd96ad042","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.08","Laundry"
"46c57586-0f38-4559-9b10-e28e6ecb127e","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.08","Bathroom 1"
"3dc79b8a-b95a-4fa5-898e-246869bcdcd1","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.08","Bathroom 2"
"b5dd59f7-8415-4dcf-9bac-3432f4e2a69a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.09"
"795f524c-7efa-457f-88b1-bc626846b394","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.09","Laundry"
"5fcc40fa-3540-43ab-98cf-46d227d7caa4","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.09","Bathroom"
"2a066eb8-e963-4f71-b6ee-663e4ae0af1a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 2","2.10"
"ec0703b5-1707-4809-a13f-c102f393e7e1","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.10","Laundry"
"9b9b8769-39e7-4baa-81f1-48c23e4e19ce","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.10","Bathroom 1"
"a7dd72dc-7226-4c69-ad42-e4b70cc6a23d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 2","2.10","Bathroom 2"
"03719567-2749-4550-9583-0cc30ac35e6b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3"
"4760b196-beda-41e5-acd1-b1c225e90581","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.01"
"e8589735-5e8a-467c-ae7c-b6d18663d07c","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.01","Laundry"
"6bc5f916-9859-4d8b-b27e-69fc638de5dc","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.01","Bathroom 1"
"558d8700-2d31-4698-8860-463afe0471cd","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.01","Bathroom 2"
"9f65b99e-ba42-4f07-87ed-47c1a11e1380","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.02"
"feb997c9-1fac-45ad-b938-0ef50715f8cb","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.02","Laundry"
"0cdcae11-beda-4fc1-9ec2-95c723147ec3","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.02","Bathroom 1"
"dd1456cb-40ed-4f02-ad74-5a5a5df07551","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.02","Bathroom 2"
"6b1db42f-68ec-458d-aa10-50e14f74a563","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.03"
"483d833a-64da-4c85-bc0c-c7bf9455dc00","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.03","Laundry"
"3edba152-61ac-4a77-a543-e831f8d6f3db","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.03","Bathroom 1"
"02f9bfd5-cc9c-47e3-ba42-397011c9341e","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.03","Bathroom 2"
"e48c607c-6ce2-4476-9198-46c783487fd8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.04"
"e85d2b91-d969-4a68-9774-2a60d183445e","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.04","Laundry"
"2b149fe1-de04-4cdc-8c10-c00eea2072d9","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.04","Bathroom"
"759553dc-bc94-450d-896e-6198b35c23ff","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.05"
"77853fa4-ae33-4229-bf10-25fda7cb998d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.05","Laundry"
"4e64241b-110f-4123-a87d-728c32ca7284","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.05","Bathroom 1"
"ae17d04b-6001-43d3-9f19-d4f70e2c423f","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.05","Bathroom 2"
"190f3deb-dc16-47be-af62-c31af2dc4afa","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.06"
"512b42be-6aab-4a66-a538-310d42e443b9","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.06","Laundry"
"46b9c57b-f1c9-4929-a707-570f25db5575","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.06","Bathroom 1"
"a649a5aa-ae1c-4356-804e-f0f94b701361","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.06","Bathroom 2"
"d25ebe52-1f3f-40f6-87b2-af47bf4ed275","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.07"
"21ed3410-8e36-4ffb-a255-b3d8fb2ab63a","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.07","Laundry"
"fe455a5b-9e94-40d6-a50a-abe6d7fab469","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.07","Bathroom 1"
"40696de8-432b-4243-a850-b53c4e40302f","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.07","Bathroom 2"
"223312ea-0855-435e-9ea2-ec186200da0a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.08"
"7b4da019-c7ae-4535-9602-2a5af05b1393","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.08","Laundry"
"874a6007-9200-4692-8d2a-a70d0d8c238c","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.08","Bathroom 1"
"330a8c63-f541-4311-89d6-1a699a3fa116","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","Site QA","Waterproofing","Level 3","3.08","Bathroom 2"
"40ca77f0-e20e-4f61-9ffd-cd37f94f8c99","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Waterproofing","Level 3","3.09"
