resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.07,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.08,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.09,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,4.1,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,Level 5,,,,,,,,,,,,,,
,step,,,,,,5.01,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.02,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.03,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.04,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom,,,,,,,,,,,,
,step,,,,,,5.05,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.06,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.07,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.08,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.09,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,5.1,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,Level 6,,,,,,,,,,,,,,
,step,,,,,,6.01,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,6.02,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,6.03,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,6.04,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,6.05,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,6.06,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Laundry,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
,step,,,,,,Public Toilet,,,,,,,,,,,,,
Internal Checklist,checklist,,,,,,,Public Toilet,,,,,,,,,,,,
,step,,,,Tiling,,,,,,,,,,,,,,,
,step,,,,,Basement 1,,,,,,,,,,,,,,
,step,,,,,,B1,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Lift Lobby,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,External Pavers,,,,,,,,,,,,
,step,,,,,Ground Floor,,,,,,,,,,,,,,
,step,,,,,,G.01,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,G.02,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Study,,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Ensuite,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,G.03,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Terrace,,,,,,,,,,,,
,step,,,,,,G.04,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,G.05,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace 2,,,,,,,,,,,,
,step,,,,,,G.06,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,G.07,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,G.08,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,G.09,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace,,,,,,,,,,,,
,step,,,,,,G.10,,,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Terrace 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Terrace,,,,,,,,,,,,
