type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
checklist,Penetration,,,,,,Roof Penetrations Checklist - Velux 2,,,,
checkpoint,Flashing Material: 0.55mm 316 Stinaless Steel,,,,,,,,,,
checkpoint,Skylight - Velux - Up to 1200mm x 1200mm,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Penetration: Hole cut to correct size to allow clearance.,,,,,,,,,,
checkpoint,Roof sheets whethered correctly,,,,,,,,,,
checkpoint,"Soaker flashing lapped, sealed and fixed correctly.",,,,,,,,,,
checkpoint,Adequate support under soaker to prevent ponding.,,,,,,,,,,
checkpoint,Side and front aprons / upstands formed to correct size ,,,,,,,,,,
checkpoint,To fit the purpose,,,,,,,,,,
checkpoint,Adequate support around penetration to prevent roof,,,,,,,,,,
checkpoint,Sheet from buckling,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
checklist,Eaves Gutter,,,,,,Eaves Gutter Installation Checklist,,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Eaves Gutter: Quad Gutter 115 - Zincalume,,,,,,,,,,
checkpoint,Eaves Gutter Brackets: Quad Gutter 115 - Zincalume external,,,,,,,,,,
checkpoint,Gutter Flashing: ,,,,,,,,,,
checkpoint,Stop ends: 115mm Quad stop ends,,,,,,,,,,
checkpoint,Downpipes: ,,,,,,,,,,
checkpoint,Pops: 0.55mm Zincalume - 100mm,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Spout Brackets installed with fall as per Specification,,,,,,,,,,
checkpoint,Spouting installed to sizes shown in spec & drawings.,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,
checkpoint,Downpipe installed as shown on drawings and correct,,,,,,,,,,
checkpoint,Size and connected to stormwater,,,,,,,,,,
checkpoint,Downpipe installed straight and bolted to downpipe clip,,,,,,,,,,
checkpoint,Downpipe spreader installed as shown on drawing,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
checklist,Box Gutter,,,,,,Box Gutter Installation Checklist - SS / Rainhead,,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Box Gutter Brackets: NA,,,,,,,,,,
checkpoint,Insulation under gutter: fletchers bubble cell,,,,,,,,,,
checkpoint,Gutter Board: NA,,,,,,,,,,
checkpoint,Box Gutter: 0.55mm 316 Stinaless Steel,,,,,,,,,,
checkpoint,Gutter Flashing: Colorbond to match,,,,,,,,,,
checkpoint,Standard Rainhead - 0.55mm 316 Stainless Steel,,,,,,,,,,
checkpoint,Sumps / Outlets: 0.55mm 316 Stainless Steel,,,,,,,,,,
checkpoint,Overflows: 0.55mm 316 Stainless Steel - High Capacity Overflow,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Gutter Brackets installed correctly,,,,,,,,,,
checkpoint,Insulation installed under gutter board,,,,,,,,,,
checkpoint,Gutter Board installed,,,,,,,,,,
checkpoint,Box gutter installed to sizes as shown in specification and drawings.,,,,,,,,,,
checkpoint,Sumps installed to correct locations and sizes as specified and as shown on drawings,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location and to correct size as indicated.,,,,,,,,,,
checkpoint,Rivet spacing for sump / box gutter are adequate,,,,,,,,,,
checkpoint,Rivet spacing for pop / sumps are adequate,,,,,,,,,,
checkpoint,Area clean and free of debris.,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
