"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba78e144-d059-4007-8332-aa13086d151f","","","","folder","TRUE","FALSE","QA / ITP's"
"4d0f75f5-41ca-4534-9ee4-26deea8c1d5d","","","","folder","TRUE","FALSE","QA / ITP's","North Roof"
"05c915d2-c5df-4557-bdbe-9406f02d6664","","","d4f9ff1d36a73061017045a9fe8ad5bd304bb149da082678cd897851073b283c","checklist","FALSE","FALSE","QA / ITP's","Central Roof Under Plant Deck","Roof Penetration"
"1caaa765-9704-4adf-a755-1f3f2d39013d","","","","folder-progress","TRUE","FALSE","OH&S"
"95917b4b-ff6b-480b-b1d8-0d19c22263de","","","","folder-progress","TRUE","FALSE","OH&S","Daily Pre-start Toolbox Forms"
"9d1166d1-d667-4318-9034-f3d064ed267c","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","OH&S","Daily Pre-start Toolbox Forms","Pre-Start Toolbox 1-3-21"
"714898dc-7cb6-4c88-aeed-5f52d96ae573","","","aa7b930ba54bcb44bff44f3e5608b4558da7e529e4a17223a6c751fe983332d1","checklist","TRUE","FALSE","OH&S","Weekly Toolbox Forms"
"9d7c3858-dd57-480f-8fc5-6a8a1c156d20","","","Add Tool Box Training","checklist","FALSE","FALSE","OH&S","Weekly Toolbox Forms","April tool boxes","Tool Box Training "
"be063b51-575c-4f1b-98bc-790d341fc7a6","","","8195d65411cc8f0b476fce9e56d0f0f266e97e614f1a8fbba0a836b3301d0992","checklist","TRUE","FALSE","OH&S","Safety Checklist Forms i.e Wire and Handrail Checklists"
"8f07b2e3-e5c8-4d09-87b0-b3c6f6e5e95d","","","","folder-progress","TRUE","FALSE","OH&S","SWMS"
"80d8b5ed-e941-471e-a85a-9f0b110f7be9","","","4861812df6ca0d2ab8782c9b1b56e2a58b938abc9e265f36b36e6a16c1b5d946","checklist","TRUE","FALSE","Variations"
"2263ea1d-10ac-41e6-bc1b-34f134faebb3","","","","folder-progress","TRUE","FALSE","Non Conformance Reports"
"18113f4a-d8dc-495f-b639-18751ebd94be","","","","folder","TRUE","FALSE","Non Conformance Reports","Rscentre"
"06b50733-ee82-4daa-b172-b382a9fe9c05","","","Add Non Conformance Corrective Action Report","checklist","TRUE","TRUE","Non Conformance Reports","Rscentre","Non Conformance Corrective Action Report - 1-3-21 "
"12dd47d2-f1e8-46b4-b900-ca9aeadfd87f","","","Add Non Conformance Corrective Action Report","checklist","TRUE","TRUE","Non Conformance Reports","Rscentre","Non Conformance Corrective Action Report - Tuesday 18/5/21"
"da91e9a7-3fd8-431c-a4a0-382826406209","","","486465dc7d0063aeb82e0aff25fba61f64978ece6ad1a7d84a1f2f4718198aa5","checklist","TRUE","FALSE","Foreman Diary Reports"
"57d4c50a-bed9-46f6-a53b-145590633be7","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Thursday 1-4-21"
"878fbdff-4c3f-4f34-833c-ee837e1e090d","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Monday 12/4/21"
"d3c87060-4452-4753-9d91-0e6749cfec5c","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Tuesday 13/4/21"
"47fe0b10-2d45-44c2-8482-c83855596f82","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Wednesday 14/4/21"
"575b1ace-d6ee-4365-916e-1ea26e48b8f0","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Thursday 15/4/21"
"0ce43481-d536-4610-a3ac-02ae35362166","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Friday 16/4/21"
"ce4b1382-99be-4636-bece-0e54122911eb","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Monday 19/4/21"
"02c680ee-b1dc-4daa-9eca-b791b62a8f8c","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Tuesday 20/4/21"
"4300167f-7502-4a39-a777-76541d68d5f5","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Wednesday 21/4/21"
"dc45eb99-8e96-4556-9c09-746cf0af7102","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Thursday 22/4/21"
"12b3dd7a-4cbb-44a6-b3f8-306d6a987f7d","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Friday 23/4/21"
"c229fed1-2e12-4622-96a2-9e19eb761cae","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Wednesday 28/4/21"
"4d608d41-722f-425c-a925-30e26c0404ce","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Thursday 29/4/21"
"83c0f469-fd8b-4f48-90f6-4ba28c46439d","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","April 2021","Foremans Diary: Friday 30/4/21"
"735f2da2-35de-4e3f-8eb6-5ec61d62f5ff","","","Foremans Diary Checklist","checklist","FALSE","FALSE","Foreman Diary Reports","May 2021","Foremans Diary: Monday 3/5/21"
"937632df-fc59-4382-9990-81316b0a1df8","","","","folder-progress","TRUE","FALSE","COVID Tracking Reports"
"5c392778-c768-499a-b484-fde1071ef04c","","","","folder-progress","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register Monday 12/4/21"
"b4e46a5d-0ee5-4dd4-99a6-f00cb8f7c4b6","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register Monday 12/4/21","Tuesday - Date:"
"dceaad29-79c1-47fe-be16-c13a2bde670d","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register Monday 12/4/21","Wednesday - Date:"
"b196785a-b7f4-45dd-b740-237adbb74eb7","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register Monday 12/4/21","Thursday - Date:"
"b68e979b-524d-4330-abdd-44dab2561bb7","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register Monday 12/4/21","Friday - Date:"
"9c5fe68c-8105-4cf4-9a3b-af102eea3f70","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register Monday 12/4/21","Saturday - Date:"
"16bcf31b-76c3-43c3-9a8b-2aecb350866a","","","","folder-progress","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register 19/4 to 23/4"
"8197c3a2-7d46-4d7b-a934-1d218251f252","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register 19/4 to 23/4","Monday - Date: 19/4/21"
"d6f0cbd2-16a8-446e-824a-76cf2f0d37c4","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register 19/4 to 23/4","Tuesday - Date:"
"29012ff6-3a4f-406d-9c03-c0ee35fe2df2","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register 19/4 to 23/4","Wednesday - Date:"
"2daff5af-de68-4ff6-b129-f28921743330","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register 19/4 to 23/4","Thursday - Date:"
"3d1096ae-d970-49d1-8863-508a12ecfe24","","","","folder-progress","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register 19/4 to 23/4","Friday - Date:"
"2142ba07-8eff-49e0-baf4-f602a9acee46","","","83661446614223fc5b3e57369a613f9d04960ece434fbbc2ae262d57dbcfdf01","checklist","TRUE","FALSE","COVID Tracking Reports","COVID Contact Tracing Register 19/4 to 23/4","Saturday - Date:"
"54a3e5d1-2da1-4fcf-8b4c-676c02f28b33","","","","folder","TRUE","FALSE","Daily Pre starts "
"42b4076b-da9e-470d-892c-429337e5977f","","","","folder","TRUE","FALSE","Daily Pre starts ","March 2021"
"97f32e5b-1a35-4690-81ee-ada0c2ca77b3","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","March 2021","Pre-Start Toolbox Thursday 18/3/21"
"e78ae265-94c0-4259-a944-79aa4b3d0fc2","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","March 2021","Pre-Start Toolbox 23/3/21"
"9f0395e8-494b-454f-92de-caae45daf930","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","March 2021","Pre-Start Toolbox 25/3/21"
"df9cbd7a-ee0b-4d38-8855-d8f2cb39597f","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","March 2021","Pre-Start Toolbox Friday 26/3/21"
"19fa1552-20f0-460f-bd9c-31c2e5ef3f8e","","","","folder","TRUE","FALSE","Daily Pre starts ","April 2021"
"03026e3f-06a4-4c49-a014-8376a6bc6f0b","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Thursday 1-4-21"
"9134d8b9-fbea-4583-b882-5ceac3b4a7a6","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Monday 12/4/21"
"5a507bfd-1713-4ef1-a1d5-939999e8dec6","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Wednesday 14/4/21"
"a3101508-0de8-47dd-84f2-6e72694f5121","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Thursday 15/4/21"
"d07e656f-a070-49ec-a364-a1ca922be672","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox 16/4/21"
"e9d7d6d7-fd5e-4876-9e54-e7df5ec519ad","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Monday 19/4/21"
"56ee453f-b69e-45fa-95c2-3ba395a2c3ea","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Tuesday 20/4/21"
"f4cabd77-32b6-4823-a77c-b59241eda053","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Wednesday 21/4/21"
"fc913c4a-a057-4e22-86b5-9ac8613b077f","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start ToolboxTursday 22-4-21"
"c9f91e3a-ee1b-453b-af14-bdf94de01e64","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Friday 23/4/21"
"6b7f90df-bba9-408b-a581-b8db934ef4ce","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Wednesday 28/4/21"
"af67b241-4c31-4470-8cf0-5b2dcbe3260a","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Thursday 29/4/21"
"ed9768d0-7cb5-4c46-b42d-68519ea01175","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","April 2021","Pre-Start Toolbox Friday 30/4/21"
"6800d818-a220-48f5-8380-9e611a17aa03","","","","folder","TRUE","FALSE","Daily Pre starts ","May 2021"
"2f2d2502-69bd-42f9-a163-dcbe8b3753f5","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","May 2021","Pre-Start Toolbox Monday 3/5/21"
"6e849aa0-4c6e-4ce6-85ae-a93e5ee04279","","","Add Pre-Start Toolbox","checklist","FALSE","FALSE","Daily Pre starts ","May 2021","Pre-Start Toolbox Tuesday 4/5/21"
