"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-001-A1-LOT-011 - Clearing & Grubbing - eastbound zone 3 CH25370 -Dalys","30/03/2022","30/03/2022","30/03/2022","30/03/2022",," EAL- Earthworks Lot","25370","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001","EB - Eastbound","Simon colosimo","","Simon Colosimo","5/4/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","11/04/2022"
"ITP-001-A1-LOT-012 - 24 Trees TBR & 1 trim - Zone 3- CH14760 - CH15080","04/04/2022","06/04/2022","06/04/2022","08/04/2022",," EAL- Earthworks Lot","CH14760 - CH15080","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","24 Trees to be removed and 1 tree to be trimmed","Khulood Hwayyis","11/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","11/04/2022"
"ITP-001-A1-LOT-013 - Z3 Topsoil Stripping - BTW Bridgewater Rd and the access to the sporting club - Ch14400 to Ch15080","28/04/2022","28/04/2022","3/05/2022","03/06/2022",," EAL- Earthworks Lot","Ch14400 to Ch15080","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis ","Topsoil stripping - Zone 3 - BTW Bridgewater rd and Access to sporting club","Khulood Hwayyis","06/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","09/06/2022"
"ITP-001-A1-LOT-014 - Tree Removal - Rayfield trees","05/04/2022","05/04/2022","06/04/2022","06/04/2022",," EAL- Earthworks Lot","25500","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001","EB - Eastbound","Simon Colosimo","","Simon Colosimo","05/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","9/4/2022"
"ITP-001-A1-LOT-015 - Tree Removal B/W Newbold Ave to Bridgewater Rd","16/05/2022","16/05/2022","17/05/2022","",,"CIL-Civil Lot","15200 to 15680","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVR-DPK-0001"," WB - Westbound","Abdullah Abdullah ","","","","","","",""
"ITP-001-A1-LOT-016- Trees Removal Zone 1,2 & 4 -  17 Trees ","20/06/2022","20/06/2022","22/06/2000","07/07/2022",,"CIL-Civil Lot","16140 to 16300","","CLGR - Clearing and Grubbing"," 1145-ACM-CVP-DPK-0001","","Qassim AL-Montafjy","-Corner of walters 39, 40
-Cimberwood  560, 566
-Balyang 1116, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1194, 1195
","Qassim Al-Montafjy","08/07/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","08/07/2022"
"ITP-001-A1-LOT-017- Trees Removal -Memorial North Median - CH26330 to CH26270","01/08/2022","01/08/2022","02/08/2022","03/08/2022",,"CIL-Civil Lot","CH26330 to CH26270","EART - Earthwork","CLGR - Clearing and Grubbing"," 1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al- Montafjy","09/08/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","11/08/2022"
"ITP-001-A1-LOT-018- Trees Removal - Walter St- CH70120 to CH70150","01/08/2022","01/08/2022","02/08/2022","03/08/2022",," EAL- Earthworks Lot","Walter St CH70100 to CH70140
Memorial North Median - CH26330 to CH26270","","CLGR - Clearing and Grubbing",""," NB - Northbound","Qassim Al-MonTafjy","","Qassim Al-Montafjy","09/08/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","11/08/2022"
"ITP-001-A1-LOT-019 - Balyang Golf course","3/08/22","3/08/22","3/08/22","",,"CIL-Civil Lot","","","","","","","","","","","","",""
"ITP-001-A1-LOT-020 - Trees Removal - Zone 2, 3, 4 and 7","07/09/2022","07/09/2022","07/09/2022","28/09/2022",,"CIL-Civil Lot","CH15710 to CH16085","","CLGR - Clearing and Grubbing","1145-ACM-CVD-DPK-0002","","Qassim Al- Montafjy","Zone 2 North Side – 889, 373, 374, 375, 376, 377, 367, 366, 358, 357, 356, 355, 344 (13 Trees) (Civil)
Zone 2 Median – 308, 323, 324, 325, 326, 327, 328, 329, 330 (9 Trees) (Civil Drainage) 
Zone 2 south Side - 313, 317, 331, 337, 385 (5 Trees) (Civil)
","Qassim AL-Montafjy","29/09/2022","Babak Rudd-Project Quality Manager","N/A"," CLOSED","13/10/2022"
"ITP-001-A1-LOT-021 - Trees Removal - Vet Clinic","29/11/22","29/11/22","29/11/22","29/11/22",," UTL- Utility Lot","80-120","","CLGR - Clearing and Grubbing","","EB - Eastbound","Simon Colosimo","","Simon Colosimo","29/11/22","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","29/11/22"
"ITP-001-A1-LOT-022 -Trees Removal - Hamilton St ( Left Turn to Hume Hwy)  - CH16300 to CH16360","05/12/2022","05/12/2022","07/12/2022","07/12/2022",,"CIL-Civil Lot","16300 to 16360","EART - Earthwork","CLGR - Clearing and Grubbing","1145-ACM-CVD-DPK-0002"," NB - Northbound","Qassim Al-Montafjy","","Qassim AL-Montafjy","21/12/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/01/2023"
"ITP-001-A1-LOT-023 -Trees Removal - Balyang to Aitken - CH13270 to CH13570","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-001-A1-LOT-024 - 1 Tree - Hardy East","","","","",,"","","","","","","Mohammed ","","","","","","",""
"ITP-001-A1-LOT-025 - 18 Tree - Zone 3.2 and 3.3 outside project boundary ","20/02/2023","21/02/2023","21/02/2023","03/03/2023",,"CIL-Civil Lot","CH14400 to CH14700","EART - Earthwork","CLGR - Clearing and Grubbing"," 1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","","Khulood Hwayyis","03/03/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","03/03/2023"
"ITP-001-A1-LOT-026 - Tree Removal - zone 3.2,4.4,6.1","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-001-A1-LOT-027 - grubbing 4.4","","","","",,"","","","","","","","","","","","","",""
"ITP-001-A1-LOT-028 - Tree Removal - Zone 4 - Golf Course","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-006 - Excavation, Fill with Type B and Subgrade Prep",,,,,,,,,,,,,,,,,,,
"ITP-006-A1-LOT-001- Memorial Park East - CH26130 - CH26160 - NB","17/11/2021","17/11/2021
","17/11/2021","pass","02/12/2022"," EAL- Earthworks Lot","CH 26130 to CH 26160","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","This lot was affected by asbestos and as well as design issue","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-006-A1-LOT-002 - Memorial Park East - CH26130- CH26160 - NB","1/12/21","1/12/21","1/12/21","not applicable","03/12/2022"," EAL- Earthworks Lot","CH26130 to CH26180","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","This lot is affected by asbestos","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-006-A1-LOT-003 - Memorial Park East - CH26180 - CH26220 - NB","02/12/21","02/12/21","02/12/21","not applicable","02/12/2022"," EAL- Earthworks Lot","CH26180 to CH26225","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","This lot is for compaction tests only and is affected by asbestos as well as design challenge.","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-006-A1-LOT-004 - Hume Hwy North Median - CH70330 - CH70400 - NB","30/11/21","30/11/21","30/11/21","not applicable","08/12/2022"," EAL- Earthworks Lot","CH70330 to CH70400","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","This lot is affected by asbestos","","","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-006-A1-LOT-005 - Hume Hwy North Median - CH70330 - CH70400 - NB","08/12/2021","08/12/2021","08/12/2021","not applicable","09/12/2022"," EAL- Earthworks Lot","CH70330 - CH70400","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafijy","200mm typeB material placement","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-006-A1-LOT-006 - Hume Hwy North Median - CH70400 - CH70445 - NB","12/12/2021","12/12/2021","12/12/2021","not applicable","12/12/2022"," EAL- Earthworks Lot","CH70400 - CH70445","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," NB - Northbound","QASSIM AL- MONTAFJY, KHULOOD HWAYYIS","REVIEW THE CUT FLOOR LAYER AND 97% COMPACTION TEST","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-006-A1-LOT-007 - Hume Hwy North Median - CH70485- CH70506 - SB","15/12/2021","15/12/2021","15/12/2021","not applicable","17/12/2022"," EAL- Earthworks Lot"," CH70485 To CH70506","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Babak Rudd","06/04/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2022"
"ITP-006-A1-LOT-008 - Hume Hwy South Median- NB - CH70190- CH70280 Cut Floor","07/02/2022","07/02/2022","08/02/2022","pass","07/02/2022"," EAL- Earthworks Lot","CH70190 to  CH70280
","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","This lot is for undertake a compaction test at 1175mm/Cut Floor","Babak Rudd","06/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/05/2022"
"ITP-006-A1-LOT-009 - Hume Hwy South Median - NB - CH70190- CH70280 Layer 1","07/02/2022","07/02/2022","08/02/2022
","pass","15/02/2022"," EAL- Earthworks Lot","70190 to 70280","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","Placing 1st layer of Type B ( in situ )","Qassim Al-Montafjy","15/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","16/06/2022"
"ITP-006-A1-LOT-010 - Hume Hwy South Median- NB - CH70190- CH70280 Layer 2","08/02/2022","08/02/2022","09/02/2022","pass","15/02/2022"," EAL- Earthworks Lot","CH70190 to CH70280","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","Subgrade preparation","Qassim Al-M0ntafjy","15/06/2022","Babak Rudd-Project Quality Manager","YES"," CLOSED","16/06/2022"
"ITP-006-A1-LOT-011 - Golf Course East - WB - CH14250-CH14090","11/03/2022","16/03/2022","16/03/2022","pass",""," EAL- Earthworks Lot","14090 - 14250","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001","EB - Eastbound","James Moran","Proof Roll and Compaction Test of Subgrade for placement of Type A","James Moran","20/04/2022","Babak Rudd-Project Quality Manager",""," CLOSED","28/04/2022"
"ITP-006-A1-LOT-012 - Hume Hwy North Median - CH70330 - CH70400 - NB- 400mm below Subgrade","29/03/2022","29/03/2022","30/03/2022","pass","30/03/2022"," EAL- Earthworks Lot","70330 to 70400","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","This lot is made to undertake a compaction test at 1175mm and prepare for 1st layer of Type B","Babak Rudd","06/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/05/2022"
"ITP-006-A1-LOT-013 - Hume Hwy North Median - CH70330 - CH70400 - NB - 400 below subgrade","30/03/2022","30/03/2022","31/03/2022","pass","31/03/2022"," EAL- Earthworks Lot","70330 to 70400","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-montafjy","Placing Type B in situ material first lift @975mm","Qassim Al-Montafjy","08/07/2022","Babak Rudd-Project Quality Manager","YES"," CLOSED","08/07/2022"
"ITP-006-A1-LOT-014 - Golf Course West - WB - CH13860-CH13700","30/03/2022","21/03/2022","21/03/2022","pass","","CIL-Civil Lot","13850 - 13640","EART - Earthwork","TACAP - Type A Capping","1145-ACM-CVR-DPK-0001"," WB - Westbound","James Moran","Golf Course West - Sub grade preparation for 1st lift of Type A capping - Zone 4 WB carriageway","James Moran","20/04/2022","Babak Rudd-Project Quality Manager",""," CLOSED","28/04/2022"
"ITP-006-A1-LOT-015- Hume Hwy North Median - CH70310 - CH70400 - SB - Bottom of Subgrade","30/03/2022","30/03/2022","30/03/2022","pass","03/05/2022"," EAL- Earthworks Lot","70330 to 70400","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy ","cut off below the subgrade to 975mm depth for rectification and this lot,as per design,is omitted of Type B .","Qassim Al-Montafjy","30/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","03/06/2022"
"ITP-006-A1-LOT-016 - Golf Course East - WB - CH14040-CH14090","07/04/2022","12/04/2022","12/04/2022","pass",""," EAL- Earthworks Lot","CH14060 to CH14090","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","Cutfloor compaction test","Khulood Hwayyis","04/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/05/2022"
"ITP-006-A1-LOT-017 - Golf Course East - WB - CH14250-CH14306","07/04/2022","12/04/2022","12/04/2022","pass","25/05/2022","CIL-Civil Lot","CH14250 to CH14306","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","Compaction test for the subgrade surface","Khulood Hwayyis","12/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","03/06/2022"
"ITP-006-A1-LOT-018- Hume Hwy North Median - CH70330 - CH70400 - NB -  Subgrade","12/04/2022","12/04/2022","12/04/2022","pass","13/05/2022"," EAL- Earthworks Lot","70330 ti 70400","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","Placing 2nd Layer of Type B","Qassim Al-Montafjy","15/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","16/06/2022"
"ITP-006-A1-LOT-019 - Golf Course East - WB - CH14040-CH14090 - lift 1","13/04/2022","13/04/2022","13/04/2022","pass",""," EAL- Earthworks Lot","CH14040-CH14090 ","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","Review the cut floor and place the 1st lift of Type B","Khulood Hwayyis","04/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/05/2022"
"ITP-006-A1-LOT-020 - Golf Course East - WB - CH14040-CH14090 - lift 2","13/04/2022","13/04/2022","13/04/2022","pass",""," EAL- Earthworks Lot","CH14040 to CH14090","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","Proof roll the 1st lift of type B and review the Area to place the second lift","Khulood Hwayyis","18/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","19/05/2022"
"ITP-006-A1-LOT-021 - Hume Hwy North Median - CH70310 - CH70330 - NB - 200 below Subgrade","27/04/2022","27/04/2022","27/04/2022","pass","27/04/2022"," EAL- Earthworks Lot","CH70310 - CH70330","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","The lot is located between the bull nose and the High Voltage service","Qassim Al-Montafjy","30/05/202","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","07/06/2022"
"ITP-006-A1-LOT-022 - Hume Hwy North Median - CH70310 - CH70330 - NB - Subgrade","27/04/2022","27/04/2022","28/04/2022","pass","28/04/2022"," EAL- Earthworks Lot","70310 to 70330","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Qassim al-Montafjy","03/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","07/06/2022"
"ITP-006-A1-LOT-023- Hume Hwy North Median - CH70310 - CH70326 - SB - Subgrade","05/05/2022","05/05/2022","05/05/2022","pass","12/05/2022"," EAL- Earthworks Lot","70310 to 70326","","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","This located above the HV services which is required to place Stab sand as per MRPV Superintendent request","Qassim Al- Montafjy","24/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","29/06/2022"
"ITP-006-A1-LOT-024- Hume Hwy North Median - CH70400 - CH70460 - SB - Bottom of Subgrade","10/05/2022","10/05/2022","10/05/2022","pass","10/05/2022"," EAL- Earthworks Lot","70400 to 70460","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","30/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","7/06/2022"
"ITP-006-A1-LOT-025- Golf Course West- Ch 13865  to Ch 13900 - Subgrade prep","10/05/2022","10/05/2022","10/05/2022","pass","20/05/2022"," EAL- Earthworks Lot","CH13865 to CH13900","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," WB - Westbound","Subgrade prep and compaction test","","Khulood Hwayyis","02/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","03/06/2022"
"ITP-006-A1-LOT-026- Hume Hwy North Median - CH70326 - CH70460 - SB -  Subgrade","11/05/2022","11/05/2022","11/05/2022","pass","11/05/2022"," EAL- Earthworks Lot","CH70326 - CH70460","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy ","","Qassim al-Montafjy","22/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","22/06/2022"
"ITP-006-A1-LOT-027- Golf Course East- Ch 13960  to Ch 14040 - 400 below subgrade","24/05/2022","24/05/2022","24/05/2022","pass",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-C200-FUL-QAC-ITP-0006"," WB - Westbound","Khulood Hwayyis and James Moran","400 below subgrade prep and place 1st lift of type B 765m2","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","29/06/2022"
"ITP-006-A1-LOT-028- Golf Course East- Ch 13960  to Ch 14040 -  200 below subgrade","24/05/2022","24/05/2022","24/05/2022","pass",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-C200-FUL-QAC-ITP-0006"," WB - Westbound","Khulood Hwayyis and James Moran","Placing the 2nd lift of type B material, 200mm below subgrade ","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","20/06/2022"
"ITP-006-A1-LOT-029- Golf Course West- Ch 13865  to Ch 13900 - Subgrade prep","26/05/2022","26/05/2022","26/05/2022","pass",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-C200-FUL-QAC-ITP-0006"," WB - Westbound","James Moran","Doing a second proof roll of subgrade due to rain event","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","15/06/2022"
"ITP-006-A1-LOT-030- Golf Course West- Ch 13940  to Ch 14040 - Subgrade prep","26/05/2022","26/05/2022","26/05/2022","pass",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-C200-FUL-QAC-ITP-0006"," WB - Westbound","James Moran","Proof Roll of Subgrade","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","21/06/2022"
"ITP-006-A1-LOT-032- Hume Hwy North Median - CH70460- CH70490 - SB- Entry -  Bottom Of Subgrade ","17/05/2022","17/05/2022","17/05/2022","17/05/2022",," EAL- Earthworks Lot","70460 to 70490","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","This Lot is for undertaking only compaction test","Qassim Al-Montafjy","30/05/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","07/06/2022"
"ITP-006-A1-LOT-033- Hume Hwy North Median - CH70460 - CH70490 - SB- Entry - 400 below subgrade","19/05/2022","18/05/2022","19/05/2022","pass","19/05/2022"," EAL- Earthworks Lot","70465 to 70490","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","09/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/06/2022"
"ITP-006-A1-LOT-034- Hume Hwy North Median - CH70460- CH70490 - SB- Entry - 200mm below Subgrade/ Cut floor","18/05/2022","18/05/2022","18/05/2022","pass","19/05/2022"," EAL- Earthworks Lot","70460 to 70490","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","9/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/06/2022"
"ITP-006-A1-LOT-035- Hume Hwy North Median - CH70460- CH70490 - SB- Entry - Subgrade","19/05/2022","19/05/2022","19/05/2022","pass","19/05/2022"," EAL- Earthworks Lot","70460 to 70490","EART - Earthwork","TYPB - Type B","1145-ACM-CVR-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy ","17/06/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","21/06/2022"
"ITP-006-A1-LOT-036 - Hume Hwy North Median - CH70400 - CH70435 - NB - Type Pavement 6 - Egress- Subgrade ","24/05/2022","24/05/2022","24/05/2022","pass",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B","1145-C200-FUL-QAC-ITP-0006"," NB - Northbound","Qassim Al-Montafjy","This lot is for undertaking a compaction Test for Subgrade layer of Pavement Type 6","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","05/08/2022"
"ITP-006-A1-LOT-038- Memorial Park East - CH26145 - CH26220 - 600mm below cut floor","29/06/2022","29/06/2022","29/06/2022","06/07/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","21/07/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","26/07/2022"
"ITP-006-A1-LOT-039- Hume Hwy North- Bullnose - CH16366 - CH16380 - 200mm below Subgrade","30/06/2022","30/06/2022","30/06/2022","06/07/2022",,"EAL - Earthworks Lot","pass","EART - Earthwork","TYPB - Type B"," 1145-ACM-CVP-DPK-0001"," ME - Median","Qassim Al-Montafjy","","Qassim Al-Montafjy","08/07/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","08/07/2022"
