"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbf36de7-e3fb-49cf-8cee-aef1cf8162f4","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 1","111","Kitchen Floor"
"583fe941-d660-413d-86ea-d44498c1ce52","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 1","112"
"d5fc5b89-4eba-470a-a46d-c2ec83bb51fd","","folder-normal","not-started","","step","TRUE","FALSE","Level 1","113"
"61d86eaf-dc8f-4302-bd73-8952d114af64","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 1","113","Bathroom"
"10fc369d-15f9-4393-a96e-dd47180db7b8","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 1","113","Kitchen Floor"
"17dc9d19-1957-4a1e-919a-07ef809bbc69","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 1","114"
"fdf12c68-b72e-4fcf-ba48-864a5a0f01d3","","folder-normal","not-started","","step","TRUE","FALSE","Level 1","115"
"ae568bf1-50c0-4bc1-9309-d054cebc4204","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 1","115","Bathroom"
"77dd0e26-f2dc-4fdc-b1db-59e43e2e022d","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 1","115","En-suite"
"45fdad75-b3a4-4773-84e0-0e0602e5a364","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 1","115","Kitchen Floor"
"3ccf27ff-1358-435d-9a5c-98481c9f5920","","folder-normal","not-started","","step","TRUE","FALSE","Level 1","117"
"68ce2afa-a0ff-4861-bb74-4a2c40d4c27d","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 1","117","Bathroom"
"5deb521b-ddfe-47fc-83e9-8370d17d948e","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 1","117","En-suite"
"d4f05000-f86b-4f41-9266-4542e0dfed80","","folder-normal","not-started","","step","TRUE","FALSE","Level 2"
"cd2c5fd7-2ba6-41ae-8907-319677a7609e","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 2","201"
"80fcee5c-b337-4633-9828-edf69af7a9d0","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 2","203"
"8f9c1a83-be7c-4b11-a306-a347e7567b99","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 2","204"
"30a6651a-42ce-4d91-ac65-e003f74d5fd9","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 2","205"
"44479fcc-ab3d-4910-b919-f9ff8b6d8ca1","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 2","207"
"b859697e-61b8-4e1f-9cba-345a692c37f9","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 2","210"
"502eed51-fb8a-47df-90d8-a39c4406ca6d","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 2","214"
"c41c3770-42a9-470c-b6ec-b3fa421499a4","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","215"
"0f16710f-794d-4664-8514-7c9eb84468ef","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 2","215","Bathroom"
"d533592a-3e00-4a0d-a377-9fe2a9c6260f","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 2","215","En-suite"
"2ee2db1c-ff72-4a68-86d8-23af2ae1ee1b","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 2","215","Kitchen Floor"
"0438b4e6-a26d-4773-9fec-5f7554575857","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 2","215","Splashback"
"058af80b-a600-4d64-8645-69f08b8e0244","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","216"
"07d7343b-07a4-4b7e-ab94-2b28da9db684","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 2","216","Bathroom"
"3d40cf3d-a48d-415d-be5f-961ed24dd5ca","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 2","216","En-suite"
"4af340ca-c0f2-46e6-bd81-c0c359620c33","","folder-normal","not-started","","step","TRUE","FALSE","Level 3"
"06ab4a92-ea4e-43cf-ae54-7b330326f9c1","","folder-normal","not-started","","step","TRUE","FALSE","Level 3","301"
"6278b6ed-2491-4f4e-8208-704934f1fdfc","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 3","301","Bathroom"
"82e2d48b-2b10-4795-bbb3-51f1086337c8","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 3","301","Kitchen Floor"
"c45788a1-2f76-4db6-9eb2-2f438dff23cb","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 3","301","Splashback"
"a1d8fa5f-8194-4684-9126-05c846bb4066","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 3","303"
"3c84619b-3da8-4552-a211-11b70baacbb3","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 3","304"
"c2a4409a-a0da-4dc6-b11c-30ad151bbdea","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 3","308"
"1725a943-fbd2-450d-8dde-8de01ea3996d","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 3","314"
"3c422938-661b-4a9f-b0a7-865297450e79","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 3","320"
"476c32b1-c3a1-4afb-ac42-aa2429d597d9","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 3","321"
"86ab0fa7-09d8-415a-9164-d907a83cfad1","","folder-normal","not-started","","step","TRUE","FALSE","Level 4"
"0fc5279a-3c0d-4c57-ab84-8ba5318fe47a","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","401"
"4f3e8404-0e00-4979-b9a2-41a386401224","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","402"
"8bb1c12d-473a-4e76-b561-362c4891b08a","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 4","403"
"6db56183-7e2a-4e67-9cc1-3c78b7bcea9f","","folder-normal","not-started","","step","TRUE","FALSE","Level 4","404"
"2bfe1478-4cf5-445c-80e2-f78800724301","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","404","Bathroom"
"26a8722b-fdac-432b-a3cc-35583e36c17d","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 4","404","Splashback"
"03b3c96e-a69d-4d68-9380-9c66308ff1b5","","folder-normal","not-started","","step","TRUE","FALSE","Level 4","405"
"dbecbc7b-8d6b-4ef6-b109-97ad740cc5ea","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","405","Bathroom"
"e3b568b3-fdaa-4d90-8f24-ac0d8480da18","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 4","405","Kitchen Floor"
"08cc0020-af85-4a47-aa68-862fcb628c05","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 4","405","Splashback"
"bfe0d561-035a-48c9-8230-c3b0fcca206b","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","406"
"8ed0cfcf-7670-47a9-963e-9b8cde45636d","","folder-normal","not-started","","step","TRUE","FALSE","Level 4","407"
"2d4f1e6e-c728-42dd-9f3e-0c585c32dbe9","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","407","Bathroom"
"2cd999af-dc08-4b1e-805e-ad5f45093333","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 4","407","Kitchen Floor"
"6d24d1ed-9a17-48cb-be39-7384b3e484fa","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 4","407","Splashback"
"190438ca-220a-462f-a5dd-fb3d42f563f3","","folder-normal","not-started","","step","TRUE","FALSE","Level 4","410"
"4627b895-8219-47fa-8dc0-966bc79782b4","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","410","Bathroom"
"b8c983aa-05d5-4ab0-b6db-8fa6db99f497","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 4","410","Kitchen Floor"
"7426c2eb-cfc9-4ded-9a0a-77f56ef38a60","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 4","410","Splashback"
"65803c47-182e-4308-8f31-56461223f0b8","","folder-normal","not-started","","step","TRUE","FALSE","Level 4","411"
"7ccd398b-0ad9-45db-9ef3-82548cb7c9d5","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","411","Bathroom"
"83874a68-0814-406c-beb2-8964daf0fba3","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 4","411","En-suite"
"343d8841-b842-44cd-b5f5-bfd131168e77","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 4","411","Kitchen Floor"
"b9b3970b-60c6-43e2-a567-7749d3551ceb","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 4","411","Splashback"
"2f363550-a434-4ff6-bcc6-144a167223d1","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","413"
"3a1a762b-4749-4844-a67b-5c970ec5178e","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 4","414"
"5dce6bba-d3c6-4c80-be5c-8b362274e1ea","","folder-normal","not-started","","step","TRUE","FALSE","Level 4","416"
"10b6b90d-f881-4eed-b796-247a2a2f10db","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","416","Bathroom"
"7590d982-0eee-4458-bd8d-982b87c15dca","","checklist-flat","not-started","En-suite","checklist-flat","FALSE","FALSE","Level 4","416","En-suite"
"0b7f1963-f184-4699-bb4c-2a6c7875f546","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 4","419"
"872be9ef-832e-4ecb-afb7-070e7313857e","","folder-normal","not-started","","step","TRUE","FALSE","Level 5"
"9e3e5038-0cb0-41fd-8149-eab63af608ff","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 5","501"
"8f277401-528c-48c9-b551-350cfd7d9fed","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 5","503"
"0694ec0b-c047-4ea2-b83e-ab9d92d4ea12","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 5","504"
"df3b34fc-d05f-45fb-9931-6118fc66baae","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 5","508"
"699d91e0-f0db-470c-b113-89efd6048654","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 5","509"
"c9a4193f-8132-466c-b790-aa854e53ecc8","","folder-normal","not-started","","step","TRUE","FALSE","Level 5","512"
"7a9e8ead-5fec-4623-90ac-bac128dd9591","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 5","512","Bathroom"
"0d070e1e-e5e5-4a72-9979-0a02652e320f","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 5","512","Kitchen Floor"
"5e9f14a9-65ce-4953-9a77-7a56021c9803","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 5","512","Splashback"
"cdc86f17-bc3d-48a5-837f-36634a4b8258","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 5","514"
"8c289b2a-1116-4d7d-8f67-a04e543f6f4b","","folder-normal","not-started","","step","TRUE","FALSE","Level 5","518"
"4f12a62c-7490-480b-adbc-37b85b432781","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 5","518","Kitchen Floor"
"5c89bc7b-306e-44a5-ab1b-1452b436d2cd","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 5","518","Splashback"
"73c8d92b-df7b-4935-a75b-571ec26b9d2e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 6"
"770a15c6-946b-4960-9cae-115cb05a6c1e","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 6","601"
"d47dc03f-d222-45c6-86e6-3d12e7a33eb1","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 6","603"
"007df87b-8753-46e3-b727-597a746edfbc","","folder-normal","not-started","","step","TRUE","FALSE","Level 6","604"
"ff746982-3d5c-4019-8b8f-0b3d93842846","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 6","604","Bathroom"
"2fe60747-ece2-4d16-8819-11d511fb2c24","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 6","604","Splashback"
"7c7d68d5-9bbc-4a5b-baf3-4e27aa034157","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 6","613"
"507a0229-fb84-48db-81bc-6a9afad53e37","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 6","614"
"1278d876-d2fc-46fa-961a-68196aa88341","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 6","615"
"f8289958-de70-4a92-b18d-c6a0331fd6ca","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 6","615","Bathroom"
"023a14ba-ff5c-4a8c-abf6-d0685d8fe5fa","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 6","615","En-suite"
"e1b1a2fe-8942-44b6-ad61-af5e33560802","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 6","618"
"ee1c004b-b10b-4730-b3ea-ff2e602be1d6","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 6","618","Bathroom"
"f92125ac-1d7c-49c3-8f7d-59288aa7393b","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 6","618","En-suite"
"eff26c25-f29f-4ee8-887c-b80f88479391","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 6","622"
"214f44ab-bc43-484e-98e3-1b2d3f475839","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 6","622","Bathroom"
"e1c7fc83-6a88-4173-b7ca-aa1544da6077","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 6","622","Kitchen Floor"
"ef288873-acad-4763-960a-4fc06eebfa44","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 6","622","Splashback"
"bcedf389-6ef6-4d95-95b9-4f25dbcc5546","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 7"
"3b88c445-0e42-4bfc-8f4f-78caf289a18d","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 7","701"
"ec7a9845-5a66-4970-a2dd-8b8c452f4240","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 7","703"
"33f37623-fdee-4e8f-af2e-fcccb24291f6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 7","704"
"4600e0dd-b83d-4e5b-b189-1fea1c24aba6","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 7","704","Bathroom"
"992607d7-b67b-4e30-84ad-7d7c400eba09","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 7","704","Splashback"
"371c736e-17db-40c8-884e-d0d0d711647a","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 7","706"
"25a72e35-0810-42c4-a140-2600ac8dc831","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 7","709"
"d15f86fd-0e24-43e5-880b-a2b969ef76af","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 7","711"
"2974f723-eefb-4c9b-a823-e98bf5b6ec36","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 7","711","Bathroom"
"822e4712-bcc5-4f49-af1f-4ed6f5a2cba8","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 7","711","En-suite"
"a88eb44d-7ec2-4564-bc88-b7ef6e08db0b","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 7","714"
"f3857f19-a3a9-4cf3-8888-b96fef54f0ca","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 7","715"
"a00d3b44-fe36-4ab0-a99c-2c1cf6768935","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 7","715","Bathroom"
"e6284fea-5b15-44fb-8f4c-680507cc03f4","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 7","715","En-suite"
"123714eb-902d-4d88-baa8-dfacdfb81fda","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 7","718"
"751c655a-ae3b-4ed2-80e5-9159dba1bab1","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 7","718","Bathroom"
"2f045015-5ce4-466c-9f39-b96cb3f5623a","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 7","718","En-suite"
"c6cbae93-55a1-4c78-b729-4d4885fd59aa","","checklist-flat","not-started","Bathroom","checklist-flat","FALSE","FALSE","Level 7","719"
"fdf08c79-a833-450a-b076-75fa48c3667a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 8"
"f8b38a2f-dbb0-423b-b85d-c250ebecba76","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 8","801"
"967d2e59-8975-4bf7-b392-d344b615656d","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 8","803"
"14582a49-6619-47c1-93cc-1cdc3bce75e6","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 8","804"
"1f27d2d0-5406-4813-8c4c-96789771ce33","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 8","807"
"24e21b32-daa8-48b6-a5e7-f5693d418d94","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 8","810"
"e4ecd757-de9e-4add-beb3-b79fc51c8b72","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 8","811"
"d680c1b9-3678-4dbc-93f9-187f6fa2f300","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 8","811","Bathroom"
"75683296-7838-4299-8808-28b098754e1e","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 8","811","En-suite"
"83c3aca0-d896-4afe-af18-57d7f728d20f","","checklist-flat","not-started","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 8","811","Kitchen Floor"
"09002f36-ab19-4cfc-8e4d-b0a7cca041ba","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 8","811","Splashback"
"75b75159-ff56-43df-a726-8462309dd834","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 8","814"
"00379c34-fce8-4a1d-a4d0-c8b35d065259","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 8","818"
"94f5b0c2-e6ca-4100-80a1-ebf2d3e35a02","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 8","818","Bathroom"
"08022fcb-7f5c-4fdb-b7ce-b2c55daf4d3b","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 8","818","En-suite"
"03f07556-c074-4bd6-99de-5527b8ab0931","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 9"
"3b76b418-5e92-408b-b356-fe2d5c975e16","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 9","901"
"1ce8b199-9fe5-479d-b99a-3d9aa273edf9","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 9","903"
"3cc2a603-8fde-49a6-8943-d0ddaeb1e1d1","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 9","904"
"a1a309b4-9a0d-4a32-ab4a-0db56f08e678","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 9","907"
"57f4ec19-906e-4bdc-a261-8fb2ce96e3f7","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 9","907","Bathroom"
"79999e31-9941-4243-ab66-1dfbdc7ae947","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 9","907","Kitchen Floor"
"f932d409-7fee-45ae-85cd-ef3597283b5d","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 9","907","Splashback"
"a9859a40-3153-451f-b74c-5155fe79b3ab","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 9","910"
"da5b6de1-c9cc-4cbe-b356-63efd9976ff8","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 9","910","Bathroom"
"79a2a52d-5493-428b-ad24-9404d4cd3150","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 9","910","Kitchen Floor"
"685fa445-2d7d-41f6-9f81-2d0960285ca6","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 9","910","Splashback"
"240ef4de-aea9-4a61-ac49-5befcddf39f0","","checklist-flat","not-started","Splashback","checklist-flat","FALSE","FALSE","Level 9","914"
"78f1f41a-d192-4a79-8cf4-062cff4b4e9c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 9","918"
"cac99fca-9bc9-44cf-9db6-bb98a2ccfc10","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 9","918","Bathroom"
"49efa2cf-b3b4-4700-b71d-276627557e89","","checklist-flat","work-in-progress","En-suite","checklist-flat","FALSE","FALSE","Level 9","918","En-suite"
"15776291-5fba-4a15-91a7-99bb5e35301f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10"
"6ec44778-7c87-4c3b-acee-a48d0a7b9bc6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1001"
"1ecb7b34-ad21-44ad-acf8-073c5791ee4b","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1001","Bathroom"
"5379bca0-534c-430e-b513-01a5bc414d7f","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 10","1001","Kitchen Floor"
"d2b0f037-4cd6-45d2-ab4d-13a02d532e09","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 10","1001","Splashback"
"8ad5f526-5488-4a71-8dc4-3fa318acb4b4","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 10","1003"
"24d5ee2d-81c2-4a5b-974d-da899d4f27a3","","checklist-flat","work-in-progress","Splashback","checklist-flat","FALSE","FALSE","Level 10","1004"
"694b567a-0fea-44bf-b7f1-2fcbb77be21f","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1005"
"850c8857-1297-4ab0-baab-aba01507011a","","folder-normal","work-in-progress","","step","FALSE","FALSE","Level 10","1006"
"bd2175f0-a79e-462c-8743-460f4fbb49e9","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1006","Bathroom"
"fb4cf4db-243c-4f2e-8270-0e33ad1763b4","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 10","1006","Kitchen Floor"
"8f37bb5c-dae1-4055-a0b5-2b83f08678d6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1007"
"fb2ba0f0-44cb-4da2-b83a-768f1434bbad","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1007","Bathroom"
"9ab9671f-3a11-4307-b905-a02d1ebd368b","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 10","1007","Kitchen Floor"
"dbdb43bc-76be-4610-a689-f35b3411e068","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 10","1008"
"2c9a2c39-8dd2-4e73-a6b3-dfac03595594","","checklist-flat","work-in-progress","Bathroom","checklist-flat","FALSE","FALSE","Level 10","1008","Bathroom"
"2b5a1abf-312a-42a9-a1f9-b99c585c614e","","checklist-flat","work-in-progress","Kitchen Floor","checklist-flat","FALSE","FALSE","Level 10","1008","Kitchen Floor"
