"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aae178f8-38bf-4490-be35-92ca58c4a6d3","","checklist-flat","","Job Details","checklist-flat","FALSE","FALSE","Job Details"
"946c2e7b-24ad-4a12-a273-51e5ba65e33f","","folder-normal","","","step","TRUE","FALSE","Site QA"
"84a4baad-1c99-475b-9cf7-8fecd8afa962","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In"
"3d20c78a-f3d4-4f06-a791-bd335d36426e","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 3"
"fcb72ff8-e201-46af-afd6-a26b01fff090","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 3","JET-B3.01"
"2bd66aa5-05d3-4575-afb8-5fe7843a79c5","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.01","Duct Installation Check List [C]"
"2bf15686-5200-400a-b36a-e3eb8bd32e35","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.01","Sign Off"
"cb60f096-0057-406c-aecf-572d95887904","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B3.01"
"a9ceea83-7c36-4cd2-a660-35c7ba30f62b","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B3.01","Duct Installation Check List [C]"
"4c01df6d-35f4-4694-99d9-cab96add2379","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B3.01","Sign Off"
"881f55d3-04d3-46bf-b182-dc9750fe23cd","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.04"
"e5e444a8-0f25-493d-ac11-2d6237edc7ed","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.04","Duct Installation Check List [C]"
"325111d7-5723-4f0d-b03b-f50e09812a62","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.04","Sign Off"
"36559523-8d4f-42c4-ae08-34fb0e5146a1","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","GEF-B2.01"
"5c45d6b9-9c61-43b8-a313-5e0a2f0f3ea7","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","GEF-B2.01","Duct Installation Check List [C]"
"c3c15035-e50a-4867-b6ac-56e3e80dca34","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","GEF-B2.01","Sign Off"
"91e0b3a0-174d-4af2-a986-4c6b2057b998","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.03"
"e6a2cda3-3663-421f-bee6-be2d970060f9","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.03","Duct Installation Check List [C]"
"f752317c-def7-4cad-9d66-79da613df291","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","CPSF-B2.03","Sign Off"
"cc63ff2f-af65-4423-a95b-e5d1abb24c26","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.02"
"2fe4ea08-9a50-410a-916e-43c330da6464","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.02","Duct Installation Check List [C]"
"9c96a98b-07e0-4449-a0ed-b496f310c8e2","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.02","Sign Off"
"3c0cef28-76f5-41e4-8b48-f31338e4dc22","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.03"
"ac038631-8fe0-4719-910a-5079e71a66bb","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.03","Duct Installation Check List [C]"
"03b4e106-8053-4eaf-9f04-75445a5b5292","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","SF-B2.03","Sign Off"
"5769779f-55db-4f0f-a8dd-27f1e1a82ef7","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 2","Stair Pressurization Ductwork"
"ada6c5c3-b3ae-430b-b312-ed5c9806fab3","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","Stair Pressurization Ductwork","Duct Installation Check List [C]"
"fadd2156-aaed-4dc1-8f50-13bce4807a76","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 2","Stair Pressurization Ductwork","Sign Off"
"fb34788e-2e90-40a9-8afe-3e65ee3fdbe9","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1"
"04725eee-da6c-4f49-8af1-383f766d45af","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.01"
"2efee533-7f9d-455d-aae5-d1a84706390b","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.01","Jet Fans [L]"
"93e55ce7-894f-418a-9e94-ef05dd67a1ef","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.01","Sign Off"
"ff231516-b75c-4b07-a440-605dad86c6f9","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.02"
"5e5fc230-cb5b-4962-8ac4-d8d045d25af2","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.02","Jet Fans [L]"
"a12cf9ad-b58f-4d8a-8c36-43573eca1020","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.02","Sign Off"
"7e792b4e-aee9-4eba-94d4-1e5005db4657","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.03"
"81763d48-0480-4d9e-9a45-97fcc96ff952","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.03","Jet Fans [L]"
"4bc260ab-e156-458d-a19f-8369a5033cbf","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.03","Sign Off"
"b9b8cbc3-a250-4930-8339-3457a1c8a3bd","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.04"
"93622db5-ae83-4025-b049-a020af2f989e","","checklist-flat","","Jet Fans [L]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.04","Jet Fans [L]"
"9fa7a555-d28d-487d-bf6c-48dabce666ad","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","JET-B1.04","Sign Off"
"a8350f76-6199-4cf2-988b-5adb721e4f2e","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","GEF-A.B1.01"
"7f06d782-2548-4d9e-954d-01edf4b71873","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-A.B1.01","Duct Installation Check List [C]"
"0546ed0f-853c-4dcf-a565-eb259bd20fce","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-A.B1.01","Sign Off"
"0a5f44c1-90f0-4661-8cbe-dc130271894e","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","GEF-A.B1.02"
"fcc6bcb8-c8c8-427e-a033-1a0b192caaec","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-A.B1.02","Duct Installation Check List [C]"
"a5ccbf10-a7b0-429c-a8a8-d8f2f1434bc0","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-A.B1.02","Sign Off"
"7ce4e6ff-eb1a-43ff-afa8-a17d8ed94b5a","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","LEF-B1.01"
"68aa3cc8-8e15-4d1e-bbe8-a63d048e8ffe","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","LEF-B1.01","Duct Installation Check List [C]"
"7b585865-c4bc-454d-a025-b744b2b290fb","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","LEF-B1.01","Sign Off"
"5ee49874-b803-4660-b132-3c543066d464","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","TEF-B1.01"
"c37a9d60-e0ca-43f2-96f7-c7ed2dee4452","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","TEF-B1.01","Duct Installation Check List [C]"
"9a82aaee-bb56-4870-977d-1d881fe06055","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","TEF-B1.01","Sign Off"
"269f838d-bc60-4fba-833f-b6fe0f62c870","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","PSF-01"
"a7cc07d3-5307-480d-8f4e-d6986cbff7a7","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","PSF-01","Duct Installation Check List [C]"
"8c7ced0e-d8db-45c4-a276-75cfc1890f7e","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","PSF-01","Sign Off"
"577df600-6bf7-489e-849c-fb15c7a454b2","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B2.01"
"1deab87d-cf7f-47db-9e7f-b814ff954e75","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B2.01","Duct Installation Check List [C]"
"9bb6a2a3-8522-4fab-a994-8a591af18c43","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B2.01","Sign Off"
"ea056964-8cd5-4df3-9c9a-e73451369292","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B2.02"
"7e05ca27-abae-4053-b93d-30e62cc5dce7","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B2.02","Duct Installation Check List [C]"
"6d4f8e31-9699-4be9-ad4a-5354794dc30d","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B2.02","Sign Off"
"17c3927e-0c66-4253-9398-cee1c15adda5","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.01"
"13538e7f-7449-48e8-a830-fe49e0aaa219","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.01","Duct Installation Check List [C]"
"ff6b0892-acff-45de-8e67-86ac02e9ef91","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.01","Sign Off"
"5f939646-de61-4b14-8f17-b9970bdf9bdc","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B1.02"
"cf17f395-c010-487a-a9c3-c2ea129ca608","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B1.02","Duct Installation Check List [C]"
"ce80e085-0ae0-436a-99d8-5ca995a566fc","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPSF-B1.02","Sign Off"
"6ed5ea24-7aa0-4df3-988e-f7e75f37c854","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","CPEF-04"
"7f9fdc51-fade-4434-8426-6a0d25fb618a","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPEF-04","Duct Installation Check List [C]"
"d7491a22-8daf-4c8f-a088-c58746f482d5","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","CPEF-04","Sign Off"
"0e72d0ca-7061-4d0d-b3fb-77a206151315","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.01"
"2b56aff6-ed91-4496-8b62-addff9d3a335","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.01","Duct Installation Check List [C]"
"5c753891-2fc6-44f2-8832-5cd62a5152d7","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.01","Sign Off"
"54376181-2b1b-497f-86b2-d41d2d40469a","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.02"
"b35d86c7-3167-4d44-bb49-81589bf73a3f","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.02","Duct Installation Check List [C]"
"6b177d0d-c09d-4719-b7ab-e96d5ac54c43","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.02","Sign Off"
"e105c410-c8d8-459d-b529-12fb763c78d9","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.03"
"e789726a-20d3-4166-a0ba-afe6a8c2ed74","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.03","Duct Installation Check List [C]"
"928ba897-f952-4097-ab78-84ca71ecd27c","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.03","Sign Off"
"42b46da1-137f-4528-be1b-7459d368d0a8","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.04"
"2aae0d1f-017e-474d-b565-ff676e7a1ad6","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.04","Duct Installation Check List [C]"
"9111388a-7d87-40e8-94d5-deaace564f73","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.04","Sign Off"
"10fcd144-efd1-4815-9d5b-7365806fd63c","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.05"
"c674e580-5b08-4472-8755-abc3847a9d21","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.05","Duct Installation Check List [C]"
"5d7144ac-579f-466a-a441-0cca1dd6202c","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.05","Sign Off"
"df712635-77fe-42d7-8ca3-9a58443a5fa1","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.06"
"736cb511-0145-418e-9583-294026539a7b","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.06","Duct Installation Check List [C]"
"7f2ddb7b-93f8-4e51-9e76-837e253af002","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.06","Sign Off"
"7f43cf9c-48b1-45d7-8a3c-db673e48d433","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.07"
"9b02cc26-c533-4881-ae23-5762cb4a19a2","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.07","Duct Installation Check List [C]"
"1845a827-903b-4250-b417-05410ebb36d3","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.07","Sign Off"
"6435b8c7-3fd6-486c-b2e9-63dfd78dca00","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.08"
"2fee0ca3-1557-42cf-9bb4-778efada1c12","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.08","Duct Installation Check List [C]"
"8856d8d5-5af2-458b-ad87-05e58fd2f2c1","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","SF-B1.08","Sign Off"
"fd002ef9-d9f3-4517-893a-cd036226778d","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.01"
"77c798bd-ae12-439e-b48b-852edfc2d464","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.01","Duct Installation Check List [C]"
"6d8bc681-92a8-4417-833a-b15d65bf3c54","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.01","Sign Off"
"15d0982a-7f09-4b55-a920-057081af424f","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.02"
"c53dd423-08cc-4511-b22a-d064e90613f7","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.02","Duct Installation Check List [C]"
"dc485669-c323-4418-8f7d-d5f7396ffd0c","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.02","Sign Off"
"7ea4defa-67c5-49a6-b10e-6c44224a5e9b","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.03"
"f4dd0dc4-72e9-4cd5-a4a4-2a7300ae5d71","","checklist-flat","","Duct Installation Check List [C]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.03","Duct Installation Check List [C]"
"baa60a43-b8cc-4b97-8881-dcc30d38e8a5","","checklist-flat","","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Basement 1","GEF-B1.03","Sign Off"
