"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f578d366-4477-4c15-910c-0d5ddc886ede","","work-in-progress","","folder","TRUE","FALSE","BC1"
"32fe7d95-cb90-44d9-a583-6d9bbd7182db","","work-in-progress","","folder","TRUE","FALSE","BC1","Site QA"
"3866bf06-e67e-46d9-83fe-f18f5870c7e0","","work-in-progress","","folder","TRUE","FALSE","BC1","Site QA","Civil"
"cae6d94c-d8f0-4348-9344-763849d5b4bd","","work-in-progress","","folder","TRUE","FALSE","BC1","Site QA","Civil","Drainage"
"6b21a2f4-77bb-41a4-9edc-60e275c11b87","","not-started","Civil - Drainage Checklist","checklist","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage"
"d3522c82-964e-57cb-a66f-96e9dc286b05","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage","Pre-start"
"f69602b6-2cbc-5871-8db7-ea75d09bcd1b","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Pre-start","Upload drawings / check services depths, confirm location, filling/digging"
"f95f1728-b94e-5a80-b7ff-6e8e39123631","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Pre-start","Clear work area"
"0ab219e6-4796-5038-acb2-7d85ba0da618","","work-in-progress","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Trenching"
"bd89002d-297b-50f4-903d-4f240de436de","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Trenching","Delineation of area"
"d7b135f0-b425-5ad9-871a-3dfe4af26833","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Trenching","Benching appropriate for ground conditions"
"8b1f5a6a-813f-588c-9251-59c4698bac46","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Trenching","Safety of trenching conditions and edge protection"
"101ee71f-0cbe-5e59-ae81-8aee5afae759","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Trenching","Civil Eng inspection report received and close-out if unsuitable subgrade conditions exist"
"06f6d9e5-ed3c-516c-a4c6-e1ba394d7bde","","work-in-progress","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Installation"
"bfb5a06c-44ee-5a21-ba4a-e2965d327a11","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Installation","Confirm correct bedding material being used and spot check RL’s"
"f5b9ce89-3f1b-583f-bd9a-3c72f093a89d","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Installation","Manhole installation"
"b751ffde-9e1c-56bd-b941-b28a9079c180","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Installation","Pipes installed and correct junctions/connections"
"5e25ecb1-3461-5f3e-86de-2b3bf2414ed6","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Installation","Civil Eng inspection report received and close-out for first pipe run"
"17e12beb-620e-5e19-a5dc-39dfae3534fd","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Installation","Council inspection report received and close-out"
"7da0f330-b6f4-58e4-96e1-706866b64094","","work-in-progress","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Backfilling"
"6ea0770d-e78c-59ac-b2bb-e4428c416fb6","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Backfilling","Appropriate backfill material"
"569c8ad7-3837-5dce-b9c9-3db0a4874712","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Backfilling","Backfill at 150mm lifts and compact as per Civil spec"
"f6a11508-2114-56c2-ade6-68fbbe20691a","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Post Backfilling"
"ac1fc056-c32e-523f-bf9a-96a6f9590083","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Post Backfilling","Internal manhole works"
"c1952e6f-e8f3-5d98-a3a8-54c2113339f8","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Post Backfilling","Soakholes"
"d864a49c-e225-52b5-8f5b-2600762de074","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Wastewater","Post Backfilling","Drainage QA received and as built"
"75ae8183-27b1-48a9-b739-0cb3e2db7f0a","","work-in-progress","Civil - Drainage Checklist","checklist","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater"
"40491a58-b230-51c5-8172-87e717d8b00a","","work-in-progress","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Pre-start"
"545f3fe6-7407-5f11-96b8-1d3e93e36676","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Pre-start","Locates done on site – confirm no clash with pre-existing underground services"
"68a865b0-2aa4-596e-91e5-71bf0a91f24f","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Pre-start","Appropriate permits in place"
"8df0e952-1582-5553-8b65-e3ac0ca3179a","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Pre-start","GL and datum provided"
"b5e55257-81c9-5132-82f3-9e475af9cfd7","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Pre-start","Upload drawings / check services depths, confirm location, filling/digging"
"bbde923f-3840-5c2b-90fb-d7ba8fd3f4df","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Pre-start","Clear work area"
"3a4fd4ad-570b-5358-861c-727eb012dded","","work-in-progress","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Trenching"
"3699b85c-3504-51bb-8c79-015538b672c6","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Trenching","Delineation of area"
"75066961-11b5-5829-8649-2f9edca5c138","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Trenching","Benching appropriate for ground conditions"
"30ac9191-69bb-56df-adf4-e26f1d15970b","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Trenching","Safety of trenching conditions and edge protection"
"a1f59866-0e5d-54dc-bd9e-de0fdfc822b9","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Trenching","Civil Eng inspection report received and close-out if unsuitable subgrade conditions exist"
"ce0dab92-145f-521b-aa0a-f9e919797afb","","work-in-progress","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Installation"
"b3016a89-81ab-5692-a7b2-cb4f444c05ef","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Installation","Confirm correct bedding material being used and spot check RL’s"
"239e0dc2-e65f-5053-a481-2b1ffa9302a9","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Installation","Manhole installation"
"00368829-2e49-543a-b8a4-0f25249db061","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Installation","Pipes installed and correct junctions/connections"
"0d7cd988-3d33-5474-a810-b2f869182007","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Installation","Civil Eng inspection report received and close-out for first pipe run"
"f44c2f72-4d18-522b-b52a-8e812e61b426","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Installation","Council inspection report received and close-out"
"7b55727c-872f-562d-99ef-6300c06dd7e0","","work-in-progress","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Backfilling"
"c442e0b1-2649-53f7-bf1d-d4ee70cb37a0","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Backfilling","Appropriate backfill material"
"1250f8ed-d172-5930-88ea-d93009bee554","","work-in-progress","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Backfilling","Backfill at 150mm lifts and compact as per Civil spec"
"bfee3ca6-c352-593a-8163-c9d3eb08cb7e","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Post Backfilling"
"aac84ceb-d4b9-55d4-98d1-98217210294f","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Post Backfilling","Internal manhole works"
"7d5a0722-28c1-5967-9933-d725504093fb","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Post Backfilling","Soakholes"
"3d9cc2dc-a4ad-55ce-8cb7-529b2003abe1","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Drainage","Civil - Drainage - EPA - Stormwater","Post Backfilling","Drainage QA received and as built"
"f23134c1-6ad9-4027-8b1b-43eccfa2e36c","","not-started","","folder","TRUE","FALSE","BC1","Site QA","Civil","Roadworks"
"520966e6-fcab-4e68-9a2e-7fd9ff12688b","","not-started","Civil - Roads","checklist","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area"
"c0616696-8498-5f79-9ac5-9ccc4c4e0589","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Pre-Hand Over"
"c7ee6727-e312-53cf-ae70-1a065334135c","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Pre-Hand Over","In ground services QA and testing received"
"541f85c2-41c7-5990-bdf9-4f6d5ea3eb19","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Pre-Hand Over","Drainage works complete"
"32deb875-ef19-525b-afdc-c45efc964a08","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Pre-Hand Over","Road clear and ready for hand over"
"da734b2b-597f-5664-8281-fe34eb549b22","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Road Build-Up"
"3dc70bca-fc7a-57db-b04a-0e9e21a3f190","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Road Build-Up","Ensure road is built up in GP65"
"6c7464c9-299e-53e1-8b57-85dd75b823ea","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Road Build-Up","Ensure testing is completed."
"5346f887-37ea-52e5-8be0-18d578700ef0","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Channel Drains Install"
"95b658d8-16a5-5d40-b2db-6bb0bbaf6d0c","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Channel Drains Install","Correct RL to slab"
"8d9d83e9-95e3-5da8-abc7-623badd30fbb","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Channel Drains Install","Sumps installed"
"7560ddc1-ba35-5246-8e3b-f3d331cfa9c0","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Channel Drains Install","Channel drains QA"
"44f4eb5b-65bd-5151-964a-008321261500","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Channel Drains Install","Channel drains encased on concrete"
"f09077b9-ce34-5e45-9816-8e9e231c9c89","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Kerb Install"
"92576f31-8550-5e66-9300-37053aa53813","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Kerb Install","Layout/pre-pour"
"5cbcb32e-1a6b-590e-b732-c0378c115bbd","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Kerb Install","Saw cuts 4m spacing"
"9e388fd0-7600-58e6-a4b7-bceb5be0413f","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Kerb Install","Chip/cracks"
"d91e5406-9f80-5376-8c69-6418f27ac0a0","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays"
"644b8c26-38ee-58ae-b108-9b02ca4af9c4","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","Build Up"
"2e1c6423-91ce-528f-b23b-14d4e62640a5","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","1 layer 661 mesh 60mm top cover"
"8bb43c12-0b20-5518-a9af-581eb17aa53f","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","Trimmer bars at corners 2*D16 1200mm long"
"41f3b1ca-a541-5e94-8227-a381e02caaec","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","Trimmers around manholes"
"8c84996f-996c-50aa-ac7f-db5d856b511a","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","Refer Civil drawing 115"
"f21f322f-2e55-5f3d-82e0-84527cc79994","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","175mm 30MPa"
"5ad77c5c-d416-5429-b89c-2f50c09c2192","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","Chamfer at asphalt transition asphalt to sit 5mm proud."
"70d494bf-7c09-55a9-9704-4f35198fc1f0","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","Broom finish"
"2822d60b-3992-5f06-9d68-36718d1e2e8a","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Concrete Loading Bays","Saw cuts"
"2bd37bda-c169-59ba-88c7-27ebe75f69e0","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Walkway Install"
"b7a07762-d43d-55b2-8082-0c9d1cf7ca34","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Walkway Install","Water cure 7 days"
"d14f16ca-4816-5811-b9c5-422f3d6af51a","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Walkway Install","Chorus Tuds"
"cbfab4e0-0168-57f2-9654-b620d1edb82d","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Walkway Install","Build Up/Falls"
"b9e586bc-63a1-5e25-91de-2824fa09ed4e","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Walkway Install","Lay Walkway"
"6a31b8ba-873a-52a0-b997-f7241313bb94","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Manhole Lids Install"
"15f0f73c-b180-5250-9794-dc043590c6f0","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Manhole Lids Install","Set to proper RL and grade"
"13e33859-d08f-5c9b-9f6e-e24edee28137","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Road Install"
"cbdb904b-bf72-597f-8aa7-155efab7f064","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Road Install","100mm GP 40"
"4b5b6272-4818-5edb-a127-8704b4c53409","","not-started","","section","FALSE","FALSE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Line Marking"
"afe4a76c-f785-53be-8915-b2cf6493b5dd","","not-started","","checkpoint","TRUE","TRUE","BC1","Site QA","Civil","Roadworks","Civil - Roads/ Parking area","Line Marking","Layout as per Drawings"
"5946c711-8a07-41c7-8b0e-902cd5e15aac","","no-status-not-started","","folder","TRUE","FALSE","BC1","Site QA","Civil","In Ground Services"
"d35f2cf3-75e7-4490-a646-5e72ef4f3966","","work-in-progress","","folder","TRUE","FALSE","BC1","Site QA","Structure"
"46d1becd-1ceb-4679-ac71-62688dff1787","","pass","","folder","TRUE","FALSE","BC1","Site QA","Structure","Section Q1-Q4 - Pile"
"cf5e1753-b5e5-44ac-b746-c0b301b19043","","pass","Insitu Piles","checklist","FALSE","FALSE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) "
"ee136d56-9d0b-53e6-b8df-9d2b43f55842","","pass","","section","FALSE","FALSE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details"
"548ac759-fdc9-5d83-b3c7-4c9e59a88cc2","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details","Pile location marked and confirmed"
"f372f73c-d46a-5143-8e88-8e1cf0682ca9","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details","Pile Cage dimension and specification checked"
"c1298d35-7de5-5338-82ec-55e8e18d14c7","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details","Pile drilling Card - refer details with the approved pile schedule"
"dbfae015-3a8b-51b3-8a4b-b96b66f4f0ac","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details","Engineer Inspection"
"f10cb542-6c8c-5de3-8ec2-0b242a2a816a","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details","Concrete pour & docket received"
"c1167d4c-8858-50f1-932a-26423ef93921","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details","Mill Certificate received"
"de3f09dd-1db8-50e5-b4dd-e2ab63cd82e1","","pass","","checkpoint","TRUE","TRUE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP01, BP24, BP25, BP26, BP27, BP28, BP39, BP46, BP47, BP58 (W.e 4/2/2024) ","Details","Surveyworks Asbuilt check"
"b57c611d-2b7a-4da6-990e-9876464a74d6","","pass","Insitu Piles","checklist","FALSE","FALSE","BC1","Site QA","Structure","Section Q1-Q4 - Pile","Piles BP131, BP132, BP135, BP136, BP137, BP143 (W.e 4/2/2024) "
