Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,
boolean,d458790e-2324-5754-86c2-2dbbc8ed91c3,,tickbox,Flag Pole,"Yes, No, N/A",,,,,,,,,,
boolean,17a695d6-e7ae-5c65-af4e-129ff031948a,,tickbox,Hand Rail,"Yes, No, N/A",,,,,,,,,,
boolean,6fd70ed5-9126-5a5e-9f06-8bd573865a91,,tickbox,Lane Rope,"Yes, No, N/A",,,,,,,,,,
boolean,d088f3d6-49bc-5dbf-ae1a-1aaa6ddf8e53,,tickbox,Other Slab Inserts,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Bulkheads,,,,,,,,,,,
checkpoint-status,,,checkpoint,Diving Plinth,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pool Diving Patform,,,,,,,,,,,
checkpoint-status,,,checkpoint,Secondary Steel,,,,,,,,,,,
boolean,8633e58a-e8aa-5c1f-959d-32b18362a98f,,tickbox,QA Received,"Yes, No",,,,,,,,,,
checkpoint-status,,,checkpoint,Stair & Landing Concrete Finish,,,,,,,,,,,
checkpoint-status,,,checkpoint,Ceiling Construction - Overall Pass,,,,,,,,,,,
boolean,ff588738-7f80-53be-8f2d-e229420378f5,,tickbox,Seismic Restraints Installed,"Yes, No, N/A",,,,,,,,,,
boolean,73d05a5c-a919-5f18-9c9a-5ebf916d9c9e,,tickbox,Correct Ceiling Type,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Tiling Substrate,,,,,,,,,,,
label,8836db3a-0c22-5a5e-9dd7-b682a296b5f3,,note,Hawkins Check,,,,,,,,,,,
checkpoint-status,,,checkpoint,Relative Design Information,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,,,checklist,Postline External Soffit,,,,0,Yes,Postline External Soffit,aa3b5207-dbc8-40fe-8b9f-5718cffb9af6,,,,
checkpoint-status,,,checkpoint,Location Recorded,,,,,,,,,,,
label,2d2237f4-2c94-5f56-b82a-9ba026af5a56,,note,Zone / Level / Grid(s) recorded,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct Linings Installed,,,,,,,,,,,
checkpoint-status,,,checkpoint,Vaporshield Installed,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct Level of Finish Achieved,,,,,,,,,,,
boolean,17fa9aad-f1c8-5406-b5b6-3fb8e7d10e9f,,tickbox,Correct Colour,"Yes, No, N/A",,,,,,,,,,
boolean,00ffe3e6-7830-581e-84c3-c79010887faf,,tickbox,Correct Product,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Flashings Installed,,,,,,,,,,,
checkpoint-status,,,checkpoint,2nd Fix Services,,,,,,,,,,,
boolean,dba44c89-ca9d-51fa-b986-c310635ca399,,tickbox,2nd Fix Services QA Received,"Yes, No, N/A",,,,,,,,,,
checkpoint-status,,,checkpoint,Fire Rating Complete,,,,,,,,,,,
checkpoint-status,,,checkpoint,Relative Design Information,,,,,,,,,,,
