"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"352bf097-d621-46f5-b055-1dd656adfcca","","checklist-flat","pass","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"79bfed24-1812-509f-99d8-300e562907df","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"f03d9d67-c647-5ac3-9319-7836b7c580ae","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"6f410b5b-737a-54c2-b748-0e10ca63d405","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"339e9df9-a4c8-5568-98dd-81cf32c2d0a0","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"3fdb1e79-ff31-5f4e-9f79-2b319fa2bf9f","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"6426e837-e8ab-4234-bd8c-a6385a9418f6","Child Signoffs(8eca5d83-a2c9-5b28-85fb-911e06467390) -- Area Complete (Request MC Signoff)(09a46069-f0e5-5d2b-b589-eb15845a8262): Signoff Request Signoff(3615a6a0-db0c-5eb9-82b9-5f1db412965f) must be dependant","checklist-sectioned","work-in-progress","FibreTite Checklist","checklist","FALSE","FALSE","FiberTite Checklist 44 bowen  - Area:level 8 and 9"
"b5434c8f-6e72-57f2-8a42-57bc7f8a6e37","","checkpoint-group","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Pre Start"
"3bbb31a9-cc68-5702-ab5c-00ce7fd13da9","","checkpoint-group","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Securock"
"c272d2fb-5b4e-5599-b42e-af11a9471086","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Securock","Is the surface dry"
"a8cc5c93-9272-50a1-a196-57f670679b07","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Securock","Installed in brick pattern"
"db3b68eb-db53-5a92-ba20-a066c6497a63","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Securock","correct length screw with recessed flat plates"
"4f3b7b1f-466a-5cef-941a-7c28a00c30b6","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Securock","Installed as per wind uplift fixing plan for both edges and perimeters and main field of roof"
"123cb198-5295-5b8d-bddf-4c629ac04ead","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite"
"542e4ba4-4b63-5225-abca-bc88d2e03ff3","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Test weld with welding machine"
"bd62076b-b731-5e54-ad10-02c58091cb0c","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Adhesive installed to substrate"
"b5dbdd11-aa95-5007-bdfc-95f90c74b04a","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Laying of membrane into the adhesive"
"aa2e3e21-fa9d-5f91-bc91-e6c9e4fa788a","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Broom/rolling of membrane"
"59d9ecbc-bc2d-554c-8f60-0a456da6d45c","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Wipe and clean of laps prior to welding"
"b25d9a1e-457d-5ad7-8b37-58766c57e3ac","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Probe of seams with QA hook"
"93bde2b6-2f42-5f15-a4ef-1460611c5a6b","","checkpoint-status","pass","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Clamp and weld of outlets and overflows"
"d3231de2-d276-5828-9e52-f1442f3aee97","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","FiberTite","Flood test of outlets"
"ab3babf9-b41b-5bb0-b3cc-b29a4cb15643","","checkpoint-group","not-applicable","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Fiberclad flashings"
"51c3090b-f973-524c-92b8-bd00d84556fb","","checkpoint-status","not-applicable","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Fiberclad flashings","Installed correctly according to specifications (Right way around)"
"30532b02-25db-5775-a5d4-df1edc4bb6ab","","checkpoint-status","not-applicable","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Fiberclad flashings","Fixings and welding done according to specifications and details"
"0334d674-ce16-5150-8dc3-4c428d65ffdc","","checkpoint-status","not-applicable","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Fiberclad flashings","Probe of weld with QA hook"
"8eca5d83-a2c9-5b28-85fb-911e06467390","Child Area Complete (Request MC Signoff)(09a46069-f0e5-5d2b-b589-eb15845a8262): Signoff Request Signoff(3615a6a0-db0c-5eb9-82b9-5f1db412965f) must be dependant","checkpoint-group","not-started","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Signoffs"
"09a46069-f0e5-5d2b-b589-eb15845a8262","Signoff Request Signoff(3615a6a0-db0c-5eb9-82b9-5f1db412965f) must be dependant","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Signoffs","Area Complete (Request MC Signoff)"
"3615a6a0-db0c-5eb9-82b9-5f1db412965f","Invalid dependant","holdpoint","not-started","","","TRUE","TRUE","FiberTite Checklist 44 bowen  - Area:level 8 and 9","Signoffs","Request Signoff"
"74c6ef3b-441e-407b-96a1-a329e16741a5","","checklist-sectioned","work-in-progress","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist","checklist","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7"
"31692269-7d38-57dc-ac0a-3707b95f399d","","checkpoint-group","work-in-progress","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Pre Start"
"98f25864-54d3-5200-a9c8-1a12b2a04f65","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Pre Start","Area Accessible"
"ec72c00d-d7f8-596d-8740-3b625ac3071d","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Pre Start","Edge protection and safety installed"
"c1437c2e-01fd-55fa-bd5a-8cb1b293d738","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Pre Start","Substrate complete and ready for SWP"
"1668d0b2-0f57-5ca7-b103-dea4ad6202b3","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Concrete Substrate"
"344f3c6c-8995-5c88-aeea-4e42228146f8","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Concrete Substrate","Substrate clean and dry. Free from dirt/debris contamination and ready for membrane"
"a91122a8-e5ee-5635-b639-b6dabaa65bf6","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Concrete Substrate","All lumps and sharp concrete bits ground/hammered down"
"27101ad8-28f7-5995-b26d-a515e6a8eab4","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Concrete Substrate","Large holes filled with grout"
"2eb0dfd7-ec7f-5aef-842c-93f90f595659","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Vapor control layer"
"22ac5808-355f-5407-8b72-a8682da74e83","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Vapor control layer","Substrate clean, dry, free of debris"
"ef731b15-e9ee-551e-9021-ab107e254272","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Vapor control layer","Installation of SA primer"
"c6c88b52-8edb-5901-970a-fced6cb5b29b","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Vapor control layer","Install VCL over primer sheets lapped minimum 50mm"
"8ca74f94-f6c3-51f8-aec4-ba2ecaa4d592","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Vapor control layer","All holes/penetrations patched and watertight"
"bda50e2d-ed6a-56d9-9398-d751c82b7aa4","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Insulation"
"c9afd9d8-ad8c-5e8d-a9bf-56a1f712e0fc","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Insulation","Surface is dry prior to install"
"6f6b86c4-9a2c-5587-85b8-c5bba7528915","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Insulation","Vapor control layer has been checked and no damage"
"9e042eee-85f6-5289-884d-ed0d7790e8a9","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Insulation","Install SA primer to top surface of VCL"
"64dfef82-627d-5f0d-806c-a399755a0f52","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Insulation","Install Board bond 600u in specified pattern"
"9f036dd5-6b43-5dc6-9fef-482be916139a","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Insulation","Insulation boards installed"
"4603d44c-8549-5786-a1b2-0d9294426343","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Insulation","Joints flush (no gaps between boards)"
"258f4f72-545f-5276-9973-94599935eedc","","checkpoint-group","not-applicable","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","ILD install"
"7091ef80-3608-57a9-90a1-53dce857c639","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","ILD install","SS mesh laid flat over all surfaces"
"d6a61dd3-2b7c-5762-bea3-052870c48a59","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","ILD install","Testing wire installed"
"7f6bda46-ea90-568e-b0d4-586752179031","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Roofboard"
"3d5864e9-a568-577e-89af-ac0c4258f664","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Roofboard","Surface is dry prior to install"
"e5c82bb4-492a-58e7-a8ef-79c1f39c4380","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Roofboard","Install board bond 600u in specified pattern"
"30185957-f51d-5968-8b11-e8c2196183cb","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Roofboard","Roof board installed in brick pattern where possible"
"e96fe5b8-6bd5-5080-8b5d-d300d1886b09","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite"
"26fc33c8-a2cd-5278-9f56-f93faefda64d","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Adhesive installed to substrate"
"087659aa-c26c-5806-95cd-db22484a757c","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Laying of membrane into adhesive"
"83e7cfe2-cb2d-58d6-a273-d4c8ad7a6e49","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Broom/rolling of membrane"
"129f3624-4bfc-5407-bacc-f435f3eb762a","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Wipe and clean laps prior to welding"
"c074950c-19cd-5896-81f4-794c79539f5d","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Test weld with the welding machines"
"b1f20163-c3e8-532b-9d3c-34aee54834ec","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Probe of seam with QA hook"
"bcb970b3-7f57-5cc2-9f36-8ba0937ab1ad","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Membrane dressed into drains/outlets"
"b8378cf0-f1b4-5326-8370-7b090d5181fe","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Claps/rings/baskets installed"
"dc054211-4db0-5f65-a36d-94f0ece4eeb6","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fibertite","Flood/ILD tested"
"2f238e21-4867-5762-a55a-1cdf2c5f0fb2","","checkpoint-group","not-started","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fiberclad Flashings"
"0c7e0afa-efdd-54ac-bfc6-004c0ef4bf0c","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fiberclad Flashings","Installed correctly according to specifications (right way around)"
"a8e6e3b8-971d-507c-8983-6ad4e176dba7","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fiberclad Flashings","Fixings and welding done according to specifications and details"
"90d79e70-4883-5c6c-8fa0-d35a8fed965c","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Fiberclad Flashings","Probe of weld with QA hook"
"a3b274f6-c4bf-56df-9a91-b5b988f66ec5","","checkpoint-group","not-started","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Review and Sign Off"
"1939f6f3-ea59-515e-b3d5-c3627b1cb436","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Review and Sign Off","Area left clean and tidy"
"539349b8-485b-5f6f-ae91-640a7ea5eddf","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Review and Sign Off","All installation work complete, checked and reviewed as per specification"
"35069f3b-d472-5674-8c83-f2c3ce7a5299","","checkpoint-status","not-started","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist level 7","Review and Sign Off","Client / Main Contractor sign off"
"9510784c-38f4-4ff1-ab66-da7219acae4a","","checklist-sectioned","work-in-progress","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist","checklist","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom"
"5d937f29-dc12-55c3-9266-54fc9dc82647","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Pre Start"
"52c97b8f-a27f-59ec-9835-211c3cdeaad2","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Pre Start","Area Accessible"
"725788ab-d4c2-50bb-a9f2-71a38eee91e0","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Pre Start","Edge protection and safety installed"
"d333dabe-0117-5327-b297-786071d11662","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Pre Start","Substrate complete and ready for SWP"
"bda0081f-67b5-5146-8ffd-38dfbd429b7b","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Concrete Substrate"
"34e32462-a898-5fce-bb22-51a024329311","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Concrete Substrate","Substrate clean and dry. Free from dirt/debris contamination and ready for membrane"
"c06d7277-3e65-5b0a-ab53-095f0f0d61dc","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Concrete Substrate","All lumps and sharp concrete bits ground/hammered down"
"bf57b4da-c9ab-5f03-a831-aeed57129824","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Concrete Substrate","Large holes filled with grout"
"5a40abc3-02b4-5138-8ea5-ccf95186af20","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Vapor control layer"
"1b0158ef-d373-5724-a4a3-774a7409b6ec","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Vapor control layer","Substrate clean, dry, free of debris"
"a5430d98-be2f-5585-9738-e0c7aba0fe3d","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Vapor control layer","Installation of SA primer"
"63c06676-1246-5473-a913-72e87382ff10","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Vapor control layer","Install VCL over primer sheets lapped minimum 50mm"
"dbb02ed8-19d1-597f-83ef-3e051d64b858","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Vapor control layer","All holes/penetrations patched and watertight"
"cc171814-935e-5913-a272-a1c934265c83","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Insulation"
"870df4fa-573a-5c66-8b83-f93dd7c21cc1","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Insulation","Surface is dry prior to install"
"2aed7a5f-d727-5008-9a29-8cda3a08d7c6","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Insulation","Vapor control layer has been checked and no damage"
"d9d13809-cfe0-5719-93de-6d18bf800d8b","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Insulation","Install SA primer to top surface of VCL"
"d61f1c71-95fb-59cd-9fcf-2b9d60775c03","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Insulation","Install Board bond 600u in specified pattern"
"c4a793a1-4a48-5e98-8263-6d4a79ec066c","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Insulation","Insulation boards installed"
"6c44a82c-185c-524f-aa02-1a1953316be1","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Insulation","Joints flush (no gaps between boards)"
"16bcb56c-6cb2-5600-bc7a-72150ed33450","","checkpoint-group","not-applicable","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","ILD install"
"5cd71876-91b5-515a-bd6a-12361ecc41c6","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","ILD install","SS mesh laid flat over all surfaces"
"adea8054-37de-5229-bd1b-3d2b0c29d7a9","","checkpoint-status","not-applicable","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","ILD install","Testing wire installed"
"5b935609-d8a3-5471-aa40-2f558775df3d","","checkpoint-group","pass","","","FALSE","FALSE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Roofboard"
"169633d4-4196-5758-bf43-873c6cb61d36","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Roofboard","Surface is dry prior to install"
"68ccea9e-98d2-5a38-81f7-8ac0b7322c45","","checkpoint-status","pass","","","TRUE","TRUE","SWP - QA - Fibertite Warm Roof Over Concrete Fully Adhered Checklist  level 8 Plantroom","Roofboard","Install board bond 600u in specified pattern"
