"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b4bd17f8-9a3f-4ebc-b530-c9e632a8e424","","checklist-flat","pass","145daa2aaf83ce100e03308fa2592b119272de55359c236a0b0a3350dee5e8a6","checklist-flat","FALSE","FALSE","Job Details"
"988c93c1-ee55-4f13-8680-dba4b9bfc4e6","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"69ca30a8-388c-4243-a47e-725981d90278","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"ea81aac3-b0be-477d-81fd-8022384c1c70","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"56eb1e80-078c-4e89-9de9-985dfc7edceb","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"a11e67e2-16b5-42ce-b985-97abf3e99ed3","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"50f585bd-cf31-42ba-8bf8-f88d8abecaaa","Child Signoffs(cd232b88-940f-4921-a34e-c643f1f512f8) -- Area Complete (Request MC Signoff)(54303386-f29f-426f-8274-c0fe43e6761f): Signoff Request Signoff(45df9b0e-9223-41dc-856c-513f22907a70) must be dependant","checklist-sectioned","work-in-progress","FibreTite Checklist","checklist","FALSE","FALSE","FiberTite Checklist - Area:main roof"
"18c6a54a-efce-4885-84ab-b5dd3a674c1e","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Pre Start"
"e1966bcf-4c3b-478f-ae1f-72dd0dc8ad3d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Securock","Installed in brick pattern"
"4082091e-7b1a-4c61-8a3d-44891df7d8d9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Securock","correct length screw with recessed flat plates"
"57bedd85-e8a0-4f41-b584-0bdf7520e992","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Securock","Installed as per wind uplift fixing plan for both edges and perimeters and main field of roof"
"76d7e704-4141-49da-b768-26b9a1deef09","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite"
"254b6610-a1b4-4f3a-b146-6d7572f0cc86","","checkpoint-status","not-applicable","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Test weld with welding machine"
"7810ac18-036c-4c6e-a970-48c19e1a2245","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Adhesive installed to substrate"
"e2cd8fcb-019f-4956-92d4-b2dcc9c4b25e","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Laying of membrane into the adhesive"
"128a0bfd-c4e8-439c-8d50-ad517cb6ccf1","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Broom/rolling of membrane"
"803e160b-1d6c-45cd-8c07-28c009d9aaf5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Wipe and clean of laps prior to welding"
"2a5ccdad-20b3-4fe4-a84b-7e5013505000","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Probe of seams with QA hook"
"8723d453-eb54-401b-909b-cc01e35a5f9d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Clamp and weld of outlets and overflows"
"5134aa79-372a-439f-b677-951d580ed2a9","","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","FiberTite","Flood test of outlets"
"47cc3e96-8295-42d4-946c-6660c59e90d7","","checkpoint-group","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Fiberclad flashings"
"4f0649db-34ec-411f-b546-18dce0948fa8","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Fiberclad flashings","Installed correctly according to specifications (Right way around)"
"844afebe-7b19-45dc-9d1e-5e570e961da8","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Fiberclad flashings","Fixings and welding done according to specifications and details"
"f0673d5a-602f-46dc-ba49-3297e4c5c862","","checkpoint-status","work-in-progress","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Fiberclad flashings","Probe of weld with QA hook"
"cd232b88-940f-4921-a34e-c643f1f512f8","Child Area Complete (Request MC Signoff)(54303386-f29f-426f-8274-c0fe43e6761f): Signoff Request Signoff(45df9b0e-9223-41dc-856c-513f22907a70) must be dependant","checkpoint-group","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Signoffs"
"54303386-f29f-426f-8274-c0fe43e6761f","Signoff Request Signoff(45df9b0e-9223-41dc-856c-513f22907a70) must be dependant","checkpoint-status","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Signoffs","Area Complete (Request MC Signoff)"
"45df9b0e-9223-41dc-856c-513f22907a70","Invalid dependant","holdpoint","not-started","","","TRUE","TRUE","FiberTite Checklist - Area:main roof","Signoffs","Request Signoff"
