resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.GROUND,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.GROUND,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.UPS.SERVER ROOM,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.SERVER ROOM,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,Level 1,,,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 1,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 1,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 1,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,Level 2,,,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 2,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 2,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 2,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,Level 3,,,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 3,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 3,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 3,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.PATHOLOGY,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,Level 4,,,,,,,,,,,,,
,,step,,,,,,DB.UPS.LEVEL 4,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.LEVEL 4,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.LEVEL 4,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ROBOT,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,Level 5 / Roof,,,,,,,,,,,,,
,,step,,,,,,DB.ROOF,,,,,,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names),,checklist,,,,,,,Rough in,,,,,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names),,checklist,,,,,,,Cut out,,,,,,,,,,,
AE-ITCX-031 - Fit-Off General Checklist (Rev 0 +Names),,checklist,,,,,,,Fit off,,,,,,,,,,,
AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),,checklist,,,,,,,DB Fit off,,,,,,,,,,,
AE-ITCX-032 - Electrical Commissioning Checklist (Rev 0 +Names),,checklist,,,,,,,Commissioning,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,Tray Installation,,,,,,,,,,,,,,,
,,step,,,,Basement,,,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,,Service Tunnel / Plant Rooms,,,,,,,,,,,,,
,,step,,,,Ground Floor,,,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,,Ground to Roof (Riser Tray),,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,,Plant Rooms,,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,Level 1,,,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,Level 2,,,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,Level 3,,,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,Level 4,,,,,,,,,,,,,,
AE-ITCX-008 - Cable Tray Checklist (Rev 0 +Names),,checklist,,,,Level 5 / Roof,,,,,,,,,,,,,,
,,step,,,Mains Reticulation,,,,,,,,,,,,,,,
,,step,,,,MSB Installation,,,,,,,,,,,,,,
AE-ITCX-011 - Main Switchboard Inspection Sheet (Rev 0 +Names),,checklist,,,,,MSB1,,,,,,,,,,,,,
AE-ITCX-011 - Main Switchboard Inspection Sheet (Rev 0 +Names),,checklist,,,,,MSB2,,,,,,,,,,,,,
AE-ITCX-011 - Main Switchboard Inspection Sheet (Rev 0 +Names),,checklist,,,,,MSB3,,,,,,,,,,,,,
AE-ITCX-011 - Main Switchboard Inspection Sheet (Rev 0 +Names),,checklist,,,,,GEN-MSB,,,,,,,,,,,,,
,,step,,,,MEN and MSB CT & Meter Panel Installation,,,,,,,,,,,,,,
AE-ITCX-012 - MEN & MSB Meter Panel Checklist (Rev 0 +Names),,checklist,,,,,MSB1,,,,,,,,,,,,,
AE-ITCX-012 - MEN & MSB Meter Panel Checklist (Rev 0 +Names),,checklist,,,,,MSB2,,,,,,,,,,,,,
AE-ITCX-012 - MEN & MSB Meter Panel Checklist (Rev 0 +Names),,checklist,,,,,MSB3,,,,,,,,,,,,,
AE-ITCX-012 - MEN & MSB Meter Panel Checklist (Rev 0 +Names),,checklist,,,,,GEN-MSB,,,,,,,,,,,,,
,,step,,,,Consumer Mains Installation,,,,,,,,,,,,,,
,,step,,,,,MSB1,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,Mandatory testing,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,Torque Settings,,,,,,,,,,,,
,,step,,,,,MSB2,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,Mandatory testing,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,Torque Settings,,,,,,,,,,,,
,,step,,,,,MSB3,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,Mandatory testing,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,Torque Settings,,,,,,,,,,,,
,,step,,,,,GEN-MSB,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,Mandatory testing,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,Torque Settings,,,,,,,,,,,,
,,step,,,,DB Installation - (Top of Main Switch Only),,,,,,,,,,,,,,
,,step,,,,,House/Common Area,,,,,,,,,,,,,
,,step,,,,,,DB.UPS.BASEMENT,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.ESS.BASEMENT,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.NESS.BASEMENT,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.HYDRAULICS,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
,,step,,,,,,DB.TUNNEL.,,,,,,,,,,,,
AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),,checklist,,,,,,,Torque Settings,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,,checklist,,,,,,,Mandatory testing,,,,,,,,,,,
