"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4c7bc325-759e-4dec-a623-5598a487f836","","","","folder","TRUE","FALSE","Site QA"
"0cf95069-3cd1-470b-95c2-6f0023ad45fd","","","","folder","TRUE","FALSE","Site QA","Ground"
"567fd4c0-ba64-44a1-9216-1e8854257ab8","","","Lobby","checklist","FALSE","FALSE","Site QA","Ground","West Tower Residential Lobby"
"0fb877e4-1a3e-4e7c-b4d9-5a6fbce49294","","","Lobby","checklist","FALSE","FALSE","Site QA","Ground","East Tower Residential Lobby"
"db0cffed-e9ac-4026-a6e0-0df91a13686b","","","Lobby","checklist","FALSE","FALSE","Site QA","Ground","Hotel Lobby"
"f0181950-5ec0-4256-9cb1-3ecfb1150fd9","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","Ground","Hotel Staff Locker Room"
"94852bf5-986a-4e9b-9b2b-1d0c628569d7","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","Ground","Hotel Lobby Toilets"
"86fad516-e38c-4256-b6e4-19552b0ffbf9","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","Ground","Pub Kitchen"
"cc984841-366c-4385-9b78-a2e3cb741517","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","Ground","Pub Toilets"
"27e8d090-7059-44ed-aebe-9feb7e82e4c2","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","Ground","Pub"
"142f5b55-4cd7-4735-aabd-903f9c9b1498","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","Ground","Gaming Room"
"28b592cf-5126-4e10-97ae-54ff784c642b","","","","folder","TRUE","FALSE","Site QA","Level 1"
"379598d1-840a-400f-aba5-7f920a5d768f","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 1","West Tower Lift Lobby"
"355380f5-a65f-421a-865a-a931eb286f2a","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 1","East Tower Lift Lobby"
"11bd0a9f-4826-4c5f-9f9f-48b0c68123d8","","","","folder","TRUE","FALSE","Site QA","Level 2"
"35e6100f-3a0a-4ef2-8e76-372138f26531","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 2","West Tower Lift Lobby"
"7a92bf92-6e6a-42fb-a749-ae584a01a229","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 2","East Tower Lift Lobby"
"31f949c1-361e-4422-ad24-bbc4b128295e","","","","folder","TRUE","FALSE","Site QA","Level 3"
"30db35e0-52c6-4f21-8b1e-317684266272","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 3","West Tower Lift Lobby"
"a2639209-5fed-4c04-ad2a-a23bfa9c3f51","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 3","East Tower Lift Lobby"
"f5d163a6-eb4e-4ff0-a550-a52a8dbc181d","","","","folder","TRUE","FALSE","Site QA","Level 4"
"2d13947b-20f0-4388-aafb-551f34d88d12","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 4","West Tower Lift Lobby"
"58f017c1-521d-458d-9468-8095826b6f76","","","Lobby","checklist","FALSE","FALSE","Site QA","Level 4","East Tower Lift Lobby"
"b2a8e649-7b0d-4bbc-92ea-02e1f73ff36b","","","","folder","TRUE","FALSE","Site QA","West Tower"
"1817e8ee-343e-4266-9319-955cbb6edc7e","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5"
"a125086d-ac29-4c4c-ac9b-829a5b6fe27a","","","Lobby","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","Lobby"
"86677bb0-a0be-4ca4-9458-bf6843aaaa9e","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","501"
"d787a806-6440-41ff-a14b-8b8ce715d127","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","507"
"1957411b-8109-42c4-b0a5-c0aca09ef786","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","507","Kitchen, Lounge & Dining"
"042d0043-0455-495c-8d82-dd308dce3147","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","507","Bathroom & Laundry"
"ea82487f-4e8c-45d0-938f-e74ac0c78c53","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","507","External Wet Areas"
"31088c9a-a191-4dee-8413-ec67bfff0d11","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","508"
"807135bc-cbc8-456d-a219-28814ad5437f","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","508","Kitchen, Lounge & Dining"
"42bef3ee-b95d-426f-9e62-447e5a00964c","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","508","Bathroom & Laundry"
"b7b9a19f-34a5-4ce0-ba64-bf20572125ee","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","508","External Wet Areas"
"5910b9fc-9100-4eb5-9550-248995a98458","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 5","509"
"c59e5b28-9d30-440e-9d26-bfea32806dd2","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","509","Kitchen, Lounge & Dining"
"9d322d2d-3b3a-48ed-bc99-b66fed2d2e7e","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","509","Bathroom & Laundry"
"d6dfd2bc-bfd7-4009-8059-c4249f8a4b25","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 5","509","External Wet Areas"
"fd176204-7bac-441e-b1a6-e4310f8b103a","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6"
"41794a5a-6340-497a-9010-716efe34dd3c","","","Lobby","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","Lobby"
"0ae69fd5-7de4-4f42-bd74-ad993ca522d1","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","601"
"aa43aadd-b3da-4df5-886f-20cc96d9e847","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","601","Kitchen, Lounge & Dining"
"bd6654c4-ca0b-40db-8be7-afb5651231cc","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","601","Bathroom & Laundry"
"64dbfa46-2a1d-4381-8208-7ee25b3ccc78","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","601","External Wet Areas"
"d9a66d44-4b59-463e-b3c5-5c8fe738a19c","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","602"
"03a45773-38c8-4c4f-b749-6cc4d5574c17","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","602","Kitchen, Lounge & Dining"
"f48bd3e4-1c8b-4213-91eb-1d322fb6c268","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","602","Bathroom & Laundry"
"93a683f4-cf4b-4a8a-a9e8-e07171deafd6","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","602","External Wet Areas"
"f083d5eb-993d-4572-b587-69be520ac9d6","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","603"
"867d0047-e57b-403e-96dd-53e427965f67","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","603","Kitchen, Lounge & Dining"
"d2233ea2-3c0e-43a4-aeaa-ced2d089726a","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","603","Bathroom & Laundry"
"35a18cfc-e014-40c1-86e5-7bdd91c6195d","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","603","External Wet Areas"
"dd677115-4c95-4f37-bf0f-5b82df4a2866","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","604"
"dca3d075-93e2-46c3-8244-adabef4a75dd","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","604","Kitchen, Lounge & Dining"
"06334fd2-f07f-4ce8-a958-d1d64c10cbee","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","604","Bathroom & Laundry"
"cce091a1-e60e-4cb9-8d7b-30b952985c64","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","604","External Wet Areas"
"8cff3d7e-a4c3-4bd1-8765-b9475ec272d2","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","605"
"a62ab16e-1e2d-4d51-b492-1076fd4ef0d6","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","605","Kitchen, Lounge & Dining"
"f2b21915-368f-40ba-876e-28652cd36d4b","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","605","Bathroom & Laundry"
"d1b7a89d-a500-4efe-9628-c9a951ee8147","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","605","External Wet Areas"
"ebd5edca-db5b-497d-833e-98c49a0f75ad","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","606"
"778bbaaf-8a7e-4e38-bf15-28c1d8920485","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","606","Kitchen, Lounge & Dining"
"ec071771-53f2-4729-a705-affe4ae44d80","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","606","Bathroom & Laundry"
"b7ba02b3-631a-4cc6-b17c-fc9b05935cda","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","606","External Wet Areas"
"1d1bf5d7-79d6-490e-b166-9e99b84366f5","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","607"
"20fde152-0ff4-4641-8b9e-95861d326944","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","607","Kitchen, Lounge & Dining"
"b53a46d8-f824-4efe-95cd-2c249e7effed","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","607","Bathroom & Laundry"
"df7f75ad-720c-47f0-a069-7b80fa21dcb0","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","607","External Wet Areas"
"afb1d3a1-6b9c-4af9-a72f-dc94aa9f954a","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","608"
"2bb45b66-c908-4857-bf76-3c00b93bd857","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","608","Kitchen, Lounge & Dining"
"d5faa5f8-26d6-44ca-87c3-0d833fc9072b","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","608","Bathroom & Laundry"
"666e77c4-0ff6-4863-bc32-6a9d68a9f4d9","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","608","External Wet Areas"
"f8535ece-850c-466a-b223-07a13d93e8e6","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 6","609"
"19d56953-cdef-43d8-9c15-d7b314a4efaa","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","609","Kitchen, Lounge & Dining"
"372cc3b9-ae5b-4d8c-8c4a-9acfd8e6df64","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","609","Bathroom & Laundry"
"049baf5b-e7a0-4cd6-a276-d4e0840ac017","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 6","609","External Wet Areas"
"1145b5bc-6e3b-48b8-bd8f-e9bb69d96adc","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7"
"6af7f4e3-2b51-42df-8d71-2a6ffdb480c3","","","Lobby","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","Lobby"
"8d9dd816-a5eb-4a03-99a6-0d08901cce05","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","701"
"183e2d55-3427-4b4f-8ffb-859797b79f26","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","701","Kitchen, Lounge & Dining"
"c9fa9e77-3dba-47da-b259-a34012c321f3","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","701","Bathroom & Laundry"
"a6a006ae-2fa1-40db-b1ee-8141b1e55bb1","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","701","External Wet Areas"
"3dc20bbb-2796-41d8-b124-e342a7151c6a","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","702"
"be6eb869-04ce-4e04-b236-53d80752cbf7","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","702","Kitchen, Lounge & Dining"
"161cdd4e-5ec3-43f1-a7a8-8f3dc468f564","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","702","Bathroom & Laundry"
"cc1c0fd1-ded3-4696-9513-710ebb62a81b","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","702","External Wet Areas"
"a7886522-64c6-46ed-bd52-e077e43a757b","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","703"
"ad3e3d71-6d1f-483b-aa7c-e87ab569f17b","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","703","Kitchen, Lounge & Dining"
"b1890c75-c754-45bf-bcd5-a161cf4dc374","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","703","Bathroom & Laundry"
"92c71157-5774-4c8c-99dd-f85721711751","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","703","External Wet Areas"
"07401acb-a81d-4502-9be8-29ecfbb38351","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","704"
"8f9b0ae5-da5c-4c6c-b36e-3a77e93adf13","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","704","Kitchen, Lounge & Dining"
"c273c40a-892a-4038-9a65-b5414f751666","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","704","Bathroom & Laundry"
"3b9e556d-8cab-453d-8fda-f1147982549e","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","704","External Wet Areas"
"f0b3ffc4-f58d-4d87-ad28-c48ad01a67c0","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","705"
"aedf5309-2928-45cb-b9f5-30a7eee83b80","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","705","Kitchen, Lounge & Dining"
"c4df9865-f10e-4658-9059-e8f11778a575","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","705","Bathroom & Laundry"
"7c22656a-13f9-4357-b35b-245dcc5eefb8","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","705","External Wet Areas"
"c02a0d97-1670-4cd8-9c4f-450cbda74cff","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","706"
"3aab5e10-ddcd-46d8-a3f2-d71bae6b7503","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","706","Kitchen, Lounge & Dining"
"71198afe-7c93-4e87-a678-0d22bbcaa29e","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","706","Bathroom & Laundry"
"60e0d239-1589-43d9-bc8d-e7aebcd9075d","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","706","External Wet Areas"
"da664227-c5b9-4edc-beab-b64b94434844","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","707"
"2af05004-9865-4cfe-a194-479baa79a03a","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","707","Kitchen, Lounge & Dining"
"1b934128-83f1-4dee-991f-14cd71256b6f","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","707","Bathroom & Laundry"
"26feb0f0-3ec1-4ea7-8ace-36c259675826","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","707","External Wet Areas"
"ce0cac45-105f-4d98-8f30-b8b66790e56d","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","708"
"ba63c1be-9355-42c8-abf8-d5ea4b8ca9e4","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","708","Kitchen, Lounge & Dining"
"732c0832-0c7d-4890-9a10-742bd8d6ab73","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","708","Bathroom & Laundry"
"65ceb3c2-e877-4eb0-a28e-f8b01cdb5dea","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","708","External Wet Areas"
"fac4e2c8-5751-4486-bc46-094bd5393f6e","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 7","709"
"2aa21301-614f-4aea-a9c7-adb8f37f4e4f","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","709","Kitchen, Lounge & Dining"
"e691a7fc-8a58-4d67-a238-bc5085392b24","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","709","Bathroom & Laundry"
"f22ab6ed-45a5-4c25-a740-b03b66e55d03","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 7","709","External Wet Areas"
"5f03a41a-51fc-43b6-ba76-fdfdc8e92365","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 8"
"75d8847a-f384-477b-b73c-7e3f0e01f87a","","","Lobby","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","Lobby"
"d9f5855f-499d-4eef-87b0-1a1d3aeed756","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 8","801"
"e039597b-e090-4e52-9fad-031e50405d1d","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","801","Kitchen, Lounge & Dining"
"d00cacc2-5143-418f-bca8-2b5ded400648","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","801","Bathroom & Laundry"
"91f749e4-0c9b-4084-9c31-a2157d136f52","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","801","External Wet Areas"
"5fc27aa4-949e-46f8-a2d0-b9f2bca4cabf","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 8","802"
"28bcb502-eb20-4247-b590-f359434f5de5","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","802","Kitchen, Lounge & Dining"
"56e72723-71e3-4ff2-a17d-825d782d6d1d","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","802","Bathroom & Laundry"
"e3559e57-a608-4a2b-8668-ce7b1e176662","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","802","External Wet Areas"
"d76c4331-b7fc-4465-a599-12ca608a8057","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 8","803"
"1da44e6c-5e01-4328-a90a-fe6ee5ca0808","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","803","Kitchen, Lounge & Dining"
"2481f7e7-29fd-4661-be16-a03f0c481630","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","803","Bathroom & Laundry"
"a8f25263-1fdf-4ddb-ae00-d80017fa0a61","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","803","External Wet Areas"
"430b0f18-cf39-4d41-933a-cb691e7e70b9","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 8","804"
"fbbcf22e-dfac-4549-9313-a89fb49b03e8","","","Kitchen, Lounge & Dining","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","804","Kitchen, Lounge & Dining"
"aa44db69-f6d0-4f8e-aace-efccf67bd32a","","","Bathroom & Laundry","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","804","Bathroom & Laundry"
"d3fcb4f4-8838-465e-bbf3-0c2dde3c409a","","","External Wet Areas","checklist","FALSE","FALSE","Site QA","West Tower","Level 8","804","External Wet Areas"
"af043424-81e4-48b0-a7e1-e7205f3b53f7","","","","folder","TRUE","FALSE","Site QA","West Tower","Level 8","805"
