"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"df302a38-8d6d-42d6-9b0d-813786e8ea81","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"45be4b7f-8814-47ca-aaa8-987c58a84163","","checklist-flat","not-started","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Structural Drawings"
"e1250702-8f16-42a7-a52d-67a5fc8569d5","","checklist-flat","not-started","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Survey As Builts"
"c37eca0e-e901-4097-a356-d97c53203722","","checklist-flat","not-started","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Pour Plans"
"2f870675-b2c7-4920-b7c7-f7a7ee03154f","","checklist-flat","not-applicable","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Progress Photos"
"14d2bd7a-3508-4355-ad0f-c25805cd2017","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft"
"50065f0b-7779-4cd6-859d-cbedc14046ee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Base Slab"
"9c575108-620b-4d68-8d37-1a44026ccb20","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Formwork Element Handover"
"6011b406-646f-41f6-89bc-ff05293a3c73","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Finished Element Handover"
"ec9c2214-c48a-4496-915a-a519816608a5","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Pre Pour ITP"
"188b8197-f2b3-427a-bd1a-8d9f3098dcec","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Concrete & Reinforcement ITP"
"5d9e753d-b021-4515-bd61-0504df616138","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","Formwork Stripping"
"af31a100-ab07-445e-a0b5-403163592a4a","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Base Slab","3rd Party Sign Off"
"69c98f5e-8f6c-45fc-91a8-ef2d561c5cd1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 2"
"69dd31da-c2df-4e60-bae8-c8567bc1e527","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 2","Slabs"
"ec2e350a-93bf-48a7-869d-29a8e51b5e3f","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Retaining Walls","Finished Element Handover"
"9bc688f7-c662-47c1-8a39-e99478db7888","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Retaining Walls","Pre Pour ITP"
"a776587a-4af9-457b-9793-f520a92a97d0","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Retaining Walls","Concrete & Reinforcement ITP"
"4d5c1130-41bb-46d6-b0c2-cfb8fb90b001","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Retaining Walls","Formwork Stripping"
"cdd3e881-60d6-4973-9e08-87078d0f053f","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Retaining Walls","3rd Party Sign Off"
"2674ca3b-fc9b-4e58-b499-5c3281688f2c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Waler & Strut Beams"
"a3c15b44-58ba-48be-b66c-108cb0a7901f","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Waler & Strut Beams","Formwork Element Handover"
"bc67feb3-3303-4e11-99a3-22e2e6c70d0d","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Waler & Strut Beams","Finished Element Handover"
"d9070c04-4284-4654-b66e-e9bd36d4fd45","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Waler & Strut Beams","Pre Pour ITP"
"6c5a89b9-e68b-4882-babe-e786c00e4e7f","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Waler & Strut Beams","Concrete & Reinforcement ITP"
"601b6440-2a46-4b79-aea0-75e5a6ede1fe","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Waler & Strut Beams","Formwork Stripping"
"9200dee1-3fdf-4376-9038-b28db9cbff54","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Waler & Strut Beams","3rd Party Sign Off"
"4e7070c2-7bcd-4965-a90f-5911bcd4046d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Columns"
"365d788b-20ea-4155-a160-5b38629b259e","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Columns","Formwork Element Handover"
"d2cccf1e-8c71-471f-a77c-136487e2f7d6","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Columns","Finished Element Handover"
"f1537eeb-ed79-437c-9f0c-3b8c3c4d964e","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Columns","Pre Pour ITP"
"6c90abcf-899e-4ecc-be78-606fbac4e412","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Columns","Concrete & Reinforcement ITP"
"90f8431f-2bba-43f9-a3a5-14e7e0d86572","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Columns","Formwork Stripping"
"2da727bf-f50e-4e27-a060-d2530bdd33cd","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Waler Level 1","Columns","3rd Party Sign Off"
"e6d1b69d-285a-4f61-be6e-48b9c97caf20","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Level 00"
"79cba753-32ee-4831-b61d-5896b2bd6f7b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Level 00","Slabs"
"1b9c1be5-e0a3-4e39-be39-7c6c0f946bb1","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Slabs","Formwork Element Handover"
"0eb74425-d798-49ec-959a-7fd3784d3f91","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Slabs","Finished Element Handover"
"709c357f-df40-4501-9f9d-5c5fb84e8195","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Slabs","Pre Pour ITP"
"def6506a-e803-4208-b84b-5ae7ee839848","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Slabs","Concrete & Reinforcement ITP"
"383cac2d-6d23-456e-bab4-ca17c8f4d452","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Slabs","Formwork Stripping"
"450faf0f-3bd0-48c6-a45d-db637256eb31","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Slabs","3rd Party Sign Off"
"41b08268-fb67-4426-bc28-e1665573279f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Level 00","Retaining Walls"
"8991e5a5-b507-44b3-9f9f-b026feb30e55","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Retaining Walls","Formwork Element Handover"
"3f0d50c9-800e-47a9-a396-1faec131fe70","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Retaining Walls","Finished Element Handover"
"e5e36c31-fe86-47f5-b6b7-d5406a8ee88c","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Retaining Walls","Pre Pour ITP"
"a2c5a7e6-9d7c-4e67-bebb-7cabe535539c","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Retaining Walls","Concrete & Reinforcement ITP"
"d973c0f4-843d-40be-adec-394980de85c2","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Retaining Walls","Formwork Stripping"
"605950bf-8b39-4243-adb7-ca19a11ef82f","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Retaining Walls","3rd Party Sign Off"
"ab145036-e752-40f4-867d-d96db2db75d4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Level 00","Capping Beams"
"09c8110c-bea6-4725-b9c8-179f954113a1","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Capping Beams","Formwork Element Handover"
"ca69929c-885c-4cfb-aa42-09700b09915d","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Capping Beams","Finished Element Handover"
"c8b53403-5dc5-468c-90bc-3bdaac582566","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Capping Beams","Pre Pour ITP"
"83424bf8-d376-40a4-bfe7-e6ca432ba5f4","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Capping Beams","Concrete & Reinforcement ITP"
"a469e1de-82db-4ef6-9500-de3123d48e72","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Capping Beams","Formwork Stripping"
"1c798245-f288-4458-9fae-b8889b0983da","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Capping Beams","3rd Party Sign Off"
"209504cb-1b20-45d5-a9fd-85e7fb264c1f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Shaft","Level 00","Columns"
"436de3c7-b58a-4dec-bbb4-80e736798751","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Columns","Formwork Element Handover"
"293a502d-5450-4095-a3e5-a992d43b1964","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Columns","Finished Element Handover"
"de774ecc-45c9-494e-aa79-fcf828c94419","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Columns","Pre Pour ITP"
"22519666-8407-47a9-ac16-2ffd2c66ac74","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Columns","Concrete & Reinforcement ITP"
"7fa51c9b-4ec0-4752-a3fc-56097c4a31e5","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Columns","Formwork Stripping"
"3ce33e86-d1b1-4c63-9d6c-d8016047f8c9","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Shaft","Level 00","Columns","3rd Party Sign Off"
"1ab9e4be-9055-4110-87fe-15410dbbe412","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Outlet"
"bcae2a7f-b0ce-42be-819e-4888124ea312","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Outlet","L01a"
"eb1fa7c8-f66c-4fb6-b30c-97830d46cb58","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Outlet","L01a","Slabs"
"1720fb81-5491-4e27-bb76-979c11fb242b","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Slabs","Formwork Element Handover"
"b84970a6-1c96-43e9-8c1c-18fcdb22f564","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Slabs","Finished Element Handover"
"866aa794-d5a7-49d9-b114-afe1656c24c4","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Slabs","Pre Pour ITP"
"dc75f1a8-fdd8-49e9-bc8e-9f858dfd9af4","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Slabs","Concrete & Reinforcement ITP"
"2ef260dc-b29f-4706-bb35-e5bf1722dc6f","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Slabs","Formwork Stripping"
"282e9386-563f-4ec9-ab39-fff4330fe25a","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Slabs","3rd Party Sign Off"
"ccc5e3aa-9974-4af7-abee-99e1ae4e38aa","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Outlet","L01a","Core Walls"
"7baba34a-421c-4436-bdca-04a0b1e49437","","checklist-flat","not-started","BKH IR 002 - Formwork Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Core Walls","Formwork Element Handover"
"a8d92aa5-8e59-46b6-b19b-848ee256d9da","","checklist-flat","not-started","BKH IR 003 - Finished Element Handover","checklist-flat","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Core Walls","Finished Element Handover"
"245e74ac-e5a0-4853-9dd4-c9effb235c3d","","checklist-sectioned","not-started","BKH-IR 001 Formwork Pre Pour Inspection Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Core Walls","Pre Pour ITP"
"f03f173f-0a41-4995-af80-eb0a065230f0","","checklist-sectioned","not-started","BKH-IR 005-Concrete & Reinforcement Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Core Walls","Concrete & Reinforcement ITP"
"44248ca3-00ac-47db-9f92-9fa44c6cb262","","checklist-sectioned","not-started","BKH - C692 - Formwork Stripping Checklist","checklist","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Core Walls","Formwork Stripping"
"025fe7e7-2bd3-4e8b-bc9f-0470446997a4","","checklist-flat","not-started","3rd Party Sign Off","checklist-flat","FALSE","FALSE","Site QA","Ventilation Outlet","L01a","Core Walls","3rd Party Sign Off"
"a3625a40-b233-4d17-a0d2-f5407580e6bf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ventilation Outlet","L01a","Columns"
