"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ce96fd72-8c70-44af-ba1c-3181e3dae6dd","","work-in-progress","","folder","TRUE","FALSE","Contract QA"
"e946b725-5229-47b2-aaeb-619f6a3017ca","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Whole Project"
"faa7de1e-c9c6-40ae-9772-8ec57b218d00","","work-in-progress","26.00 - Contractor's Site Establishment","checklist","FALSE","FALSE","Contract QA","Whole Project","CSF-26.00-LOT-001 - Site Establishment"
"214556fe-336a-45f1-a5a5-0da156a6771c","","work-in-progress","29.00 - Environmental Management","checklist","FALSE","FALSE","Contract QA","Whole Project","ENV-29.00-LOT-001 - Environmental Management"
"25a6790a-1713-40fd-8d03-e856f339a662","","work-in-progress","33.00 - Signage Installation","checklist","FALSE","FALSE","Contract QA","Whole Project","TTM-33.00-LOT-001 - Traffic Management"
"ed4c3b98-90bb-4aad-a309-454810367147","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Whole Project","Traffic Signals"
"100046e0-ac67-4dd9-bc9e-8427dfdd1f75","","work-in-progress","36.00 - MRTS92 Traffic Signal and Road Lighting Footings","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","PNC-36.00-LOT-001 - Traffic Signal Pits and Conduits Survey"
"378ab1f9-0176-4da6-a6ae-35f98201c443","","not-started","","folder","TRUE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits"
"b253f237-2335-4ce1-8fcd-b5420608d989","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-011 - Conduit Run - E07-E10"
"ca8e7d23-1390-4d62-a2a5-73d35b087c0e","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-012 - Conduit Run - C03-C05"
"5cc982b4-be27-42d3-8499-ecd2a5ec0f07","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-013 - Conduit Run - C03A-C03"
"94e049fc-54b6-4046-9880-866fb3915a70","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-014 - Conduit Run - E07-E08"
"0eae9a6a-d303-45d5-b1f7-4573581be3e8","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-015 - Conduit Run - E07-E04"
"d805c5ec-d417-4ae3-986b-8913ad58397b","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-016 - Conduit Run - E10-E12"
"3feb60aa-0245-4368-b61f-12c80d0c9b23","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-017 - Conduit Run - E12-E13"
"1189fa78-f464-4b02-9332-057a9afacac8","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-018 - Conduit Run - E01-E05A"
"42f45da8-32a5-4cb2-88b9-452e532fe2a2","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-019 - Conduit Run - E05A-E05"
"89036ed0-a3d4-4a7f-aed1-e6e636434f86","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-020 - Conduit Run - E08-E14"
"1d1ab6c5-bee6-4d5b-a09a-1ead9a4cb1cb","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-021 - Conduit Run - E14-E15"
"d198c85a-ea46-4425-a19f-12230083de2c","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-022 - Conduit Run - E15-E16"
"91fba8a5-720c-4958-91de-fdb519c65282","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Conduits","PNC-36.01-LOT-023 - Conduit Run - E16-FS"
"287dca21-c7e1-414e-903d-78e186be91c2","","not-started","","folder","TRUE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits"
"271f610e-64e1-4306-aa17-648e3530ba50","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-001 - Traffic Signals - Pit E01"
"dd3e7621-b806-45b9-a340-b36799809934","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-002 - Traffic Signals - Pit E02"
"5afcc497-b75c-4e25-8135-3379d5dea447","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-003 - Traffic Signals - Pit E02A"
"50287602-d538-487a-a01b-90481660e1ef","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-004 - Traffic Signals - Pit E03"
"31ba633b-d17f-4807-b278-93c25ab79266","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-005 - Traffic Signals - Pit E04"
"83a5a3e4-7f42-481d-aa92-9e29012760e1","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-006 - Traffic Signals - Pit E05"
"96885584-3a8f-4fe0-b23c-4a07fe5cd92a","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-007 - Traffic Signals - Pit E05A"
"f462ec5c-9d2f-46c9-83bc-0cd2a5104dd7","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-008 - Traffic Signals - Pit E06"
"f598e4a3-4249-48b9-8cc8-2d0840cf2e95","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-009 - Traffic Signals - Pit E06A"
"3e36eff8-e6ed-4fc1-b1c0-584e92ad77d7","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-010 - Traffic Signals - Pit E07"
"f09ea71e-d4f8-4383-85eb-a878cfd1225d","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-011 - Traffic Signals - Pit E08"
"25aeb198-c92c-4b59-80e3-28c6c7d8c45c","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-012 - Traffic Signals - Pit E09"
"f761c6e2-ebb9-408a-ba6d-67a8fabac680","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-013 - Traffic Signals - Pit E10"
"8482ce05-50ca-4497-b618-46e4d39afb66","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-014 - Traffic Signals - Pit E11"
"8f0ee405-3016-4d6a-ae3b-9307c684f2aa","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-015 - Traffic Signals - Pit E12"
"4bfcc922-452f-4fd9-9854-d89ca198d309","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-016 - Traffic Signals - Pit E13"
"ca007ba1-1d57-456b-ab12-611800c95d6d","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-017 - Traffic Signals - Pit E14"
"3e7c7209-c432-4cb5-97d7-ba3478303cfe","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-018 - Traffic Signals - Pit E15"
"97aecbc7-005a-43a8-87f6-3a6abbd4cc61","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-019 - Traffic Signals - Pit E16"
"3f354534-8358-459e-a01b-24b30f83a62d","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-020 - Traffic Signals - Pit C01"
"e3c6ac34-4671-45f0-8aac-ca7b86d30525","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-021 - Traffic Signals - Pit C02"
"333a7c07-5515-4469-bbf3-1eef48818a0f","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-022 - Traffic Signals - Pit C03"
"28a3e3d8-343d-4db7-a404-7e3dc8f288e1","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-023 - Traffic Signals - Pit C03A"
"a71b5cec-0f92-4654-b374-1182fee5ebb2","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-024 - Traffic Signals - Pit C04"
"4650e065-ffcb-4476-b8f3-c03a87d2b053","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Traffic Signals","Pits","PNC-36.02-LOT-025 - Traffic Signals - Pit C05"
"909661ae-4b54-483a-a296-9d22994f152f","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Whole Project","Rate 2 Lighting"
"d334ff57-e9dd-4574-a55b-9d2ac4a49094","","work-in-progress","36.00 - MRTS92 Traffic Signal and Road Lighting Footings","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","PNC-36.00-LOT-002 - Rate 2 Lighting Pits and Conduits Survey"
"d3993713-1044-4424-ae51-a85b2d588688","","not-started","","folder","TRUE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits"
"577ca995-5e89-45bf-85d1-a20b5a440e1b","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-024 - Conduit Run - 1-1A"
"5c8e0c41-7f84-411f-b8c7-ff0195599dde","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-025 - Conduit Run - 1A-2A"
"0b070691-033a-4f71-8e57-7d4bd67951c7","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-026 - Conduit Run - 2-2A"
"9b23f68c-ddbe-4676-8cc7-96ade04f48bb","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-027 - Conduit Run - 2A-3A"
"ce56174c-4c5b-4c92-93ec-1a44fa0b74bf","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-028 - Conduit Run - 3-3A"
"6f8297ad-85f1-46cd-9d68-cd47053abd5a","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-029 - Conduit Run - 3A-4A"
"bd22004f-b119-458e-b110-abaf980dd39f","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-030 - Conduit Run - 4-4A"
"dfd3f380-2bbf-440b-a5f6-733de21e096f","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-031 - Conduit Run - 4A-7"
"60f07354-d8db-4fc8-aa37-810e713b0ae5","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-032 - Conduit Run - 8-8A"
"6b5abf80-40b4-4b7a-86b9-77def7a339b7","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-033 - Conduit Run - 8-8B"
"8706ca14-5ed2-4fda-bf2e-891874ef5d46","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-034 - Conduit Run - 8-9A"
"fcc330b9-aa40-4f88-92c7-7bfecd82043f","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-035 - Conduit Run - 9-9A"
"a16e4cb6-c500-42c1-924c-02f4b10a0c48","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-036 - Conduit Run - 9A-10A"
"5cc76428-2628-449b-80f6-bf61f1998671","","not-started","36.01 - Conduits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Conduits","PNC-36.01-LOT-037 - Conduit Run - 10-10A"
"57156b21-55bc-4d25-b026-9e8c7fa97b94","","not-started","","folder","TRUE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits"
"c24c2cc9-3e60-440f-85d4-90dffa684ee2","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-026 - Rate 2 Lighting  - Pit 1"
"5decd6e3-4d07-47bc-9195-80c468e876f1","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-027 - Rate 2 Lighting  - Pit 1A"
"086df3bd-5078-4e66-a480-5a64db428481","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-028 - Rate 2 Lighting  - Pit 2"
"b85cfeff-966f-4a17-9206-d73852bf94d1","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-029 - Rate 2 Lighting  - Pit 2A"
"42c48210-74bf-423b-8b2b-06b6f9e965e9","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-030 - Rate 2 Lighting  - Pit 3"
"ace045fc-d21d-4612-adc2-e12bb3ff9a56","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-031 - Rate 2 Lighting  - Pit 3A"
"74f11ae9-75e7-4442-8878-058d55f480a9","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-032 - Rate 2 Lighting  - Pit 4"
"2f4f9c28-ad50-491c-9045-3d3ee5aac526","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-033 - Rate 2 Lighting  - Pit 4A"
"7dec7187-45dc-4bcf-a3fc-80a3fb677915","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-034 - Rate 2 Lighting  - Pit 7"
"780c3148-05a8-4a7a-9618-d6475e29764d","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-035 - Rate 2 Lighting  - Pit 8"
"b2a217bb-abfa-4fb5-a3ce-a30926c81f93","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-036 - Rate 2 Lighting  - Pit 8A"
"712f375d-b17a-4ef3-92a3-51e3248b7a26","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-037 - Rate 2 Lighting  - Pit 8B"
"1fa2ed69-5bde-4788-b9d8-fe0ea4370a9e","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-038 - Rate 2 Lighting  - Pit 9"
"a87b254a-3f0e-4860-a646-b9d47c8b750e","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-039 - Rate 2 Lighting  - Pit 9A"
"15019e5c-c4a2-414d-92c4-a7b19fc6a255","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-040 - Rate 2 Lighting  - Pit 10"
"b30b8fde-ffef-44a5-9821-c5ee2e875da8","","not-started","36.02 - Pits","checklist","FALSE","FALSE","Contract QA","Whole Project","Rate 2 Lighting","Pits","PNC-36.02-LOT-041 - Rate 2 Lighting  - Pit 10A"
"1e445bc1-6ded-4c76-8e74-3b57eb7aeff5","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Coorang Rd"
"bef702d3-0b6a-4696-8701-fa352fc6a4e2","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Coorang Rd","Clearing and Grubbing"
"d83a9256-acab-48ae-a355-5d8cb1296cc7","","work-in-progress","02.00 - Clearing and Grubbing","checklist","FALSE","FALSE","Contract QA","Coorang Rd","Clearing and Grubbing","CNG-02.00-LOT-001 - Coorang RD Initial Clearing"
"33ec86c8-bd50-42f7-9357-7428b7677913","","not-started","","folder","TRUE","FALSE","Contract QA","Coorang Rd","Drainage"
"dc3d55e9-2507-4ed2-9efc-bf1a3e315fc2","","not-started","12.00 - Hand Place Concrete Paving","checklist","FALSE","FALSE","Contract QA","Coorang Rd","Drainage","CON-12.00-LOT-001 - 01/01 - 02/01 Concrete Drainage Base"
"0da3fa2e-6867-4086-ad9e-0d75fbe74f75","","not-started","15.00 - Supply, Installation of precast and preformed culvert components","checklist","FALSE","FALSE","Contract QA","Coorang Rd","Drainage","STW-15.00-LOT-001 - 01/01 - 02/01 Culvert installation"
"35e6693c-be8e-4aaa-a935-755b12fdb907","","not-started","12.00 - Hand Place Concrete Paving","checklist","FALSE","FALSE","Contract QA","Coorang Rd","Drainage","CON-12.00-LOT-002 - 01/01 Hand Placed Concrete Headwall"
"28e93c5e-849d-4103-a0a6-5d362fe60588","","not-started","13.00 - Removal/Demolition of Culvert End Structures","checklist","FALSE","FALSE","Contract QA","Coorang Rd","Drainage","STW-13.00-LOT-001 - 03/01 - 01/02 Demolition of Culvert End Structure"
"69c03b35-ce52-4388-8db3-0df2441de27d","","work-in-progress","","folder","TRUE","FALSE","Contract QA","Mount Cotton Rd"
"11b1b3f9-f9d7-4125-a1ec-0d060a59d008","","work-in-progress","02.00 - Clearing and Grubbing","checklist","FALSE","FALSE","Contract QA","Mount Cotton Rd","CNG-02.00-LOT-002 - Mount Cotton RD Initial Clearing"
"c3ab399c-23c6-4ad8-963f-9f3f4645f931","","no-status-not-started","","folder","TRUE","FALSE","Variation QA"
"0ea7f452-3c01-4a12-ba34-ec8dbb2341f9","","no-status-not-started","","folder","TRUE","FALSE","Materials"
"603f274c-0d4f-4e76-a643-f22a91cc55ef","","no-status-not-started","","folder","TRUE","FALSE","Materials","Electrical"
"592d62c5-07b4-4b45-8e6a-e000e3ae755f","","no-status-not-started","","folder","TRUE","FALSE","Materials","Civil"
