"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"63cf5b72-7515-4487-b8b3-8e71d72b0990","","checklist-flat","pass","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"302300d8-caff-5972-b968-8528d81554c8","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"41a837c2-518b-5ca4-9f3c-284ac44381af","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"76eef4db-b534-5806-8746-2011a3e7e2cb","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"e926c7e1-7e1e-5b64-9c51-d3dff8902946","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"8c83359f-c878-53f9-9912-2965bca1e506","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"4573d7e6-9395-48ea-b0cc-d9c5cda3d9b4","","folder-normal","pass","","step","TRUE","FALSE","QA"
"77d940d3-d9c4-4667-a357-80d6be7216fc","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems"
"b2500eed-4f3c-4cec-be3e-c7264b22c58f","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01"
"3aa53658-f05a-4fd5-aab6-66cb459a6597","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01"
"60eae857-3088-58c8-ab7b-6a5474e2abef","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"d7658d7d-2f4c-54e0-bf2b-0ff4cf8c7002","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 4 photos required"
"a9fcc541-e3c6-587c-848a-2377916ed773","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"6fe7e851-12c2-524d-84ef-d758028ff7c2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"927ba46a-f637-53f6-9a27-c6d4df22454b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Video taken of system"
"3d93a8f5-755a-5f9f-af1c-09d49a9a8e2b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"5e5a460b-b14f-4003-981c-56d4eab72c9f","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03"
"5b676ad8-c384-4ced-9ced-7539f49c1eb2","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03"
"38281dc2-68c8-582f-8fbe-e9b239160710","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Confirm the structure is in accordance with the details supplied by PBI"
"44f59693-9083-5e48-8fe2-3cb5cf29eb81","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","EMAIL PM"
"2e9a4ae3-1b9b-5c0e-be4c-26f7d8302ba5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test - 4 photos required"
"2afa0274-ce40-583c-b50f-696fb99b883c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of Swages - 12 photos required"
"f1b1efc5-f49c-5e61-8667-30b2a1668684","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"338848f8-3929-5e4c-9110-93ef6324048b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Video taken of system"
"ad8489a4-ec97-5a16-b774-03f4fe6c7a98","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"fdb2fbc6-1cfd-4927-9fa6-e3fd824f19a0","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04"
"1877c52b-c834-4f77-ba51-0ca4c81b12dd","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04"
"74fc190f-0316-5a32-a5ec-56d78d35d419","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Confirm the structure is in accordance with the details supplied by PBI"
"9573785d-7253-503c-b825-0cc4895b09aa","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","EMAIL PM"
"c8a0a43a-dff7-5cbd-874a-c7ef32f355b5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test - 4 photos required"
"45022a30-297a-581e-aef5-a56f90c68e9b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of Swages - 12 photos required"
"db345d20-ffda-5baf-ae6b-508792642f0a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"a943d0c7-4762-59d8-8d9d-4d04fe47515d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Video taken of system"
"a20d9bb9-fa95-51d3-a777-93cd11d9f69d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"ff2a8735-b88c-4661-a37d-948f933dfcf7","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05"
"e6ee3e2d-048b-4252-9c88-656627062106","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05"
"b1b9908b-3bf0-52bc-a4f3-f4592e6a673b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Confirm the structure is in accordance with the details supplied by PBI"
"cba4709d-7061-5c00-a262-7f276b190a26","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","EMAIL PM"
"ac9c12d2-ac56-5992-bb23-1f17a8f37d19","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Photo taken of line pull test - 4 photos required"
"780d1e94-ad93-5b0a-9188-92e35bc0bff8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Photo taken of Swages - 12 photos required"
"c76d95ca-8667-5953-8a75-bc0e0ba7393f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Photo taken of Engraved Line Plate / ID Tag"
"77e1bb51-cf96-58c1-9981-d9f34113882b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Video taken of system"
"2edaf605-9e54-5394-9e22-c310828fce79","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"65bdbc8a-0cb7-413e-a4ee-4ac6b380ab98","","folder-normal","pass","","step","TRUE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points"
"49806901-a16b-4624-8ce2-711fa022906f","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 01"
"4e426ab1-409e-5df1-9a60-f2a494468be3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 01","Confirm the structure is in accordance with the details supplied by PBI"
"67ec4320-5896-5d26-ade6-ea34ca5def51","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 01","EMAIL PM"
"629190a8-e9e8-56ec-8794-10e72138dc6a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"b7f4dc89-8507-5fa0-973b-86aee0047f4c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"e2f05458-5403-4f09-ac97-b70ccd576dc7","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 02"
"8968e368-013a-5f39-8f53-0bcb7076883d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 02","Confirm the structure is in accordance with the details supplied by PBI"
"2cc2be1c-9c59-5b69-a28d-524f22ecb9fa","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 02","EMAIL PM"
"49c5d430-1780-5ee9-9090-306665f981e5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"209639aa-347d-5943-8df2-33fb183626e2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"4dc10116-4eb5-4aba-99cc-9d8702d7ca47","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 03"
"da11c124-cde0-5e57-9b9e-47ee9d856ae1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 03","Confirm the structure is in accordance with the details supplied by PBI"
"95995556-7d12-5480-bbfd-dc6d77ee5d22","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 03","EMAIL PM"
"14634b41-70a9-5569-9ad6-6bb0899270bb","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"94461651-414c-5234-a0ed-00ac3e0c2528","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"a371f545-5127-45d9-8891-84c85516f4c7","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 04"
"06bde69c-8961-56c2-85fe-5d22ce9904ec","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 04","Confirm the structure is in accordance with the details supplied by PBI"
"9ba70f28-d779-5f60-8700-962d8ca8054a","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 04","EMAIL PM"
"de4d2a78-3b28-54cf-a65f-b0479c4bbdf3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"55de9040-c878-5f0c-9f65-3b5e3ed25374","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"a1d7e800-ddfd-4371-b4de-70c66ec667a3","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 05"
"1ec76b59-7f96-5666-82a9-1b006133684a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 05","Confirm the structure is in accordance with the details supplied by PBI"
"2325b575-c9c3-598f-834f-ff255dda0ba8","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 05","EMAIL PM"
"589ac132-0428-5468-91dd-86401c170efe","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"b7bbb75c-0323-595e-ada9-c6ef50bb8fb1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"49b01731-db85-45d7-8220-67e67a489e50","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 06"
"3be205d6-8cce-522e-bf71-2b8ff5c58b8f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 06","Confirm the structure is in accordance with the details supplied by PBI"
"6232e14a-b7fc-5b3c-8593-e9b4e94e22f8","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 06","EMAIL PM"
"c4cc341b-b901-5a57-b9de-0d7a118e70d8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"0f87d3a8-d22c-582c-8d60-77673e389824","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"7538c0e8-031c-4b05-a279-4fd349a281c3","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 07"
"6878f887-351d-5ca5-bddd-a5c65a93dc62","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 07","Confirm the structure is in accordance with the details supplied by PBI"
"b7383572-86d2-5b5a-ac38-478fd998efc1","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 07","EMAIL PM"
"5d95e9ec-ca56-51b7-a9ba-827af25a1cd2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"04924c1e-47cd-5f30-8db7-ce9c9ed54279","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"05bd61b0-8654-4af2-840b-24ef323b6661","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 08"
"c3f345ca-8332-5afc-9cd6-25f6bf7529d1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 08","Confirm the structure is in accordance with the details supplied by PBI"
"802dfc7a-c843-5766-9584-fe5eae868287","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 08","EMAIL PM"
"8a99aa97-a15f-5d5b-9679-ae8ac90b6e63","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"c2a1c115-e43f-5cc2-9b0f-472e113eac45","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"f186d7d7-add7-4edc-93a0-fe2c41edc286","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 09"
"685e732f-eb5b-5c72-84f4-3819cd6b5113","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 09","Confirm the structure is in accordance with the details supplied by PBI"
"24e41ea2-6e26-53c1-91a7-599e958093e7","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 09","EMAIL PM"
"123ce666-777c-5eca-bb3f-3f33a9e554bc","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"6d50578c-7d44-54f7-9fe9-ddc1351f2c40","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"0d6cbbe9-27ce-4cc1-9adc-efb12f2fc56b","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 10"
"1bf60fd1-428a-57e0-879c-ed984aa86658","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 10","Confirm the structure is in accordance with the details supplied by PBI"
"bccb1456-eb03-5757-899b-ea25b1a40f5d","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 10","EMAIL PM"
"234ccdd2-353f-5ac0-9a8e-8fd7e66ad014","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"680bf38d-c317-5f30-bc45-627ded0b1395","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"7d76920b-b9da-42a3-8fbb-ffe1a7a4b036","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 11"
"4490db3c-1408-53a5-b2d2-3cb68590d332","","checkpoint-status","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 11","Confirm the structure is in accordance with the details supplied by PBI"
"acb0bbd9-a9f4-5054-9279-074b964331aa","","holdpoint","pass","","","TRUE","TRUE","QA","Fall Arrest & Permanent Access Systems","15no AP Type 01 Fall Arrest Anchor Points","Fit Off Checklist - Anchor 11","EMAIL PM"
