"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b2921985-f068-4ac2-b6e1-e19368bd955e","","folder-normal","fail","","step","TRUE","FALSE","BASEMENT 4"
"d56dcbeb-651d-4925-91aa-693260dff32c","","folder-normal","fail","","step","TRUE","FALSE","BASEMENT 4","WATER TANK"
"a98b5cc2-6155-44a6-aa71-555c8f6f8ded","","checklist-sectioned","fail","Pre-Inspection Checklist","checklist","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist"
"3e241961-ee88-5927-8b26-fe8cae262111","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","General Area"
"8e5c66e6-49a1-50c0-9ccf-d79a09f0ed03","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Floor","Laitance"
"2ebe49a1-1792-57f9-8551-61c7061a6ee7","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Floor","Boney Concrete"
"4c4ceef6-ab0d-51d2-be04-7c44161be505","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Floor","Prework was under standard"
"dce77ad3-fb82-5624-98d0-be0a2b647978","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Floor","Form Ply Ridges"
"480ba5f8-6b73-58ae-b387-0a98b9980d76","","checkpoint-group","not-applicable","","","FALSE","FALSE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Access"
"d839df43-979b-50aa-8d0b-bae50e77caa4","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Access","Puddle flanges used or installed must be recessed flush to the top of the concrete surface"
"a93f5c64-0179-5246-90e7-70cbe4301ab7","","holdpoint","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Access","Builder to check correct falls to drains"
"728b5209-ec69-5588-b7a1-58aa811bb00b","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Access","Patching to be completed 3 days prior to waterproofing proposed start date and/or second inspection required"
"f0786176-9f3a-5ab6-b518-7cdf223053fb","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Access","Adequate spacing to seal around each one for Cast in items (conduit, water pipes etc). No flexible conduits permitted"
"3ddf9cc8-1520-5bad-a377-4d4741486964","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Pre-Inspection Checklist","Access","Would recommend using Enviro mortar 45 for all pin holes, overfilled then stoned back when dry"
"671a1363-8fe9-4556-bb18-e90583cd88ab","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","BASEMENT 4","WATER TANK","Product Data Sheets"
"4519a1be-0e19-5b99-bc4e-cb3552674d9a","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Product Data Sheets","Documents attached below - details entered in comments"
"56d04219-3328-4126-bbe6-d93c4f51af26","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","BASEMENT 4","WATER TANK","Mark Ups - Methodology"
"b5e36cf2-f767-5934-9073-724658017cb9","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","WATER TANK","Mark Ups - Methodology","Documents attached below - details entered in comments"
"1cf617c6-44a4-4c64-bf74-cf745a629467","","folder-normal","fail","","step","TRUE","FALSE","BASEMENT 4","ARCHWAY"
"da2783dc-2ed7-4231-b544-ecee5d360268","","checklist-sectioned","fail","BluSeal PVC Liner","checklist","FALSE","FALSE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner"
"381558ad-b49b-50f6-b305-48cb581c1662","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Batch Detail Number of Products"
"cad172e4-cfd2-5084-8a51-c10d4f6d5975","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Batch Detail Number of Products","BluSeal PVC Liner"
"67f086e6-fdc2-5707-a100-70a05059487e","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Pre Commencement Checklist"
"28c16736-53d6-5f06-b901-127dafcbc4cd","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Pre Commencement Checklist","Material Management & Storage"
"a2ac72a0-ee27-5611-87e6-2995e5ed81eb","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Pre Commencement Checklist","Acceptance of Substrate"
"c6c9c978-c69c-5f11-9f28-dc95d9a91dc5","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Membrane Application of System"
"1266ca36-6a52-58e3-9119-c46b8858f7db","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Membrane Application of System","Installation of PVC Liner"
"b6b16db4-687a-56a3-b0f0-c3307daf4ddc","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Detailing"
"705f41ed-66ee-57ec-8393-182ad611d9f3","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Detailing","Vertical & Horizontal Termination"
"24a67985-8f15-55ea-a9df-01435d2381d6","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Testing"
"381fb71f-bef3-5817-aff8-cc4877d966a7","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Testing","QA Testing"
"86ba633f-a0f4-578c-8b59-d52eccd3c2ed","","holdpoint","fail","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","BluSeal PVC Liner","Testing","Builders final sign off."
"1ffdaafc-f97d-4929-bb35-66acefe46513","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","BASEMENT 4","ARCHWAY","Product Data Sheet"
"1d09c4c6-b13d-5feb-ae4d-4888fd67db21","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 4","ARCHWAY","Product Data Sheet","Documents attached below - details entered in comments"
"f8082106-444a-47ae-818a-2bd283c4157e","","folder-normal","fail","","step","TRUE","FALSE","BASEMENT 5"
"6f0e4b09-18e9-45da-a74e-94d6f2fb6609","","folder-normal","fail","","step","TRUE","FALSE","BASEMENT 5","TOWER CRANE 1"
"53775873-ecdb-483f-bb6d-4eddb13f0382","","checklist-sectioned","fail","Pre-Inspection Checklist","checklist","FALSE","FALSE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist"
"311988dc-445f-5e10-b732-9bc5fa29d85d","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area"
"8833eeae-7ab2-5405-9b5a-b59581579e82","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area","Has the builder provided a marked up plan on each area to be waterproofed?"
"d9120a91-8de9-5e67-bcbd-2f44b82e52d8","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area","Has the concrete been cured for 28 days, date of pour to be provided?"
"73b9241e-8410-5c6c-a8a5-ee0f24fda90c","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area","Has concrete moisture test been carried out and the result was provided for the locations on a marked up plan?"
"e5f895c2-0188-5b6c-9e00-0d6cb1244579","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area","Is the concrete finished to an acceptable steel trowel class finish?"
"c2411b61-ebad-5f96-a86e-db6382482316","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area","Have all tape, steel wire, nails, plywood or formwork, bracing, dyna bolt and/or steel brackets been removed and patched?"
"77a55d27-f069-530c-860f-737bdc5620a5","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area","Is there any cracking in the substrate? If yes, an engineer’s report will need to be provided or the builder must sign off prior to commencement of works"
"fef88040-2cf3-5bbd-b182-00d28334afd3","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","General Area","Has any chemicals been used in the concrete process that may affect the membrane adhesion?"
"3bc4dea6-d1dc-531c-9cce-de4b5060c203","","checkpoint-group","not-applicable","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Hobbs"
"fb8f6394-51db-56da-9dac-090e2386e8e6","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Hobbs","Spalling"
"8f7e06d6-ac3d-5deb-bb07-b73c9266579c","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Hobbs","Laitance"
"d36b7fc5-b207-5a34-8cb2-26bfc5e2d627","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Hobbs","Boney Concrete"
"d1b2e65c-f5c2-5811-8bf2-b07ffce4c554","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Hobbs","Prework was under standard"
"2b24e6b8-d576-5afe-a831-adfebe7a3659","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Hobbs","Form Ply Ridges"
"08033333-804f-5490-b412-8e706f93fedb","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Wall"
"f2636ca4-ef0f-5327-9420-3c2ab425f5c1","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Wall","Spalling"
"ab330ebc-ab85-5583-b708-aaac3f58c836","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Wall","Laitance"
"115bca91-10ee-57fa-8378-a16dac246297","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Wall","Boney Concrete"
"60c97dec-46c3-5cee-a0e6-af0063377bb9","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Wall","Prework was under standard"
"2b6a29cd-8344-50d9-8f36-cf2096081b63","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Wall","Form Ply Ridges"
"22198875-858e-5b20-981c-5134442b0c04","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Floor"
"6463f3dd-0145-5a01-9132-c9ee4c8a19ec","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Floor","Spalling"
"17967735-bebb-5689-b620-651b902cd346","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Floor","Laitance"
"74df147d-4c56-5559-965a-8f1bbd31cc86","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Floor","Boney Concrete"
"50b1ea28-c360-5a48-ba44-f08d6a967cb0","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Floor","Prework was under standard"
"d8524438-ea02-5ee1-96e8-5d9a7271ec0f","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Floor","Form Ply Ridges"
"e8bbccb2-239c-52d8-b732-f9f1ac2ab80e","","checkpoint-group","fail","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Access"
"0b7e385b-7ed2-5459-8285-bfd5230b66cf","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Access","Puddle flanges used or installed must be recessed flush to the top of the concrete surface"
"45ac275c-6089-525d-a829-371327aec5d7","","holdpoint","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Access","Builder to check correct falls to drains"
"34daaede-8ee8-5ad3-b62f-4fa027c7efb2","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Access","Patching to be completed 3 days prior to waterproofing proposed start date and/or second inspection required"
"35717576-2400-5f3c-a103-865a42828850","","checkpoint-status","fail","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Access","Adequate spacing to seal around each one for Cast in items (conduit, water pipes etc). No flexible conduits permitted"
"4c8aeddd-7274-5082-a408-48058f0d5449","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 1","Pre-Inspection Checklist","Access","Would recommend using Enviro mortar 45 for all pin holes, overfilled then stoned back when dry"
"091cd974-7233-4bce-9cc7-ca44295e27bb","","folder-normal","pass","","step","TRUE","FALSE","BASEMENT 5","TOWER CRANE 2"
"804383f5-f05d-472b-b332-3f7a11898da0","","checklist-sectioned","pass","Enviro AHS Injectable Hose System","checklist","FALSE","FALSE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System"
"574258b5-a90a-5112-a85c-147f179efdc3","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","BATCH DETAIL NUMBER OF PRODUCTS"
"97291201-9051-55ca-8a0f-e863075deb78","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","BATCH DETAIL NUMBER OF PRODUCTS","Enviro Hydrotite"
"3f895c5b-9f26-59bd-93e5-581a51159081","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","PRE COMMENCEMENT CHECKLIST"
"195e6648-bf1f-5192-bcb6-59593cafbd33","","checkpoint-status","not-applicable","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","PRE COMMENCEMENT CHECKLIST","MATERIAL MANAGEMENT AND STORAGE"
"e2ec7f32-9562-5564-8a1d-3d043a1d83d0","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","PRE COMMENCEMENT CHECKLIST","ACCEPTANCE OF SUBSTRATE"
"bee3eacd-9cce-5d41-a473-6bff68c10893","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","APPLICATION"
"b51e8795-8b94-5573-9d12-014a16dcfedb","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","APPLICATION","INSTALLATION OF HYDROTITE"
"b017aad4-c7b7-5646-ad9b-44ab94ab5ecc","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","DETAILING"
"639d1af9-16b7-51a8-8e8d-cc726d814400","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","DETAILING","Vertical / Horizontal Waterstop"
"bd6b3d0f-c534-5473-92fd-79bef6b19944","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","TESTING"
"8e057414-b797-5aae-852a-1480e65f105b","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","TESTING","QA TESTING"
"03262fbf-43e2-5ee3-b73c-4d1d0d8a93e3","","holdpoint","pass","","","TRUE","TRUE","BASEMENT 5","TOWER CRANE 2","Enviro AHS Injectable Hose System","TESTING","Builders final sign off."
"ad7351fd-bc4d-40c3-80d4-90d63b21afd0","","folder-normal","pass","","step","TRUE","FALSE","BASEMENT 1"
"f76c72d9-da4f-4c75-bf12-a8bf8b89ea8a","","checklist-flat","pass","Enviro Hydrostatic 1","checklist-flat","FALSE","FALSE","BASEMENT 1","Enviro Hydrostatic 1"
"fd4703fa-dc37-5f73-b77a-4feded8c31ed","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Relevant Australian Standards Checked"
"0447dbca-a3bd-54ea-a3b7-47969d2f5d66","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Check Substrate - The surface must be clean, dry and free from all loose particles"
"d79b2232-6bb3-530e-8e88-67e127020703","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Prepare surface to accept primer using scraper (and/or light grind) and vacuum/sweep residual debris. Remove all concrete/mortar projections."
"6babdd00-92c8-5233-9834-d48a67358958","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Caulking - Apply Enviro Flex FC / PRO to the junction between floor slab and walls"
"8e1c5bb7-2ada-5a85-88a6-027aca7e49de","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Primer application - Lightly Spray areas to receive Hydrostatic 1"
"80e9d4fe-7f5e-5404-b48f-fb054289f5a1","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Membrane Application (1st coat) - Mix Enviro Hydrostatic 1 thoroughly using a mechanical mixer. Apply first coat of Enviro Hydrostatic 1 by brush or roller Use Enviro Joint Band in floor-wall junctions and general movement joints"
"a2146369-9e5a-5be2-8fb1-54358280c433","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Membrane Application (2nd coat) - Mix Enviro Hydrostatic 1 thoroughly using a mechanical mixer. Apply second coat of Enviro Hydrostatic 1 by brush or roller"
"0a904a9b-2da3-5c47-ad6c-5a61d5125f05","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Curing - Allow to cure in accordance with Manufacturers Specifications"
"706c030a-aade-5763-940f-42b8ce28f61f","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","Final Inspection and Sign-off. Visually inspect and ensure adequately cured - DO NOT PASS UNTIL HOLDPOINT COMPLETE BELOW"
"de05d455-60af-5043-a160-bd01b4425a17","","holdpoint","pass","","","TRUE","TRUE","BASEMENT 1","Enviro Hydrostatic 1","HOLD POINT - CLICK HERE TO REQUEST BUILDER SIGN OFF"
