"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ac1e80f6-7d2c-4ea3-bd5d-947529ddc55e","","fail","","folder","TRUE","FALSE","Building B"
"f897c01c-597d-447f-9e97-a494b80e1084","","fail","","folder","TRUE","FALSE","Building B","Basement 1"
"57d1f404-9633-467e-a0b7-0257eb56cf34","","pass","Reference Drawing","checklist","FALSE","FALSE","Building B","Basement 1","Reference Drawing"
"d2de7f6c-1599-4aed-8e50-be76aa98c95c","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Blue (Superceded)"
"b7c1fd55-958e-548f-95d3-51d1341ceb81","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Blue (Superceded)","Lunch room (B.029)"
"74409d92-ca33-4a4f-95da-0dfba7aa4e1c","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Bin wash room (B.114)","Pre Ceiling Sign off"
"43235d01-0b77-40f8-945d-017888a52800","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Bulk storage consumables (B.008)"
"e8dd3a0a-0eeb-46a2-b64f-722cfa6dacfb","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Bulk storage consumables (B.008)","Pre Sheet Sign off"
"10847165-7e4f-4503-88dd-649921365be3","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Bulk storage consumables (B.008)","Pre Grid Sign off"
"dc36fe8a-0683-4ffd-8760-dce67024908f","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Bulk storage consumables (B.008)","Pre Ceiling Sign off"
"ce7b10da-ea4e-4a97-93c9-bf3290277865","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Diesel Fuel tank room (B.206)"
"3859a9d7-f290-4963-bf5f-5dda11d0b9a3","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Diesel Fuel tank room (B.206)","Pre Sheet Sign off"
"3740bc34-e543-42e7-8625-7a4e0c3952b6","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Diesel Fuel tank room (B.206)","Pre Grid Sign off"
"bf2c44d5-0b46-4895-87f2-beed1a32a9e4","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Diesel Fuel tank room (B.206)","Pre Ceiling Sign off"
"6361d0c3-2dc5-4d65-a43f-b789c587ef99","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Equipment storage (B.033)"
"af7997d5-42c8-4a38-b447-57c2e5db5d83","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Equipment storage (B.033)","Pre Sheet Sign off"
"624f3776-d4be-42f1-956e-8a3ed4d4677f","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Equipment storage (B.033)","Pre Grid Sign off"
"03b2aec7-5473-4902-8b42-5db44c1e021a","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Equipment storage (B.033)","Pre Ceiling Sign off"
"6d609db5-536a-48d0-b907-62208ae70446","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Handwash Basin (B.110)"
"30440558-b9f8-452f-8ad9-e9cc20217a4c","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Handwash Basin (B.110)","Pre Sheet Sign off"
"38208c3e-82f0-4f0f-bd29-e85e1715931e","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Handwash Basin (B.110)","Pre Grid Sign off"
"089b5acc-29ac-422c-be9e-ed09b1d025d9","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Handwash Basin (B.110)","Pre Ceiling Sign off"
"729c3a41-3882-40af-b3fd-fde8ef183d7a","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Loading Dock (B.144)"
"b6cf7496-c410-4f8b-b899-3354ca91abf3","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Loading Dock (B.144)","Pre Sheet Sign off"
"a33c30ab-8c90-463c-a3a9-e33459c2046e","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Loading Dock (B.144)","Pre Grid Sign off"
"714f925c-7631-4642-bedd-b0a0b63aa5be","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Loading Dock (B.144)","Pre Ceiling Sign off"
"4718dd9b-b859-4482-aa99-e212bcebeae6","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Material Storage (B.113)"
"0aeca5e7-2476-4d5b-892c-bb1cd7591cf9","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Material Storage (B.113)","Pre Sheet Sign off"
"20ee6e30-47a7-40c2-b10c-76f0a7b3a616","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Material Storage (B.113)","Pre Grid Sign off"
"d6c653d7-7ea1-45ef-b57a-85e760809ad9","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Material Storage (B.113)","Pre Ceiling Sign off"
"f877f019-ffbc-4845-9776-914283cd4173","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Public Bin Store (B.118)"
"747c1ade-4c7d-4df3-ae4a-db9134518e20","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Public Bin Store (B.118)","Pre Sheet Sign off"
"277f11a1-2de7-418a-b476-8f7605377116","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Public Bin Store (B.118)","Pre Grid Sign off"
"3db45921-0279-46c3-9a71-19fcfbde9e99","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Public Bin Store (B.118)","Pre Ceiling Sign off"
"b6bcaf98-e053-4522-940a-54daffed7644","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Scale (B.112)"
"d5f7f28b-ae1a-44cf-9472-5db754a414ab","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Scale (B.112)","Pre Sheet Sign off"
"7c22c48f-1c5e-4891-94c3-6ab6228177f5","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Scale (B.112)","Pre Grid Sign off"
"239d43eb-a2f8-401c-aab9-50df07492d18","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Scale (B.112)","Pre Ceiling Sign off"
"a73adbb2-04a9-4646-b965-1a985628371b","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Storage non-sterile (B.005)"
"fdfb386d-2cf3-41a9-aac1-7db478f797c6","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Storage non-sterile (B.005)","Pre Sheet Sign off"
"099a2cdc-596d-428f-a7a2-0441bdb4d89d","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Storage non-sterile (B.005)","Pre Grid Sign off"
"f52f860f-9cf0-4867-8cca-73bc0f8895af","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Storage non-sterile (B.005)","Pre Ceiling Sign off"
"df011296-3f09-4e07-b839-eed41600da69","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Toilet (B.109)"
"004212d3-fe3a-44f4-88c1-f376fee71e31","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Toilet (B.109)","Pre Sheet Sign off"
"2c999856-4f8c-4e12-984a-734a4c069601","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Toilet (B.109)","Pre Grid Sign off"
"45f1d4a5-2b60-4ec9-9807-35331abf6977","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Toilet (B.109)","Pre Ceiling Sign off"
"8f02fff5-2064-4a88-8e86-7eef057bfeaf","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Waste Clincal Full (B.106)"
"671c7460-ca85-4101-8c3f-3e0c911a4a0f","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clincal Full (B.106)","Pre Sheet Sign off"
"eeef473b-f8df-4b35-bca9-8b58aba1f00e","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clincal Full (B.106)","Pre Grid Sign off"
"a4c1bdd3-9d1e-4365-b12e-fdd36f894a0a","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clincal Full (B.106)","Pre Ceiling Sign off"
"40495104-81d8-4e2a-88ea-757e71a9c1a2","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Waste General Empty (B.116)"
"e046c002-e9d3-4bde-a830-c65063d75f63","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste General Empty (B.116)","Pre Sheet Sign off"
"7afd0ad0-e90e-4efb-8ef7-d29d323fcc5b","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste General Empty (B.116)","Pre Grid Sign off"
"243fb3b0-52c6-4c2e-9359-b75546954b50","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste General Empty (B.116)","Pre Ceiling Sign off"
"8feeab7f-a8a1-4d6f-8336-70da62c1cbb2","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Waste General Full (B.115)"
"3037d719-d21a-4b4a-a335-937561a78d11","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste General Full (B.115)","Pre Sheet Sign off"
"9ada0f17-4aa0-496e-b06a-e9eb38b1e202","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste General Full (B.115)","Pre Grid Sign off"
"54fd3778-f153-472e-8b6e-ae96b9610ec3","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste General Full (B.115)","Pre Ceiling Sign off"
"209a038f-0f39-4fd7-a564-223ce1974cbc","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Waste Radio (B.111)"
"39cf6699-e3c6-44d0-b334-8f02db6a7c8e","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Radio (B.111)","Pre Sheet Sign off"
"d5971223-01dc-4ef5-80bf-51626d23a52f","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Radio (B.111)","Pre Grid Sign off"
"1bafb803-4e5c-4985-ac37-6427b5b890ea","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Radio (B.111)","Pre Ceiling Sign off"
"b56eb51e-9d6f-4b52-a93c-c64457cfd4cb","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Waste Recycling Full (B.117)"
"a8d8f356-97d1-4b7e-be40-8751171d6759","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Recycling Full (B.117)","Pre Sheet Sign off"
"50632264-80d0-4a84-8d5a-df639294a86f","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Recycling Full (B.117)","Pre Grid Sign off"
"03dca232-676e-40d2-8b44-64eb172c6ceb","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Recycling Full (B.117)","Pre Ceiling Sign off"
"079c1ee7-08f6-48aa-b3d1-d985018c136c","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Waste Clinical Full/Sec (B.107)"
"faa99007-6db7-4aba-9cab-131fb0f2dd79","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clinical Full/Sec (B.107)","Pre Sheet Sign off"
"68fe1900-d327-43c7-9483-bdca6ae6a67d","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clinical Full/Sec (B.107)","Pre Grid Sign off"
"f17174e8-be02-4adc-a1e0-3fc6e8d3dd83","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clinical Full/Sec (B.107)","Pre Ceiling Sign off"
"504810db-2fc0-4b1b-ade7-a06b62feefa7","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Dirty Corridor (B.103)"
"4c11261b-0de8-408c-b452-fcd16c8ccca5","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Dirty Corridor (B.103)","Pre Sheet Sign off"
"5efc86f7-a7e8-49ae-9bd2-644a54ee2cb1","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Dirty Corridor (B.103)","Pre Grid Sign off"
"66012719-69eb-48e8-9e66-7faf00975bf9","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Dirty Corridor (B.103)","Pre Ceiling Sign off"
"cc360e93-7fdc-4800-9587-fe99e8e853e3","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Waste Clin (B.108)"
"d322e8c6-d343-42a1-9f87-d64b1839098d","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clin (B.108)","Pre Sheet Sign off"
"547d42c0-1c8a-4577-afac-ab4b3d6ce9a1","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clin (B.108)","Pre Grid Sign off"
"8f571b9d-9745-47a0-8cf6-429a06c96bac","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Waste Clin (B.108)","Pre Ceiling Sign off"
"90017126-eca5-4052-a894-773878ceb7d6","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","BWH / Emergency shower (B.143)"
"08f97086-4811-444a-b0da-39d9b671a68d","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","BWH / Emergency shower (B.143)","Pre Sheet Sign off"
"f1fcc436-cfd5-4d79-ba95-6543b8460c84","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","BWH / Emergency shower (B.143)","Pre Grid Sign off"
"b468cc18-cebc-4b97-a91f-ddc63cca9738","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","BWH / Emergency shower (B.143)","Pre Ceiling Sign off"
"051938b1-5278-4089-8509-ff013bbb7e26","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Airlock (B.009)"
"50a5473e-ef53-4943-ae99-167e371c6d1e","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Airlock (B.009)","Pre Sheet Sign off"
"3eebcc78-56de-4fb9-a766-ddf52a3dfa64","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Airlock (B.009)","Pre Grid Sign off"
"77711fc4-09fa-420d-bb7d-d50f656e6d87","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Airlock (B.009)","Pre Ceiling Sign off"
"ca74df3b-9226-4bf1-ba5b-7d6d9eb950ae","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Circ (B.023)"
"7f6f4098-7c3e-4383-91fd-aec51d0f3463","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Circ (B.023)","Pre Sheet Sign off"
"f85ee288-20a5-4df3-8e8d-82e46d5d510e","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Circ (B.023)","Pre Grid Sign off"
"185ac769-fb54-41bc-970f-1b7caccc4fe3","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Circ (B.023)","Pre Ceiling Sign off"
"2ca4ddbc-3b25-47c6-9001-5b918b7a4942","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Locker (B.015)"
"d31bd769-0b61-4c28-bcf8-f1b577a37833","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Locker (B.015)","Pre Sheet Sign off"
"9e8bfcc4-4cbb-4642-a122-178d68ce2659","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Locker (B.015)","Pre Grid Sign off"
"65e09a30-d3b5-46bc-9681-b8e5ebce0266","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Locker (B.015)","Pre Ceiling Sign off"
"b77696fd-4cd6-4d2a-908c-d8d79ae8e914","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","ST Clean (B.010)"
"f38fca54-6c9f-48fb-9a84-c1cd7911255a","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","ST Clean (B.010)","Pre Sheet Sign off"
"71cc7e18-97b7-4a01-9d45-b06d948a8ca0","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","ST Clean (B.010)","Pre Grid Sign off"
"66d01e67-6cdc-447f-97d0-35457a38c86a","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","ST Clean (B.010)","Pre Ceiling Sign off"
"575bd89c-a74c-456a-bdc7-2f65a483b6d3","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","ST IT (B.004)"
"1a9c92fe-e0b1-446a-a4dd-426429c1aa5c","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","ST IT (B.004)","Pre Sheet Sign off"
"9a4dafc3-d96d-4764-bd9c-aed03eb932f1","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","ST IT (B.004)","Pre Grid Sign off"
"aeedc1b6-cefc-4018-a51e-4c2bd41335cb","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","ST IT (B.004)","Pre Ceiling Sign off"
"43d5738a-47a4-4e31-a4a4-79f47edde17e","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","WS (B.001)"
"2c9967b2-25b3-4760-91f5-e2195c6359b3","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","WS (B.001)","Pre Sheet Sign off"
"6e1f328b-e788-4616-a49d-84fa75131d00","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","WS (B.001)","Pre Grid Sign off"
"c2f72731-94cc-48cb-9395-d6f98b850553","","not-started","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","WS (B.001)","Pre Ceiling Sign off"
"2f1bf58e-c993-4479-a28f-696a475fa817","","work-in-progress","","folder","TRUE","FALSE","Building B","Basement 1","Zone 2","Sorting (B.003)"
"1afb0921-33a3-4c01-9f60-9ad03b5ef1c7","","work-in-progress","Pre-Sheet Wall Sign-Off","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Sorting (B.003)","Pre Sheet Sign off"
"809687d7-4eec-4848-ae42-20b8f185439c","","not-started","Pre Grid Sign Off - Basement 1 - Zone 2","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Sorting (B.003)","Pre Grid Sign off"
"0e054da9-0c92-4e51-9f37-820002eaff41","","work-in-progress","Pre Ceiling Sign Off - Basement 1","checklist","FALSE","FALSE","Building B","Basement 1","Zone 2","Sorting (B.003)","Pre Ceiling Sign off"
