"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c4bcc5eb-6f48-43b2-a775-2e16a0b251fa","","fail","","folder","TRUE","FALSE","Building A"
"d1d08869-42cd-451a-8cb4-e455493875ae","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1"
"7e8f85a8-8301-4e2a-81c8-463fa3968dee","","pass","Reference Drawing","checklist","FALSE","FALSE","Building A","Basement 1","Reference Drawing"
"86b673b6-f71b-412b-8c60-bea208520996","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1"
"6a4a3a7e-767e-42d2-a7bd-37318929fe99","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 1","Waste (A.184)"
"8e4936f8-e8a0-411e-ae94-19c97aa61d00","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","DB Room (A.226)","Pre Sheet Sign off"
"b90d93ed-44f3-4986-be4d-0747cdda2388","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","DB Room (A.226)","Pre Grid Sign off"
"ea0c96e0-d1b9-46f2-857c-00c847e3e52d","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","DB Room (A.226)","Pre Ceiling Sign off"
"3ce42380-4ad9-4f3b-bfd0-5dcc8f96f77b","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Electrical Room (A.227)"
"6a2b4b1d-a816-4598-98e9-f6b6d33802ca","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Electrical Room (A.227)","Pre Sheet Sign off"
"3e20f1b4-14ee-4478-9bbe-f6b5659fe5d7","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Electrical Room (A.227)","Pre Grid Sign off"
"45c373bb-20e2-4410-9a06-b17313a03385","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Electrical Room (A.227)","Pre Ceiling Sign off"
"2a13ac7f-46d3-46f0-9467-5e1e2f78f982","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Exhaust (A.228)"
"9a739610-bf4e-424a-b1cb-ac2082d05454","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Exhaust (A.228)","Pre Sheet Sign off"
"0318e3ff-a52b-4cc3-ae9e-d4849547f31d","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Exhaust (A.228)","Pre Grid Sign off"
"10b66005-00c3-4d53-8bcf-3fea6aee706d","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Exhaust (A.228)","Pre Ceiling Sign off"
"b6b8cb52-10a4-43e9-ad50-f9e4b8363b51","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant (A.015)"
"68588669-b431-49a0-97a6-62435ee813ab","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant (A.015)","Pre Sheet Sign off"
"214613cf-586d-4b19-a89c-e707fff1d773","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant (A.015)","Pre Grid Sign off"
"0a0b148e-db66-4107-89b3-feda5c343825","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant (A.015)","Pre Ceiling Sign off"
"2694ce3d-4065-40cb-ac33-7cc5258d473d","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Equipment Store A (A.011)"
"d696a445-927f-4ad1-ba63-05452831d2e7","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Equipment Store A (A.011)","Pre Sheet Sign off"
"5811831c-00f0-4283-9e52-fa69d4ab025f","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Equipment Store A (A.011)","Pre Grid Sign off"
"20b6f2a1-343e-473e-a11f-f894c98f23ae","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Equipment Store A (A.011)","Pre Ceiling Sign off"
"f5c0a6cb-e5f2-416a-b4ac-16615bee226e","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Equipment Store B (A.190)"
"7f4489b5-7ee9-4620-a184-a1101cff0a10","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Equipment Store B (A.190)","Pre Sheet Sign off"
"e5c4c617-e5f8-45d8-accb-dbab37173374","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Equipment Store B (A.190)","Pre Grid Sign off"
"9e444411-7b3c-4aa4-ba7e-2f3dbf7d6e4f","","not-started","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Equipment Store B (A.190)","Pre Ceiling Sign off"
"9d2d784a-44af-4575-9e0a-622eab3e9410","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Office receivals (A.160)"
"1c56db10-18a6-49d5-b928-33e1e268c443","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Office receivals (A.160)","Pre Sheet Sign off"
"99fe4859-0d7a-4b02-b0a9-e236b6143fd3","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Office receivals (A.160)","Pre Grid Sign off"
"a788a6ab-dbdf-4ce1-9175-6b1e020bbf9f","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Office receivals (A.160)","Pre Ceiling Sign off"
"130f7eee-eb0b-4323-8ffa-5aac035730e4","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Storage Consume ((A.169)"
"62545b3f-e496-4c8c-9dab-0e4d81b0213e","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage Consume ((A.169)","Pre Sheet Sign off"
"924804a5-39f9-4e3e-9247-7dc48646e326","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage Consume ((A.169)","Pre Grid Sign off"
"5ce05d5c-d1fd-4897-8475-67649333b451","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage Consume ((A.169)","Pre Ceiling Sign off"
"624b382c-e109-43c9-8d67-7106a28301e8","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Gas Bottle (A.012)"
"858f5ba0-deb4-4466-9599-033968def594","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Gas Bottle (A.012)","Pre Sheet Sign off"
"81872507-f199-4478-b2f8-095e711f8cc0","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Gas Bottle (A.012)","Pre Grid Sign off"
"31b5db13-81fd-47cd-b9cc-07da990ca8d4","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Gas Bottle (A.012)","Pre Ceiling Sign off"
"c108b4c0-1daf-4f68-a23c-d338904439a1","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Storage gas empty (A.013)"
"4f09de13-a68e-401a-821c-3736799527f1","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage gas empty (A.013)","Pre Sheet Sign off"
"84d43476-96fb-460d-8336-d68a847cafb5","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage gas empty (A.013)","Pre Grid Sign off"
"747bdb83-f9ce-4a41-8635-4190a55e261f","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage gas empty (A.013)","Pre Ceiling Sign off"
"e6d8bf81-41e2-483c-9c3a-228e24206803","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Storage gas full (A.016)"
"3c5697d1-503d-467e-9ae6-35dde4752fbf","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage gas full (A.016)","Pre Sheet Sign off"
"b6edeaf7-a9b0-4d7c-bda1-a42e44a2a128","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage gas full (A.016)","Pre Grid Sign off"
"18f5002d-8934-4719-95da-d3c2d9c6273f","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Storage gas full (A.016)","Pre Ceiling Sign off"
"81a6ca54-ee78-4f05-ba6d-bf9e91de55ac","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Floor DB (A.230)"
"c7d442c0-57bd-421f-8176-cebe87d33cf3","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Floor DB (A.230)","Pre Sheet Sign off"
"2d563af5-c64a-49f1-9358-ed61d14cadc9","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Floor DB (A.230)","Pre Grid Sign off"
"4d5dcfe7-5931-47d1-b56a-6656ad5bb14f","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Floor DB (A.230)","Pre Ceiling Sign off"
"6e917be3-c86c-4a23-a469-f09238d1d155","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Dirty Corridor (A.187)"
"30693f1c-416b-4bbc-8b6b-8ae4528272c0","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Dirty Corridor (A.187)","Pre Sheet Sign off"
"1589a2bf-6e39-401a-9238-9d689a81f73d","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Dirty Corridor (A.187)","Pre Grid Sign off"
"77a0e702-0adf-459e-8632-9d1d70c3ccf1","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Dirty Corridor (A.187)","Pre Ceiling Sign off"
"76df6c7f-87cc-4df9-8e2d-8e0ed891aad8","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Bin room (A.009)"
"8f0f2a1c-cb11-4c8e-8c0b-a70de9d9e947","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Bin room (A.009)","Pre Sheet Sign off"
"f7970971-fd49-4c8f-8dff-b0a6f0cf0c16","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Bin room (A.009)","Pre Grid Sign off"
"6106131e-0115-46e8-8e89-e4d1b5bc3f0a","","not-started","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Bin room (A.009)","Pre Ceiling Sign off"
"f05a2221-b438-4a7a-915a-fd3ff330ae0b","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Waste (A.155)"
"f2d1c04f-434a-4ac1-b3a2-0b4908e42a66","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste (A.155)","Pre Sheet Sign off"
"409653b8-346e-45fa-8d66-38ce5753c987","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste (A.155)","Pre Grid Sign off"
"5faf64c8-3b11-4996-b79b-e827d7a27ee4","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste (A.155)","Pre Ceiling Sign off"
"1d7c005b-1edb-49d0-8197-d6b529dc1355","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant 2 (A.014)"
"12702298-7b0f-43f4-a9c7-1a4a86ae4d6f","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant 2 (A.014)","Pre Sheet Sign off"
"b94ae1fb-b870-46e0-8d7d-d27e62ed6ae5","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant 2 (A.014)","Pre Grid Sign off"
"9a632c86-497a-4305-8050-0d2e50fba813","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Medical Gas Plant 2 (A.014)","Pre Ceiling Sign off"
"208e11aa-0c13-438b-a8aa-cfbe9fd2ce75","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Med Suc Plant (A.154)"
"8113aee7-a77a-460e-a0c1-d9a6a9e3be14","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Med Suc Plant (A.154)","Pre Sheet Sign off"
"c2f18dfc-fec5-46da-a337-e4a9c62391d7","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Med Suc Plant (A.154)","Pre Grid Sign off"
"e70cd4da-aed9-4f79-a7c1-3bfd6350df53","","not-started","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Med Suc Plant (A.154)","Pre Ceiling Sign off"
"4f8a04f4-c931-49ed-8a99-27f72dda609f","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Circ (A.181)"
"ab846039-e4ab-4009-896e-f126285a3bba","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.181)","Pre Sheet Sign off"
"89a66d53-5552-4bef-a98d-fc422bf3d9fa","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.181)","Pre Grid Sign off"
"95468706-9cfd-4df4-a1ed-6c35dda391ee","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.181)","Pre Ceiling Sign off"
"660e599a-04b9-44e8-b918-85a4c4b6937a","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Circ (A.182)"
"cf3f5c44-7da5-478a-884d-7b1a2474cd31","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.182)","Pre Sheet Sign off"
"4d2a58de-7eff-4d6c-9232-964c8313cce3","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.182)","Pre Grid Sign off"
"839003ed-f625-4c11-9bf8-c1133f20b9a4","","not-started","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.182)","Pre Ceiling Sign off"
"e3d8a112-a446-47e4-8173-73d7dcc48727","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Circ (A.183)"
"9f83553f-c43d-456d-9998-3b0666738b84","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.183)","Pre Sheet Sign off"
"1c6c464a-b206-4700-9eed-59ed0b31873b","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.183)","Pre Grid Sign off"
"57fed534-4116-47e3-9788-95d2f0bf9af3","","not-started","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Circ (A.183)","Pre Ceiling Sign off"
"1d36f3db-9b64-41e5-ab4c-2edaff8c5474","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Service lobby (A.253)"
"0ed51b9d-6fdd-4d44-958c-28cf1d3709de","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Service lobby (A.253)","Pre Sheet Sign off"
"499be5b9-a89d-4e7c-bb17-2a05ca09e98f","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Service lobby (A.253)","Pre Grid Sign off"
"656f82b2-cd1b-4bcf-bb59-1eef123bc26c","","not-started","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Service lobby (A.253)","Pre Ceiling Sign off"
"65c08790-b756-45fa-a573-54f2d6ee5abd","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Pipe (A.231)"
"c66e43aa-f98f-4278-97e4-377e0fb4f1ee","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pipe (A.231)","Pre Sheet Sign off"
"f2f25ee8-6f54-4d55-825d-155d29a90812","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pipe (A.231)","Pre Grid Sign off"
"36fe2250-c151-4238-aadd-95de155eba9f","","not-started","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pipe (A.231)","Pre Ceiling Sign off"
"98e588fc-6b71-4136-9cc1-291cef270246","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Waste (A.185)"
"fb8c17a9-ece3-4ca6-92fb-7f6edf0ee9ac","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste (A.185)","Pre Sheet Sign off"
"116d556d-4fde-460a-a155-519fa02c30dd","","not-started","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste (A.185)","Pre Grid Sign off"
"e7a02bd3-fa8a-41a3-a4d6-dd24a959bb55","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste (A.185)","Pre Ceiling Sign off"
"fdcc02be-54e9-4b78-a6d3-5fb761aa8ea7","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Pharmacy (A.006)"
"09962f99-deb6-477a-8843-486b8a079998","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pharmacy (A.006)","Pre Sheet Sign off"
"3752bd35-7dcc-4e9c-8eac-f7e5776ad0b4","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pharmacy (A.006)","Pre Grid Sign off"
"b575cddd-9c1a-4501-a487-181ce0abab01","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pharmacy (A.006)","Pre Ceiling Sign off"
"b8f75b39-e744-4bb4-876c-964578f6742a","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Pallet Racks (A.003)"
"a2c7b997-5c8c-4412-b6ad-e8c6c681c025","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pallet Racks (A.003)","Pre Sheet Sign off"
"145b1ccf-07fa-4f27-b091-bd46f2927492","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pallet Racks (A.003)","Pre Grid Sign off"
"11eb7ed0-2fc4-4ca4-9424-fb3e9635bf15","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Pallet Racks (A.003)","Pre Ceiling Sign off"
"8009e49c-b6d0-45d0-ab20-3d7b2c1b46e6","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Empty pallet (A.005)"
"6982c1c6-dea1-40dc-9639-7ded17723334","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Empty pallet (A.005)","Pre Sheet Sign off"
"45007b30-4b1b-4260-9996-79b0b8d09ac9","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Empty pallet (A.005)","Pre Grid Sign off"
"a1fce196-6ed8-46c7-a296-ff2c625437d2","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Empty pallet (A.005)","Pre Ceiling Sign off"
"110785e0-ded7-4ebf-aac3-737448aeb5a9","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Waste gen compact (A.020)"
"1600ceed-aada-4d0e-9abe-308762bb4119","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste gen compact (A.020)","Pre Sheet Sign off"
"a3af100e-bff2-4b6b-91aa-5766e6e84ff7","","work-in-progress","Pre Grid Sign off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste gen compact (A.020)","Pre Grid Sign off"
"a76627c7-8daf-49f4-95ce-203868536be0","","work-in-progress","Pre Ceiling Sign Off - Basement 1, Lower Ground","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste gen compact (A.020)","Pre Ceiling Sign off"
"10c824b5-c73a-469a-97e9-e7d4d0d091c1","","work-in-progress","","folder","TRUE","FALSE","Building A","Basement 1","Zone 2","Waste recyc compact (A.021)"
"2f25e0a4-3239-4adf-b8b9-c4bcdd815253","","work-in-progress","Pre Sheet Sign off - Basement 1","checklist","FALSE","FALSE","Building A","Basement 1","Zone 2","Waste recyc compact (A.021)","Pre Sheet Sign off"
