"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27ee9fee-b299-4a24-a658-b61604603e9f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Below Ground"
"c7f8442c-6c07-4001-97bb-48882a602ef2","","folder-normal","pass","","step","TRUE","FALSE","Below Ground","Site/Early Works"
"d08ebe04-e109-4495-984f-c60e2514e8f2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Below Ground","Zone 5"
"c6678dbe-1d51-4cef-8fd5-6ff79d96a88f","","checklist-flat","pass","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Document Upload"
"236f6aef-eb2d-4812-8af0-a67ebdfd5887","","checklist-flat","pass","914107816cd413f3b4c6169cd44e5402aa0892e51c509a53134d0ae3bbce6634","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Below Ground Sewer Drainage"
"0b1f141b-1e8b-452d-9677-0e5b65341f19","","checklist-flat","work-in-progress","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Cold Water"
"1a9d36d5-0695-4dc6-8c3d-6ea0da0b4a9e","","checklist-flat","work-in-progress","03cdff6ea6e370dff0fdef82a6887473e96211bd5a7d455248a9f00af16109f8","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Stormwater Below Ground"
"a4e9e6b6-3348-4d6e-bff9-925c73492d62","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Penetrations"
"df1690cd-ea5b-4c86-8acf-7385df8d8464","","folder-normal","not-started","","step","TRUE","FALSE","Below Ground","Zone 6"
"61d8930c-5deb-48ae-97a2-a08ea1b9713c","","checklist-flat","not-started","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Document Upload"
"a9049a4e-7175-4262-b328-f7cd8d960c67","","checklist-flat","not-started","914107816cd413f3b4c6169cd44e5402aa0892e51c509a53134d0ae3bbce6634","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Below Ground Sewer Drainage"
"8d783402-cc90-4157-b51f-cb9eb03fb564","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Cold Water"
"6e5dcd3d-8809-439d-8d19-b9c3cd6bd40c","","checklist-flat","not-started","03cdff6ea6e370dff0fdef82a6887473e96211bd5a7d455248a9f00af16109f8","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Stormwater Below Ground"
"43254332-51b0-49eb-b5c1-4fd48ab0ded4","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Penetrations"
"d06d6ba9-e10d-4fec-a28c-e312d3e91eb9","","folder-normal","not-started","","step","TRUE","FALSE","Below Ground","Zone 7"
"7f43e92e-a4c5-4128-8bfb-d7ce6b0b017f","","checklist-flat","not-started","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Document Upload"
"b08dd182-3e76-4b57-a6a9-a24048ce1975","","checklist-flat","not-started","914107816cd413f3b4c6169cd44e5402aa0892e51c509a53134d0ae3bbce6634","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Below Ground Sewer Drainage"
"e285c3ae-7a0b-4081-9e11-c2cd6b31be30","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Cold Water"
"e625f898-cd04-4bb9-b9fc-8b89bd7c0a7f","","checklist-flat","not-started","03cdff6ea6e370dff0fdef82a6887473e96211bd5a7d455248a9f00af16109f8","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Stormwater Below Ground"
"d333a9cb-318c-411f-bde7-75680fbd7704","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Penetrations"
"9b32f379-bb5a-4b59-8217-0a33c774a787","","folder-normal","not-started","","step","TRUE","FALSE","Below Ground","Zone 8"
"2869401e-7f16-4cb6-b2b0-53b344b676d3","","checklist-flat","not-started","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Document Upload"
"d5d0a5c7-d2cc-417b-8edc-583fdd38cd08","","checklist-flat","not-started","914107816cd413f3b4c6169cd44e5402aa0892e51c509a53134d0ae3bbce6634","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Below Ground Sewer Drainage"
"927dffe4-d0b3-4fe2-a52f-01d8ae1f12ce","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Cold Water"
"668ef250-08c2-4d7c-a276-32dccbcec425","","checklist-flat","not-started","03cdff6ea6e370dff0fdef82a6887473e96211bd5a7d455248a9f00af16109f8","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Stormwater Below Ground"
"cf65f18a-d518-4bb8-bc07-4e4f9040d247","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Penetrations"
"26aa670e-2a14-4223-abe5-5f16b42bf29a","","folder-normal","not-started","","step","TRUE","FALSE","Below Ground","Zone 9"
"6291fe19-7d36-4bf4-9d94-275b28ac6d3c","","checklist-flat","not-started","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Document Upload"
"51aeeba2-fcbc-4b37-99fc-46e35476cb4f","","checklist-flat","not-started","914107816cd413f3b4c6169cd44e5402aa0892e51c509a53134d0ae3bbce6634","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Below Ground Sewer Drainage"
"606ba5de-671d-4db7-a886-072fdbd78371","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Cold Water"
"f751a88d-aa81-43f8-ba15-9531fb711c91","","checklist-flat","not-started","03cdff6ea6e370dff0fdef82a6887473e96211bd5a7d455248a9f00af16109f8","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Stormwater Below Ground"
"c9059e2c-e7bc-4bf6-a845-b6370c435c44","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Penetrations"
"2f3122d2-37e9-4946-a309-749576623bf3","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor"
"50d7540e-496f-4089-9487-92bceb781057","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","Zone 1"
"621bb3dc-bc3e-4239-829b-0d178a4e2d4f","","checklist-flat","not-started","0d3ab68cd40cdf333d36dd9a99496d84af468b2d732649df4fcb5a5c20cb74f2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Above Ground Sewer Drainage"
"bd502309-cbd5-468c-8224-eed417f44a6b","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Cold Water"
"c13d81f6-4985-4e31-af2f-f5f1c25e83d9","","checklist-flat","not-started","Hot Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Hot Water"
"964bb9b4-1b17-4f67-a3b7-069313cbe33d","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Sanitary Waste & Vents"
"64ec8cbd-fe66-42a8-9d37-d28300294eb6","","checklist-flat","not-started","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Sanitary Fixture"
"db6a1aba-d123-4b52-96f3-24b47e2d41c3","","checklist-flat","not-started","c1155a8ecb468f310c9c36679236cd7dfb1125ed1181425bf5562c5854423ed7","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Stormwater Above Ground"
"ed405d34-45ad-4ca4-9fcc-5f74ba403946","","checklist-flat","not-started","dcbd63771155c03d808f2cf4eac5bf14fbebf0bf1f55306d7458c880c5f70d9b","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Downpipe Installation"
"68d86b1f-783e-42b0-9a90-f0413edd52c4","","checklist-flat","not-started","Recycled Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Recycled Water"
"07f83dfa-af4f-4921-a479-f13e2d80298a","","checklist-flat","not-started","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Commision"
"23a4b257-57af-44c0-8257-30c3e01a0f64","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Penetrations"
"c838019e-13bc-491c-80ce-344363808810","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","Zone 2"
"bdea2946-7638-43de-9f46-1e2a192dc17c","","checklist-flat","not-started","0d3ab68cd40cdf333d36dd9a99496d84af468b2d732649df4fcb5a5c20cb74f2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Above Ground Sewer Drainage"
"6654cc32-b34c-406c-9cf7-3997fdd180cb","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Cold Water"
"3ecd762d-e439-4517-a13a-3228b3b2873a","","checklist-flat","not-started","Hot Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Hot Water"
"b6e13662-0ba0-4997-880e-a565b5e9a729","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Sanitary Waste & Vents"
"807cf045-2786-42ff-906c-8bda7fc39eaf","","checklist-flat","not-started","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Sanitary Fixture"
"0c7b3ac0-709a-42ff-8a32-5772abe871aa","","checklist-flat","not-started","c1155a8ecb468f310c9c36679236cd7dfb1125ed1181425bf5562c5854423ed7","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Stormwater Above Ground"
"22d7b7de-0819-4ecc-9d27-340f337ccb18","","checklist-flat","not-started","dcbd63771155c03d808f2cf4eac5bf14fbebf0bf1f55306d7458c880c5f70d9b","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Downpipe Installation"
"91c32732-c34e-490b-b6b6-bf3f7f426122","","checklist-flat","not-started","Recycled Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Recycled Water"
"80c015e9-cb2a-4aac-849b-cd889f09f6e3","","checklist-flat","not-started","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Commision"
"3049b34e-ae05-4b18-8a89-811b344a7f09","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Penetrations"
"4e6b30b4-7330-4c7c-a838-907ae8a4ce14","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","Zone 3"
"96241d59-51a2-46d6-af6e-d310171e0131","","checklist-flat","not-started","0d3ab68cd40cdf333d36dd9a99496d84af468b2d732649df4fcb5a5c20cb74f2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Above Ground Sewer Drainage"
"ffd40315-82db-47db-a822-ac12e77e931a","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Cold Water"
"1c694dcf-24de-4b6b-8e1a-e0f29deb7769","","checklist-flat","not-started","Hot Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Hot Water"
"ca3382b8-0b15-45da-9bb1-c1a3af1a8f43","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Sanitary Waste & Vents"
"7e2864f7-37a4-4ae3-b737-08ecbce65428","","checklist-flat","not-started","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Sanitary Fixture"
"d8e8c3fa-c1f2-4315-abcc-69b99066963c","","checklist-flat","not-started","c1155a8ecb468f310c9c36679236cd7dfb1125ed1181425bf5562c5854423ed7","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Stormwater Above Ground"
"f6e51a05-ba4b-4e35-9803-ed02e0588bd2","","checklist-flat","not-started","dcbd63771155c03d808f2cf4eac5bf14fbebf0bf1f55306d7458c880c5f70d9b","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Downpipe Installation"
"fc5e4018-bc50-4a8b-a006-26172ea83932","","checklist-flat","not-started","Recycled Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Recycled Water"
"18ca0bef-ece3-4f64-a511-a88a5278c828","","checklist-flat","not-started","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Commision"
"a5425bf2-45fe-4b58-8f1e-38e0a0a8b53d","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Penetrations"
"74bd5b77-1253-40ca-b648-8617a06b0d20","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","Zone 4"
"5d305087-5d90-4d8e-bdfa-261ec1947cf6","","checklist-flat","not-started","0d3ab68cd40cdf333d36dd9a99496d84af468b2d732649df4fcb5a5c20cb74f2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Above Ground Sewer Drainage"
"c4467dcb-d3b8-49cf-b474-b0535c9e02d0","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Cold Water"
"ea9b7e45-5314-4799-82dd-ab85bc325268","","checklist-flat","not-started","Hot Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Hot Water"
"1701b8e7-a6f2-4c50-9fe9-1f6cf14fabd2","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Sanitary Waste & Vents"
"a9668ec4-bb4b-42c9-933a-e9c91971d9d0","","checklist-flat","not-started","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Sanitary Fixture"
"fb0cbe76-fd50-4e3e-8a94-bd6e12c03805","","checklist-flat","not-started","c1155a8ecb468f310c9c36679236cd7dfb1125ed1181425bf5562c5854423ed7","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Stormwater Above Ground"
"45d7e5da-0b22-49f5-a407-3711e1db6275","","checklist-flat","not-started","dcbd63771155c03d808f2cf4eac5bf14fbebf0bf1f55306d7458c880c5f70d9b","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Downpipe Installation"
"af237b10-7bb5-4f4c-a417-adee110e85f9","","checklist-flat","not-started","Recycled Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Recycled Water"
"e27f4ed9-3632-4ec4-a6db-2df51f401461","","checklist-flat","not-started","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Commision"
"43f3b648-729c-453e-88dd-f4e6fcdecd23","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Penetrations"
"ebd4e55e-569f-466b-9563-68986d6c8473","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","Zone 5"
"7f9511af-33c7-4bf0-bcea-482613cc28f7","","checklist-flat","not-started","0d3ab68cd40cdf333d36dd9a99496d84af468b2d732649df4fcb5a5c20cb74f2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Above Ground Sewer Drainage"
"88f9f797-3d39-450c-a14e-e49647444e96","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Cold Water"
"c21defc2-d17f-4a00-9bc8-e5314cfdcc6c","","checklist-flat","not-started","Hot Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Hot Water"
"6a56636e-6fb9-422b-8214-112d2bf5016e","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Sanitary Waste & Vents"
"ca6b4aee-de65-4f24-8b37-124f75d4a568","","checklist-flat","not-started","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Sanitary Fixture"
"1c13e376-39d1-474d-b8e4-e008126c23b9","","checklist-flat","not-started","c1155a8ecb468f310c9c36679236cd7dfb1125ed1181425bf5562c5854423ed7","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Stormwater Above Ground"
"816f1487-0096-4eb9-980b-87e64713f925","","checklist-flat","not-started","dcbd63771155c03d808f2cf4eac5bf14fbebf0bf1f55306d7458c880c5f70d9b","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Downpipe Installation"
"6add4e85-6dad-4e22-8fe3-40c931cb5b45","","checklist-flat","not-started","Recycled Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Recycled Water"
"ffdf728c-3462-447e-a955-5107635593c3","","checklist-flat","not-started","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Commision"
"1639d18b-d1a8-49a9-8f43-48f97c53294d","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Penetrations"
"a15a46b5-ecbf-4244-bc78-b213f110889e","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","Zone 7"
"abc078b2-984a-4475-89ce-9c2c2b027010","","checklist-flat","not-started","0d3ab68cd40cdf333d36dd9a99496d84af468b2d732649df4fcb5a5c20cb74f2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Above Ground Sewer Drainage"
"893aca69-e288-4816-b375-feec2900de61","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Cold Water"
"b3ac315a-142a-4c3d-8af9-576f71b073b6","","checklist-flat","not-started","Hot Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Hot Water"
"3b536b51-3b64-4153-8810-b56af7b39793","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Sanitary Waste & Vents"
"5cd518f9-a451-402d-9449-ef4959b140a9","","checklist-flat","not-started","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Sanitary Fixture"
"c49f3fe1-1f87-4cc7-b710-dc300d8e4dad","","checklist-flat","not-started","c1155a8ecb468f310c9c36679236cd7dfb1125ed1181425bf5562c5854423ed7","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Stormwater Above Ground"
"f9ce48f5-d5b8-438d-8364-665e1b593d34","","checklist-flat","not-started","dcbd63771155c03d808f2cf4eac5bf14fbebf0bf1f55306d7458c880c5f70d9b","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Downpipe Installation"
"37778ae8-529a-420b-a712-210365d80756","","checklist-flat","not-started","Recycled Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Recycled Water"
"84859552-0cc2-44c5-9d1a-8eb71aabc32c","","checklist-flat","not-started","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Commision"
"bd0d7635-76e8-4c49-a922-f9bac985a38c","","checklist-flat","not-started","Concrete Pour v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Penetrations"
"efdac46c-df70-459f-8d80-de7b67a735f3","","folder-normal","not-started","","step","TRUE","FALSE","Ground Floor","Zone 8"
"acbd388c-cf6c-414c-8566-40b1364891af","","checklist-flat","not-started","0d3ab68cd40cdf333d36dd9a99496d84af468b2d732649df4fcb5a5c20cb74f2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Above Ground Sewer Drainage"
"8b7777dd-c5f9-4920-9955-1128c602893c","","checklist-flat","not-started","Cold Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Cold Water"
"c70db0a8-4252-45ee-a269-6596372fabef","","checklist-flat","not-started","Hot Water - State Basketball Centre v2","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Hot Water"
"66b00776-a57e-4beb-bc56-d3c4d832a824","","checklist-flat","not-started","3d0910419c1811b48afe91702fe54edfa75089dfad1b7a60a6411ace588ecf13","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Sanitary Waste & Vents"
"0c24afa8-fbea-40b9-af83-296f35b84025","","checklist-flat","not-started","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Sanitary Fixture"
"b916f920-d271-4a31-acc7-d68f849e79c0","","checklist-flat","not-started","c1155a8ecb468f310c9c36679236cd7dfb1125ed1181425bf5562c5854423ed7","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Stormwater Above Ground"
"1046b8d4-cb7d-46ca-ad8c-e92dff009cd1","","checklist-flat","not-started","dcbd63771155c03d808f2cf4eac5bf14fbebf0bf1f55306d7458c880c5f70d9b","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Downpipe Installation"
