type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,"1.6 - Supply Precast Covers, Grates, Lids",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.04(c),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Pit covers and grates have been designed in accordance with AS 3996 and table 7 from BTN 033.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.7 - Step Irons (pits greater than 1.0m),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.04(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Ensure step irons are manufactured from steel AS/NZS 3679.1 grade 250. Step irons are hot dip galvanised as per AS/NZS 4680 or 13 mm steel bar covered with polypropylene shall be approved by design.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Compliance Certificates Superintendent Approval (for polypropylene step irons),,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.8 - Weep Holes,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.09(c),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Weepholes of 50 mm diameter shall be provided in all precast pits and shall be placed between the midpoint and top of the stormwater drain in those walls which have openings for drains.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.9 - Segments,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 705.09(b),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - If a precast drainage pit is cast in segments, each section of the drainage pit shall be rebated to ensure correct alignment and to prevent horizontal movement. A minimum rebate of 15 mm shall be used.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.10 - Repair to Defective Pits (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 689 687,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Any Pits damaged due to handling onsite post acceptance at delivery of non-defective product are to be repaired as per the approved Cracks and/or Patch repair procedure. A Non-conformance to be raised for the defects identified and issued to the State and IR for information and refer it to the Designer for assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Prior to any patch repair of concrete, Symal shall assess the damaged pit to determine the influence of spalled, deteriorated, damaged or honeycombed concrete on load bearing capacity, serviceability and durability, and submit the assessment to the Superintendent for review.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• The Designer and the Engineering team to agree upon an appropriate repair treatment(s) and materials, consistent with the requirements of VR Spec. Section 687 and 689.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Complete ITP for either crack repair or patch repair.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Measure, document and photograph the dimensions and condition of the defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed and approved?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Prior to start of works. Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,2.0 Excavation,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 - Conformity with Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Prior to commencement of excavation for the pits the Contractor shall confirm the position of all pits with the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• The location of each pit may be altered to suit site constraints ±1m with both the approval of Survey and the superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Prior to start of works,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.2 - Excavation for Pits,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Excavate to required depth which shall also include excavation necessary to prepare the pit foundation & provide the full specified depth of pit bedding. Maintain excavation width clearance. Excavation for pits shall not be less than 400 mm from external wall to side of excavation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,3.0 Bedding,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 - Bedding,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.05 Table 701.091 & 701.092,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Bedding placed and compacted to a thickness not less than 80 mm on clay foundation or 150 mm on rock foundation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Bedding needs to conform to Table 701.091 & Table 701.092.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Bedding and Backfill Material Conformance,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,4.0 Installation of Pits,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 - Installation of Pits,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.07 705.08 705.09 705.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Precast pits shall be installed at the locations and to the dimensions shown on the drawings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Subsurface Drainage Connections – Holes for subsurface drainage shall be 150 mm diameter (cored not broken), unless specified on the drawings.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• Segments – If a precast pit is cast in segments, each section of the pit shall be rebated to ensure correct alignment and to prevent horizontal movement. A minimum rebate of 15 mm shall be used.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - I,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Test results for fibres and fibre content (if applicable) (Compliance Certificate provided by Supplier),"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.2 - Pits with Risers,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - BTN033,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Where a drainage pit is manufactured in multiple sections with different wall thicknesses, the internal wall face must be vertically aligned, and the step in the wall thickness is to be located on the outside face of the pit. Joints must be sealed with cement mortar to provide watertight joints. No bonded anchors to be used for the construction of the drainage pits.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.3 - Step Iron Fitting,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Pits greater than 1.0 meter shall be fitted with step irons. Step irons shall not obstruct openings or be fitted to a wall which has openings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Step Irons shall be installed in accordance with the manufacturer’s instructions and shall be an approved proprietary type.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed correctly and to a high standard?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Material Conformance Certificates,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.4 - Shaping the floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Drainage pit floors shall be smoothly shaped from the inlets to the outlet for a height of one third of the diameter of the outlet pipe with cementitious mortar, to provide a profile that will ensure smooth flow conditions between inlet and outlet pipes and prevent any snagging of debris. The cementitious mortar shall comply with the requirements of clause 610.33",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.5 - Jointing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.14 705.16 610.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - The joints between drainage pits, access chambers and pipes shall be made watertight using a cementitious mortar in accordance with the requirements of Clause 610.32.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Mortared joints and recesses shall be cured for a period of not less than 48 hours with no backfilling until the curing period is finished.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,5.0 Backfilling,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.1 - Survey Location Confirmation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - The location of each drainage pit shall be verified by a survey certificate prior to backfilling the drainage pit.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Offset of entry pits required to match lines of kerbs or barriers ±20 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Plan location of pits other than offsets to kerb lines or barriers ±100 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE SV,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Survey Conformance Report,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.2 - Backfill Material,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - PS3030.07 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Backfill material shall conform to the requirements for type A material.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - NATA Test Report: Grading/PI,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.3 - Backfill Pits,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.18 PS3030.07 (b. iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Backfilling around drainage pits shall be placed in layers not exceeding 300 mm loose thickness and compacted to refusal using handheld mechanical equipment.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Superintendent must inspect before backfilling as indicated in PS3030.07 (b. iv).,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,6.0 Completion,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.1 - As-built Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 705.19 610.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Survey complies with specified requirements.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• The level at every point of the pit covers perimeter shall be within 10 mm of the design level. The line of the cover shall be within 10mm of the design kerb line,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Offset of entry pits required to match lines of kerbs or barriers ±20 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Plan location of pits other than offsets to kerb lines or barriers ±100 mm.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• The tolerance listed in Clause 610.46 are the allowable deviations of the finished product from the dimensions shown on the drawings. These tolerances will be a basis for acceptance of the work.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been proven and meets requirements?,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Survey Conformance Certificate,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,7.0 Work Lot Close Out,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,7.1 - Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - DoT Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Test reports received and Reviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - NATA Endorsed Test Reports,"Yes,No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,7.2 - Product Non-Conformance,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - CQMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Product Non-Conformance(s) recorded and closed (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - NCR reports,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,7.3 - Quality Representative to check the above criteria and records to confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - CQMP Lot Records,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - All above criteria met, and records identified attached.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - Completed Checklist (if applicable) and reports and other compliance records attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B,,,,,Yes,1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B,3111f2df-fd4d-4607-ba81-ecbd85e8df1e,,,,,,,,,,,,,,,,,,,,
checkpoint-group,1.0 Pre-start activities,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,1.1 - Define Work Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 173.02 204.03 (h) Table 204.142,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Quality Management Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Lot Diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Survey boundaries clearly define the Earthworks Type B Construction works.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Lot diagram to be provided clearly marking up extents of lot area.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Work Lot open on TeamBinder.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Lot size with no more than one day’s production or a maximum of 10000m² for Type B Material.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"• In case of Random level assessments of the surface measurements, the lot size shall be a maximum of 4000m².",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Prior to start of works,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R S,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Lot map,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,2.0 Set Out,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 - Set Out Survey Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.03 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• IFC Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Set out pegs in place and clearly mark out limits of works as per IFC drawings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,2.1.1 - Surveyor Report Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Surveyor report reference,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,3.0 Placement of Type B Material,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,3.0.1 - Incoming Material Docket,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Incoming material docket,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 - Underlying Layer Conformance,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(b),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• Construction Document,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - No fill to be placed until the area has been reviewed by the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed granted?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.2 - Placing Geotextiles (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 210.05 Table PS3020.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,• IFC Drawing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - The placement of geotextile is not permitted without the written approval of the Superintendent.,,,,,,,,,,,,,,,,,,,,,,,,,,,
