"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b61f67dc-0170-4ec2-91c7-eac96eca8713","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING"
"b897d198-06e5-4034-a348-d9fd9e866a30","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","RF2 - Zone 4"
"67eb56c2-f94c-4866-9e78-399260541b58","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF3 - Zone 6","Ditto, to side of pad footing incl slab folds to lift core"
"73e1cb4b-ba01-43a8-b617-46614ecb7ab3","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF3 - Zone 6","Allowance for Lapping to Retention Walls / SOG Membrane"
"064e8c63-9a19-47b0-9dc2-d40a49d8a647","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","RF4 - Zone 6"
"b1b5d001-6308-42d5-88e9-d13c9888f826","","checklist-flat","pass","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF4 - Zone 6","Membrane below pad footing"
"56782689-f2e5-4095-991f-5464e9496636","","checklist-flat","work-in-progress","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF4 - Zone 6","Ditto, to side of pad footing incl slab folds to lift core and top of pad footing"
"2e2f4b81-f388-458f-92b6-a0f8c01e7e77","","checklist-flat","pass","Enviro BSM + Liquid Membrane / Epoxy Termination","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF4 - Zone 6","Membrane Termination to Pad Footing"
"0fd4560b-8630-40c7-b02d-3e1b3b4cb71c","","checklist-flat","not-started","zSYS - Archived checklist 2","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF4 - Zone 6","Hydrophilic Strip to Retention Wall Interface and as per 19315-RBG-ZZ-ZZ-DR-ST-03035 Rev T4"
"d42c1dd3-09e5-4b81-a02d-6f394d68f898","","folder-normal","not-started","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","Escalator Pit - Zone 2"
"a9ae9d6e-741b-440f-834e-0cad0ba79ebb","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Escalator Pit - Zone 2","Membrane underneath escalator pit"
"7b38f08d-4712-4bdd-b193-a0443ca9f55e","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Escalator Pit - Zone 2","Ditto, to side of escalator pit ne 2m H"
"a2fa3660-3079-4fc1-b26e-12c79e34f2a5","","checklist-flat","not-started","Enviro BSM + Liquid Membrane / Epoxy Termination","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Escalator Pit - Zone 2","Membrane Termination Allowances"
"8ca01635-ee65-41ac-bfcc-6ad7df1f6c43","","checklist-flat","not-started","zSYS - Archived checklist 2","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Escalator Pit - Zone 2","Hydrophilic Strip between slab and wall of escalator pit"
"5f6549f4-8d34-4f75-8c8c-793b16c7830c","","folder-normal","not-started","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","Footings with no hydrostatic slab membrane interface"
"eba85dc5-bc5b-40ca-b2bf-e68ced23865a","","checklist-flat","not-started","zSYS - Archived checklist 3","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Footings with no hydrostatic slab membrane interface","Membrane to GB-3 (2000mm wide x 500mm depth)"
"4ccc0e1f-b841-437b-b688-c0ac9c4ba1ee","","checklist-flat","not-started","zSYS - Archived checklist 3","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Footings with no hydrostatic slab membrane interface","Membrane to SF-3 / SF-1 (1000mm wide x 800mm depth)"
"fccb60a1-d5c7-4d72-b62c-4b815549f4cb","","checklist-flat","not-started","zSYS - Archived checklist 3","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Footings with no hydrostatic slab membrane interface","SF-2 / SF-4 (1000mm wide x 1000mm depth)"
"dee7ba94-f108-43bc-90b9-b8db2184f554","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","Lower Ground Hydrostatic Slab"
"7967c5cd-f68d-433a-87ef-7c2d83da8fe0","","checklist-flat","work-in-progress","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Lower Ground Hydrostatic Slab","Membrane to Basement Slab on Ground (250mm thk hydrostatic slab + 400mm thk hydrostatic slab + additional slab at Southern Side)"
"33d12d9d-c579-49eb-9ab2-84d8617a37d9","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Lower Ground Hydrostatic Slab","Ditto, upturn to side of slab on ground incl lap to perimeter retention walls"
"6666c7e1-0eec-4f67-a2d1-af18d8cb1108","","checklist-flat","not-started","Enviro BSM + Liquid Membrane / Epoxy Termination","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Lower Ground Hydrostatic Slab","Membrane Termination Allowances"
"02fd1f43-8ae7-4ce9-b569-608d9dd2fda7","","folder-normal","not-started","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","Footings with hydrostatic slab membrane interface"
"d1a53375-2df2-4702-bac7-d7a46a669a89","","checklist-flat","not-started","zSYS - Archived checklist 3","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Footings with hydrostatic slab membrane interface","Membrane to GB-1 (2100mm wide x 500mm depth)"
"a4d23bce-cb51-4c3f-8a2e-f93bd7c263c9","","checklist-flat","not-started","zSYS - Archived checklist 3","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Footings with hydrostatic slab membrane interface","Membrane to GB-2 (3000mm wide x 500mm depth)"
"6e620130-9d6a-4a10-8a7a-2130daa3efe2","","folder-normal","not-started","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","Basement Retention Wall"
"9761ec4e-346c-48d2-b414-b59aa32b539d","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Basement Retention Wall","Membrane to RW as per Markup issued by JH ne 2m H from SOG"
"ef3ba187-9bd6-4456-93e9-7cfd99c63b03","","checklist-flat","not-started","Enviro BSM + Liquid Membrane / Epoxy Termination","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","Basement Retention Wall","Membrane Termination Allowances"
"b7095fe8-96b6-416a-a316-442f2a911bd2","","folder-normal","work-in-progress","","step","TRUE","FALSE","EXTERNAL WATERPROOFING"
"e1fd9033-0192-40e0-aa86-da14aa023eda","","folder-normal","not-started","","step","TRUE","FALSE","EXTERNAL WATERPROOFING","Ground Level Zone 6"
"937ceea4-95cc-41eb-b780-9c31dfaf2af5","","checklist-flat","not-started","zSYS - Archived checklist 4","checklist-flat","FALSE","FALSE","EXTERNAL WATERPROOFING","Ground Level Zone 6","Membrane to Ground Level Zone 6 Concrete Slab incl 150mm upturn to perimeter - assumed to have paver over (TBC for asphalted portion)"
"290cbc7f-b7b9-4649-aeb2-5c256548ba8a","","folder-normal","work-in-progress","","step","TRUE","FALSE","EXTERNAL WATERPROOFING","Level 1 Zone 4"
"29b383d9-8392-4d82-b91e-b443f0ce97c5","","checklist-flat","work-in-progress","zSYS - Archived checklist 4","checklist-flat","FALSE","FALSE","EXTERNAL WATERPROOFING","Level 1 Zone 4","Membrane to Level 1 Zone 4 Outdoor Space (slab + 150mm upturn) - assumed to have paver over"
"25a8d6fb-2a2b-420a-a247-44430297763e","","folder-normal","work-in-progress","","step","TRUE","FALSE","EXTERNAL WATERPROOFING","Exposed Concrete Roof"
"3004ab0e-d72f-4c65-8c02-56d1f18b4672","","checklist-flat","work-in-progress","zSYS - Archived checklist 4","checklist-flat","FALSE","FALSE","EXTERNAL WATERPROOFING","Exposed Concrete Roof","Membrane to Exposed Concrete Roof / Plant Slab incl 150mm upturn to perimeter"
"7f0f9911-41fb-48f7-8b11-6857e0802cc3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","EXTERNAL WATERPROOFING","Bsm works "
"63a45b67-c923-476a-8c3c-abc862ffc135","","folder-normal","no-status-not-started","","step","TRUE","FALSE","EXTERNAL WATERPROOFING","Bsm works ","Photos of bsm works "
