"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9a93cfbb-6028-45b5-a823-ad6f77221624","","folder-normal","work-in-progress","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints "
"267ce325-270c-4b3c-b771-062907dd0e5f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)"
"330417c3-d6a9-4290-8740-d0439de07b13","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Ground Level","Floor Finishes Fittings Plant area (00-U01) incl upturn to perimeter"
"41311c0e-12f4-41e0-9deb-12471696a0dc","","folder-normal","not-started","","step","TRUE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 1"
"8214cfcb-481f-4099-8271-16f514d02ac8","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 1","Zone 1 Plant Room (01-U10) incl upturn to perimeter"
"bbe2ac04-b44d-4c2d-8945-39a97abf7309","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 1","Ditto, to concrete hobs (coverage ne 500mm)"
"b1628d5b-4fe8-4888-930c-021f0a1173e7","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 1","L01 Zone 2 Plant room (01-U06) incl upturn to perimeter"
"4d637f92-5093-4d57-9132-a2a47598761d","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 1","Ditto, to concrete hobs (coverage ne 500mm)"
"661b1677-d29b-4380-9133-9ead4afbe4aa","","folder-normal","not-started","","step","TRUE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 2"
"7b6a5c7a-e930-4ad1-876a-c0ddfc6b4642","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 2","L02 Zone 1 Plant room (02-U03) incl upturn to perimeter"
"0a3738ac-c20e-4503-80bf-f87ffd690aca","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 2","Ditto, to concrete hobs (coverage ne 500mm)"
"a29086b9-0343-4247-a6b1-f5033468a54b","","folder-normal","work-in-progress","","step","TRUE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 3"
"7708d024-46e1-446a-9c2c-1416eef0abc1","","checklist-flat","work-in-progress","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 3","Zone 1 Plant room (03-U01) incl upturn to perimeter"
"3a26afd7-8f42-4dd4-b2af-52854264026c","","folder-normal","work-in-progress","","step","TRUE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 4"
"bd3b0dc2-07ad-48d5-93b7-9f33bfebc84c","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 4","L04 Zone 1 Terrace (Grid F-G) incl upturn to perimeter"
"efa6b31b-be13-4e49-bd3f-20e565d1f2dc","","checklist-flat","work-in-progress","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 4","L04 Zone 2 Terrace and Plant Area incl upturn to perimeter"
"f9051d4b-be75-4fc4-b91f-70c3d5c9ed48","","checklist-flat","work-in-progress","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Level 4","Lift Lid (incl UV topcoat)"
"9a23267a-4d9e-4814-8106-39239d803051","","folder-normal","work-in-progress","","step","TRUE","FALSE","Waterproofing Bandage to Blockworks / Windows Hobs"
"1cd8f79b-d59d-4655-8706-78e437655b82","","folder-normal","not-started","","step","TRUE","FALSE","Waterproofing Bandage to Blockworks / Windows Hobs","Ground Level"
"747ad917-135a-4e5d-bd3c-eaa35950abb6","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Waterproofing Bandage to Blockworks / Windows Hobs","Ground Level","L00 Zone 1 Bandage to first two courses of blockwork H: 300mm + 150mm lap to slab"
"db37014f-89ea-4765-a903-3038527a3694","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Waterproofing Bandage to Blockworks / Windows Hobs","Ground Level","L00 Zone 2 Bandage to first two courses of blockwork H: 300mm + 150mm lap to slab"
"c0508ef1-5d1d-4ef9-b705-4c51372b7558","","folder-normal","work-in-progress","","step","TRUE","FALSE","Waterproofing Bandage to Blockworks / Windows Hobs","Level 3"
"986bca30-97cf-4248-8544-8a681874e62d","","checklist-flat","work-in-progress","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Waterproofing Bandage to Blockworks / Windows Hobs","Level 3","Zone 1 Membrane to Window Hob - coverage ne 500mm per lm"
"64579dcc-69ab-4e00-a731-daabac164475","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Waterproofing Bandage to Blockworks / Windows Hobs","Level 3","Zone 2 Membrane to Window Hob - coverage ne 500mm per lm"
"33f790ed-1d73-4a33-8fc2-bd5f3514c9b8","","folder-normal","not-started","","step","TRUE","FALSE","WPS-08 (Non Accessible Areas, UV Exposed)"
"cdfba1ca-e64f-496e-8ba9-24cc502558e3","","folder-normal","not-started","","step","TRUE","FALSE","WPS-08 (Non Accessible Areas, UV Exposed)","Level 3"
"05cd21ee-0253-4933-8bef-bd579fc662ee","","checklist-flat","not-started","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","WPS-08 (Non Accessible Areas, UV Exposed)","Level 3","Zone 1 Perimeter non-accessible area"
"f17f0bcb-6b3c-478f-a44c-6880b82712e3","","checklist-flat","not-started","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","WPS-08 (Non Accessible Areas, UV Exposed)","Level 3","Up and over hobs 300mm (coverage ne 500mm)"
"387979b0-9de5-4794-8651-6537da3659ae","","checklist-flat","not-started","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","WPS-08 (Non Accessible Areas, UV Exposed)","Level 3","Zone 2 Perimeter non-accessible area"
"5a5d8e12-277d-4305-8a38-8b31380a58b6","","checklist-flat","not-started","SYS - Archived checklist 3","checklist-flat","FALSE","FALSE","WPS-08 (Non Accessible Areas, UV Exposed)","Level 3","Up and over hobs 300mm (coverage ne 500mm)"
"daa01d4e-2fbf-4678-9207-82f7804f963c","","folder-normal","not-started","","step","TRUE","FALSE","Areas Affected by Rain (Scratch Coat) - Assumed to be Rectified with 3mm grinding and layer of epoxy membrane"
"bbb131da-cb09-42ab-a7f5-9a12998f1f02","","folder-normal","not-started","","step","TRUE","FALSE","Areas Affected by Rain (Scratch Coat) - Assumed to be Rectified with 3mm grinding and layer of epoxy membrane","Level 1"
"7d1a84bf-7204-4ecc-b7ab-12ac4a6b78d4","","checklist-flat","not-started","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Areas Affected by Rain (Scratch Coat) - Assumed to be Rectified with 3mm grinding and layer of epoxy membrane","Level 1","Zone 1 Rain Damaged Substrate at Concourse"
"d2d81a80-d1be-4f8b-9a6b-b887f1b3a044","","checklist-flat","not-started","SYS - Archived checklist 4","checklist-flat","FALSE","FALSE","Areas Affected by Rain (Scratch Coat) - Assumed to be Rectified with 3mm grinding and layer of epoxy membrane","Level 1","Zone 2 Rain Damaged Substrate at Concourse"
"a5da18d1-c4a9-47d3-8fec-ec97b86a9421","","folder-normal","work-in-progress","","step","TRUE","FALSE","Open Vomitory Areas / External Terrace to Receive Full Waterproofing System"
"f99d0c49-3120-4f25-9ac2-a872b79c2446","","folder-normal","work-in-progress","","step","TRUE","FALSE","Open Vomitory Areas / External Terrace to Receive Full Waterproofing System","Level 1"
"21f514a3-1ef0-491a-a8b4-034d1ea321c5","","checklist-flat","work-in-progress","SYS - Archived checklist 5","checklist-flat","FALSE","FALSE","Open Vomitory Areas / External Terrace to Receive Full Waterproofing System","Level 1","Zone 1 Open vomitory area and infill slab as per builder's mark-up dated 13May2023 (Grid A-K) incl 150 mm turn-ups"
"bef52890-31aa-4167-8eb3-188ada64e1a3","","checklist-flat","not-started","SYS - Archived checklist 5","checklist-flat","FALSE","FALSE","Open Vomitory Areas / External Terrace to Receive Full Waterproofing System","Level 1","Zone 2 Open vomitory area and infill slab as per builder's mark-up dated 13May2023 (Grid K-T) incl 150 mm turn-ups"
"6022e282-591a-40cd-9031-d5ce7040d11a","","checklist-flat","work-in-progress","SYS - Archived checklist 5","checklist-flat","FALSE","FALSE","Open Vomitory Areas / External Terrace to Receive Full Waterproofing System","Level 1","Zone 3 Open vomitory area and infill slab as per builder's mark-up dated 13May2023 (Grid T-Y) incl 150 mm turn-ups"
"7eb44a3e-6f09-4ca0-85e7-8ee5bf1dd4f0","","folder-normal","not-started","","step","TRUE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving"
"53ba97c7-fec4-4c5e-98d2-687eda74ce9e","","folder-normal","not-started","","step","TRUE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Ground Level"
"190fd9d0-8e1f-460c-931a-225dc33415e9","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Ground Level","Zone 1 - Keg Cool Room 00-B14"
"5b008e53-fed8-44ff-b8c6-cfd2e2ec87c8","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Ground Level","Zone 2 - Keg Store 00-B04, Cool Room 00-K01, Freezer 00-K02"
"e0bb52bb-e608-4cae-b6d9-90deadef180b","","folder-normal","not-started","","step","TRUE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 1"
"a6a58c28-cb06-409f-b4ee-3af9e4bfe25e","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 1","Zone 1 - Freezer 01-K08, Cool 01-K09, Cool 01-K02, Cool 01-K04"
"318176a7-9421-426c-a68b-ef77decefadd","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 1","Zone 2 - Cool 01-K11, Freezer 01-K12, Coolroom 01-K14"
"8a7cf06f-4a37-449d-b223-0e9b93e30776","","folder-normal","not-started","","step","TRUE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 2"
"2525b637-541c-4556-94b2-20bda0290ab1","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 2","Zone 1 - Cool 02-K05, Cool 02-K09"
"9b2e4789-64ae-4091-b38a-d0d2e63204ef","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 2","L02 Zone 2 - Freezer 02-K11, Cool 02-K12, Cool 02-K03, Freezer 02-K15"
"7194bc74-58d3-4dce-90a2-09e46cdc9afa","","folder-normal","not-started","","step","TRUE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 3"
"b76b5b64-9d77-4267-8463-f4db59b0a44d","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Level 3","L03 Zone 1 - Cool 03-K03, Cool 03-K02"
"ab8df219-7eef-4a55-ae04-027f770ca6b0","","folder-normal","not-started","","step","TRUE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Epoxy Coving and Topping Screed Allowances"
"af254c81-f0c2-4a79-abbb-fce7e9c49fc6","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Epoxy Coving and Topping Screed Allowances","Epoxy Coving to perimeter"
"c7fe6209-d907-4984-bbc4-834aa4501f1e","","checklist-flat","not-started","SYS - Archived checklist 7","checklist-flat","FALSE","FALSE","FLX-03 FSDA (Green Mark-up) Screed + Epoxy Sealer + Coving","Epoxy Coving and Topping Screed Allowances","Topping Screed (max 70mm thickness)"
"f843d469-83ca-4dd9-aea7-752a835ba483","","folder-normal","work-in-progress","","step","TRUE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV"
"cf9b32c2-3eca-455c-9973-84fe7c2b8aa9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 1"
"53aacce8-677a-4531-ad67-f7a7f71f2c9b","","checklist-flat","pass","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 1","Zone 1 Concourse Grid A-L"
"49f67461-318d-4c97-a2fe-e43f3150e09f","","checklist-flat","work-in-progress","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 1","Zone 2 Concourse Grid K-V"
"fcad0b2b-60a7-495e-9826-622495ef96ef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 2"
"d1a40368-b733-48bb-84be-2401114690fd","","checklist-flat","work-in-progress","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 2","Zone 1 Concourse Grid F-L"
"e7b6779a-dc1b-435f-bdd0-51ff6b492d48","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 2","Zone 2 Concourse Grid L-U"
"d06ab32a-0976-4790-8cbb-cc5f76233f73","","folder-normal","not-started","","step","TRUE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 3"
"0893bd6e-b5b9-465c-9787-9da3b68eb384","","checklist-flat","not-started","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Level 3","Zone 1 Concourse Grid A-L"
"fcc73281-8032-47f6-8b90-fdec82a960f8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Addendum 1 - Epoxy Scope RF-05 to Museum"
"b7a1532d-827f-455c-a8a7-d7b78705aa29","","checklist-flat","work-in-progress","SYS - Archived checklist 6","checklist-flat","FALSE","FALSE","Epoxy Scope (Blue mark-up) - Not Exposed to UV","Addendum 1 - Epoxy Scope RF-05 to Museum","Museum (Floor Slab incl turnups)"
"d3a6206b-7b98-471b-8c09-0121e6f07942","","folder-normal","work-in-progress","","step","TRUE","FALSE","Landscape Walls"
"2769036b-4acc-4109-b844-37f71b2b0ede","","folder-normal","work-in-progress","","step","TRUE","FALSE","Landscape Walls","Kardinia Park Stadium"
"70140c40-0c05-48d0-9bef-5ee4155a68f2","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Finishes Plan 3 - W6 ne 1.35m coverage :[6 lm]"
"cca883cf-cefd-4a66-9797-bb3014f32eb7","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Kardinia Park Stadium Finishes Plan 4 - W2 ne 1.75m coverage :[24 lm]"
"a902edb4-6c7f-47e9-9432-30dd18bd9f66","","checklist-flat","work-in-progress","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Kardinia Park Stadium Finishes Plan 5 - W1A ne 1.65m coverage :[91 lm]"
"ded25557-d2c8-4a29-aec6-5211ae4893ae","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Kardinia Park Stadium Finishes Plan 5 - W2 ne 1.75m coverage :[5 lm]"
"71678a5e-0145-4330-9b23-3b7f5a10c8d3","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Kardinia Park Stadium Finishes Plan 6 - W1A ne 1.65m coverage :[91 lm]"
"465159c2-5673-45a3-9656-2e8b56d522ab","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Kardinia Park Stadium Finishes Plan 6 - W2 ne 1.75m coverage :[39 lm]"
"cd999dd6-df1d-4c37-96f2-019ab72a3e4b","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Kardinia Park Stadium Finishes Plan 6 - W3 (Below) ne 2.15m coverage :[41 lm]"
"8ad9faec-f5d7-4adb-b096-69069b8dc9ca","","checklist-flat","not-started","SYS - Archived checklist 2","checklist-flat","FALSE","FALSE","Landscape Walls","Kardinia Park Stadium","Kardinia Park Stadium Finishes Plan 8 - W1A (Below) ne 1.65m coverage :[65 lm]"
