"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7280c873-51b1-477b-9141-4ba1d939f0b8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1"
"e152a84d-243f-4984-afb1-69dabe1bb762","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A"
"b3cf88dc-c891-4b04-b559-ffd2db8cc777","","folder-normal","pass","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A"
"6c9f3fd1-01e6-4f91-bd3b-176c5300d704","","checklist-flat","pass","21bcae137638761056170d7fed6d50b13c9e14674efdef9fa4233f07a1fc7f48","checklist-flat","FALSE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side"
"94e40ec2-c264-5bbe-a781-972551173591","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Substrate is clean, dry and ready"
"4b44270e-13dc-5ab7-be45-59e6429545bc","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","3 Coats of Sika blackseal elastic is applied on concrete retained blockwall"
"2039d569-4f00-5196-a036-f8c6973724d4","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Protection board is installed correctly"
"263df0d0-b94e-52a9-b136-a30dc6448b0e","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Area left clean and tidy"
"7515546f-e85d-4c5b-8d9c-8e306301a188","","folder-normal","not-started","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A"
"c8ea2e05-a8e9-44d2-81d6-c80421004ed3","","checklist-sectioned","not-started","QA - Nuraply 3PT and 3PTM Installation Checklist","checklist","FALSE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings"
"81a357ac-7f1e-5d7e-9691-e9a68ca49a5b","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Location of Work"
"1eda1651-eb6b-5aa7-b9da-74c61a092921","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Substrate clean, firm and suitable condition for laying the Nuralite system."
"6edefb4c-5141-5848-8e4b-8d2c0b9adf5d","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate"
"4fe2a005-0c16-57a6-b43c-4476c4b1d5de","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Concrete Substrate checklist completed before work commenced."
"1d4511d3-c2d1-5f49-a68f-7918f58bdceb","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any movement joints installed to approved specification/detail."
"95c8ec29-469e-51ed-868d-5450aa15bf6c","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Mortar/concrete fillets fitted to all internal junctions and corners chamfered at a 45°."
"d6489d5f-1ef9-591f-ba01-7a4c69310755","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All corners and upstands incorporate reinforcing or under flashing"
"836b28f0-f113-5620-a8c1-99647fdfe79f","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Under-slab membrane extends beyond footing and protected until vertical membrane
installed."
"559b9d0e-dcc6-5e6d-a137-90fe76802040","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Side laps 100mm and end laps 150mm fully torched and seamed. Bleed visible on all joints."
"88c4119e-dc0a-594e-9a15-da9a175e8054","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All penetrations installed to specification including under/over flashings."
"e9d211ef-673e-5fea-b86c-65d5ee4fdd8a","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Junction of the floor and wall membranes installed to specification fully bonded and
watertight."
"3442a685-741b-55ec-8dce-6133ccf11f90","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All non-standard details installed as per pre-approved specification (attach approved
drawings)."
"23ec931a-9f63-57b1-9243-b3753b4aa805","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any mechanical damage to membrane repaired to specification."
"bfd9b587-3df1-5df3-a335-95e17ab2b75a","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane termination completed to approved detail."
"11506295-957d-50ff-9be6-538b2abfd44b","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Suitable drainage system installed below footing as per specification."
"32360838-a54d-50e0-9b46-d8f75b637ef6","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane protection boards installed correctly."
"40ca0c22-0d9e-5744-bfeb-a77f22302fa2","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane fully adhered to substrate with no bridging, bubbling, or delaminating."
"ba71fb69-00f6-589f-9c43-3759a4b112e8","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Overall installation free of wrinkles, bubbles, creases and splits."
"558aa489-d09d-4711-8917-3307705537e4","","checklist-sectioned","not-started","QA - Nuraply 3PT and 3PTM Installation Checklist","checklist","FALSE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall"
"60e4b66f-ca72-5cad-87ee-d8e3ea4b5dbd","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Location of Work"
"f85e90b1-f9db-5269-a098-983d450c5e34","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Location of Work","Area where product is being installed"
"8bd2d80e-b545-503c-b79a-3dea17ad2450","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist"
"64004590-dcdb-5852-97e0-6c7e28008809","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist received from Main Contractor"
"331f8bc8-5c6a-5d5c-a9f3-067bcb020a2f","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete cured with curing membranes removed. Concrete substrate contains less
than 5% moisture content"
"0e90e6f2-6685-58b4-ac05-e63c10293108","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Cavities and cracks filled with repair mortar, flushed off and cured."
"39f150b1-7d46-5469-8621-c7d5263095c1","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraswell installed to construction joints as per specification - located 50mm from rebar."
"044fa52d-d8a6-54d6-b677-2a7502e8498f","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete surface firm with any soft concrete or laitance removed."
"47618652-aa22-5839-9d62-a45da479d1ca","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","All protrusions removed. Surface free from foreign matter"
"2447396e-2fc6-5188-9eee-c86d811191e2","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Mortar or bitumen fillets to all upstands and smooth 5mm radius
to all external edges"
"fcc53c12-ac17-5ca1-ada5-d2c6965bda4b","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","If terminating into a chase, pre-form the chase and ensure it’s
straight and 20mm deep."
"31f27d0e-df0e-5600-a98a-fb2e63481cd5","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Substrate clean, firm and suitable condition for laying the Nuralite system."
"dde389f1-f44c-5d47-95f9-d60fe7560641","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate"
"3902afe7-b1a5-5bfe-9f95-65cafb4790dd","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Concrete Substrate checklist completed before work commenced."
"ffe467e5-fcfb-581a-949b-cf032f6c13ec","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any movement joints installed to approved specification/detail."
"e5a7f2db-3617-5975-b384-e20884c4a353","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Mortar/concrete fillets fitted to all internal junctions and corners chamfered at a 45°."
"470eb2fa-3c29-5111-9498-3b9616b104f8","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All corners and upstands incorporate reinforcing or under flashing"
"f9698f85-5a65-50b6-85f0-d1f562e8d786","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Under-slab membrane extends beyond footing and protected until vertical membrane
installed."
"07c4d19e-88db-54e7-aaf2-cd3488aa165d","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Side laps 100mm and end laps 150mm fully torched and seamed. Bleed visible on all joints."
"a4e63de3-948d-5da5-a765-f0cc8474fbb0","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All penetrations installed to specification including under/over flashings."
"fa09b6c7-0d6d-53db-9f2f-8a7321e04914","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Junction of the floor and wall membranes installed to specification fully bonded and
watertight."
"739e6b39-c8d5-57f7-abce-dfb086375b26","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All non-standard details installed as per pre-approved specification (attach approved
drawings)."
"c0f0a732-bfb3-5021-a2b0-e2979adc7da5","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any mechanical damage to membrane repaired to specification."
"d91939ad-c511-5738-9dde-bb2fc999a95d","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane termination completed to approved detail."
"2f7b5bc9-bbc6-572f-93c9-a7c1a7983a62","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Suitable drainage system installed below footing as per specification."
"091a93d7-c862-5d3f-bc5d-7cb302e67ad5","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane protection boards installed correctly."
"7c62dae5-2af6-5c35-90b1-0572b9a6b183","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Membrane fully adhered to substrate with no bridging, bubbling, or delaminating."
"359de733-589c-5aee-b36f-7f0883833488","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Vertical Blockwall","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Overall installation free of wrinkles, bubbles, creases and splits."
"89b4e7ee-032d-4f23-bfcc-7a1f4bcd22fc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1","Block A"
"9c6d57f9-1b2d-4e29-8e6a-7c21a848f7d4","","folder-normal","pass","","step","TRUE","FALSE","Lightbox Stage 1","Block A","Gridline 3, A-H"
"44f2f6ec-0616-46df-bd49-880a2d9100f8","","checklist-sectioned","pass","QA - Nuraply 3PT and 3PTM Installation Checklist","checklist","FALSE","FALSE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings"
"43fcf5b2-2157-5e64-83ef-9e1348393726","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Location of Work"
"9cbb1e7d-3307-5fba-b762-19a700ef5add","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Location of Work","Area where product is being installed"
"473eb3a8-3481-5580-836c-8b45bdcbec6d","","checkpoint-group","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist"
"cfbbdbda-100a-57bb-99fd-dcd9f6186779","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist received from Main Contractor"
"ffbb007f-5076-5f74-aa61-cef3c1658a64","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete cured with curing membranes removed. Concrete substrate contains less
than 5% moisture content"
"08df5692-c6fe-5b1d-8ff2-9cfd28356a56","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Cavities and cracks filled with repair mortar, flushed off and cured."
"74d100be-58ea-51c3-a391-02ec7d10f0ed","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraswell installed to construction joints as per specification - located 50mm from rebar."
"b216988f-0605-57fe-a5f6-95537135f98d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete surface firm with any soft concrete or laitance removed."
"8160bda1-9baa-5eae-b6ec-574ed92c4e9e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","All protrusions removed. Surface free from foreign matter"
"4eeb1bb6-b2f2-5fbb-b711-c69835a6421d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Mortar or bitumen fillets to all upstands and smooth 5mm radius
to all external edges"
"47c0caaa-2c04-5b9c-a167-b5e05c3d778d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","If terminating into a chase, pre-form the chase and ensure it’s
straight and 20mm deep."
"14b0af67-9d52-5af9-aaf8-c995ebb74f67","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Substrate clean, firm and suitable condition for laying the Nuralite system."
"0c0f270c-867b-5675-bbc9-a7e21ba918ef","","checkpoint-group","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate"
"6f67f1ba-ee74-5f62-9bfa-fe4376b5fa74","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Concrete Substrate checklist completed before work commenced."
"0124ab68-c4d1-5f70-ab20-4524db9b1548","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Any movement joints installed to approved specification/detail."
"4d7559dc-b72d-5601-a236-b834ab413044","","checkpoint-status","not-applicable","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Mortar/concrete fillets fitted to all internal junctions and corners chamfered at a 45°."
"d6bbe22b-954a-5f29-9775-5ff57f4cbfef","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All corners and upstands incorporate reinforcing or under flashing"
"89127cee-f8fc-5a61-8a0d-4341df29952b","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Under-slab membrane extends beyond footing and protected until vertical membrane
installed."
"2a3790b1-5dab-53d8-804f-18e209618f7b","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","Side laps 100mm and end laps 150mm fully torched and seamed. Bleed visible on all joints."
"381a3253-f5c8-5b4f-9dde-381212e9a6ab","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Block A","Gridline 3, A-H","Underfootings","3PT and 3PTM Installed Product Checklist on Concrete Substrate","All penetrations installed to specification including under/over flashings."
