"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"98c26acb-cdf8-4497-891f-4178557656ff","","not-started","","folder","TRUE","FALSE","Active Projects"
"31ec2bcf-3d2f-47e3-9fef-96dbc354a293","","not-started","","folder","TRUE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)"
"46008034-1533-4eb1-ab05-3aea7f263b07","","not-started","","folder","TRUE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing"
"b7f5d2c0-bd95-4dfa-a577-de2fa8946b4c","","not-started","","folder","TRUE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in"
"41ad4a7c-e116-4d59-acef-30ca1dd42144","","not-started","WG Install Water/Gas Rough-ins - QA Checklist","checklist","FALSE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist"
"fbc274fb-3291-5159-b841-2ecb2373ae03","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373","section","FALSE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details"
"a4602d6b-5fbd-5ec7-a6de-bb16cfcb8716","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:1e69b137-305b-4897-9d50-ae296f7eb7f7","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Check in-wall mixer bodies & lugged elbows"
"43c8b78a-b684-5b22-9594-267cbf64ca97","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:5e319385-172a-478e-9af3-203c424a0e10","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Check in-wall fixture mounting brackets & concealed cisterns"
"09a3dd58-df3e-56b8-9b98-6a65454bfdb7","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:42649910-f7a6-400d-be9e-75c4bd162b5d","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Check fixture fit-off noggins"
"496b89cb-fbfb-546f-83a2-a6a8267e8160","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:93d03dd3-d9e4-4214-b109-14d664ffbe3b","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Check sharp edge pipe protection"
"5efd1a90-5662-5dd8-a738-9b3c5abd3576","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:f43390c6-2b89-41ae-b30c-3903122c78d2","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Check pipe colour coding"
"830445d4-8dd1-5624-b159-feb92181a73e","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:c6270bd6-6c4f-4cea-a6b4-efcecc65a344","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Check all rubbish is collected, placed in bins & lids are closed"
"9a27af10-dbef-52a0-8301-e178a546623f","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:ee551bc1-22dd-4287-ad8b-2ebf6f07ab42","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Check temporary fencing is reinstated"
"e6c170ae-5633-5386-94c2-a94ae659f1b8","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:26939a25-b811-4d01-b390-b6fe583b1639","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","Are all your tasks complete for this job?"
"a5fd0e60-b5ed-5977-abd6-8ddff117cb87","","not-started","WG Install Water/Gas Rough-ins - QA Checklist:2ab4993b-dfcd-4af5-92c0-aca186cbb373:26939a25-b811-4d01-b390-b6fe583b1639:6b932355-8412-45ca-a9c6-d57093db7f9a","signoff","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","WG Install Water/Gas Rough-ins - QA Checklist","Details","For variation or defect notification, action (REQUEST SIGN-OFF) Sign-off works as complete, action (ADD SIGNATURE)"
"d92b6408-2d7e-41db-bd63-aa425c83b567","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","checklist","FALSE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist"
"9426adfc-974a-5c5f-b194-b2eeb184153c","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe","section","FALSE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details"
"bc450fc5-2ad0-5c3a-8b07-1511ced2b67e","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:acc657f1-698f-4663-ad86-a96b636f90c2","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4"
"96b3fa4e-47d6-5c48-b406-4b3722790ee8","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:9fd1c17a-eb7e-47b4-917a-80b865431c67","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Installation complies with current drawings & specifications"
"d67040e3-1d42-5e8b-a4bb-7ad22d06a33a","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:155112e8-c627-480c-887c-93f5746d1bbc","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"81351703-8c62-59f7-93df-e0006d7a7594","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:309976bc-b53d-4a96-aa89-c7361e8324c9","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check all, pipework, fittings, connections for damage, imperfections or leaks"
"cc8851a0-de59-5e77-bdf5-28164b1d7882","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:b7c9f1de-85a9-4e76-bd27-9035fca8ea77","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check all pipe & fitting joining methods are Code & Manufacturer approved"
"aa3040db-8d7c-5adb-b1b1-76716dfb0ac4","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:45dd3f11-b4d2-43f4-81af-b4647c0d70e9","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check alignments, levels, grades, etc"
"8301bb6b-c84e-5a5c-bd1f-2aaac38eff2d","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:308eee00-b49e-4fae-bb1e-b27113f06b93","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check pipe clips, hangers, brackets & fixings for correct size, spacing & pipe separation"
"5d9f9dab-c355-518d-81af-a5aacf76b93b","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:1b911dba-06f9-4d91-8733-aabbb1da83d9","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check expansion joints and anchor points"
"cbdef651-238d-5b23-a335-6e5907f2700a","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:e82b7fb1-bd21-4e1f-a129-8bc919f2eb6a","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check in-wall fixture mounting brackets & concealed cisterns"
"4dbef093-6b49-59e4-a297-ac845ed0c167","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:2ccfcde1-fb1a-464a-b144-4eeb8458032d","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check in-wall waste pipes & vents"
"35f6cb63-2ea4-5875-b3f6-9ad05e63d2bb","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:1be9c939-f6a9-45d0-8048-4deb2b9a32e2","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check inspection openings"
"8ac63286-6969-5e6c-90bc-4d4c30919a01","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:1dc2cf8b-bb8c-4f27-9d06-2b8c91826367","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check pipework & traps are clear of debris"
"bb180bf1-bcd0-5d7f-89c3-45ac8e3c5933","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:d0fdf0cf-b3e6-4dac-af44-0a7dd7b3817f","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check all open ends are capped & sealed"
"6b1c979b-4193-5aa4-ba8c-b2cf2091238c","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:c5872c18-cef5-4296-a2d3-e021f32cd539","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check vents are run to atmosphere and weather proofing is complete"
"4eb73281-3329-5f99-9d5c-228185dcb027","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:77a81d94-e713-453e-8938-cec91791ea1f","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check all rubbish is collected, placed in bins & lids are closed"
"f2086699-cc8f-57d3-9d93-1a813b70bff0","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:86202b21-1c01-4aad-bb79-73ca3a4512c7","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Check temporary fencing is reinstated"
"cec7bee1-3ed0-5de2-841c-4e4e08c29f68","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:b4208784-2b14-470e-b0d5-db9ee85cce49","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","Are all your tasks complete for this job?"
"aeca76e7-e7ed-5f35-8e46-b6a8f6f5fa1b","","not-started","SD Install Sewer Stacks, Wastes & Vents - QA Checklist:e0624c30-dc63-4ffd-a3c6-686bbfdc13fe:b4208784-2b14-470e-b0d5-db9ee85cce49:ac04fa03-54ac-43c8-8c8f-34479a087728","signoff","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","SD Install Sewer Stacks, Wastes & Vents - QA Checklist","Details","For variation or defect notification, action (REQUEST SIGN-OFF) Sign-off works as complete, action (ADD SIGNATURE)"
"fb2b8a3a-a024-43e2-8975-1e160f110605","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","checklist","FALSE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist"
"6bed5a72-caca-528b-a98c-7321753a87f1","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa","section","FALSE","FALSE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details"
"99f3777f-78a2-5942-aee4-2be3128c9ccd","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:c6905d09-38ce-47e1-a23e-2a89cf7b5db9","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4"
"af73f2b1-11c1-57f5-8a59-f62ab8ba2b45","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:80ad624d-91db-4f6f-90b3-94cc89450f41","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Installation complies with current drawings & specifications"
"a49fc7d2-5eea-5d09-b6d1-988d9bd1d6e8","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:45925d0c-d4cf-4d15-a42f-64a6a762731d","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"8a07f59e-3010-56a0-8701-f3c0c8b09c37","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:b02bc17d-c07e-4d77-8193-5a6d70acd7a9","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Check all, pipework, fittings, connections for damage, imperfections or leaks"
"0e0003c8-b691-5142-b5e8-e4bb8b0178fe","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:198d6ace-3705-40d9-8ab6-28a95a13ed01","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Check all pipe & fitting joining methods are Code & Manufacturer approved"
"d9b231ca-d9d8-5db5-ae84-1ce9cee91e6c","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:2d781c77-bcbc-412c-9e83-f317409b60e8","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Check alignments, levels, grades"
"b747d9f6-fc9a-519c-be33-b3b3a8d462d8","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:e6627c31-a153-467b-8cfe-c1f3ce99330b","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Check pipe clips, hangers, brackets & fixings for correct size, spacing & pipe separation"
"9176873f-7256-5b79-9cfb-82a4ba89d96f","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:e2c0d03c-9744-4edb-bcad-bd83310c8f02","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Check connections to roof outlets, overflows"
"e7a0b297-6411-5b40-bc0b-8fc7ac6b1969","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:90455233-e903-488f-a8e4-f1cba7d960f4","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Check connections to balcony outlet grates, overflows"
"c206027a-694b-59a8-b864-ffcc7fbbfeb5","","not-started","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist:a055a0e0-13e6-4cf9-96d5-0493f40933aa:60987ff4-8195-4b0d-8dd7-d0132cdbc633","checkpoint","TRUE","TRUE","Active Projects","4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED)","1. Residential Plumbing","Rough-in","DP Install Roof/Balcony Downpipes & Overflows - QA Checklist","Details","Check connections to gutter sumps, rain heads, overflows"
