"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e4d53b8b-082a-4b09-8189-34613b4cfe72","","folder-normal","work-in-progress","","step","TRUE","FALSE","Basement"
"d2d828c6-4005-4f35-b71a-b44c28156042","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A"
"3936abda-b6e8-4e46-8045-db96e0049be6","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A","Stair 3 Lobby"
"129fc3ef-85b3-4580-a35b-e3d524a7e3f5","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area A","Stair 3 Lobby","Rough In (Cavity Pockets & PMJ)"
"2f31248d-20ec-5c0d-a56a-32df9212b8ab","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Installation of skirting"
"ca1183fe-7f1d-56e4-9540-9a5ff76dcad2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Installation of architraves"
"457b3f6e-a2af-595f-84e7-64b166e826f2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Installation of dado rail"
"32e4d2ac-d545-586d-b734-c120b85dbcf2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Installation of arcade joinery (where required)"
"823b29ce-1ace-55e8-a13e-7bfcf16c2a2c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Installation of fire doors"
"ff13ce16-6702-50fd-b5a6-98f47de2c153","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"a2e775db-2601-52b1-8795-7ff8fcd00ef4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Fire tags installed on the door and door jamb"
"37df85ab-4a9c-587c-afb8-c8b574d1fbb0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","Area left clean and tidy (attach photo)"
"9ed5902d-7cb1-566b-ba8d-d1dd9fdaae83","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Common Area Checklist","All work 100% completed to required specifications"
"1aa7e78e-4c1d-4de6-8dd9-8c47c441a21b","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A","Water Retention Pump Room"
"b41a42c7-4644-4915-8195-95b5463a9daa","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area A","Water Retention Pump Room","Rough In (Cavity Pockets & PMJ)"
"38ee77a6-d800-5d07-98f8-c8833a6b21b2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"cdff4c2e-683b-53ed-aea7-896b61ceae88","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"530bbfac-1762-46c8-8c1d-0ec81f866664","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area A","Water Retention Pump Room","Common Area Checklist"
"70ce3bb9-4334-5b03-8c3a-e434a39961b5","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Installation of skirting"
"f63b2d24-33f4-5a56-b914-389e2f224473","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Installation of architraves"
"0d6c50e1-3304-55c6-9590-18b6d928797f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Installation of dado rail"
"b41915a4-b075-5fd3-bcb3-42991a6bf7fd","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Installation of arcade joinery (where required)"
"336db579-9722-552a-9671-55bebca7c130","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Installation of fire doors"
"d5c06c26-7f24-5c9a-bec4-5d1030b2d379","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"64e8959d-5976-5407-b713-8cda04afad7a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Fire tags installed on the door and door jamb"
"823cae9f-910d-5891-be52-7ee71493fcfc","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","Area left clean and tidy (attach photo)"
"db7d3adf-13f9-5a3e-9014-2efaeddfb521","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Retention Pump Room","Common Area Checklist","All work 100% completed to required specifications"
"812ff4b2-bbad-4fb8-9d5e-e92496d908aa","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B"
"72c7b1ea-8b3e-4377-9557-16589ab91594","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B","Kitchen"
"d899871e-2bfd-4caa-adeb-3048b4ba2bcf","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area B","Kitchen","Rough In (Cavity Pockets & PMJ)"
"69e7a837-c255-5f77-b8df-6edf1812c12e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"0318d2a7-16d0-5c10-8b34-f53056257d31","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"6ff6d4d8-9664-42de-a899-1247c29392f3","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area B","Kitchen","Common Area Checklist"
"0dec39d3-da96-5351-a1d9-8dda1845ba7b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Installation of skirting"
"1db12a39-d532-58c1-8df9-b5d0bb883c8a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Installation of architraves"
"93261ab3-04a2-5d99-ad64-49dc3f38bee0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Installation of dado rail"
"c9eabb61-b93e-5d84-b09f-c10e70de1515","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Installation of arcade joinery (where required)"
"1b90c477-7126-5eae-aae1-324c3ccc5a05","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Installation of fire doors"
"b0a687fa-863a-55f5-9145-f583363d201f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"927360dd-b99f-54b9-bfa9-0192b823ff5e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Fire tags installed on the door and door jamb"
"9461e9c9-155c-55bc-ab41-fbd5b539f5a9","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","Area left clean and tidy (attach photo)"
"18693199-d73e-5c9c-8e32-121b9ba72c7e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Kitchen","Common Area Checklist","All work 100% completed to required specifications"
"d9a64e8b-135c-40e1-95e4-f9e337e769fa","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B","Commercial Laundry - IN"
"f5f295e8-adf3-4248-a5ec-e3d112158c59","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area B","Commercial Laundry - IN","Rough In (Cavity Pockets & PMJ)"
"1017013a-4560-5d72-a6f0-e5579bc001b0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"dc8c872a-f30e-55c3-b885-69a98c495b15","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"e56e99c4-0387-4c3b-86f5-130ed66c14ec","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist"
"e1cd0fce-19d4-554d-9943-58686f948646","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Installation of skirting"
"604d231c-9aee-5ff5-a220-4521b4ee039a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Installation of architraves"
"b7a44958-b2d9-535b-acf3-d41000f26ff0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Installation of dado rail"
"c6801ca1-ac82-51a1-b7df-5fa7d4ffc8f0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Installation of arcade joinery (where required)"
"4a8ea3df-294a-5f2f-ad73-49d8fb28cc29","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Installation of fire doors"
"ad20c1ac-a5b4-53ef-a83d-974e099edf0c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"f44658e6-dfd1-56e4-872e-698cb454a841","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Fire tags installed on the door and door jamb"
"3ba0b7ee-3e93-5968-8562-c32d1df481a6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","Area left clean and tidy (attach photo)"
"b7205234-2a60-55d4-9d1b-6624b7836ace","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - IN","Common Area Checklist","All work 100% completed to required specifications"
"b887ba8e-7d47-4acc-bd0c-d6c5d37c038f","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B","Commercial Laundry - OUT"
"8d2e8ddc-018a-4107-b2b0-586e9ce8ac7c","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area B","Commercial Laundry - OUT","Rough In (Cavity Pockets & PMJ)"
"c048cc56-125c-5edb-9690-433ba2498e89","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"d3750f4b-0bb7-5000-816e-803958eb92ea","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"69052e72-4c7e-46a0-afec-a6aef142489e","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist"
"b9462178-122c-5f0f-b8fd-32f50519ba10","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Installation of skirting"
"2122993d-614d-59ab-a082-0b43b1ff758d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Installation of architraves"
"e4d9bc0f-b1b2-50df-ba52-da675cfda53b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Installation of dado rail"
"83a7b659-502d-5bb2-ae36-b901b62bfece","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Installation of arcade joinery (where required)"
"3722b34b-8b76-5e50-974e-5a68808cb078","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Installation of fire doors"
"0aa73e5b-acdd-507c-b9e9-334297aee413","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"438b41c1-7c49-55aa-a3b8-13584482d86c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Fire tags installed on the door and door jamb"
"8dfe61e5-01ca-5013-8a6f-d753e6337b24","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","Area left clean and tidy (attach photo)"
"6c8332d0-7971-5d6b-b067-bcd387859285","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Commercial Laundry - OUT","Common Area Checklist","All work 100% completed to required specifications"
"c21a3290-586c-4a2e-80b3-eceda116d6ae","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B","Detention Tank Room"
"3c730c6c-4343-47b1-858c-1643b1f7be53","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area B","Detention Tank Room","Rough In (Cavity Pockets & PMJ)"
"54623082-c0cc-54ec-bc7f-9ce603b00570","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"f651a32c-cf97-5ad5-baf7-6dfad0b5cf51","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"a40a3232-720a-4784-aa8d-98e8c4518867","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area B","Detention Tank Room","Common Area Checklist"
"9dd2de86-4ce4-51d1-995b-109fd9e51ce4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Installation of skirting"
"870276e1-341f-5ca0-bc2f-cf636c1f7437","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Installation of architraves"
"0d5cb696-393b-505c-80c4-c7f93cc16a1a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Installation of dado rail"
"051c4a58-403d-54df-a8ea-6bc16a4f4407","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Installation of arcade joinery (where required)"
"173f2231-ced1-52a8-865f-59749bfb481b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Installation of fire doors"
"d1a32493-b8d8-50b0-b3f4-7a998ff375d0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"5dc528a5-f2e2-5e88-95d8-9f227ac5a0dc","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Fire tags installed on the door and door jamb"
"6e4d7225-0e11-50f9-bfc0-e09ee290c984","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","Area left clean and tidy (attach photo)"
"31adaad7-ee8e-53b1-94e2-03748522e981","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Detention Tank Room","Common Area Checklist","All work 100% completed to required specifications"
"0526bf52-953e-4410-8178-b591873800e9","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B","Cleaners Room"
"beeaf12d-6dff-48d8-8fa0-12be6fc6e6a9","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area B","Cleaners Room","Rough In (Cavity Pockets & PMJ)"
"88e1e9b6-21de-5661-a70c-f2dc7980a47b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"e78eb8f9-b085-514d-843f-495db228b2f6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"f5c64bc0-756e-4dce-8b1c-47a0b134bc7f","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area B","Cleaners Room","Common Area Checklist"
"3dac1c66-169e-5026-8b13-29df3d44ba4f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Installation of skirting"
"bd8f9456-8b42-5411-84b6-fece053df49b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Installation of architraves"
"d306e151-1176-563d-8217-c7f93c56cc09","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Installation of dado rail"
"5e9a82bd-b892-5613-8dfa-966a6bb0bdae","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Installation of arcade joinery (where required)"
"953cee29-7912-58b2-a436-4cbd5c06bd13","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Installation of fire doors"
"24a7d822-5f77-5b58-8bca-47b65f2444c8","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"8a894f6a-f235-575a-9779-3c9fd062d79d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Fire tags installed on the door and door jamb"
"459ad671-52ee-5098-a2ad-fe1263555d1c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","Area left clean and tidy (attach photo)"
"49cd8086-f0e6-57c7-a9f6-56c04371c367","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Cleaners Room","Common Area Checklist","All work 100% completed to required specifications"
"610e0ae6-90cc-4a20-ae6f-68cc5fc945b4","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B","NCS/PABX"
"3f0598b7-2868-46bf-9c4c-a44d850320bc","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area B","NCS/PABX","Rough In (Cavity Pockets & PMJ)"
"9ea5c258-223c-53b4-9ea7-8906f311c7a6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"656326e2-9a2c-5ade-a808-bf79029ab61a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"dafbb0b1-5fd0-4d10-9f21-8cc00f873dcc","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area B","NCS/PABX","Common Area Checklist"
"972b80d8-3db7-5917-a6b5-5e399eff143e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Installation of skirting"
"06b841a0-39b2-5c15-b519-804b9dcce9ed","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Installation of architraves"
"741757f2-b1b8-504e-ab94-80085f3b9ad9","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Installation of dado rail"
"8a0d7d91-9458-5114-9920-ac206f89348e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Installation of arcade joinery (where required)"
"e814279e-439d-57e5-bb22-80e78fab9424","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Installation of fire doors"
"e8e766aa-6ad4-5d59-bf86-fa634ef44a27","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"87e1c6b8-e02a-5257-a3ac-f8e991867f3e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Fire tags installed on the door and door jamb"
"2a603b9b-76e6-56c8-9c70-62a606b0bfdb","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","Area left clean and tidy (attach photo)"
"bedd67da-590a-5abf-a256-3c5e6cc263eb","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","NCS/PABX","Common Area Checklist","All work 100% completed to required specifications"
"c727511e-c3b2-4375-a005-51042462f891","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area B","Change Room 1"
"dd57c66f-ea1c-4316-9c15-9deeda67eef3","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area B","Change Room 1","Rough In (Cavity Pockets & PMJ)"
"61d861dd-5a8a-5e87-881c-87b955a06342","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"796db25f-3654-5376-a87a-0bbc0a02c0b2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"00e60a6a-2fa5-4b35-b1f7-eebaeff97dc9","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area B","Change Room 1","Common Area Checklist"
"11e30df2-adcb-55c4-8201-34bed1dff653","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Common Area Checklist","Installation of skirting"
"7af70327-1f60-5aa9-9860-83964f9178bd","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Common Area Checklist","Installation of architraves"
"5d05c93e-1896-5a42-8f15-2cc5ba2d10db","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Common Area Checklist","Installation of dado rail"
"b638ba0b-1695-5547-ae93-36e35d332200","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Common Area Checklist","Installation of arcade joinery (where required)"
"3cd0e566-4f04-5cd4-98ce-0e878662a3cc","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Common Area Checklist","Installation of fire doors"
"ddd7d277-4472-516a-9104-21ee889a2385","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area B","Change Room 1","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
