"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"12e05ced-2482-47eb-9f83-31f178a047e6","","folder-normal","pass","","step","FALSE","FALSE","Temp Works"
"fdd82e7d-baa6-402b-8977-90e362f79dfb","","folder-normal","pass","","step","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing"
"03abf0c8-8fdf-4651-b8c3-5610ec1f6d12","","folder-normal","pass","","step","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation"
"aa12f8e9-cc7d-46ca-9bcf-ac6fbf453045","","folder-normal","pass","","step","TRUE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North"
"6265f95c-98a2-4aba-a3cd-8e973066dda1","","checklist-sectioned","pass","ITP-018-CIV - Rail Delineation Temporary Fencing","checklist","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041"
"5e4eca6b-1e4b-5b20-b03c-6cfae867c41e","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","1. Referenced Documentation"
"c10efe85-fe9c-53d1-b062-b29b47c23cb4","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities"
"4a167638-2ca8-53c3-b89f-411376fa027f","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.1 - Ground Conditions"
"96b81823-576e-5e79-9465-335edce757d6","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.2 - Post Foundation"
"ae38d0b1-974d-5c09-982a-8362de524396","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.3 - Post Installation"
"59dce951-7a57-54dc-a8c5-be28d7e7bb21","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.4 - Chain Wire Mesh Installation"
"3048da7d-8a7c-504a-9b95-d5c01c62c09d","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.5 - Bracing"
"646003e7-3fb7-585e-9480-e2ca019d5bde","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.6 - Refuge Installation"
"73c6afe4-209f-54f8-9be9-8e084622a4d6","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.7 - Refuge Signage"
"702ffaea-6c33-5246-9828-5112c6a1d480","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.8 - Fence Tie In"
"20a34549-6bdb-5601-9936-cfc832690513","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","5. Construction / Installation Activities","5.9 - Gates"
"cab36d6b-adeb-5e45-998b-609481afc305","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","6. Post-construction / Post-installation Activities"
"94f798d6-937a-585b-b0bc-2eaef391206d","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","6. Post-construction / Post-installation Activities","6.1 - Fence Height and Track Clearance"
"15dd6600-2fe0-5789-ab91-1afebccf3565","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","6. Post-construction / Post-installation Activities","6.2 - Compressive Strength Test Results"
"587d070f-8c57-5f6f-b7e4-53a9cbc3bda7","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","6. Post-construction / Post-installation Activities","6.3 - Non-conformance Report (NCR) Closure"
"efdfaf68-89e3-5653-a4d7-97b4721e5131","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","6. Post-construction / Post-installation Activities","Final Inspection"
"b2f5c62e-a65e-508f-a681-82e0dd0c3857","","holdpoint","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0041-Brunt-Temp Rail Delineation Fence-North","ITP-018-CIV - Rail Delineation Temporary Fencing - North Fence - Lot 089-0041","6. Post-construction / Post-installation Activities","Sign ITP"
"10839994-1b9e-49ea-b76e-0cc19cac37d6","","folder-normal","pass","","step","TRUE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South"
"d71a01d3-dbb3-461a-9e90-0f54acf0067b","","checklist-sectioned","pass","ITP-018-CIV - Rail Delineation Temporary Fencing","checklist","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042"
"3a148497-9fd9-5c9c-a9d5-7de0180b452d","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","1. Referenced Documentation"
"ebf673b4-dfc0-5594-bfc2-3d04112de7c3","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","1. Referenced Documentation","1. Referenced Documentation"
"b78169c7-92f4-5dd6-bf55-b15e04740d79","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","1. Referenced Documentation","1.1 - Non Dependent"
"d30191fa-807a-503a-8493-e4e1a34d37ee","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","2. Preliminaries - Materials"
"b023766f-b812-5bef-9227-c951bbad0871","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","2. Preliminaries - Materials","2.1 - Concrete Mix"
"f0f1a8d2-999e-573b-9bb7-9225e73ce6ef","","holdpoint","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","2. Preliminaries - Materials","AUTHORITY HOLDPOINT"
"7c4313d7-2c09-5f0a-94fc-ef05ecf7623c","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","2. Preliminaries - Materials","2.2 - Steel components"
"6f0b329a-ebf5-5adb-81e9-432e5811be5e","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","3. Preliminaries - Documentation"
"a3317607-3889-5a12-a49c-e0133bdecbe0","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","3. Preliminaries - Documentation","3.1 - Excavation works"
"199882a5-4e1c-5b06-b985-9483be9f501c","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","4. Pre-construction / Pre-installation Activities"
"1eb59c0a-a0fc-5f90-89e9-9f3b92bd6ea5","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","4. Pre-construction / Pre-installation Activities","4.1 - Survey Set-out"
"48e44619-40c5-58f7-977d-e006c601e526","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities"
"98103c17-e8ba-5633-92fd-2ff8070bc2a6","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.1 - Ground Conditions"
"7b07a115-ac68-5d04-818e-2b72de42486f","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.2 - Post Foundation"
"c9077d94-e061-5f45-84ec-7e9c58540549","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.3 - Post Installation"
"fa4c5a74-880f-52e7-a60f-1276aeea1f72","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.4 - Chain Wire Mesh Installation"
"ac6bd4df-2612-5fef-82ea-f1307c902007","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.5 - Bracing"
"04b8bd0a-b2c3-5009-893e-0734d7ee89a3","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.6 - Refuge Installation"
"1dafd0a2-ff69-5b5e-adec-b82bafc842c3","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.7 - Refuge Signage"
"1c5dbe5a-2ad8-5e0b-81f1-449e610f07e4","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.8 - Fence Tie In"
"c1a7bf20-2753-56f7-a89b-c34fa3e6edb8","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","5. Construction / Installation Activities","5.9 - Gates"
"7bbbaa1b-688a-58e7-adb3-5079fd415aed","","checkpoint-group","pass","","","FALSE","FALSE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","6. Post-construction / Post-installation Activities"
"12fe97f4-2839-54a5-8d43-858c671f1658","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","6. Post-construction / Post-installation Activities","6.1 - Fence Height and Track Clearance"
"c4007e60-18cf-5390-a571-033c7d7caed1","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","6. Post-construction / Post-installation Activities","6.2 - Compressive Strength Test Results"
"2eb7c320-3943-542e-acb5-d875a84b4243","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","6. Post-construction / Post-installation Activities","6.3 - Non-conformance Report (NCR) Closure"
"8e03f919-9bab-50b0-b567-170030e382ae","","checkpoint-status","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","6. Post-construction / Post-installation Activities","Final Inspection"
"8ed8015e-b87c-553f-951d-d71fbd8156e8","","holdpoint","pass","","","TRUE","TRUE","Temp Works","MRP-DPK-089-00-CTW-0090-0 - Temp Rail Delineation Fencing","Rail Temp Delineation Fence Installation","089-0042-Brunt-Temp Rail Delineation Fence-South","ITP-018-CIV - Rail Delineation Temporary Fencing - South Fence - 089-0042","6. Post-construction / Post-installation Activities","Sign ITP"
"a17e05f8-f717-4b98-841d-f15e04d0578c","","folder-normal","pass","","step","FALSE","FALSE","Rail"
"307344ed-4aa8-4392-941e-261d77c5dff3","","folder-normal","pass","","step","FALSE","FALSE","Rail","MRP-DPK-089-00-ETN-0062-0_Rail Overhead Wiring"
"77cb3448-8b89-42a5-9e37-c2cfbf85fb7d","","folder-normal","pass","","step","FALSE","FALSE","Rail","MRP-DPK-089-00-ETN-0062-0_Rail Overhead Wiring","Rail Overhead Wiring Foundation (Bored Pile)"
"5737a2a6-c544-4b35-a010-ff0440bb21b0","","folder-normal","pass","","step","TRUE","FALSE","Rail","MRP-DPK-089-00-ETN-0062-0_Rail Overhead Wiring","Rail Overhead Wiring Foundation (Bored Pile)","089-0001-Brunt-OH Wiring Structures-DE1571+13 UP TTC Foundation "
"174da980-a65a-443e-a05d-e404ded0ac44","","checklist-sectioned","pass","ITP-016-STR - OHW Structures Piling","checklist","FALSE","FALSE","Rail","MRP-DPK-089-00-ETN-0062-0_Rail Overhead Wiring","Rail Overhead Wiring Foundation (Bored Pile)","089-0001-Brunt-OH Wiring Structures-DE1571+13 UP TTC Foundation ","ITP-016-STR - OHW Structures Pilling (DE1571+13 UP TTC) Lot 089-0001"
"d86466f0-3da3-5c97-96e6-37cc95c7b205","","checkpoint-group","pass","","","FALSE","FALSE","Rail","MRP-DPK-089-00-ETN-0062-0_Rail Overhead Wiring","Rail Overhead Wiring Foundation (Bored Pile)","089-0001-Brunt-OH Wiring Structures-DE1571+13 UP TTC Foundation ","ITP-016-STR - OHW Structures Pilling (DE1571+13 UP TTC) Lot 089-0001","1. Referenced Documentation"
"66ab2295-ab4f-580e-9739-649f17d993db","","checkpoint-status","pass","","","TRUE","TRUE","Rail","MRP-DPK-089-00-ETN-0062-0_Rail Overhead Wiring","Rail Overhead Wiring Foundation (Bored Pile)","089-0001-Brunt-OH Wiring Structures-DE1571+13 UP TTC Foundation ","ITP-016-STR - OHW Structures Pilling (DE1571+13 UP TTC) Lot 089-0001","1. Referenced Documentation","1. Referenced Documentation"
