"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3978a4b0-4fc9-47e4-ab6f-a3a3e80b1ffb","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"f3206cc2-1f9d-49ba-8fb6-f6e913dafcdb","","work-in-progress","","folder","TRUE","FALSE","Project QA","Phase 2"
"dbce7b16-a4e8-480c-b078-6bdd8fa4ae08","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 1"
"d01395cc-efbf-4c80-83da-39c27181579a","","pass","Upper Roof","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Upper Roof"
"22518848-4a39-5590-90b7-c1a36b25d139","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Delap photos"
"b2caad2f-c53b-5fbb-a67e-2887e8b38f46","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Clean roof"
"aea9df17-783b-59cb-b79d-485d806c4ecb","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Remove existing cap flashings"
"85f5090c-af95-5d70-805b-a65fc0a24695","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Install screws to substrate"
"de76eb9a-684b-52a7-87b4-1a4f2f242021","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Install Trough Infill PIR"
"baaa0eec-32c8-54db-b133-1b574a8befad","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New Vapour Barrier"
"8c4b3fa9-cd9c-54ae-8067-8bcdad2ff05f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New 40mm PIR"
"52bfd2ec-ba78-58cf-a03c-5a13af105f9d","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New Fibretite Membrane"
"e256c887-9328-59b2-a175-d30fcc7cde09","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New Fascias"
"ce3c2660-7014-5c85-ad22-cd65f662d9df","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Parapet flashing"
"4b7e1e77-8f21-58f7-be12-d34177fef36e","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Gutters and Down pipies"
"d3cf40a7-8942-48f2-b804-0956eadd1644","","pass","Lower Roof","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Lower Roof"
"8ead0f73-91ef-5e5c-b1b2-782afb0721cf","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Delap photos"
"a9d23f45-6dcf-554f-b9da-844eb7db5e2c","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Clean Roof"
"287bff10-57b6-5a0c-aca4-5c36f243d95a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Remove existing cap flashings"
"448acd11-9ce3-5901-b132-7cc70d78fa96","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Install screws to substrate"
"6bb0b9bb-7fca-5b93-bbff-c6b1aff4f7e5","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Install Trough Infill PIR"
"c16e863e-4431-58bb-911c-44ae2cc4825f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New Vapour Barrier"
"b8a7e400-a45e-550d-b0b4-03434cfb154a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New 40mm PIR"
"56d8ffea-0541-5286-863b-015445f7c739","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New Fibretite Membrane"
"7b0a5b15-8e12-5bb5-84ca-eb26382311f1","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New Fascias"
"75fe2ca3-08dc-5f34-8f37-53135f03244d","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Parapet flashing"
"0ecb5157-fd31-57cc-baf5-de7850b9a58d","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Gutters and Down pipies"
"2d5f0396-4969-484c-9db9-8b6ec42b168a","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 1","Windows"
"2588767a-e85a-42c0-bd36-1125c45bfcd4","","pass","nAJ0 - Window","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Windows","nAJ01"
"deb28b8e-0da5-5f98-9564-05e703054709","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Window Installed"
"817df722-d931-5f7e-9616-b4dfb379f060","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Head Flashing Installed"
"d5c17574-734b-5eba-8862-8471b7f9beca","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Gib and Architraves"
"8173a4ce-00d6-5d1c-861d-6297df829b32","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Window opener installed"
"86193afb-345a-4728-918a-30c43aeab490","","pass","nAJ0 - Window","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Windows","nAJ04"
"5c09d483-eee8-5b4e-b599-1ad9d5a2e36f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window removed"
"871c0e22-b457-56b4-aa8c-471fe3e05281","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","New Window Opening"
"a5826734-92e4-5978-9a5a-2616def79f48","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Sill chamered to form Fall"
"85df7127-5c04-5640-8d46-17dc00864bde","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window Tape"
"dbbc1272-32d5-5716-8ad7-ef5f743e3454","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Sill Flashing Installed"
"ab09a227-a662-5c2d-8c61-6f394536f1b3","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Cavity Batten Installed"
"12f27cfc-ef31-59b1-a237-cbd7bf4f4c9c","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window Installed"
"c40cda39-1b46-5c20-bb83-a586be94713d","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Head Flashing Installed"
"c179d5fd-65af-586c-af59-514d2c88d6ce","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Gib and Architraves"
"3086814e-fd3f-52ea-9142-d5ad75558081","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window opener installed"
"8b30cbb0-5e99-4ca6-91ac-431654dba524","","pass","Block N East Elevation 2","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block & East Elevation"
"ce490079-2db3-5a1e-98d3-725e74f01cb0","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Remove Asbestos"
"c6f6338d-ab3f-5c51-aa0e-d285a88cdafd","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Inspect timber framing"
"154d5c54-3933-567a-be87-2a9c86493490","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install Rigid Wall Underlay"
"43fbb6f6-9748-531b-a094-1e047985b244","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install Cavity Battens"
"c17377ba-2642-5449-a61e-90d6494d2bdb","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install 9mm Fibre Cement board"
"4a38a90d-7c39-511a-8dc4-5858970da61f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install Trims"
"36b0c9bc-5174-59a8-a4de-c7ea005cff49","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Paint"
"189a6dcc-94f9-488a-b8d6-2da0d00b3f14","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills"
"b2a97cd0-d66a-4672-8df0-70bbcca297ae","","pass","Block N & K South Elevation Infills","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 1"
"01deb9bd-0034-535b-ac9c-5f88aa4cd69d","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 1","Remove Asbestos"
"579a5abe-b5a7-4c59-8646-6c687a36f281","","pass","Block N & K South Elevation Infills","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 2"
"0438534c-77a0-5060-821c-ebb46f669155","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 2","Remove Asbestos"
"b7dd435a-9ab9-4312-8826-65ce406eefda","","pass","Block N & K South Elevation Infills","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 3"
"870aabcc-f3ec-5380-9a3e-3380636f37b9","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 3","Remove Asbestos"
"1e182005-e2c7-43d0-8e6d-ed754ec4647d","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 1","Weatherboard Replacement"
"723f2a22-22e3-46e7-b8fc-17e6d9978890","","pass","Northern Elevation","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation"
"080dc18d-44bd-5ed8-bbf9-0dfd8fe16c64","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation","Existing damaged weatherboard"
"e726c417-356a-5367-b65e-65c5248d70ed","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation","New replacement"
"32d578da-4818-5e51-9125-d792032620f6","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation","Paint"
"148aab28-1c8b-4971-9287-69bd5242f23c","","pass","Northern Elevation","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation"
"0ae784f4-0df6-5564-8f6c-24e07d2630c6","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation","Existing damaged weatherboard"
"5ace21a8-c7e4-5eb4-8e60-29e591f3e577","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation","New replacement"
"20e25e90-f6c5-57d8-8768-1bb99aedf960","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation","Paint"
"7aa49d22-7830-4c8a-b264-317a38b26c98","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 2"
"e70d8f98-9980-45f5-b23c-f6b63cc491e1","","pass","Upper Roof","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 2","Upper Roof"
"72bce662-9248-52a0-a6c9-8d20d25c450b","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Delap photos"
"2d8eda7f-08ad-5e0c-9f6b-98547b3bad3c","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Clean roof"
"ec8a6a66-ef72-5334-a199-e5fbbe50c64b","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Remove existing cap flashings"
"ba75838e-06f8-507e-85c1-0ae03ec9bec8","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Install screws to substrate"
"62844f86-84d6-5fa3-be3b-a5921a184316","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Install Trough Infill PIR"
"63b9c6e4-1949-57db-aa03-1a375af3ac9b","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New Vapour Barrier"
"661173b9-7f04-5bd1-89dc-78196f0b1f9a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New 40mm PIR"
"68f80554-6f4e-54f4-b071-56494fdcc73c","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New Fibretite Membrane"
"9d78ad22-1c90-5c60-b370-c0bec831c454","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New Fascias"
"2f9dd027-2b6f-5516-9085-73ded1aa8d11","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Parapet flashing"
"b771e79c-168f-5105-b0e8-f7b2944849c5","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Gutters and Down pipies"
"7a629674-fd98-4ba4-bcfb-6fc9bed90c38","","pass","Lower Roof","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 2","Lower Roof"
"b448b65f-1789-5d56-bfeb-86e7f936b748","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Delap photos"
"5f2f9d32-ecc9-58bc-ad83-a7da4b645411","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Clean Roof"
"27f48f6e-37d9-54cf-99f1-c510eeb0ae83","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Remove existing cap flashings"
"093d5d57-a20a-57fe-bad8-91345c77d88f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Install screws to substrate"
"85c95fe2-ca80-5198-9924-5193003220f1","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Install Trough Infill PIR"
"94e67062-2fa0-597d-8635-52006827557a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New Vapour Barrier"
"58c5ec69-eb90-52d1-80d4-cf1d5b70c777","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New 40mm PIR"
"62581bf1-1588-57d8-8b9e-02d3d4678653","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New Fibretite Membrane"
"8d1986af-920c-5b43-8213-9f135ec9b932","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New Fascias"
"c5c433ee-ff1d-5b3c-adea-57b91ba51904","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Parapet flashing"
"fbcf96f2-c459-5252-995b-070c9982f547","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Gutters and Down pipies"
"902659d5-811b-414e-9a91-762078ce7f35","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 2","Windows"
"547c8161-283e-4477-8c95-a63d55862f7a","","pass","nAJ0 - Window","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 2","Windows","nAJ05"
"276894c1-340a-50e2-a5ad-1c93055f39d9","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window removed"
"7c7b8dce-7ecc-5842-aac4-5f654f70bdc5","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","New Window Opening"
"01a59bc7-61bc-52e3-a971-4bc79dd99a9e","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Sill chamered to form Fall"
"574f5a19-0b0c-5ff1-b41f-f784425364ca","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window Tape"
"89ba6acb-73d2-5552-a709-a8354ea7bd13","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Sill Flashing Installed"
"0e141caa-d429-5096-a037-468002d33703","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Cavity Batten Installed"
"add95c2e-2e0c-592f-900c-d229d1989bb7","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window Installed"
"06b0fc2e-8139-5248-82f0-2bd1959f1fbe","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Head Flashing Installed"
"5f5ddfa5-e39a-5b3b-b1e4-cf13bcabcd6a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Gib and Architraves"
"4855f2e4-b8bc-57e5-a554-815ea0d243a6","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window opener installed"
"1f84203d-7125-4639-ab82-168e3c9b0730","","pass","nAJ0 - Window","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 2","Windows","nAJ06"
"6aea03db-006e-569c-a5cf-178034cfc0a9","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Window removed"
"b2b07685-62cd-5ed2-bf1d-9542d7b21706","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","New Window Opening"
"bc1b649b-5177-561e-9a45-6ea203cd2874","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Sill chamered to form Fall"
