,,"Level 15",,"stair core (tower)","level 15","site qa","stairs"
,,"Level 16",,"stair core (tower)","level 16","site qa","stairs"
,,"Level 17",,"stair core (tower)","site qa","level 17","stairs"
,,"Level 18",,"stair core (tower)","level 18","site qa","stairs"
,,"Level 19",,"stair core (tower)","site qa","level 19","stairs"
,,"Level 20",,"stair core (tower)","site qa","level 20","stairs"
,,"Level 21",,"stair core (tower)","level 21","site qa","stairs"
,,"Level 22",,"stair core (tower)","site qa","level 22","stairs"
,,"Level 23",,"stair core (tower)","site qa","level 23","stairs"
,,"Level 24",,"stair core (tower)","site qa","stairs","level 24"
,,"Level 25",,"stair core (tower)","site qa","level 25","stairs"
,,"Level 26",,"stair core (tower)","level 26","site qa","stairs"
,,"Level 27",,"stair core (tower)","level 27","site qa","stairs"
,,"Level 28",,"stair core (tower)","site qa","level 28","stairs"
,"Columns"
,,"Structural Element",,"structural element"
,,"Anti-burst tied to top steel reinforcement, with enough cover for concrete",,"anti-burst tied to top steel reinforcement, with enough cover for concrete"
,,"Quality Check - Reinforcement size correct, spacing does not exceed max. allowed, position within tolerance",,"quality check - as per structural engineering plans reinforcement size correct, spacing does not exceed maximum allowed, position within tolerance - as per structural engineering plans"
,,"Starter bars correctly set out and adequately secured",,"starter bars correctly set out and adequately secured"
,,"Lap length and location acceptable - As per structural engineering plans",,"lap length and location acceptable - as per structural engineering plans"
,,"Concrete cover within tolerance - As per structural engineering plans",,"concrete cover within tolerance - as per structural engineering plans"
,,"Reo not cut or bent for ease of installation",,"reo not cut or bent for ease of installation"
,,"All openings sufficiently trimmed, re-entry bars installed",,"all openings sufficiently trimmed, re-entry bars installed (to avoid cracking) - as per structural engineering plans"
,,"Reo bars sufficiently tied and supported",,"reo bars sufficiently tied and supported (minimal deflection / does not come apart when stood on)"
,,"Reo bars clean, free from rust and salt etc.",,"reo bars clean, free from rust and salt etc."
,,"Reinforcement tied as per structural engineer drawings",,"reinforcement tied as per structural engineer drawings"
,,"Visual inspection by TSG employee completed",,"visual inspection by tsg employee completed"
,,"Engineer Inspection – all rectifications made as per engineer mark-up prior concrete pour",,"engineer inspection – all rectifications made as per engineer mark-up prior concrete pour"
,,"Loose tie wire a& trimmings have been removed from formwork deck prior to pour.",,"loose tie wire and trimmings have been removed from formwork deck prior to pour."
,,"All production tags have been fully removed prior to pour.",,"all production tags have been fully removed prior to pour."
,,"All bar caps installed where required.",,"all bar caps installed where required."
,,"Starter bars, Ripboxes, Couplers & the like correctly set out and adequately secured",,"starter bars, ripboxes, couplers and the like correctly set out and adequately secured"
,,"Comments (Re Engineer Inspection Report)",,"comments (re engineer inspection report)"
,,"Photo of engineer report",,"photo of engineer report"

