"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"OFFSITE - Fabrication of ALPOLIC NC Checklist Progress"
,"Scope",,
,"Rows"
,,"Shop Drawing - SKP-GAB-003","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-003"
,,"Shop Drawing - SKP-GAB-004","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-004"
,,"Shop Drawing - SKP-GAB-005","dynamic","shop drawing - skp-gab-005","manufacturing / off-site qa"
,,"Shop Drawing - SKP-GAB-006","dynamic","shop drawing - skp-gab-006","manufacturing / off-site qa"
,,"Shop Drawing - SKP-GAB-007","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-007"
,,"Shop Drawing - SKP-GAB-007","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-007"
,"Columns"
,,"Ensure CNC machine operator daily checklist has been undertaken",,"ensure cnc machine operator daily checklist has been undertaken"
,,"Stiffeners cut to length to fit neatly between 'Z' brackets. Neat fitting stiffener in correct position fixed to perimeter 'Z' brackets via 40x3 EA and 4.8mm ICCONS multi grip aluminium rivets",,"stiffeners cut to length to fit neatly between 'z' brackets. neat fitting stiffener in correct position fixed to perimeter 'z' brackets via 40x3 ea and 4.8mm iccons multi grip aluminium rivets"
,,"Panels stacked neatly back to back - face to face with protective foam placed between panel faces for transport",,"panels stacked neatly back to back - face to face with protective foam placed between panel faces for transport"
,,"Ensure panel numbers are marked off as complete",,"ensure panel numbers are marked off as complete"
,,"Panels are secured and wrapped ready for transport",,"panels are secured and wrapped ready for transport"
,,"Remove rubbish from work area. Clean workshop for next shift",,"remove rubbish from work area. clean workshop for next shift"

"ONSITE - Installation of Facade System Progress"
,"Scope",,
,"Rows"
,,"Shop Drawing - SKP-GAB-003","dynamic","shop drawing - skp-gab-003","site qa"
,,"Shop Drawing - SKP-GAB-004","dynamic","shop drawing - skp-gab-004","site qa"
,,"Shop Drawing - SKP-GAB-005","dynamic","shop drawing - skp-gab-005","site qa"
,,"Shop Drawing - SKP-GAB-006","dynamic","shop drawing - skp-gab-006","site qa"
,,"Shop Drawing - SKP-GAB-007","dynamic","shop drawing - skp-gab-007","site qa"
,,"Shop Drawing - SKP-GAB-007","dynamic","shop drawing - skp-gab-007","site qa"
,"Columns"
,,"Existing condition of surrounding surfaces and finished is documented and photo evidence is obtained and emailed through to Skypanel Management",,"existing condition of surrounding surfaces and finished is documented and photo evidence is obtained and emailed through to skypanel management"
,,"Removal of sealant in a safe manner, place into bin/bags for disposal and tidy work area.",,"removal of sealant in a safe manner, place into bin/bags for disposal and tidy work area."
,,"Removal of composite panels in a safe manner from facade, move to lay down area and secure ensuring work area kept tidy",,"removal of composite panels in a safe manner from facade, move to lay down area and secure ensuring work area kept tidy"
,,"Removed composite panels stacked neatly and securely strapped within the shipping container in manner suitable for transport",,"removed composite panels stacked neatly and securely strapped within the shipping container in manner suitable for transport"
,,"Visually check existing structure for condition. Identify any visible cracked welds, missing fixtures and connections and take photo graphic evidence",,"visually check existing structure for condition. identify any visible cracked welds, missing fixtures and connections and take photo graphic evidence"
,,"Identify existing structure. Capture images with tape measure showing type, size, spans, centers and connections at selected locations",,"identify existing structure. capture images with tape measure showing type, size, spans, centers and connections at selected locations"
,,"Install wall wrap ensuring material is lapped and sealed to all adjacent structures",,"install wall wrap ensuring material is lapped and sealed to all adjacent structures"
,,"Refer to design documents to ensure tophat span design sizes are not going to be exceeded for the project.  30mm Tophat max span 1000mm at 600 & 750mm spacing",,"refer to design documents to ensure tophat span design sizes are not going to be exceeded for the project.  30mm tophat max span 1000mm at 600 & 750mm spacing"
,,"Ensure mill finished aluminium extrusion are utilized as per Jabin Tophat Design",,"ensure mill finished aluminium extrusion are utilized as per jabin tophat design"
,,"Check fixings types of aluminium subframe into structure: Fixings to be B8 Tek screws.",,"check fixings types of aluminium subframe into structure: fixings to be b8 tek screws."
,,"Ensure aluminium frames setout reflects shop drawing setout are installed plumb, level and are packed to suit existing build out as required with aluminium packers",,"ensure aluminium frames setout reflects shop drawing setout are installed plumb, level and are packed to suit existing build out as required with aluminium packers"
,,"Prior to commencement of cladding installation: Ensure other services are complete: Ensure all framing requirements are met",,"prior to commencement of cladding installation: ensure other services are complete: ensure all framing requirements are met"
,,"Ensure cladding material is correct by referencing shop drawings - Volcore 50mm Flat panel",,"ensure cladding material is correct by referencing shop drawings - volcore 50mm flat panel"
,,"Ensure male & female edges of panels are uniform & free from damage",,"ensure male & female edges of panels are uniform & free from damage"
,,"Ensure Volcore is fixed to structure as per Jabin engineering comments",,"ensure volcore is fixed to structure as per jabin engineering comments"
,,"Ensure panels are installed flush and mating correctly",,"ensure panels are installed flush and mating correctly"
,,"Ensure panel joint consistency is maintained",,"ensure panel joint consistency is maintained"
,,"Ensure there are no large gaps between the Volcore panel and the existing/surrounding structure",,"ensure there are no large gaps between the volcore panel and the existing/surrounding structure"
,,"Ensure cladding material and colour is correct by referencing shop drawings - Alpolic NC",,"ensure cladding material and colour is correct by referencing shop drawings - alpolic nc"
,,"Ensure appropriate stiffeners are located in back of panel as per Jabin Design documents & Skypanel Shop drawings",,"ensure appropriate stiffeners are located in back of panel as per jabin design documents & skypanel shop drawings"
,,"Ensure specific stiffener details are achieved as noted in corner situations i.e. High wind corner stiffener support connection",,"ensure specific stiffener details are achieved as noted in corner situations i.e. high wind corner stiffener support connection"
,,"Ensure 3mm aluminum mill finished angles are installed with structural silicone to the back of panels to support all corner folds as per Jabin documents",,"ensure 3mm aluminum mill finished angles are installed with structural silicone to the back of panels to support all corner folds as per jabin documents"
,,"Ensure rivet fixing of Z bracket to panel return edges spaced no more than 250mm apart",,"ensure rivet fixing of z bracket to panel return edges spaced no more than 250mm apart"
,,"Ensure panels are defect free with no scratches and dents",,"ensure panels are defect free with no scratches and dents"
,,"Install cladding panels by mechanically fixing through 'Z' brackets to tophat support framing with 10g B8 screws at nominated fixing centers.",,"install cladding panels by mechanically fixing through 'z' brackets to tophat support framing with 10g b8 screws at nominated fixing centers."
,,"Ensure all panels of the same colour are installed in the same direction as indicated on the protective film",,"ensure all panels of the same colour are installed in the same direction as indicated on the protective film"
,,"Ensure panel joint consistency is maintained",,"ensure panel joint consistency is maintained"
,,"Ensure panels are installed plumb, square and true, and within Skypanel tolerances",,"ensure panels are installed plumb, square and true, and within skypanel tolerances"
,,"Ensure panels are installed in correct positions by checking engraving on back of sheet corresponds with position on shop drawings",,"ensure panels are installed in correct positions by checking engraving on back of sheet corresponds with position on shop drawings"
,,"Ensure backing rod is applied correctly",,"ensure backing rod is applied correctly"
,,"Ensure Black Dowsil 791 sealant is installed correctly and consistently.",,"ensure black dowsil 791 sealant is installed correctly and consistently."
,,"Ensure all penetrations are caulked",,"ensure all penetrations are caulked"
,,"Ensure plastic film is removed and caulking and glue residues are properly cleaned from cladding surface",,"ensure plastic film is removed and caulking and glue residues are properly cleaned from cladding surface"

