"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78a15e3e-20fa-4d3c-9b0f-df4056f099bb","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"61752d13-5766-5203-a82a-4290b70c10cb","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"8f1b661f-5052-4b94-8bad-6d49f694825a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"d81bd13c-5409-49cf-bffd-09a9301bc1b0","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"6d0c1363-a917-57b6-91b2-2f787ce792f4","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details"
"1f50ea1c-cfef-577f-9961-2d8213b45536","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Edge Detail"
"da8f8f9f-8655-5431-8d69-5e0f232d1474","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Bar Projections"
"2a166c60-3e09-5207-8985-ff6193cac93b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","weld plate details","Cast in items"
"44a3a271-4580-4335-8296-20af7937314a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 25"
"a0e4de02-b522-40a6-8202-6890318ab118","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -1"
"a51e79d6-2844-5d4b-afd9-64b0b91764af","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -1","Pre-Pour Check"
"bc2991b4-3426-51aa-8881-b3b5f44cc529","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Reinforcing"
"42d21bd1-a12e-5e3a-9381-14d3daf80d08","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Cast In Items"
"5bac7e75-f8a5-541a-a109-f6f40343da9b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Marker Position and No."
"d6190278-e49d-5a79-b201-e960553ad5fd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Pre-Pour Check","Make mould to Green Status"
"6ccd6641-bf6f-51a7-bdf3-7e9662051550","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works"
"7db06ff7-74c6-561c-816f-8b7da08b1797","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Concrete Works Details"
"82f45638-ebe8-55e7-93d2-45aa01c83dfc","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Wilco Sample Taken"
"b025c02b-39ca-575b-81c1-e0ac886bcff8","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Bridgeman Sample Taken"
"2132a440-b875-5901-a61d-596ab3775ac8","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Concrete Works","Supervisor Approval"
"7611a024-9f04-5255-8701-2244668e9707","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check"
"6addc01d-0fa5-5b53-a225-95736566d69f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check","Edge Detail"
"515255db-be78-5b2c-9dd9-7999d31a4be6","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check","Bar Projections"
"6a46a608-4121-580a-bf18-d786722f2e08","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Post Pour Check","Cast in items"
"113261c8-bc29-5e39-9c6e-abd6114b792a","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Stripping and Stacking"
"46bcf4e1-e6a4-56e4-84db-89b385e80117","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -2","Stripping and Stacking","Stripping & Stacking"
"b6445501-0a8e-48db-9fb1-bcd90ca0c03e","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -3"
"518b4c6a-2839-5bf5-aff7-e369d2628ba1","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check"
"8194eb00-c147-5905-b61f-f5c189824cf5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Dimensions"
"a77517e3-6722-5c29-9e22-c3c2d464a56d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Mould Clean"
"c914fc5e-73c6-55f5-a420-836cd530784f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Mould Oiled"
"0ef7b62b-7a7d-5f8e-8299-4f18269ce134","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Mould - Workmanship"
"69776da8-bf54-5cef-9941-8f069b2e932f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Reinforcing"
"25ed2bf8-254c-5d0a-96b6-eef596ee31c7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Cast In Items"
"e3a218dc-aa5c-54a4-b05f-c7462eed0d19","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Marker Position and No."
"6cfb2fe7-ca0f-52e8-84c9-468e53afe984","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Pre-Pour Check","Make mould to Green Status"
"fe8e9eb5-b6d6-5ada-8a1c-40fc47045ad7","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works"
"83d42862-4481-557d-b457-867d44ca07d0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Concrete Works Details"
"a7838a18-9942-51ae-a123-0b2db2b621d9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Wilco Sample Taken"
"2e075952-8463-58a7-a348-8957273d6158","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Bridgeman Sample Taken"
"57434aca-a3ba-5504-b521-5da838721cbc","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Concrete Works","Supervisor Approval"
"af1b2cd0-3586-5e18-90d8-8352695e506f","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check"
"0aa02047-6861-5059-a221-00c2ee989dba","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check","Edge Detail"
"42fb1391-9900-53aa-b876-29655f46ca0d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check","Bar Projections"
"48e0dbd3-677a-5305-b0d4-dfb1387c4623","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Post Pour Check","Cast in items"
"e6ed9b64-59d3-5323-bfe9-918234ef6e4b","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Stripping and Stacking"
"6904386f-4e38-5679-bba4-437bf5026bb3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -3","Stripping and Stacking","Stripping & Stacking"
"d929bc14-4302-4295-8a8f-43b3ad4e395f","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -4"
"15621e5f-7625-58d9-b1bd-51f9fd1a90f2","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check"
"00357c40-4a1f-5e17-aef1-62e8274839fd","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Dimensions"
"7b6eba4d-7dc3-538b-9d22-5c273a0c8262","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Mould Clean"
"fa0eaa49-04e6-52ba-ad59-eeb1c788f7cd","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Mould Oiled"
"d1ad7c6b-03fc-5fe3-a915-7f07d85209db","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Mould - Workmanship"
"edba79c6-9b2a-55a2-b4c5-39a2f7c70910","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Reinforcing"
"d8b3d906-4b52-52b3-8ea5-7694e27cf7d0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Cast In Items"
"4b3a757e-921a-53ee-aa47-ff547529795a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Marker Position and No."
"2dd3eb45-6c1e-5ff4-9c9c-6ae3454a3334","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Pre-Pour Check","Make mould to Green Status"
"70b1757f-e473-5fb8-81c1-1435cad18a37","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works"
"d36653f1-1fe7-5843-8246-353a0e07a255","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Concrete Works Details"
"d107fa72-9479-547e-8d23-1e3c6c87d14f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Wilco Sample Taken"
"c94df165-c657-5484-a3fb-44746e5b9a11","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Bridgeman Sample Taken"
"c26be1ad-ca92-5cb5-9fbb-020cfcac319c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Concrete Works","Supervisor Approval"
"ebaf3d29-65ad-5576-a9e3-6ef43e8188fb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check"
"44dc66f4-4af9-546e-8f8e-fef9a14aa965","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check","Edge Detail"
"7b3784d9-d78e-5c33-8498-911aabdade28","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check","Bar Projections"
"cbf798fa-c8b2-565f-959c-acb60c5b2e49","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Post Pour Check","Cast in items"
"23a46076-c903-5952-937e-86cd901a4e72","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Stripping and Stacking"
"6a9bdc36-e5a9-54d9-9931-9295ddfa7077","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -4","Stripping and Stacking","Stripping & Stacking"
"584d4431-1905-4211-8a9e-41f9e99aff70","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -5"
"ebd5a3f5-aab2-5562-acbe-a6802de6d6ac","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check"
"68412edc-17db-519e-be8e-802d2ecbc223","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Dimensions"
"98e94631-4bf4-5524-900e-99f4d37515ee","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Mould Clean"
"55f9540f-ec8b-52d5-83cb-944c553292c5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Mould Oiled"
"94457a0f-bb8d-567d-8a4f-a2306f3e9b05","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Mould - Workmanship"
"799dd349-1808-5aa1-9a63-5fa2cb2167ab","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Reinforcing"
"0b8d3f87-b569-5871-9e59-82ed81b6690e","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Cast In Items"
"86e0c4ba-6dc4-5c11-8a9f-065ba62c4b4b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Marker Position and No."
"c83b73aa-9dfe-5b57-9241-07ea84c3ff78","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Pre-Pour Check","Make mould to Green Status"
"390ca235-3129-5e2b-bbcb-9d680f1c6726","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works"
"573493f3-dbcb-5a73-858d-8895e770c1d2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Concrete Works Details"
"ada6a94a-8322-5a8c-b1c6-483594e3001d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Wilco Sample Taken"
"4fe7b1d2-e001-5a08-a4b4-e1eb18aee9ac","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Bridgeman Sample Taken"
"ca011c79-1672-5c8b-b114-57cb69e8f59f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Concrete Works","Supervisor Approval"
"ae48333c-cc7f-50cd-a77c-691a08e2783e","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check"
"44f4e24f-050d-54d4-b87a-72a541ad53b4","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check","Edge Detail"
"4f47ade5-ecfe-5d2c-b2d7-b0e24122407e","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check","Bar Projections"
"c14cd2f4-815a-5f27-ba67-0a3411e0538c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Post Pour Check","Cast in items"
"cc3d4704-277d-5bd4-a0b2-ee4182cda690","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Stripping and Stacking"
"18ed2e11-2248-5ccc-a772-31ccfece62a9","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -5","Stripping and Stacking","Stripping & Stacking"
"03673f06-8d4f-4533-806d-03e135910b6e","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -6"
"ba84b675-860b-51df-8339-320a6cb5318f","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check"
"977b5d86-8e03-5b2c-8523-189a6cd92a21","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Dimensions"
"a1dd1aa0-025e-539d-b0b4-3ed812592383","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Mould Clean"
"4743a91a-58d3-5ba2-b653-ed00da3c053f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Mould Oiled"
"08cdff9a-6676-58be-9cc3-b1430809381a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Mould - Workmanship"
"659c4213-1928-5fe5-a066-eba72d3e1d90","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Reinforcing"
"3c67b297-ceea-58a5-aad2-170bcd11dc3e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Cast In Items"
"739fb439-05da-5e8c-8674-204f283c0f69","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Marker Position and No."
"137ae3ab-c534-5187-9fda-916798992f0f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Pre-Pour Check","Make mould to Green Status"
"2b984c15-0b08-5e8b-8155-b234a3674db1","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works"
"cd1281d6-eef1-5bca-9c79-97a939754d6d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Concrete Works Details"
"8376f0e1-85dd-5bd2-bdc5-a5a2c2519f8b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Wilco Sample Taken"
"56766e3b-95b0-599e-babc-877e8f18f268","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Bridgeman Sample Taken"
"eda11738-39b8-5bd4-87e7-33fe85bd8bf5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Concrete Works","Supervisor Approval"
"d22e2d85-b95a-55ac-86d8-dbbd62995a65","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check"
"48606959-6b88-5319-bff1-39e4aefcdd67","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check","Edge Detail"
"66b53463-71b1-58e0-b664-d405921e34a6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check","Bar Projections"
"2f8c28a4-01c8-5bd6-a043-fb75d315ec65","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Post Pour Check","Cast in items"
"f5d16d42-8266-5795-804a-ad7b173aee99","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Stripping and Stacking"
"a3c9b65e-691d-5755-8144-249c453cb383","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 25","Panel -6","Stripping and Stacking","Stripping & Stacking"
"27d58e16-8d08-4038-99cc-13398464660f","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 25","Panel -7"
