"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"51cdc344-a3f0-4c5c-bc26-3def62e8f8a8","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"5a0215d0-f423-4728-8893-8937b99f3ccf","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Stage 1"
"3ab70b34-404a-44b1-b972-624a1d5b34a5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12"
"8e2c0b66-081d-4c08-961c-2bc2393753a2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation"
"1efc8663-6eb4-4427-8178-90131e0eb4bf","","checklist-sectioned","not-started","Wash Basin & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"7b22e808-b807-48a2-9c16-7d6b1c9ade08","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Shower & Tapware Installation"
"94e30326-eb1e-4a5e-ae0e-7aae2a897bb4","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Bath & Tapware Installation"
"290300f9-6000-4697-bb21-382b41271c3a","","checklist-sectioned","not-started","Kitchen Sink & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"27044464-3d80-4304-b708-042e3376f5d0","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Washer Machine Installation"
"97b545b7-a49e-427e-8119-637b842fd3eb","","checklist-sectioned","not-started","Laundry Trough & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"9858bff3-43fe-4e0e-842f-f8ec4af984bc","","checklist-sectioned","not-started","Tundish Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Tundish Installation"
"c772f3e4-8043-4473-bc34-cdd6c08700e4","","checklist-sectioned","not-started","Hose Tap Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Hose Tap Installation"
"322f02ab-0530-4228-9878-fc1427314257","","checklist-sectioned","not-started","Gas Appliance Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Gas Appliance Installation"
"a80f7a37-225f-4695-8bb9-9b048ba4f89a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Hot Water Unit Installation"
"092a529d-1683-433a-a666-9e4d74c870db","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"f660db4c-0164-43b6-9199-2d70c8819354","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Testing"
"ef319d5b-a62e-4e45-bebd-eeb56a947834","","checklist-sectioned","not-started","Testing Drainage Pipework (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Drainage Pipework (Air Test)"
"7012fd01-dccb-4b2a-b9a5-f928868a0989","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Drainage Pipework (Water Test)"
"3b9024a0-0e38-4e29-be86-fbbb450f348c","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Water Pipework (Water Test)"
"4ba6c760-6b67-448a-bc87-6d9b1413245f","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Gas Service (Air Test)"
"33b10948-9d5c-49a0-a0e5-204e39e6bf1d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Commissioning"
"6252e242-fff0-4621-8c32-f564a5ecaee0","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Commissioning","Commission Fixture Group"
"e7ab367f-9dc4-4c6d-8ef8-5b314a57c4a8","","checklist-sectioned","not-started","Commission Hot Water Generating Plant","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Commissioning","Commission Hot Water Generating Plant"
"8a021e2b-5e86-43a2-a975-e6bc069d404a","","checklist-sectioned","not-started","Commission Reduced Pressure Zone Device","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Commissioning","Commission Reduced Pressure Zone Device"
"2e2a3a9b-c252-4530-bd4c-6d58360c9cfc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13"
"f7d2ec52-a5c8-4874-88ee-0c23704c255e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation"
"6dead82f-f5d2-4065-b34e-bba19ab1ec20","","checklist-sectioned","not-started","Authority Main to Meter Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Authority Main to Meter Installation"
"f7499dc8-cf22-4aff-8871-719f5c37e663","","checklist-sectioned","not-started","Drainage Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Drainage Installation (In-ground)"
"be63dac6-a297-4858-918c-a6244c3a93bc","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Water Service Installation (In-ground)"
"79daba44-3031-4ed6-a198-88befac71159","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"3c364e9d-b9f2-4958-be57-555f69956231","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation"
"5962c625-c9ba-4c93-b72d-1f39825148fb","","checklist-sectioned","not-started","Waste & Vent Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation","Waste & Vent Installation"
"dd4e9d3a-852c-4360-b8dd-19c499a637f4","","checklist-sectioned","not-started","Water Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"b346f4ff-8b4f-430c-ba5b-df9262f6be7f","","checklist-sectioned","not-started","Gas Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"c9a09772-998d-494a-bb4e-e994f4314d58","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation"
"2cd20cea-5806-47f9-b590-45942d8ed953","","checklist-sectioned","not-started","Toilet & Cistern Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"3eed8966-25b3-4fc5-8e43-5b81833cb4f8","","checklist-sectioned","not-started","Wash Basin & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"d832b4aa-ac65-4b56-931e-ea41a5661701","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Shower & Tapware Installation"
"6938ac52-c73f-4657-b134-4059f4be0d9d","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Bath & Tapware Installation"
"acf17fcf-9261-40f2-8792-7be526354fe9","","checklist-sectioned","not-started","Kitchen Sink & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"bef02137-be20-4842-a5fd-7d3f771ed46d","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Washer Machine Installation"
"16c165db-626b-4f04-b1d5-75e0b85edcc8","","checklist-sectioned","not-started","Laundry Trough & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"ee6777a7-5e47-4066-afd2-5800bd2ecca9","","checklist-sectioned","not-started","Tundish Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Tundish Installation"
"15f7681c-63fb-4ecb-8797-e8028b5568a6","","checklist-sectioned","not-started","Hose Tap Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Hose Tap Installation"
"701dd3df-613d-4af7-8fc0-19bce7164210","","checklist-sectioned","not-started","Gas Appliance Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Gas Appliance Installation"
"2d0be923-294f-44eb-b667-826d8d302412","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Hot Water Unit Installation"
"5d27f131-52dd-4383-8985-756b38fef87b","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"c5ca492a-add8-4fdd-bff3-ebf0899d9d85","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Testing"
"665c75ee-4324-4e26-bc49-71f5cda877a9","","checklist-sectioned","not-started","Testing Drainage Pipework (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Drainage Pipework (Air Test)"
"a1e03d82-c26a-47b6-8ee2-f438cb7386a2","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Drainage Pipework (Water Test)"
"7fd0e998-c738-4e37-973f-bcc7fef2dcad","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Water Pipework (Water Test)"
"177a5e03-3c8c-4d37-b751-7dbcf75e7b20","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Gas Service (Air Test)"
"fd1a75a3-9e09-4d09-9a4c-96572dbd858c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Commissioning"
"1fa3c74e-9d01-4e39-b66c-77a3f0b3b2a8","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Commissioning","Commission Fixture Group"
"57119a48-6d7b-47b2-b1e1-584124b02b03","","checklist-sectioned","not-started","Commission Hot Water Generating Plant","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Commissioning","Commission Hot Water Generating Plant"
"7a289d67-0315-4960-94d8-5d51563e5aa5","","checklist-sectioned","not-started","Commission Reduced Pressure Zone Device","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Commissioning","Commission Reduced Pressure Zone Device"
"691f2558-672e-4f14-b6b6-53aa2f570042","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14"
"1e805a47-4299-4e91-b162-f7e62e2dd9c7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation"
"e88b54c8-38a1-4ab2-9067-ca1f6e95637c","","checklist-sectioned","not-started","Authority Main to Meter Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Authority Main to Meter Installation"
"53e80afc-8cb7-497c-a26e-9577ee3db369","","checklist-sectioned","not-started","Drainage Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Drainage Installation (In-ground)"
"8066b06b-0e1d-43a9-949c-25b6855bf908","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Water Service Installation (In-ground)"
"68683e27-2051-4264-b747-54d029540182","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"b73f2e33-2cec-4d24-8a76-41b7cd45f70c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation"
"d7e0de63-9310-424d-ae3a-daa2c3a82056","","checklist-sectioned","not-started","Waste & Vent Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation","Waste & Vent Installation"
"1223dfcb-f7e6-4751-a341-0ae6958a53c9","","checklist-sectioned","not-started","Water Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"dfd9f2b5-3b57-4c22-829d-29538dd92da2","","checklist-sectioned","not-started","Gas Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"4d86626b-59d9-4ef3-87fb-a74325418776","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation"
"7768dec5-b092-45b0-920d-cd4303fa9de5","","checklist-sectioned","not-started","Toilet & Cistern Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"cc7534e9-41e6-45c5-ad93-35c74ecde632","","checklist-sectioned","not-started","Wash Basin & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"ceb3c33a-2169-4790-8062-d1159759945c","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Shower & Tapware Installation"
"329de4f8-952d-4593-9b3b-dd6332821865","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Bath & Tapware Installation"
"bb880abe-871e-43b6-98b8-093d10e83475","","checklist-sectioned","not-started","Kitchen Sink & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"795a573f-99df-400e-9194-8a4759596d17","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Washer Machine Installation"
"091c663e-23e0-4ce4-ad46-98b3cfeef77f","","checklist-sectioned","not-started","Laundry Trough & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"aca542cb-a584-4be8-aef8-07c83ba8347d","","checklist-sectioned","not-started","Tundish Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Tundish Installation"
"7bc223b6-5cba-4b5e-8c41-a9b41107538b","","checklist-sectioned","not-started","Hose Tap Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Hose Tap Installation"
"169fd16d-a593-4f73-a31e-8e93624ef1a7","","checklist-sectioned","not-started","Gas Appliance Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Gas Appliance Installation"
"47fea008-fe44-4d7c-b991-156f0ca7707c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Hot Water Unit Installation"
"d343d6c7-ec59-4097-afe1-8d4e39a9b6d6","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"68e4ea3e-3e59-4477-8850-9f61fdbb9d49","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Testing"
"1f871079-ae98-4205-9dc5-29618f5aed0d","","checklist-sectioned","not-started","Testing Drainage Pipework (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Drainage Pipework (Air Test)"
"9cb93634-1a4d-4646-ab3f-fe0500ef8db7","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Drainage Pipework (Water Test)"
"70add703-464b-487d-be16-c72eec295af0","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Water Pipework (Water Test)"
"ca087c15-0cf1-43fc-81ed-c9944c9854cf","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Gas Service (Air Test)"
"7551dee5-3ecf-4c06-8dca-61831e8d35a7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Commissioning"
"f8ed4249-c90c-46ab-ab50-1718ce21c014","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Commissioning","Commission Fixture Group"
"73329ceb-38b0-4773-8efb-40f5ff2a47be","","checklist-sectioned","not-started","Commission Hot Water Generating Plant","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Commissioning","Commission Hot Water Generating Plant"
"837c8a7b-6ed4-4f9a-863d-a15689edb568","","checklist-sectioned","not-started","Commission Reduced Pressure Zone Device","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Commissioning","Commission Reduced Pressure Zone Device"
"4141e49e-b2a4-4607-bed7-015bb52849cf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15"
"5aeab45c-7c3e-41d4-b093-d3d78a5eb914","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation"
"9ad921be-ef63-4bb9-a57d-8e347690118f","","checklist-sectioned","not-started","Authority Main to Meter Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Authority Main to Meter Installation"
"4b0e7d1b-cba4-4439-b334-2d317c8ea318","","checklist-sectioned","not-started","Drainage Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Drainage Installation (In-ground)"
"cac37c29-e580-4715-a004-b95f608f1caf","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Water Service Installation (In-ground)"
"21cc1962-9aaa-468a-bd42-f312eb41cdc5","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"3b4db00c-fedb-4712-98c5-48f961d42d86","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation"
"78c43436-bfba-4246-830e-5363a3a056e9","","checklist-sectioned","not-started","Waste & Vent Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation","Waste & Vent Installation"
"71257f81-1e2a-4dd4-adf7-212b1505900c","","checklist-sectioned","not-started","Water Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"2c76df91-6d9d-4881-86cb-3b5f89bc93d8","","checklist-sectioned","not-started","Gas Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"1500fcd2-35bd-4bd8-8d4c-03f9c24048ce","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation"
"e91da69f-a877-4ad4-b123-e177e24e8cbd","","checklist-sectioned","not-started","Toilet & Cistern Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"a5df61de-8bb7-4644-adb1-4b620ae81f8e","","checklist-sectioned","not-started","Wash Basin & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"4cd74888-0899-4db5-9d47-2ed4939f8580","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Shower & Tapware Installation"
"31339236-9973-4114-96ff-ebb3e8826562","","checklist-sectioned","not-started","Bath & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Bath & Tapware Installation"
"9b8fd2b4-cca8-435f-811c-3615246dcb7f","","checklist-sectioned","not-started","Kitchen Sink & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"fd99884c-7ac9-403c-b175-e94c571037aa","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Washer Machine Installation"
"756ed292-7447-41bd-9a8d-afa5fb76d3a4","","checklist-sectioned","not-started","Laundry Trough & Tapware Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"83d04e75-8a6c-4c32-b8f3-a51e1dffc06e","","checklist-sectioned","not-started","Tundish Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Tundish Installation"
"157414f7-19eb-4ed2-998c-00cf914f3d57","","checklist-sectioned","not-started","Hose Tap Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Hose Tap Installation"
"735bada6-38d3-4d31-9307-3550d7420022","","checklist-sectioned","not-started","Gas Appliance Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Gas Appliance Installation"
"56cec551-1ca9-47fe-815f-c9a5375d7dcf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Hot Water Unit Installation"
"2ea2b436-0011-4c30-9df7-18a2fb5fdcfb","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"9ae8e04e-857d-4132-9238-698cc55a6d12","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Testing"
"218ec880-363a-434b-97ad-fcde4b85bb9e","","checklist-sectioned","not-started","Testing Drainage Pipework (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Drainage Pipework (Air Test)"
"7b6442a7-b998-4bb8-a798-89c77c35bea0","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Drainage Pipework (Water Test)"
"6e74e045-3571-4c71-bf9a-e9873fbcbc07","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Water Pipework (Water Test)"
"6477189a-1ae8-432c-885f-aee90e0ea604","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Gas Service (Air Test)"
"f2752ef8-c87b-40de-bcd1-c593a12d0742","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Commissioning"
"cc251d89-fc1d-4a39-ab58-7e36a2289ef5","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Commissioning","Commission Fixture Group"
"23f7c84a-d8d0-419e-a8d4-deabbad09e1d","","checklist-sectioned","not-started","Commission Hot Water Generating Plant","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Commissioning","Commission Hot Water Generating Plant"
