resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-C-U,,,,,,,,
,,,,,step,,,,Electrical Services,,,,,,,,,
,,,,,step,,,,,Level 00,,,,,,,,
,,,,,step,,,,,, Kitchen 0.4.006,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bulk Store/ Materials Management 04.005,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Loading Dock/Clean 0.4.004,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Body Hold 0.4.002,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet Accessible 0.4.003,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Loading Dock/Dirty 0.4.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store/Dirty Linen 0.4.009,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Cleaners Room 10m2 0.4.013,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office/Write Up 5m2 0.4.053,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Airlock/Entry 0.4.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store/Clean Linen 0.4.011,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Communications Store 0.E.014,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Comms Room L00 0.E.015,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office/2 Person 0.4.014,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Central Equioment Store 0.4.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store/Equipment 30m2 0.2.048,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store/Pharmacy 0.4.015,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Pathology 0.4.016,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Change Male 0.4.001,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Change Female 0.4.000,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.000,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.003,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.004,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.007,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.008,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 4 Bed Room - Inboard Ensuite 0.2.011,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.014,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Lounge/ Patient Family 30m2 0.2.015,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 1 Bed Room Bariatic 0.2.063,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 1 Bed Room Bariatic 0.2.062,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.059,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Independent Assessment Suite 0.2.049,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 1 Bed Room Bariatic 0.2.054,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 1 Bed Room Bariatic 0.2.051,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 1 Bed Room Bariatic 0.2.055,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Disposal Room 10m2 0.2.043,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store/General 0.2.046,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Cleaners Room 5m2 0.2.047,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet Staff 0.2.045,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Interview Room 0.2.036,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet/Accessible 0.2.037,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Clean Store 10m2 0.2.069,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Dirty Utility 14m2 0.2.035,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Clean Utility/Medication Room 0.2.034,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Station 14m2 0.2.033,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office 1 Person/NUM 0.2.031,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office/Clinical Workroom 0.2.030,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Comms Room L00 0.E.009,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Dining/Recreation Therapy Room 0.2.028,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store/Gas 0.4.017,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.001,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.002,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.006,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.007,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.014,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor/Patient Treatment Areas 0.T.015,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.017,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 2 Bed Room - Inboard Ensuite Type 2 0.2.018,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store/Equipment 0.3.019,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
