"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"625c89c8-21d9-4d78-811d-dcbf3187fc14","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA"
"d4d5ccac-32c7-464f-bba3-97ed7c63ae41","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards"
"5d674ddc-2ba7-4799-a702-e0f3fe113891","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards"
"047ea102-e341-49c5-bce8-0fb8b9de725b","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-1"
"04bb1c57-8586-4eae-a76c-f6f44aa4f909","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-2","Final Installation Test Sheet"
"e75f5685-dc60-4086-9051-5501e89f625c","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-1"
"516db38c-2d5e-46f5-8714-25f623bb276f","","checklist-flat","","QA_TEM_003_Earth Electrode","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-1","Earth Electrode"
"f6ee1e79-6e69-4caa-b273-5697130c4da9","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-1","Mains & Submains Installation"
"96203242-8da3-4c09-a848-9c43118fc6b3","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-1","Switchboard & DB Installation"
"14d5e856-124a-42db-954c-e6d703a6b110","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-1","Power Cable Commissioning"
"5586ab40-3985-43f7-8053-1291b7f71dfd","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-1","Final Installation Test Sheet"
"744d46bc-7b60-4941-8df2-b762a3e2f0dd","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-2"
"f40d5f77-bf47-45b8-9c81-0d17b9271ca8","","checklist-flat","","QA_TEM_003_Earth Electrode","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-2","Earth Electrode"
"b9aafd78-fdcd-4774-9bf2-b66d61f5f4c3","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-2","Mains & Submains Installation"
"20f777fb-1908-4123-bf95-99a1be4008fb","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-2","Switchboard & DB Installation"
"f38c3db3-990f-4a94-9ba2-ba3979bea4b0","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-2","Power Cable Commissioning"
"f97f3899-0ad2-4015-8df5-ed149491132f","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MDB-SA-2","Final Installation Test Sheet"
"2a83fe38-e9e8-4639-8ef5-bf6d65ae0bd7","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MSB-CP"
"20df5cac-31ef-42d0-b868-2286b6a67e49","","checklist-flat","","QA_TEM_003_Earth Electrode","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MSB-CP","Earth Electrode"
"88e6bce3-3aa3-4d0e-b7ad-f72d53c8deca","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MSB-CP","Mains & Submains Installation"
"16be075d-98de-42d1-af89-8ddff2fbf73f","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MSB-CP","Switchboard & DB Installation"
"cf1984ba-1a7b-4217-b285-6b3e4c15c774","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MSB-CP","Power Cable Commissioning"
"2583052e-b385-4cca-8d7c-d96e89860e2e","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","MSB-CP","Final Installation Test Sheet"
"575127ba-3f28-467b-8509-cd4a3400dc40","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","EXISTING MSB-SHP"
"de6ce713-fde8-4c3e-af86-f89bce9fd3db","","checklist-flat","","QA_TEM_003_Earth Electrode","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","EXISTING MSB-SHP","Earth Electrode"
"1a7ff82f-3713-49cc-bac1-60eab0280f44","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","EXISTING MSB-SHP","Mains & Submains Installation"
"49ced473-ee0d-46c2-943a-105cec1c83ed","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","EXISTING MSB-SHP","Switchboard & DB Installation"
"09b29a8f-62d5-49d8-95e0-896c0b78522f","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","EXISTING MSB-SHP","Power Cable Commissioning"
"5761ee44-45c4-4ec9-bd9e-b9235f041d37","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","EXISTING MSB-SHP","Final Installation Test Sheet"
"9ca437f3-691f-4ce0-b356-bd22e5d06059","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards"
"5bf58b8d-03cc-4843-806f-02f656182029","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-FPR"
"3565ccc5-2fd1-43a2-b2f6-ddba9fc16310","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-FPR","Mains & Submains Installation"
"d5cfef23-51d7-4892-85a0-cc55d86b4a26","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-FPR","Switchboard & DB Installation"
"80bcda8e-c9f4-4c08-8206-486790dc6bb0","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-FPR","Power Cable Commissioning"
"b40a7a27-ff2b-4497-93ca-9a675be87925","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-FPR","Final Installation Test Sheet"
"b0235784-ef29-4834-a581-0eaccbc971ef","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-WPR"
"f31b8e80-b133-4ca5-9364-93620fe428b1","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-WPR","Mains & Submains Installation"
"0b65488b-aa29-4681-a1c5-eda3cbca1363","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-WPR","Switchboard & DB Installation"
"0c091806-eeac-466e-b29d-ec0e36b9c565","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-WPR","Power Cable Commissioning"
"6818928d-6041-4db6-b796-c38e5a4f8167","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-WPR","Final Installation Test Sheet"
"b840681a-5f57-43f7-93b1-931b5d488fa7","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SUB"
"2be16ca1-67e7-4feb-a947-935bff8d5363","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SUB","Mains & Submains Installation"
"1ae8fa92-8bad-4bc2-99d5-56f6211d3bfb","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SUB","Switchboard & DB Installation"
"99bd34ef-8ad0-445a-8cf5-2df747afc12f","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SUB","Power Cable Commissioning"
"b5e3977e-fcf4-4863-8053-40dc4245e4a4","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SUB","Final Installation Test Sheet"
"95383c25-c4b0-44d5-a437-89931ddca615","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SMSB"
"3ed1c492-0900-4f57-ae11-d1235d0e557c","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SMSB","Mains & Submains Installation"
"3c27a882-8f4e-41d5-b08d-28559e97c5b4","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SMSB","Switchboard & DB Installation"
"8ec83e1c-3a1b-4b7c-bf5c-1cbd22469e60","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SMSB","Power Cable Commissioning"
"6bd1c476-ab4f-4d40-88b0-1ebf750cf539","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-SMSB","Final Installation Test Sheet"
"660c2147-bf59-45b3-b4bc-45435131c6c7","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","PFC UNIT"
"df6299de-858a-4793-9623-92bcb44ce123","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","PFC UNIT","Mains & Submains Installation"
"d03c41e6-4344-445b-aff1-85aced03d4bc","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","PFC UNIT","Switchboard & DB Installation"
"81125290-89f7-4fbe-a8d2-ea0da79dd7b0","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","PFC UNIT","Power Cable Commissioning"
"7b495fa8-11d9-4ba4-8cea-8a946016b7fc","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","PFC UNIT","Final Installation Test Sheet"
"b72c4b5e-814c-4c26-863d-1b0af14839bb","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-UPS"
"5296d243-1d19-43ac-a0e2-efd26ffa1109","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-UPS","Mains & Submains Installation"
"15072389-e732-4b5b-a1c1-7842678ab61f","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-UPS","Switchboard & DB Installation"
"92d47eb7-301d-4923-abcf-4e460be03036","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-UPS","Power Cable Commissioning"
"b774f27e-3a53-46eb-b16e-44dac2861ff2","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-UPS","Final Installation Test Sheet"
"fd108f00-047b-4a64-a931-7c9726ed6396","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-H1"
"1d2b7bc0-2480-4bbe-be6a-2bc1aa328cff","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-H1","Mains & Submains Installation"
"a8403274-50da-42a3-9f56-11ad8eb57422","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-H1","Switchboard & DB Installation"
"065c65d4-44d9-4484-8dee-fc272282b2ea","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-H1","Power Cable Commissioning"
"d1c4514f-b836-48d7-8ff2-5393adb76469","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-H1","Final Installation Test Sheet"
"e3f2f406-6870-499e-83ef-f5dc175aa8e8","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-1-E"
"3c680fd7-8b1c-4977-ba5e-8c1283bf1342","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-1-E","Mains & Submains Installation"
"101680f0-3a54-406c-8cfd-3e0fa811513a","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-1-E","Switchboard & DB Installation"
"60167301-5a9a-482b-9148-d8585d1e24ac","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-1-E","Power Cable Commissioning"
"c17adfd7-13bd-428c-a74a-662317ad75de","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-1-E","Final Installation Test Sheet"
"1ea2949a-21e0-4146-ab9f-e1560c60dbc2","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-2-E"
"c6515e74-a150-4fbf-85d3-8226bebdb96e","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-2-E","Mains & Submains Installation"
"59ff9e35-773c-4310-ba74-b2aa26ebe863","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-2-E","Switchboard & DB Installation"
"bf4920ca-7227-47ed-8737-c35dcb3f813b","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-2-E","Power Cable Commissioning"
"d528a463-27bb-4e49-aa84-5538b7344f1f","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-2-E","Final Installation Test Sheet"
"a29f4656-12b4-42d0-8c5d-d37d881a8c3f","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-1-E"
"c022166d-ab70-47b3-a250-8412a4383acd","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-1-E","Mains & Submains Installation"
"421f6450-a744-4d43-9dbb-7d2b092b9d3f","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-1-E","Switchboard & DB Installation"
"9b8553d9-68b5-48b2-9bd3-cbf84a185d1c","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-1-E","Power Cable Commissioning"
"d0f45c2c-cdd6-45b3-b766-6389a0c454e5","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-1-E","Final Installation Test Sheet"
"cdc30b70-0b3d-4c9e-8553-3d1735ce04b8","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-2-E"
"e6aaca72-4a27-4c54-9034-8071a9bd556a","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-2-E","Mains & Submains Installation"
"b30bb261-1224-4c5a-b99e-7909c0057a7b","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-2-E","Switchboard & DB Installation"
"f7b38d3c-9125-4db3-a27e-8186343b0ac4","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-2-E","Power Cable Commissioning"
"464286cf-3b8a-4043-af38-56574e99f7fb","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L1-2-E","Final Installation Test Sheet"
"640014ec-11aa-4282-b583-249e825672f8","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-1-E"
"c7da9a0b-ba38-47d8-b610-7ab9d93a0e9a","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-1-E","Mains & Submains Installation"
"85651d0c-d569-4af7-81d9-7c7b8141a18e","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-1-E","Switchboard & DB Installation"
"dbdfbc29-f5ae-4120-ba43-59a2270e8bd9","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-1-E","Power Cable Commissioning"
"6614e3c1-b760-429c-a416-1d6ae05f8e0f","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-1-E","Final Installation Test Sheet"
"0a1bedf3-d58b-407c-b31a-f71fba7bf5cb","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-2-E"
"c06e0946-963f-4ac2-8bbb-00753efd757a","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-2-E","Mains & Submains Installation"
"8056e471-be72-4c02-b637-6f4d8a13371c","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-2-E","Switchboard & DB Installation"
"6d6d65c6-db9c-4af9-ba21-b5bb88213805","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-2-E","Power Cable Commissioning"
"0a19ec3f-cc2d-49d1-b323-070cac817c82","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-L2-2-E","Final Installation Test Sheet"
"6653774d-b904-463a-a9d5-05d874bba6aa","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-C-E"
"681dfc64-1ee3-4ef0-84f4-e22c9a391bce","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-C-E","Mains & Submains Installation"
"845e01bf-304c-4b99-b733-92793eb5a34c","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-C-E","Switchboard & DB Installation"
"97dba9f3-6c81-449b-9a3d-45cdd10fb332","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-C-E","Power Cable Commissioning"
"4b90ee47-f375-402c-86c0-3c3e7e8b7645","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-C-E","Final Installation Test Sheet"
"bd36dce9-25e2-495d-a3ec-574810584844","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-K-NE"
"2b6f47af-5cc3-443c-8110-29b24fb9eff2","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-K-NE","Mains & Submains Installation"
"446e470a-e517-487d-bd71-331a13fa8ebb","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Distritbution Boards","DB-LG-K-NE","Switchboard & DB Installation"
