"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7f7a482a-0755-469e-b594-d7a917cf71ec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Asphalt"
"c1a863cd-6ee0-4913-8764-65467ed56b6d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Chipseal"
"96122de8-2439-409b-9513-997f3174dd38","","folder-normal","work-in-progress","","step","TRUE","FALSE","Rehab"
"e73310f9-13b0-4ca0-904b-7564ceffef04","","folder-normal","work-in-progress","","step","TRUE","FALSE","Rehab","Tuhikaramea RD"
"23e5b41f-d9dc-4fb9-add1-72b351eba8ec","","checklist-sectioned","work-in-progress","ITP - GRANULAR REHAB INSPECTION TESTING PLAN Rev 1","checklist","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP "
"58e6fdac-f072-5737-a308-4c009309545c","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade"
"6aea8892-365d-5f55-8d73-555ecf327701","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","AUTHORITY HOLDPOINT"
"abde3ae8-a05c-5922-9b98-70c7e2aae55f","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","2.03 - Field"
"136ccd0d-afc9-59b0-83da-daca69a9b330","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","2.04 - Field"
"92ade111-8a77-53e2-acd8-56b40aa1c462","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","2.05 - Field"
"01f0342d-9e61-5701-8412-80a17d30375e","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","2.06 - PQE"
"b997a94d-97af-5870-b80a-3ba900592b6c","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","AUTHORITY HOLDPOINT"
"7fdac801-1565-571b-8ba1-9653925ff289","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse"
"3364f988-4d0b-5c45-a8a2-36b1b5d91e5d","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.01 - PQE"
"85eb07c7-d633-5dc3-bd4f-426cee787f3a","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","AUTHORITY HOLDPOINT"
"c6091f81-fc9c-589d-8672-9fdcd3b33b8d","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.02 - Field"
"314b777b-2e60-547b-ac83-ce21f6dab399","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.03 - Field"
"44609888-bad4-5e51-8540-585e40eb92a3","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.04 - Field"
"4d7fbd53-b40d-5c65-8201-b2a715f6339d","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.05 - Field"
"694a0f89-3b09-5986-864a-ead6997d7207","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.06 - Lab"
"dca3a5af-1a40-5848-bb5b-f9b547bd6f41","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.07 - Lab"
"0d2b7ed8-de37-5e6a-80f4-ff1c4a579472","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.08 - Field"
"a388f5e6-5875-5426-abac-8499b7727786","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.09 - Field"
"4b8cb651-3bf0-547c-9f51-3a17e9311f77","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","AUTHORITY HOLDPOINT"
"47a63a75-3f72-5a8c-bf3d-046feb97c39d","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","3.10 - PQE"
"6d29fdf6-0bfd-5cc9-bcb7-1a765453cc96","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Basecourse","AUTHORITY HOLDPOINT"
"52a7015d-99b8-5be1-b4b2-f806dbdf643e","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal"
"e033494e-5b04-5094-ab9a-1f6cff34eade","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.01 - PQE"
"f11146f5-eba7-56e5-8a3f-bf7d1094ea40","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","AUTHORITY HOLDPOINT"
"d3f081d9-0a8a-55a2-94fe-5d18406c1602","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.02 - PQE"
"e673b9b6-c458-57af-b7fd-7f488a62bcf7","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.03 - PQE"
"396dd900-3c5d-58a1-9d98-e91bb70a9593","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","AUTHORITY HOLDPOINT"
"9f769210-81a8-502c-a7c8-451eb838c443","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.04 - Field"
"81a6b57e-a173-5a3f-93c2-53c75c795e94","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.05 - Field"
"b299a086-8bd9-5f4b-81aa-ab9aa5f4c9c2","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.06 - Field"
"676015f0-7c65-5078-83b6-24737dc87659","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.07 - Field"
"9be75134-c9a9-5353-8f39-672f7a43ad17","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.08 - Field"
"f606750b-a757-573d-b742-8d5de61b8c06","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.09 - Field"
"ae38cc97-9b31-5a4f-903d-0a6c085885e7","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.10 - Field"
"e3842650-4cd5-5f9e-89b5-e9c776b89ff0","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","4.11 - Field"
"655d838c-78a7-50b1-ae25-dc9ff76e0af1","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Membrane or First Coat Seal","AUTHORITY HOLDPOINT"
"ca1a33fa-9024-5bbe-9bca-defb56e78770","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Post Construction"
"7576d238-18dd-588a-a064-ff47cc33f7da","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Post Construction","5.01 - PQE"
"3ff3f5d0-cfce-5a9c-ad90-d1ee03040761","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Post Construction","5.02 - Lab"
"fa97c76c-cd23-432d-9479-d9e4a686ea36","","folder-normal","not-started","","step","TRUE","FALSE","Rehab","Peacockes RD"
"bde8b5ff-433a-4029-ae8d-469af39a7a5d","","checklist-sectioned","not-started","ITP - GRANULAR REHAB INSPECTION TESTING PLAN Rev 1","checklist","FALSE","FALSE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB "
"46fdb074-9906-5e10-9975-f836719465c3","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subgrade"
"d6cce3c2-652a-568e-a5a7-2269f90b8d63","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subgrade","1.01 - Field"
"948fc3f6-62f0-5a27-b69f-5e3c8497c691","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subgrade","1.02 - Field"
"82b42573-2668-5a43-a25d-0b6a38708f13","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subgrade","1.03 - Field"
"024d4408-a0d2-587f-9b12-0847224f6a90","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subgrade","1.04 - Field"
"8d709dde-30a6-5446-8d22-dc5d4d8e06ee","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subgrade","1.05 - PQE"
"21b2ee47-8e2a-5440-b7b7-9036838285f2","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subgrade","AUTHORITY HOLDPOINT"
"c80cccb4-6362-5ff9-a682-099e5d56fa37","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase"
"5743b438-b62b-581c-81e7-033d6e34eb7c","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","2.01 - PQE"
"08509392-8155-5ae1-90de-bd2f6a8a86b8","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","AUTHORITY HOLDPOINT"
"363532aa-dfa4-583d-90dc-61a4be93e0db","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","2.02 - Field"
"4f0b0d33-2560-54d6-8f1d-6462b4ebb387","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","AUTHORITY HOLDPOINT"
"7130517f-027b-5a47-9278-5ff01c875bc3","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","2.03 - Field"
"515b5d30-27e1-5f2e-aef4-9a40c6dde4c0","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","2.04 - Field"
"cfa52b27-b0a0-51a6-9f61-3887e24277f4","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","2.05 - Field"
"bdf3050d-0b98-54ba-88d2-9c8de8bd909c","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","2.06 - PQE"
"e95fe002-63a9-58c3-b1d7-275cd51ccac6","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Subbase","AUTHORITY HOLDPOINT"
"4b031198-c547-556a-844e-1364cd8873a5","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse"
"37f8c834-33d7-534b-b2f3-582a556b8b25","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.01 - PQE"
"ae8af89a-35b0-51fa-b6c4-1d61e6029c52","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","AUTHORITY HOLDPOINT"
"5f737d4b-cf9a-500f-bb4d-49c6cdae51ba","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.02 - Field"
"bc56c9f7-5a51-53bb-84f6-7b38e2e4f32e","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.03 - Field"
"e3812f27-21c4-51dc-acce-38320dec4324","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.04 - Field"
"aabf23aa-eb0f-5404-b64c-ff57bf192384","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.05 - Field"
"7f09a793-c160-59f7-be9e-3e2194b710bc","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.06 - Lab"
"6242bf90-dcee-5275-b4d9-d69f252abf3a","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.07 - Lab"
"d26188d3-8da6-5cd1-917f-1c3a483ff026","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.08 - Field"
"46cbddb3-83e2-5fde-b557-6e1a216bd164","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.09 - Field"
"a01bf820-aa73-543a-b657-bd7a482f832c","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","AUTHORITY HOLDPOINT"
"4f7b5851-5ff2-5729-aa8a-714524858775","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","3.10 - PQE"
"ec0d1023-7391-5bba-8896-666753526739","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Basecourse","AUTHORITY HOLDPOINT"
"22e7594a-8eb0-5280-b554-e653eed4b5c6","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal"
"b1bbaf1d-8e83-5633-a3b1-b08972ebf371","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.01 - PQE"
"715de316-7945-5aef-84b8-c82ef5e2fcd2","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","AUTHORITY HOLDPOINT"
"eba58d04-6ef7-5309-9c07-a01fe72604eb","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.02 - PQE"
"b9fe5449-1fda-520d-bbc1-9b6632c9e89c","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.03 - PQE"
"58f05d93-8bf7-573c-8f65-cf976348fa46","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","AUTHORITY HOLDPOINT"
"fca0bd1c-f536-51bf-b78c-1b6de47db881","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.04 - Field"
"02b285a5-634f-50ce-8ba3-e3909dbf406b","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.05 - Field"
"cb3485d1-bfc2-5ab6-8b70-9275e4dcece5","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.06 - Field"
"9f341525-2811-51ad-911e-5808735e46c5","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.07 - Field"
"689c83ad-70b2-5af6-8072-90b6aa016259","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.08 - Field"
"cecae02e-fab6-54b9-b64b-332659e980d4","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.09 - Field"
"c050aa15-9e01-50c2-a8a7-49c064a0de9b","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.10 - Field"
"2a691d7d-a301-58a3-bfab-2d6b5c86216f","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","4.11 - Field"
"2d7b884a-070a-5518-ae92-a0ea904f9511","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Membrane or First Coat Seal","AUTHORITY HOLDPOINT"
"c564d024-026b-5adf-b9f0-ca407c0bb4be","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Post Construction"
"9ba3232c-cf8a-545e-8ebb-48c35821394d","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Post Construction","5.01 - PQE"
"9bd3d2aa-e2aa-5e39-b35f-ae9167f1e2f1","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Peacockes RD","Peacockes RD ITP - GRANULAR REHAB ","Post Construction","5.02 - Lab"
"424e9283-d711-4356-950c-7bad6bedc6a0","","folder-normal","not-started","","step","TRUE","FALSE","Rehab","Prisk St"
"ebf0d540-a881-4c64-b6eb-a04d9e0e1068","","checklist-sectioned","not-started","ITP - GRANULAR REHAB INSPECTION TESTING PLAN Rev 1","checklist","FALSE","FALSE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB"
"d8d20b41-2d53-5bb2-b6cf-a5d5c139b254","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subgrade"
"568a7b11-9a76-5b83-9a46-548de23211dd","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subgrade","1.01 - Field"
"e590f0cd-8e9b-54b3-b756-5d4ca5844e01","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subgrade","1.02 - Field"
"b2e639f1-d86b-5bd3-9b1e-f643586b3791","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subgrade","1.03 - Field"
"935a90a0-503f-5a30-a104-f6ebffb2936d","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subgrade","1.04 - Field"
"633d2e99-a675-5627-85d2-bbee79f67567","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subgrade","1.05 - PQE"
"4d2231f1-ab93-5d74-8155-b1f97dab95a5","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subgrade","AUTHORITY HOLDPOINT"
"13fe4dd9-a5cc-59e1-9e6b-daecd932e942","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase"
"c10898ef-c373-5125-b883-6253b7f1d803","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","2.01 - PQE"
"1179d7a1-c769-51d2-a6c3-9c128059475e","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","AUTHORITY HOLDPOINT"
"1073f150-5559-5d02-8621-4152ed52ab79","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","2.02 - Field"
"61f5e6d3-2502-562e-a662-53ff426cdfd2","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","AUTHORITY HOLDPOINT"
"33068d6c-ed47-53d6-9d03-837cba4b3a72","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","2.03 - Field"
"cd062fe3-1e3b-5ba4-9263-ab7c4c0690d7","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","2.04 - Field"
"aaae3130-61d3-57f0-b4df-1a18ef2ba839","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","2.05 - Field"
"541b21fd-7ec8-58ae-bb71-0b7dd26ddb3b","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","2.06 - PQE"
"ec5a17b8-c225-506c-9d8f-c7b6750872e3","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Subbase","AUTHORITY HOLDPOINT"
"3666c1b7-c915-5f18-b6af-ad7ca34896e5","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Prisk St","Prisk St ITP - GRANULAR REHAB","Basecourse"
