"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"da115af4-b8d4-40ea-8310-0718e3f0e0fd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction"
"e136990f-ac23-4e4f-a9bd-041e9b0208e9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1"
"c5bb3ace-35a9-49bc-bd42-219840b130d7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B"
"9e40f3e3-4fa8-4cba-9dce-c4fcce3efec6","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing"
"225ec078-5aff-4c3c-a690-9431185e2a6f","","checklist-sectioned","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)"
"9d02b2eb-7fc5-52a7-95ff-c3c5e29add8d","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities"
"051a0e75-243d-51aa-97f3-48b6cd19d4c7","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","3.0 Completion and Compliance"
"ce2a3cc9-1cb6-5e84-80e3-212d742128fc","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","3.0 Completion and Compliance","• Thickness < 50 mm: 94.0% Characteristic Density Ratio"
"59eb2d14-e49e-5399-904e-64fdf2f2255b","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","3.0 Completion and Compliance","Request Sign Off"
"d70dd69a-a3d0-5649-b887-3966f1b79f81","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","3.0 Completion and Compliance","• The mean surface level and the variation in surface level for the base, intermediate and wearing courses within each lot shall meet the requirements (mean +/- 5mm, standard deviation 8mm)"
"818f6958-9ac4-5481-abd7-fdc12b0764cc","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","3.0 Completion and Compliance","Request Sign Off"
"9a8d0577-948c-5c1c-bcc7-aab217fb1b2d","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","3.0 Completion and Compliance","• Surface finish - Uniform in appearance, free of dragged areas, cracks, open textured patches, and roller marks."
"045c9325-31e7-4fbf-85cd-baa3f1a52ce1","","checklist-sectioned","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)"
"e93a2c87-7ce9-52cb-a70a-816314899cde","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities"
"56c53387-fd27-5cb0-8a3a-bdb0a5bb4e89","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","• What is the lot size?"
"b5733fbc-ba2f-5654-a737-656bd98c1f3e","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","• Is the asphalt mix design considered “General” and does it conform with VicRoads Section 407? Has mix design been approved by CYP D&C JV?"
"ec258fc3-97f8-54ab-8683-8e065d6d30d2","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","Request Sign Off"
"be0b5903-21a9-54a5-b0df-4d8c9a5b89a1","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","• Has the previous layer passed acceptance criteria?"
"301a5f77-16a4-5ed0-9dd1-4784162c32dc","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","Request Sign Off"
"c0c7e31c-40d1-557e-a126-a0ef892bf2ee","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","• For intermediate and base courses surface to be above 5 degrees Celsius. For wearing course installation, surface to be greater then 10 degrees Celsius. Has the above criteria been met?"
"e3d2d90d-4cb2-57d4-ac0b-fb9cc5afd392","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","Request Sign Off"
"19d3b904-1452-5906-9b1a-70d2597d8b58","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","1.0 Pre-start activities","• Have the existing pits been raised/lowered to meet the surface level of Asphalt?"
"9ae7d4ba-1354-553a-9f1b-3cbb0143a96f","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation"
"ebb5193e-e525-5f9a-afe6-89fa39741223","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","• The placement of asphalt on the sub-base or granular base for a new pavement or for an overlay of an existing bituminous surfaced pavement shall not commence until approval to proceed is obtained from CYP D&C JV."
"2d4167f4-5bea-5a5f-8231-13327875fb04","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
"a8d34c95-d263-5a5d-ad23-ffa5f744b981","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","• All transverse joints shall be offset from layer to layer by at least 2 m."
"feb7e047-9840-50e9-9357-c3276ff5f6a6","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
"02dc6287-4bd7-54e6-9ee7-bad5a4fa5132","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","• At junctions where the new asphalt mat is required to match the level of existing pavement surface at the limits of work, chases shall be cut into the existing pavement by cold planing as specified in Section 402."
"396ee811-0946-5b21-bc02-147cee248424","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
"5e4a6dba-554d-5354-a313-f33fc3d55727","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","• Asphalt shall be spread in layers at the compacted thicknesses shown on the drawings or specified. Asphalt shall be uniformly compacted Compaction shall not commence until the asphalt has cooled sufficiently to support the rollers without undue displacement."
"cca12ce5-3a0b-5cd1-8fc0-617d7336d424","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
"80df1a88-70a8-588e-a3aa-ef655266804b","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","3.0 Completion and Compliance"
"3e010a2d-7d98-5418-8045-b57ae695fa8e","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","3.0 Completion and Compliance","• Thickness < 50 mm: 94.0% Characteristic Density Ratio"
"d0070c7a-8b89-549c-a2c5-1f2d8017115d","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","3.0 Completion and Compliance","Request Sign Off"
"ac36d132-4a56-5c10-a306-af2328bbae4a","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","3.0 Completion and Compliance","• The mean surface level and the variation in surface level for the base, intermediate and wearing courses within each lot shall meet the requirements (mean +/- 5mm, standard deviation 8mm)"
"e5fde21b-b1e3-5bd9-a98b-cbcac98a8290","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","3.0 Completion and Compliance","Request Sign Off"
"4c2f466b-0ef4-52ec-a4a3-176f00387a2a","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-2 (WEARING COURSE)","3.0 Completion and Compliance","• Surface finish - Uniform in appearance, free of dragged areas, cracks, open textured patches, and roller marks."
"d733a678-4aee-4e75-9f73-8b498b9d390d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works"
"b45108bf-213e-4ab2-a176-9c425213ce2f","","checklist-sectioned","work-in-progress","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)"
"c3cb5d5b-0db0-571b-84d4-c48530a38597","","checkpoint-group","pass","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities"
"4ffdb61b-cda8-5d55-8bc5-81bafaff44f4","","checkpoint-status","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Are the drawings, complete & current?"
"5b88f156-0665-5add-9922-d13c20e70f26","","holdpoint","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","Request Sign Off"
"58b4dade-1ee0-54fd-90a2-2bc9d677679c","","checkpoint-status","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Lot shall be defined from pit to pit (or endwall, where applicable)."
"c059120f-6448-53f7-b230-ba6766e7bd85","","holdpoint","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","Request Sign Off"
"d79fbc06-1bf1-561d-be2c-5eb233ba9fff","","checkpoint-status","not-applicable","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Is the Box Culvert free of defects and to drawing dimensions?"
"42c21067-f292-5e83-b593-7e916f36b866","","holdpoint","not-applicable","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","Request Sign Off"
"2f028c24-dfe5-5acb-8099-3a6fe146f72a","","checkpoint-status","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Is the Pipes free of defects and to drawing dimensions?"
"3dd57761-f84a-5e8a-8a42-af90b512d9fc","","holdpoint","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","Request Sign Off"
"ba1c3712-19c4-50a1-8846-3c2f8226a348","","checkpoint-status","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Have proposed precast Covers, Grates, Lids and Pits been approved for use?"
"2f0878d7-a4c6-5bac-9b8a-080896b0eb03","","holdpoint","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","Request Sign Off"
"488a1865-757d-5007-b1b7-ea227569c229","","checkpoint-status","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Is material free from perishable matter and lumps?"
"ebbfac84-7e64-518e-9af0-7f72b9dfb5a8","","holdpoint","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","Request Sign Off"
"176ef0bf-2613-59bb-ac5f-e8e357d7cd87","","checkpoint-status","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Pipe/Box Culver/PIT Size & Class"
"59c4f287-029e-5bba-a919-f552a55c8132","","checkpoint-status","pass","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","1.0 Pre-start activities","• Stage/Zone"
"c3dd44e6-2dd2-54a7-95e8-b46a2001d944","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","2.0 Excavation"
"72399745-43a1-56e1-ac4b-0273ae24e493","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","2.0 Excavation","• Is the trench clearance width between 300mm to 600mm?"
"559ad5ca-9369-5c28-bed5-600cc48f556a","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","2.0 Excavation","Request Sign Off"
"e15dd6be-e5b5-50d6-b029-04108770a981","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","2.0 Excavation","• Is the pit excavation not less than 400mm from external pit wall to side of excavation?"
"e6fcc8e3-e300-566e-873c-720b34adb601","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","2.0 Excavation","Request Sign Off"
"720c7449-35d2-5b4f-a436-9e4d8b71fc63","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","3.0 Bedding"
"9a35c10c-6e4a-52cc-bce5-3faeb0f712e9","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","3.0 Bedding","• Is the Pipe Diameter less than 1500mm? If so, has 100mm of bedding been placed?"
"da3ccbd0-18dc-5bcf-bb4c-2dc93db309cc","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","3.0 Bedding","Request Sign Off"
"6cd65b6f-27dc-5c93-8142-4bbe529d1c29","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","3.0 Bedding","• Has bedding been placed and compacted to a thickness not less than 80mm on clay foundation?"
"a79947a2-ddad-5415-ab1c-4186faed7665","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","3.0 Bedding","Request Sign Off"
"dba29bc3-bed3-5a64-ac0b-e150711644fd","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","3.0 Bedding","• Has bedding been compacted to refusal?"
"5992e914-1b7e-53d3-a59e-d8fcd1c5323a","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","3.0 Bedding","Request Sign Off"
"916b160f-c355-5c87-aa86-78ed9d7cb9c1","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","4.0"
"fe851a01-e2fc-5385-8d7e-3ca7f1855c87","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","6) ITP-006 - Stormwater Works","SYM-PURL-SWD-1B-1 (PV-2.0 to PV-2.1 - 1050mm RCP)","4.0","• Are pipes being laid from downstream end?"
