"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"69fc2694-9bb1-40bf-a8f5-7742a3f5245e","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"ed3ca95c-8bf8-5a94-96f6-f5aff0ea31e5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"65319923-703b-57b5-96ad-6491dd27af79","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"ceba7dc6-4608-5e7e-b163-8404051ea580","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"95d15a1a-84b7-5fc8-b2bc-e4a7a94abb05","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"f12ee1bf-487a-5291-a09a-37a39cff6e9f","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"4cb65349-23c8-514b-b0bb-c5a9b131dc1e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"f6cb13f3-fb45-44ea-9539-741e3d35053e","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"35a03ffb-2dae-4f00-b76f-73255cb6e0d9","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"c1c0b7c4-00b9-4421-99bd-14ed1d699297","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01"
"3ba9be09-6e32-4c61-b243-3fac2af23f7d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist"
"5cb107c0-a320-5c1a-a031-2020aa2b21a5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"4acbd9f8-2872-4cc3-bb71-bd9e496b569f","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04"
"5c1cea10-3a54-44b8-b7cf-f2c0a815a47b","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist"
"e16eb3d2-6f2b-50e1-87a2-120b4ea6b557","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"6401c765-5a5e-5d15-ad38-ecc3ac0f928a","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist","EMAIL PM"
"de96276a-58a4-5753-aff8-e93dc7904c3b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"4d533f75-66ca-4cf5-bef4-cb1ba1aaa505","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04"
"181598df-4c64-598c-86fc-27f789b1bfb6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test - 2 photos required"
"4147e242-40fc-5970-880d-f7d47ce0fa49","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of Swages - 12 photos required"
"5ad9fe13-0ce0-50f8-a8ea-c07e1d14cd24","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"2bcb359c-6e84-55bc-874d-f315c1b4ef77","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Video taken of system"
"be3ad8e3-da81-5983-b78b-497969567918","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"0a524d08-edcf-4cde-ba50-b49786ecd37f","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05"
"2eaa13e9-4a23-49bc-b976-15db00d85827","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Pre-Fit Off Checklist"
"6c2c0a68-57bd-5c21-b37f-fb73acb55f07","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"fc17855e-9845-5ed2-a982-d3c8fc57331c","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Pre-Fit Off Checklist","EMAIL PM"
"08ce5b48-09b1-5f69-9b6c-163f90191134","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"32a9ec3c-4c46-41ff-bd54-21f7f89f41aa","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05"
"db7ed3ee-2ae6-5c6e-839b-af1f83cd544c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Photo taken of line pull test - 2 photos required"
"41a05406-a39c-521b-8761-25dd640f470f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Photo taken of Swages - 12 photos required"
"5161e714-e862-59b5-9799-ce46eb5c1ebd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Photo taken of Engraved Line Plate / ID Tag"
"3393320e-a2f7-5350-8693-57cddab2f9f6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Video taken of system"
"1f422169-d09c-50d0-91c7-f42ef4968a04","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"cb655820-994b-4596-96eb-55fd8b912848","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06"
"2c828e5d-14a6-4335-a938-8ba0f018ddf7","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Pre-Fit Off Checklist"
"82a08590-919a-5c0c-beea-813c543d6e88","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"8eb2d8cf-5bcf-5389-bb34-829a48d0eedd","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Pre-Fit Off Checklist","EMAIL PM"
"75ca29a8-e452-5f65-8c30-8f170d5bc744","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"7583eb92-fddf-47b2-ac2d-ce0fb1c1b539","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06"
"4d206e05-b98c-5590-ad95-23790a276af8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Photo taken of line pull test - 2 photos required"
"19b68542-1fb8-5ccf-9ae3-7ea29e9cf7dc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Photo taken of Swages - 12 photos required"
"b2433dd6-88b2-596e-aead-940181b4a546","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Photo taken of Engraved Line Plate / ID Tag"
"994ed637-1e72-5d1f-a07c-4650b5b18d95","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Video taken of system"
"845add30-ef87-5f88-bfa5-65e9d0c84d31","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"7f8cb6d7-487a-4220-83f4-eaf9c4cbf201","","folder-normal","not-started","","step","TRUE","FALSE","QA","Fall Arrest Anchor Points "
"20f83606-452d-4c32-9990-083fb75a2ba3","","folder-normal","not-started","","step","TRUE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors "
"ed11c48e-d1c9-42e5-9722-ff55d1c46ef0","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Pre-Fit Off Checklist - Anchors 1-23"
"2706d976-131c-5779-a31b-4b8304b87a4c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Pre-Fit Off Checklist - Anchors 1-23","Confirm structure is in accordance to the details provided"
"83122a22-fe4a-5034-893a-42fbee72e126","","holdpoint","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Pre-Fit Off Checklist - Anchors 1-23","EMAIL PM"
"b52445b0-c34f-51ef-86f8-9e7c6df79c73","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Pre-Fit Off Checklist - Anchors 1-23","Plinths/ bases/post installed in accordance with details provided"
"8e3fb39f-0de0-4b40-965f-ea20aed6d563","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 01"
"2edceab7-bd22-5f4d-85bf-105becfcd80c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"9f2a7713-3d91-5b84-9cab-0211916695e0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"87da762e-37be-423d-bcbb-19fdeba6586c","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 02"
"69a851c1-49d8-5af2-b43a-986dcd35b097","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"8ecdf875-dd13-580d-a923-61a008f1eb43","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"cb427ea1-9906-42c4-ab48-ee9919423936","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 03"
"12206d1c-a617-5231-84e7-66b62d0220eb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"56a13a46-1e55-569c-ada6-cd23108878e4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"a2e61625-84fa-4315-aa0c-db3e9140ce0b","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 04"
"835e143b-da15-5ccc-9cbd-17abe2152b80","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"096e87cf-8628-5469-9ccc-a463f40fcbab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"a54b774a-35d6-4401-8480-9fb9a366eac7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 05"
"e93bfdb9-672c-5a7c-82d5-51c395edae32","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"368b5dbd-1753-589e-a831-a9b24a2326ab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"7b6ff837-ad19-4c18-b082-2cacf684535a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 06"
"c95dda23-eb78-5fee-b6a2-de94681bc744","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"e6d8ae8f-bda4-5d5c-8fd4-578443dd1c5b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"9a0527a3-667a-4687-856a-0c5ebdafffba","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 07"
"774dfb6b-ea09-5bc6-8ee2-3cb73373305d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"8012559c-12d4-5153-b551-b6e12e5ab5b9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"02d171cf-9acb-4d83-a022-c50c4709646b","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 08"
"f77bb291-bfa1-5463-b5f1-f9a2b7bedfb4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"edc5b25f-c792-5f9e-8b63-b2274ab6965b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"7e6aaf10-02f6-42d3-8cd4-fad7a1762510","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 09"
"1db86ab9-5280-50f6-8632-cbbc8502e5c6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"79b60334-3f2e-5cbc-ad62-0cf86e72b6f9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"308a5e61-6d19-4e5d-9c1d-f4f878ead310","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Fall Arrest Anchor Points ","23No AP Type 01 - Fall Arrest Anchors ","Fit Off Checklist - Anchor 10"
