"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hallway Rough In Progress"
,"Scope",,,"rough in"
,"Rows"
,,"G","grouping","rough in","g"

"Apartment Rough In Progress"
,"Scope",,,"rough in"
,"Rows"
,,"L2","grouping","l2","rough in"
,,"Apt 2.01",,"apt 2.01","l2","rough in"
,,"Apt 2.02",,"apt 2.02","l2","rough in"
,,"Apt 2.03",,"apt 2.03","l2","rough in"
,,"Apt 2.04",,"l2","apt 2.04","rough in"
,,"Apt 2.05",,"apt 2.05","l2","rough in"
,,"Apt 2.06",,"apt 2.06","l2","rough in"
,,"Apt 2.07",,"l2","apt 2.07","rough in"
,,"Apt 2.08",,"l2","rough in","apt 2.08"
,,"Apt 2.09",,"apt 2.09","l2","rough in"
,,"L3","grouping","rough in","l3"
,,"Apt 3.01",,"rough in","l3","apt 3.01"
,,"Apt 3.02",,"apt 3.02","rough in","l3"
,,"Apt 3.03",,"apt 3.03","rough in","l3"
,,"Apt 3.04",,"apt 3.04","rough in","l3"
,,"Apt 3.05",,"apt 3.05","rough in","l3"
,,"Apt 3.06",,"apt 3.06","rough in","l3"
,,"Apt 3.07",,"apt 3.07","rough in","l3"
,,"Apt 3.08",,"apt 3.08","rough in","l3"
,,"Apt 3.09",,"rough in","l3","apt 3.09"
,,"L4","grouping","l4","rough in"
,,"Apt 4.01",,"l4","rough in","apt 4.01"
,,"Apt 4.02",,"l4","apt 4.02","rough in"
,,"Apt 4.03",,"l4","apt 4.03","rough in"
,,"Apt 4.04",,"apt 4.04","l4","rough in"
,,"Apt 4.05",,"l4","apt 4.05","rough in"
,,"Apt 4.06",,"l4","apt 4.06","rough in"
,,"Apt 4.07",,"l4","apt 4.07","rough in"
,,"Apt 4.08",,"apt 4.08","l4","rough in"
,,"Apt 4.09",,"l4","rough in","apt 4.09"
,,"Apt 4.10",,"l4","apt 4.10","rough in"
,,"Apt 4.11",,"l4","apt 4.11","rough in"
,,"Apt 4.12",,"l4","rough in","apt 4.12"
,,"Apt 4.13",,"l4","apt 4.13","rough in"
,,"Apt 4.14",,"l4","apt 4.14","rough in"
,,"Apt 4.15",,"apt 4.15","l4","rough in"
,,"Apt 4.16",,"l4","apt 4.16","rough in"
,,"Apt 4.17",,"l4","apt 4.17","rough in"
,,"Apt 4.18",,"l4","apt 4.18","rough in"
,,"L5","grouping","l5","rough in"
,,"Apt 5.01",,"apt 5.01","l5","rough in"
,,"Apt 5.02",,"l5","rough in","apt 5.02"
,,"Apt 5.03",,"l5","apt 5.03","rough in"
,,"Apt 5.04",,"apt 5.04","l5","rough in"
,,"Apt 5.05",,"apt 5.05","l5","rough in"
,,"Apt 5.06",,"l5","apt 5.06","rough in"
,,"Apt 5.07",,"l5","apt 5.07","rough in"
,,"Apt 5.08",,"apt 5.08","l5","rough in"
,,"Apt 5.09",,"apt 5.09","l5","rough in"
,,"Apt 5.10",,"l5","apt 5.10","rough in"
,,"Apt 5.11",,"l5","apt 5.11","rough in"
,,"Apt 5.12",,"apt 5.12","l5","rough in"
,,"Apt 5.13",,"l5","rough in","apt 5.13"
,,"Apt 5.14",,"l5","apt 5.14","rough in"
,,"Apt 5.15",,"apt 5.15","l5","rough in"
,,"Apt 5.16",,"apt 5.16","l5","rough in"
,,"Apt 5.17",,"l5","apt 5.17","rough in"
,,"Apt 5.18",,"l5","apt 5.18","rough in"
,,"L6","grouping","l6","rough in"
,,"Apt 6.01",,"l6","apt 6.01","rough in"
,,"Apt 6.02",,"l6","rough in","apt 6.02"
,,"Apt 6.03",,"apt 6.03","l6","rough in"
,,"Apt 6.04",,"apt 6.04","l6","rough in"
,,"Apt 6.05",,"apt 6.05","l6","rough in"
,,"Apt 6.06",,"l6","apt 6.06","rough in"
,,"Apt 6.07",,"apt 6.07","l6","rough in"
,,"Apt 6.08",,"apt 6.08","l6","rough in"
,,"Apt 6.09",,"apt 6.09","l6","rough in"
,,"Apt 6.10",,"apt 6.10","l6","rough in"
,,"Apt 6.11",,"apt 6.11","l6","rough in"
,,"Apt 6.12",,"l6","apt 6.12","rough in"
,,"Apt 6.13",,"l6","rough in","apt 6.13"
,,"Apt 6.14",,"apt 6.14","l6","rough in"
,,"Apt 6.15",,"apt 6.15","l6","rough in"
,,"Apt 6.16",,"apt 6.16","l6","rough in"
,,"Apt 6.17",,"l6","apt 6.17","rough in"
,,"Apt 6.18",,"apt 6.18","l6","rough in"
,,"L7","grouping","rough in","l7"
,,"Apt 7.01",,"apt 7.01","rough in","l7"
,,"Apt 7.02",,"apt 7.02","rough in","l7"
,,"Apt 7.03",,"rough in","l7","apt 7.03"
,,"Apt 7.04",,"apt 7.04","rough in","l7"
,,"Apt 7.05",,"apt 7.05","rough in","l7"
,,"Apt 7.06",,"apt 7.06","rough in","l7"
,,"Apt 7.07",,"apt 7.07","rough in","l7"
,,"Apt 7.08",,"apt 7.08","rough in","l7"
,,"Apt 7.09",,"apt 7.09","rough in","l7"
,,"Apt 7.10",,"rough in","l7","apt 7.10"
,,"Apt 7.11",,"apt 7.11","rough in","l7"
,,"Apt 7.12",,"apt 7.12","rough in","l7"
,,"Apt 7.13",,"apt 7.13","rough in","l7"
,,"Apt 7.14",,"rough in","l7","apt 7.14"
,,"Apt 7.15",,"apt 7.15","rough in","l7"
,,"Apt 7.16",,"apt 7.16","rough in","l7"
,,"Apt 7.17",,"apt 7.17","rough in","l7"
,,"Apt 7.18",,"apt 7.18","rough in","l7"
,,"L8","grouping","l8","rough in"
,,"Apt 8.01",,"l8","apt 8.01","rough in"
,,"Apt 8.02",,"apt 8.02","l8","rough in"
,,"Apt 8.03",,"l8","rough in","apt 8.03"
,,"Apt 8.04",,"l8","apt 8.04","rough in"
,,"Apt 8.05",,"l8","apt 8.05","rough in"
,,"Apt 8.06",,"l8","apt 8.06","rough in"
,,"Apt 8.07",,"l8","apt 8.07","rough in"
,,"Apt 8.08",,"l8","apt 8.08","rough in"
,,"Apt 8.09",,"l8","apt 8.09","rough in"
,,"Apt 8.10",,"l8","rough in","apt 8.10"
,,"Apt 8.11",,"l8","apt 8.11","rough in"
,,"Apt 8.12",,"l8","apt 8.12","rough in"
,,"Apt 8.13",,"apt 8.13","l8","rough in"
,,"Apt 8.14",,"l8","rough in","apt 8.14"
,,"Apt 8.15",,"l8","apt 8.15","rough in"
,,"Apt 8.16",,"l8","apt 8.16","rough in"
,,"Apt 8.17",,"l8","apt 8.17","rough in"
,,"Apt 8.18",,"l8","apt 8.18","rough in"
,,"L9","grouping","l9","rough in"
,,"Apt 9.01",,"l9","apt 9.01","rough in"
,,"Apt 9.02",,"apt 9.02","l9","rough in"
,,"Apt 9.03",,"apt 9.03","l9","rough in"
,,"Apt 9.04",,"l9","rough in","apt 9.04"
,,"Apt 9.05",,"l9","apt 9.05","rough in"
,,"Apt 9.06",,"l9","apt 9.06","rough in"
,,"Apt 9.07",,"apt 9.07","l9","rough in"
,,"Apt 9.08",,"l9","apt 9.08","rough in"
,,"Apt 9.09",,"l9","apt 9.09","rough in"
,,"Apt 9.10",,"apt 9.10","l9","rough in"
,,"Apt 9.11",,"l9","rough in","apt 9.11"
,,"Apt 9.12",,"l9","apt 9.12","rough in"
,,"Apt 9.13",,"apt 9.13","l9","rough in"
,,"Apt 9.14",,"apt 9.14","l9","rough in"
,,"Apt 9.15",,"l9","rough in","apt 9.15"
,,"Apt 9.16",,"l9","apt 9.16","rough in"
,,"Apt 9.17",,"l9","apt 9.17","rough in"
,,"Apt 9.18",,"apt 9.18","l9","rough in"
,,"L10","grouping","l10","rough in"
,,"Apt 10.01",,"apt 10.01","l10","rough in"
,,"Apt 10.02",,"l10","apt 10.02","rough in"
,,"Apt 10.03",,"l10","rough in","apt 10.03"
,,"Apt 10.04",,"apt 10.04","l10","rough in"
,,"Apt 10.05",,"apt 10.05","l10","rough in"
,,"Apt 10.06",,"apt 10.06","l10","rough in"
,,"Apt 10.07",,"l10","apt 10.07","rough in"
,,"Apt 10.08",,"apt 10.08","l10","rough in"
,,"Apt 10.09",,"apt 10.09","l10","rough in"
,,"Apt 10.10",,"l10","rough in","apt 10.10"
,,"Apt 10.11",,"apt 10.11","l10","rough in"
,,"Apt 10.12",,"apt 10.12","l10","rough in"
,,"Apt 10.13",,"l10","apt 10.13","rough in"
,,"Apt 10.14",,"l10","rough in","apt 10.14"
,,"Apt 10.15",,"apt 10.15","l10","rough in"
,,"Apt 10.16",,"apt 10.16","l10","rough in"
,,"Apt 10.17",,"apt 10.17","l10","rough in"
,,"Apt 10.18",,"l10","apt 10.18","rough in"
,,"L11","grouping","l11","rough in"
,,"Apt 11.01",,"l11","apt 11.01","rough in"
,,"Apt 11.02",,"apt 11.02","l11","rough in"
,,"Apt 11.03",,"l11","rough in","apt 11.03"
,,"Apt 11.04",,"l11","apt 11.04","rough in"
,,"Apt 11.05",,"apt 11.05","l11","rough in"
,,"Apt 11.06",,"apt 11.06","l11","rough in"
,,"Apt 11.07",,"l11","apt 11.07","rough in"
,,"Apt 11.08",,"l11","apt 11.08","rough in"
,,"Apt 11.09",,"apt 11.09","l11","rough in"
,,"Apt 11.10",,"l11","rough in","apt 11.10"
,,"Apt 11.11",,"l11","apt 11.11","rough in"
,,"Apt 11.12",,"l11","apt 11.12","rough in"
,,"Apt 11.13",,"apt 11.13","l11","rough in"
,,"Apt 11.14",,"l11","rough in","apt 11.14"
,,"Apt 11.15",,"l11","apt 11.15","rough in"
,,"Apt 11.16",,"apt 11.16","l11","rough in"
,,"Apt 11.17",,"apt 11.17","l11","rough in"
,,"Apt 11.18",,"l11","apt 11.18","rough in"
,,"L12","grouping","l12","rough in"
,,"Apt 12.01",,"l12","apt 12.01","rough in"
,,"Apt 12.02",,"l12","apt 12.02","rough in"
,,"Apt 12.03",,"l12","apt 12.03","rough in"
,,"Apt 12.04",,"l12","rough in","apt 12.04"
,,"Apt 12.05",,"l12","apt 12.05","rough in"
,,"Apt 12.06",,"l12","apt 12.06","rough in"
,,"Apt 12.07",,"apt 12.07","l12","rough in"
,,"Apt 12.08",,"l12","apt 12.08","rough in"
,,"Apt 12.09",,"l12","apt 12.09","rough in"
,,"Apt 12.10",,"apt 12.10","l12","rough in"
,,"Apt 12.11",,"l12","rough in","apt 12.11"
,,"Apt 12.12",,"l12","apt 12.12","rough in"
,,"Apt 12.13",,"l12","apt 12.13","rough in"
,,"Apt 12.14",,"l12","apt 12.14","rough in"
,,"Apt 12.15",,"l12","rough in","apt 12.15"
,,"Apt 12.16",,"l12","apt 12.16","rough in"
,,"Apt 12.17",,"l12","apt 12.17","rough in"
,,"Apt 12.18",,"apt 12.18","l12","rough in"
,,"L13","grouping","rough in","l13"
,,"Apt 13.01",,"rough in","apt 13.01","l13"
,,"Apt 13.02",,"apt 13.02","rough in","l13"
,,"Apt 13.03",,"apt 13.03","rough in","l13"
,,"Apt 13.04",,"apt 13.04","rough in","l13"
,,"Apt 13.05",,"rough in","l13","apt 13.05"
,,"Apt 13.06",,"apt 13.06","rough in","l13"
,,"Apt 13.07",,"apt 13.07","rough in","l13"
,,"Apt 13.08",,"apt 13.08","rough in","l13"
,,"Apt 13.09",,"apt 13.09","rough in","l13"
,,"Apt 13.10",,"apt 13.10","rough in","l13"
,,"Apt 13.11",,"apt 13.11","rough in","l13"
,,"Apt 13.12",,"rough in","apt 13.12","l13"
,,"Apt 13.13",,"apt 13.13","rough in","l13"
,,"Apt 13.14",,"apt 13.14","rough in","l13"
,,"Apt 13.15",,"apt 13.15","rough in","l13"
,,"Apt 13.16",,"rough in","l13","apt 13.16"
,,"Apt 13.17",,"apt 13.17","rough in","l13"
,,"Apt 13.18",,"apt 13.18","rough in","l13"
,,"L14","grouping","l14","rough in"
,,"Apt 14.01",,"l14","rough in","apt 14.01"
,,"Apt 14.02",,"apt 14.02","l14","rough in"
,,"Apt 14.03",,"apt 14.03","l14","rough in"
,,"Apt 14.04",,"l14","apt 14.04","rough in"
,,"Apt 14.05",,"l14","rough in","apt 14.05"
,,"Apt 14.06",,"apt 14.06","l14","rough in"
,,"Apt 14.07",,"apt 14.07","l14","rough in"
,,"Apt 14.08",,"apt 14.08","l14","rough in"
,,"Apt 14.09",,"l14","apt 14.09","rough in"
,,"Apt 14.10",,"apt 14.10","l14","rough in"
,,"Apt 14.11",,"apt 14.11","l14","rough in"
,,"Apt 14.12",,"l14","rough in","apt 14.12"
,,"Apt 14.13",,"apt 14.13","l14","rough in"
,,"Apt 14.14",,"apt 14.14","l14","rough in"
,,"Apt 14.15",,"l14","apt 14.15","rough in"
,,"Apt 14.16",,"l14","rough in","apt 14.16"
,,"Apt 14.17",,"apt 14.17","l14","rough in"
,,"Apt 14.18",,"apt 14.18","l14","rough in"
,,"L15","grouping","l15","rough in"
,,"Apt 15.01",,"l15","apt 15.01","rough in"
,,"Apt 15.02",,"l15","rough in","apt 15.02"
,,"Apt 15.03",,"apt 15.03","l15","rough in"
,,"Apt 15.04",,"l15","apt 15.04","rough in"
,,"Apt 15.05",,"l15","apt 15.05","rough in"
,,"Apt 15.06",,"l15","rough in","apt 15.06"
,,"Apt 15.07",,"apt 15.07","l15","rough in"
,,"Apt 15.08",,"l15","apt 15.08","rough in"
,,"Apt 15.09",,"l15","apt 15.09","rough in"
,,"Apt 15.10",,"apt 15.10","l15","rough in"
,,"Apt 15.11",,"l15","apt 15.11","rough in"
,,"Apt 15.12",,"l15","apt 15.12","rough in"
,,"Apt 15.13",,"l15","rough in","apt 15.13"
,,"Apt 15.14",,"apt 15.14","l15","rough in"
,,"Apt 15.15",,"l15","apt 15.15","rough in"
,,"Apt 15.16",,"l15","apt 15.16","rough in"
,,"Apt 15.17",,"l15","rough in","apt 15.17"
,,"Apt 15.18",,"apt 15.18","l15","rough in"
,,"L16","grouping","l16","rough in"
,,"Apt 16.01",,"l16","apt 16.01","rough in"
,,"Apt 16.02",,"l16","rough in","apt 16.02"
,,"Apt 16.03",,"l16","apt 16.03","rough in"
,,"Apt 16.04",,"l16","apt 16.04","rough in"
,,"Apt 16.05",,"l16","apt 16.05","rough in"
,,"Apt 16.06",,"l16","rough in","apt 16.06"
,,"Apt 16.07",,"l16","apt 16.07","rough in"
,,"Apt 16.08",,"l16","apt 16.08","rough in"
,,"Apt 16.09",,"l16","apt 16.09","rough in"
,,"Apt 16.10",,"l16","apt 16.10","rough in"
,,"Apt 16.11",,"l16","apt 16.11","rough in"
,,"Apt 16.12",,"l16","apt 16.12","rough in"
,,"Apt 16.13",,"l16","rough in","apt 16.13"
,,"Apt 16.14",,"l16","apt 16.14","rough in"
,,"Apt 16.15",,"l16","apt 16.15","rough in"
,,"Apt 16.16",,"l16","apt 16.16","rough in"
,,"Apt 16.17",,"l16","rough in","apt 16.17"
,,"Apt 16.18",,"l16","apt 16.18","rough in"
,,"L17","grouping","l17","rough in"
,,"Apt 17.01",,"apt 17.01","l17","rough in"
,,"Apt 17.02",,"apt 17.02","l17","rough in"
,,"Apt 17.03",,"l17","rough in","apt 17.03"
,,"Apt 17.04",,"apt 17.04","l17","rough in"
,,"Apt 17.05",,"apt 17.05","l17","rough in"
,,"Apt 17.06",,"apt 17.06","l17","rough in"
,,"Apt 17.07",,"l17","rough in","apt 17.07"
,,"Apt 17.08",,"apt 17.08","l17","rough in"
,,"Apt 17.09",,"apt 17.09","l17","rough in"
,,"Apt 17.10",,"l17","rough in","apt 17.10"
,,"Apt 17.11",,"apt 17.11","l17","rough in"
,,"Apt 17.12",,"apt 17.12","l17","rough in"
,,"Apt 17.13",,"apt 17.13","l17","rough in"
,,"Apt 17.14",,"l17","rough in","apt 17.14"
,,"Apt 17.15",,"apt 17.15","l17","rough in"
,,"Apt 17.16",,"apt 17.16","l17","rough in"
,,"Apt 17.17",,"apt 17.17","l17","rough in"
,,"Apt 17.18",,"l17","rough in","apt 17.18"
,,"L18","grouping","l18","rough in"
,,"Apt 18.01",,"apt 18.01","l18","rough in"
,,"Apt 18.02",,"l18","apt 18.02","rough in"
,,"Apt 18.03",,"l18","apt 18.03","rough in"
,,"Apt 18.04",,"apt 18.04","l18","rough in"
,,"Apt 18.05",,"apt 18.05","l18","rough in"
,,"Apt 18.06",,"l18","apt 18.06","rough in"
,,"Apt 18.07",,"l18","rough in","apt 18.07"
,,"Apt 18.08",,"apt 18.08","l18","rough in"
,,"Apt 18.09",,"apt 18.09","l18","rough in"
,,"Apt 18.10",,"l18","rough in","apt 18.10"
,,"Apt 18.11",,"apt 18.11","l18","rough in"
,,"Apt 18.12",,"apt 18.12","l18","rough in"
,,"Apt 18.13",,"l18","apt 18.13","rough in"
,,"Apt 18.14",,"l18","apt 18.14","rough in"
,,"Apt 18.15",,"apt 18.15","l18","rough in"
,,"Apt 18.16",,"apt 18.16","l18","rough in"
,,"Apt 18.17",,"l18","apt 18.17","rough in"
,,"Apt 18.18",,"l18","rough in","apt 18.18"
,,"L19","grouping","l19","rough in"
,,"Apt 19.01",,"apt 19.01","l19","rough in"
,,"Apt 19.02",,"apt 19.02","l19","rough in"
,,"Apt 19.03",,"l19","apt 19.03","rough in"
,,"Apt 19.04",,"l19","apt 19.04","rough in"
,,"Apt 19.05",,"apt 19.05","l19","rough in"
,,"Apt 19.06",,"l19","apt 19.06","rough in"
,,"Apt 19.07",,"l19","apt 19.07","rough in"
,,"Apt 19.08",,"l19","rough in","apt 19.08"
,,"Apt 19.09",,"apt 19.09","l19","rough in"
,,"Apt 19.10",,"l19","apt 19.10","rough in"
,,"Apt 19.11",,"l19","rough in","apt 19.11"
,,"Apt 19.12",,"apt 19.12","l19","rough in"
,,"Apt 19.13",,"apt 19.13","l19","rough in"
,,"Apt 19.14",,"l19","apt 19.14","rough in"
,,"Apt 19.15",,"l19","apt 19.15","rough in"
,,"Apt 19.16",,"apt 19.16","l19","rough in"
,,"Apt 19.17",,"l19","apt 19.17","rough in"
,,"Apt 19.18",,"l19","apt 19.18","rough in"
,,"L20","grouping","rough in","l20"
,,"Apt 20.01",,"apt 20.01","rough in","l20"
,,"Apt 20.02",,"apt 20.02","rough in","l20"
,,"Apt 20.03",,"apt 20.03","rough in","l20"
,,"Apt 20.04",,"rough in","l20","apt 20.04"
,,"Apt 20.05",,"apt 20.05","rough in","l20"
,,"Apt 20.06",,"apt 20.06","rough in","l20"
,,"Apt 20.07",,"apt 20.07","rough in","l20"
,,"Apt 20.08",,"rough in","l20","apt 20.08"
,,"Apt 20.09",,"apt 20.09","rough in","l20"
,,"Apt 20.10",,"apt 20.10","rough in","l20"
,,"Apt 20.11",,"apt 20.11","rough in","l20"
,,"Apt 20.12",,"apt 20.12","rough in","l20"
,,"Apt 20.13",,"apt 20.13","rough in","l20"
,,"Apt 20.14",,"apt 20.14","rough in","l20"
,,"Apt 20.15",,"rough in","l20","apt 20.15"
,,"Apt 20.16",,"apt 20.16","rough in","l20"
,,"Apt 20.17",,"apt 20.17","rough in","l20"
,,"Apt 20.18",,"apt 20.18","rough in","l20"
,,"L21","grouping","l21","rough in"
,,"Apt 21.01",,"apt 21.01","l21","rough in"
,,"Apt 21.02",,"apt 21.02","l21","rough in"
,,"Apt 21.03",,"apt 21.03","l21","rough in"
,,"Apt 21.04",,"l21","rough in","apt 21.04"
,,"Apt 21.05",,"l21","apt 21.05","rough in"
,,"Apt 21.06",,"apt 21.06","l21","rough in"
,,"Apt 21.07",,"apt 21.07","l21","rough in"
,,"Apt 21.08",,"l21","rough in","apt 21.08"
,,"Apt 21.09",,"l21","apt 21.09","rough in"
,,"Apt 21.10",,"apt 21.10","l21","rough in"
,,"Apt 21.11",,"l21","apt 21.11","rough in"
,,"Apt 21.12",,"apt 21.12","l21","rough in"
,,"Apt 21.13",,"apt 21.13","l21","rough in"
,,"Apt 21.14",,"apt 21.14","l21","rough in"
,,"Apt 21.15",,"l21","rough in","apt 21.15"
,,"Apt 21.16",,"l21","apt 21.16","rough in"
,,"Apt 21.17",,"apt 21.17","l21","rough in"
,,"Apt 21.18",,"apt 21.18","l21","rough in"
,,"L22","grouping","l22","rough in"
,,"Apt 22.01",,"l22","apt 22.01","rough in"
,,"Apt 22.02",,"l22","apt 22.02","rough in"
,,"Apt 22.03",,"apt 22.03","l22","rough in"
,,"Apt 22.04",,"apt 22.04","l22","rough in"
,,"Apt 22.05",,"l22","rough in","apt 22.05"
,,"Apt 22.06",,"l22","apt 22.06","rough in"
,,"Apt 22.07",,"l22","apt 22.07","rough in"
,,"Apt 22.08",,"apt 22.08","l22","rough in"
,,"Apt 22.09",,"l22","rough in","apt 22.09"
,,"Apt 22.10",,"apt 22.10","l22","rough in"
,,"Apt 22.11",,"apt 22.11","l22","rough in"
,,"Apt 22.12",,"l22","apt 22.12","rough in"
,,"Apt 22.13",,"l22","apt 22.13","rough in"
,,"Apt 22.14",,"apt 22.14","l22","rough in"
,,"Apt 22.15",,"apt 22.15","l22","rough in"
,,"Apt 22.16",,"l22","rough in","apt 22.16"
,,"Apt 22.17",,"l22","apt 22.17","rough in"
,,"Apt 22.18",,"l22","apt 22.18","rough in"
,,"L23","grouping","l23","rough in"
,,"Apt 23.01",,"l23","rough in","apt 23.01"
,,"Apt 23.02",,"l23","apt 23.02","rough in"
,,"Apt 23.03",,"l23","apt 23.03","rough in"
,,"Apt 23.04",,"l23","apt 23.04","rough in"
,,"Apt 23.05",,"l23","rough in","apt 23.05"
,,"Apt 23.06",,"apt 23.06","l23","rough in"
,,"Apt 23.07",,"l23","apt 23.07","rough in"
,,"Apt 23.08",,"l23","apt 23.08","rough in"
,,"Apt 23.09",,"l23","apt 23.09","rough in"
,,"Apt 23.10",,"l23","apt 23.10","rough in"
,,"Apt 23.11",,"l23","apt 23.11","rough in"
,,"Apt 23.12",,"l23","rough in","apt 23.12"
,,"Apt 23.13",,"l23","apt 23.13","rough in"
,,"Apt 23.14",,"l23","apt 23.14","rough in"
,,"Apt 23.15",,"l23","apt 23.15","rough in"
,,"Apt 23.16",,"l23","rough in","apt 23.16"
,,"Apt 23.17",,"apt 23.17","l23","rough in"
,,"Apt 23.18",,"l23","apt 23.18","rough in"
,"Columns"
,,"Area clear, tidy and accessible",,"area clear, tidy and accessible"
,,"Rough in Hard Actives to all switches",,"rough in hard actives to all switches"
,,"Rough in of Switched Actives from switches to lights & Fit off Quick connects",,"rough in of switched actives from switches to lights & fit off quick connects whilst on ladder"
,,"Rough in GPOs",,"rough in gpos"
,,"Rough in of all kitchen general power",,"rough in of all kitchen general power (including island bench) above bench, gas cooktop, fridge, microwave, rangehood & dishwasher"
,,"Rough in A/C & Oven",,"rough in a/c & oven"
,,"Rough in single tail island bench Pendant to the nearest downlight",,"rough in single tail island bench pendant to the nearest downlight"
,,"Rough in a loop from Pendant to LED strip at rangehood",,"rough in a loop from pendant to led strip at rangehood"
,,"Rough in bathroom LED Fig 8 downight location and switch separately",,"rough in bathroom led fig 8 downight location and switch separately"
,,"Rough in LED fig 8 to study desk to nearest downlight",,"rough in led fig 8 to study desk to nearest downlight"
,,"Rough in all internal lights",,"rough in all internal lights"
,,"Rough in Balcony wall light- If 2 lights, bring 2 switch wires back to switch",,"rough in balcony wall light- if 2 lights, bring 2 switch wires back to switch"
,,"Rough in smoke detector and interconnect to other detectors.",,"rough in smoke detector and interconnect to other detectors."
,,"Rough in bathroom fans off power circuit and HA loop at fan",,"rough in bathroom fans off power circuit and ha loop at fan"
,,"Rough in WM/DR and install SDI from dryer gpo to laundry switch",,"rough in wm/dr and install sdi from dryer gpo to laundry switch"
,,"Rough in WP GPO to balcony if applicable",,"rough in wp gpo to balcony if applicable"
,,"Rough in intercom patch lead to LBNCO hub",,"rough in intercom patch lead to lbnco hub"
,,"Rough in tv points to LBNCO hub",,"rough in tv points to lbnco hub"
,,"Rough in data points to LBNCO hub",,"rough in data points to lbnco hub"
,,"Install switchboard & fit off",,"install switchboard & fit off"
,,"Install 150mm stud protecting sub main and earth with nut & bolt","Install 150mm stud protecting sub main and earth with nut & bolt","install switchboard & fit off"
,,"Install 2.5mm earth tags","Install 2.5mm earth tags","install switchboard & fit off"
,,"Fire caulk sub main into DB and all cable entries","Fire caulk sub main into DB and all cable entries","install switchboard & fit off"
,,"Fit off 4 pin plug base","Fit off 4 pin plug base","install switchboard & fit off"
,,"Ensure all Quick Connects are fit off",,"ensure all quick connects are fit off"
,,"Ensure all cables are neat, taped to studs and easily accessible for cut out","Ensure all cables are neat, taped to studs and easily accessible for cut out","ensure all quick connects are fit off"
,,"Ensure all cables are clearly labelled at DB and at party walls","Ensure all cables are clearly labelled at DB and at party walls","ensure all quick connects are fit off"
