"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27620973-575d-48b5-81f1-cd5e5a7dfe3f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"a8b76dfc-9074-4448-b2a3-40d9ae7ea995","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge"
"763e381f-9dcf-4baf-869d-9081cf5ca916","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B3"
"28e39c01-93d7-42cc-a38f-3101ec7f94e1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B3","Wet Fire"
"28bc6305-f0a7-4cce-9d19-4a65aa56e365","","checklist-sectioned","not-started","ENT-004 - Sprinkler rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off"
"acf941c5-ecae-50ee-a0e0-cbae6fd57ed5","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start"
"a7667407-104b-54cc-875b-07e6e6825c1b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Specification reference checked"
"73b22b13-b5a6-5979-9b3f-2d8ec0a92fb1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Area clear, tidy and accessible"
"61813bec-89bf-5c53-a471-0b0716a99083","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Pipe + Fittings"
"14ab26e5-a110-5f9c-89ef-1236a3141275","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Hose Reels / Millcocks"
"64ab6777-c7cc-5a77-95b4-338e2d13943b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In"
"3da4fc4c-1544-50bd-b82b-959b2d6ff522","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Mains & branches installed to drawing"
"a916b9af-c854-5b68-a288-e8e6f88e9df2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Hangers Location"
"57226bda-5338-525d-9e8c-118655cd80c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"32bcbfdd-f38e-5c42-8b93-341d8eb105e6","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off"
"091d8715-c8f7-5148-ae73-521740ebc507","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Hose Reels (Minimum Clearances)"
"94f788f9-8c35-50cf-a42a-9a74c087e762","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Millcocks (Minimum Clearances)"
"3914aaa1-3997-5ed5-83d9-f7382d8b550d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pressure Test"
"f92bc44f-4334-5152-ba24-694e4538c8a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pipe Identification Labelling"
"15e8e047-87d8-5f05-84f4-5327b0ee295e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Statutory Signage"
"07351ad8-997e-56ce-b9ab-4d30b3f9050c","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning"
"25596eb8-651f-546e-91a7-f94bbc0cf8c5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Flow Tests"
"e2c549ab-5024-5db3-8bda-912a8cb953e6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Certification"
"0a715df7-758c-59e7-bc86-dee7e1d1566c","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off"
"0204ba3b-5ab1-572c-af9e-8b57067fc1cd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off","Work(s) completed to specification/drawings & Area left clean/tidy - Builder final signature to be attached below if applicable"
"45044dbd-c271-4df8-bbde-234a3a308032","","checklist-flat","not-started","ENT-009 - Pressure Test Report","checklist-flat","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Pressure Test Checklist"
"830d23cf-82fa-5db7-bc9c-4a0c5bf7a8ea","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Pressure Test Checklist","Test Details & Results"
"f72ec56a-c4a6-5e31-862b-380a4fbebd27","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Pressure Test Checklist","Sign-Off Test completed to specification/drawings & Area left clean/tidy"
"ce921f21-90c7-4fb2-833f-6815223cab21","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B3","Dry Fire"
"839034ec-f306-40b0-bba4-dca1c734db5b","","checklist-sectioned","not-started","ENT-013 - Fire Electrical rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off"
"d562d42e-9c8c-5db7-97d2-d7da91632ba2","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start"
"1c359698-daac-5276-88fc-09952ac47ce3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Specification reference checked"
"18bcaaa7-1251-5bd2-9804-a76d24d595fe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Area clear, tidy and accessible"
"441e6c78-4036-57e0-95e4-e60581f169dc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Cable/Conduit/Tray"
"fa990fd3-60cb-5e9a-8fe5-770865082032","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Pre-Start","Fire Devices"
"32feb2fc-4e83-520c-9212-023c5c327f55","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In"
"037aeb24-4b26-57d1-ab4e-49b47f663334","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Correct cable used (eg Fire rated as required)"
"ae8b895d-185f-5c2e-bf4b-05d7148dc5ad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Cable Support"
"6d876e36-12d9-5353-9f7b-1e8b1d7529dd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Segregation from other electrical services"
"5ddf6e67-41af-51ee-859f-aa3f093d1fe9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Type of cable fixing and spacing"
"d14f5896-89b5-53ea-bfcc-e5b2946ee1da","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","No cable joins between equipment"
"c22082e2-5968-5a6f-b558-d2481427dc7b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Conduit type"
"a65da431-a2d1-59fb-9e81-6e47d54fe06d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","Conduit fixings"
"84d66a0f-ad27-5b0d-8d92-ef7c6c61e92d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Rough-In","MASDS"
"a7a08c89-158c-527d-8789-198783eb287a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off"
"d424c0d2-274f-5d10-af86-19a5bf9e0b26","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Sensor locations as shown on drawings"
"8e2d8dc4-6372-5343-8197-b468879dad2d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Warden intercom phone locations"
"0604b96b-12cb-55e6-9866-28162e35ff5c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Break glass alarm located per drawings"
"3aabf8eb-8fd2-52cc-909b-614bedeb039a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Hold open devices located per drawings"
"2100e71d-e6f0-5d87-b897-e4ea4a67cf40","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Interface with Mechanical services"
"783a2a5c-cedc-52e8-9370-1f99dac0d527","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Interface with DDC"
"82b76fc8-4832-58df-ab50-0dcde73edfd8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Sensors fixed correctly"
"0df11116-8eab-5b07-9e1d-3ac4f54108aa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","FIP installed & connected"
"f7072d8e-51d9-501f-86e3-50ac9167d3ef","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Connection of system to Tyco for Monitoring"
"a9a43afc-03d0-57b9-9a29-73ef6d4ed029","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","MASDS Panel Fit Off"
"c926de30-80d9-559d-83f2-ca446192d063","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Installation Fit-Off","Strobes"
"977bb3c8-67b8-5747-992f-83e97984994f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning"
"48325699-0aaa-546f-96ed-725a7bb8d103","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","Confirm all devices indicate at FDCIE"
"76698279-96ac-5262-8648-4d8d3f90f037","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","Confirm operation of all ancillary functions from FDCIE"
"d689c1dc-8494-5158-972d-16c2b26e1094","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","FDCIE. Operate each alarm test, isolate and reset for each alarm zone"
"54ca745f-a9ca-586e-b3f5-9add8a90a971","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","ASE. Confirm the master alarm facility receives all alarms"
"653fb466-add5-5924-aba7-2a3fef68920b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Commissioning","ASE. Confirm the master alarm facility receives all alarms"
"9824db99-b228-5302-981f-3003fc309070","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Sign-Off"
"d3fe6331-640b-576a-a7e8-fd51246d6f79","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Dry Fire","Fire Electrical Rough In and Fit Off","Sign-Off","Work(s) completed to specification/drawings & Area left clean/tidy - Builder final signature to be attached below if applicable"
"360ebd38-7201-4a27-8d17-666e64dc686c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B2"
"261ae9d8-3882-4736-9b77-c54e93538075","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B2","Wet Fire"
"5a4ea55f-3c56-475b-83c0-0678fe5c11e7","","checklist-sectioned","not-started","ENT-004 - Sprinkler rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off"
"52ca7885-e8eb-5c26-b03b-7775762540d4","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start"
"9246ac5f-0f7e-5b62-9324-772fd3de24b5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Specification reference checked"
"3a1ebad0-2523-5ef6-b350-469a58131a01","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Pipe + Fittings"
"a8f47c8b-5023-5f76-8834-d1e010e219e9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Sprinklers"
"56c292ad-cad0-5728-a05a-606d36da6a98","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In"
"d471cd86-f3af-534d-b3d4-306fb6581812","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Mains & branches installed to drawing"
"a1804d21-f306-5d1f-a824-e444bfb21d7d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Hangers Location"
"c9d63af9-1398-5b41-9272-b2c2273ff757","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Concealed spaces sprinker heads installed"
"e415aded-4187-5dee-b3ef-2911abe7735d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Outlets capped"
"bc0f5a16-afbb-583d-a0e3-631e6fe36805","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pressure test carried out"
"ea223975-04d7-5976-9ae5-f671d600cb45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"1acf4ee1-a214-519a-b167-84da0b31bb93","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off"
"68b17544-4854-5526-b54f-d95c9b9a44cd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Sprinkler heads fitted to final locations as per coordinated RCP"
"9eec7e09-c838-5ebd-87ac-205e6a0d8711","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Pressure test fit off"
"cbfdadcb-f759-596c-958e-59746cc8961b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off"
"db568648-2838-591d-9eaf-22d130b25b21","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off","Inspected by Independent Certifier - Signature attached below as applicable"
"17836f5a-208c-4ee9-907f-edf29b7f1ae1","","checklist-sectioned","not-started","ENT-006 - Hydrants & Hosereels rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off"
"9bd6c02f-10cb-5c2e-be87-4f3988d7570f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start"
"b2ec03e2-812a-5dbd-b3af-36092ff4a344","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Specification reference checked"
"66c5babe-2d97-5955-9bf0-0e4094bc743f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Area clear, tidy and accessible"
"dc8986b3-67fa-5205-9358-92eaa55a4ad7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Pipe + Fittings"
"2c942a08-4c08-5dad-9c39-405a6b057d54","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start","Hose Reels / Millcocks"
"4208f098-dad1-5837-81ed-f67b90a63a53","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In"
"827c7f3d-b64a-525f-b558-65c8794535ab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Mains & branches installed to drawing"
"cb0b85c9-22c8-5918-b672-780e46ee5f0b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Hangers Location"
"4d77291f-f58a-5b74-af3f-d6e9e835b115","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"050c576d-13ea-5679-9fbf-74df93c0e981","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off"
"98a2b2c7-e28b-5704-8f46-e344b7f800d9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Hose Reels (Minimum Clearances)"
"38a7373e-3143-5166-825b-48910eae156f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Millcocks (Minimum Clearances)"
"bda828f9-3fc0-5026-a594-253b03d571f6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pressure Test"
"6c202ca5-d005-54d4-b659-65d0a92e7b67","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Pipe Identification Labelling"
"4c64d5ae-92ed-5031-8b20-6e08f5ce2676","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Installation Fit-Off","Statutory Signage"
"c1a40f7c-3d5a-527e-82a4-e43a64723190","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning"
"e56547e0-5d57-5283-bae7-508c77721cea","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Flow Tests"
"e39ce551-315f-5d7d-88a4-2d71aedb5d53","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Commissioning","Certification"
"468b0713-992f-5348-8d23-575e2787da76","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off"
"d8464a86-c3fc-54e5-8668-36cab524e158","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Sign-Off","Work(s) completed to specification/drawings & Area left clean/tidy - Builder final signature to be attached below if applicable"
"845d9d21-d6c4-4d12-b92b-54517d80407a","","checklist-flat","not-started","ENT-009 - Pressure Test Report","checklist-flat","FALSE","FALSE","Site QA","City Edge","B2","Wet Fire","Pressure Test Checklist"
"94a94637-e19d-5549-804d-3c96e06919a5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B2","Wet Fire","Pressure Test Checklist","Test Details & Results"
