"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"97a842cb-2f3c-41fb-81d7-53759bab9eb2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"
"1057cac0-07a5-41fe-8c47-233584bccf8f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"3125b6d1-ae1f-41dc-beb9-af4131530f7b","Signoffs not allowed on folder-progress: Signoffs Weld 11-13(4f529430-e481-48b7-b69a-b089ec116037)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20"
"697d88f2-4821-4e03-82b9-6626abed86a4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 11"
"9ec0e6c7-372b-4ea8-bc1f-ffaab8f32e96","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"cf3a89bb-45d5-4d68-8e6d-23199a75fa63","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 12"
"50e47fc9-dcc4-4b0b-9115-c57da30e42fe","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 12","Electrofusion Welding"
"f24e8993-ebc3-40ba-b32c-637378b8fc5f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 13"
"578dbda7-6935-4323-95a3-d356103e860c","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 13","Electrofusion Welding"
"3a8ff8dd-23ed-4fd9-b97a-6f190034d8e4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"e883d4e9-cea1-432e-8b0c-1932cdcb5fd7","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"cfe34217-38e1-44e8-a75f-1cce1ac6e095","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete"
"9d0022c4-fd86-436d-83ff-67ba5529d114","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation"
"21d238a0-2348-4764-90e6-ac18aa9c92c1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"44492c62-bf49-4e57-a6d8-b8972438968e","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"741157d3-6864-4c0b-acc6-9ba852c69903","Signoffs not allowed on folder-progress: Signoffs Weld 1-7(45b32d19-6994-4b01-8f5c-76e891f7b842)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding"
"21dd8d4e-3b28-40a4-996a-af173d023721","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"8bbf8236-bd27-4f07-81b3-a352a86518a6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"7861a764-2782-45a3-8c7f-e619841d2e6d","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"032a2bf9-789b-4fc2-bac7-b2a817cd850a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"7f18313e-26d7-4817-8ecc-c2809595c18a","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"d48158c9-3480-43eb-a982-1f15dd2ba424","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"d3610341-a20e-4297-abd3-ddce6495b3b1","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"9f70f3c5-8135-4546-a253-3405b30c8aac","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"833ab3fc-e0d4-4fcb-b163-3cf5dc04ef42","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"70091bf3-5ad2-4949-986b-64f47e442930","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"0eee8408-0953-4d89-8a39-5a5e2a6ec4fb","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"c4acf73a-8407-451e-a52d-5912bbe1bf6d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"1ee7165e-9ca6-4d77-963d-dfd172a90e87","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"cf47f834-7a4f-4b9c-b178-ba4464fb9f6e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"398aedb3-2ba8-4741-8c5a-c634fc89094b","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 23 - Check Sheet 100% Complete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"c58f57d3-07e7-42fe-a940-29272027cb21","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete"
"4bf7e965-3d02-4bda-8201-ed72c9a2a1c1","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"4bd52909-0e8b-4b93-b4a1-c20713cada6c","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"783a0423-67c5-46b1-9f17-1fdc5ac8ab6c","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"a5007657-1b58-4ef1-9a5c-18f5a4510c18","Signoffs not allowed on folder-progress: Signoffs Weld 1-4(79e51ad4-b18c-4064-adca-f5a0189331ae)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"ca0ae631-cc02-4af1-acae-8728f395915c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"1ad04f15-3a51-4dba-9a99-b6a1e0ecc329","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"6c9eab8d-d94e-4623-b3de-5f78d8f206fc","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"3eee7fed-9d64-45a9-b91b-67a397b88781","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"db97ed31-49da-4816-aa0f-9c01ab96113f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"ecb48532-7747-4b62-9bfc-e896ebe9ddcc","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"d9575fd8-0d5e-4ce3-837d-b0d4d5bb2650","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"46006665-d1ef-4cb9-9a66-c930c6b327b3","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"bb06b94a-3a16-4ef5-9c56-44046dfb6d2f","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 81 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"6df0e933-76b7-4ffb-8caf-701a049a6526","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete"
"53d260c1-cde8-4d6b-b445-1d748bf5a6cc","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation"
"b976a7c4-55f4-4500-bd4b-e53b74f8174e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"22fde7cf-7a49-4d5a-ad8b-d154f7e7048f","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"34d8200a-d963-4171-b44d-a08b22a88a6b","Signoffs not allowed on folder-progress: Signoffs 1-8(1fe7627f-2dd0-4a98-b452-2166b11f7a8e)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding"
"2c719d04-7c93-42c4-b859-81c9bb098dab","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"da9a73b9-9620-461d-ba10-78957b1c9448","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"7aceac02-c9c8-4b08-b561-faa4415fab8d","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"acfc0b59-b3ba-4a26-aa47-87d02d85ad38","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"a136c4e4-d7f0-414d-83a7-2e253a32c40a","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"75776d87-6cf9-4015-9699-c8392f0b3628","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"4f061bd5-9414-4adb-a401-c3b189a6fc11","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"2e2ebd37-2fc6-4214-bb16-b9c78b59a13f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"e3c4ff58-20dc-406d-adc2-22093e0a3ff0","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"517c8337-565e-4cb7-8450-c7f9371c7dcb","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"cb8f8bd1-c1d8-4f01-b640-002fcbba86c7","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"60c8927c-b69c-41d2-a678-5d258320a223","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 82 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6"
