type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
label,○ Compaction plant shall not be operated within the minimum distances from structures shown in Table 204.111.,,,,,,,,,,,,,,,,
label,"○ The difference in level of any fill being placed on opposite sides of a structure or structural component shall not exceed H/4 or 500 mm, whichever is the lesser, where H is the height of the structure.",,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
checkpoint,3.8 - Fill Material against Concrete Structures,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.11 Construction Work Pack,,,,,,,,,,,,,,,,
label,Acceptance criteria - No material shall be placed against concrete within 14 days of casting.,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard? ,"Yes,N/A",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,Concrete Pour Recorded,"Yes,No",,,,,,,,,,,,,,,
button,NATA Compressive Strength,"Yes,No",,,,,,,,,,,,,,,
section,4.0 Geotechnical Testing,,,,,,,,,,,,,,,,
checkpoint,4.1 - CBR / Swell,,,,,,,,,,,,,,,,
label,"Ref docs - VR Clause Table 204.041, 204.141 Table PS3020.051",,,,,,,,,,,,,,,,
label,Acceptance criteria - Unless otherwise specified:,,,,,,,,,,,,,,,,
label,"○ CBR: ≥ 6%, Swell: ≤ 1.5% (1.0% for Verge Material).",,,,,,,,,,,,,,,,
label,○ Initial testing frequency: 1 Lot test to determine Assigned CBR and swell.,,,,,,,,,,,,,,,,
label,○ Continued acceptance of the material will be assessed against the Assigned CBR and percentage swell values of a single CBR and single percentage swell test.,,,,,,,,,,,,,,,,
label,"○ However, if the material fails single CBR, swell testing then another assigned CBR to be conducted.",,,,,,,,,,,,,,,,
button,Have the ideal results been achieved?,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,"NATA Test Report: Assigned CBR, Swell","Yes,N/A",,,,,,,,,,,,,,,
button,"NATA Test Report: Single CBR, Swell","Yes,No",,,,,,,,,,,,,,,
checkpoint,4.2 - Post Compaction Grading,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause Table 204.041,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Sieve 75.0 mm – 100% passing by mass, Sieve 4.75 mm – 40 - 80% passing by mass, Sieve 0.075 mm – 10 - 40% passing by mass.",,,,,,,,,,,,,,,,
label,○ Initial testing frequency: 1 test for each lot tested for compaction until 3 consecutive lots achieve specified requirements.,,,,,,,,,,,,,,,,
button,Have the ideal results been achieved?,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,NATA Test Report: Grading,"Yes,No",,,,,,,,,,,,,,,
button,Visual Inspections for Maximum Particle Dimension,"Yes,No",,,,,,,,,,,,,,,
checkpoint,4.3 - Plasticity Index,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause Table 204.041,,,,,,,,,,,,,,,,
label,"Acceptance criteria - PI: 6 - 25, PI x % Passing 0.425mm: 1000 Max.",,,,,,,,,,,,,,,,
label,○ Initial testing frequency: 1 test per 2 lots until 3 consecutive lots achieve specified requirements.,,,,,,,,,,,,,,,,
button,Have the ideal results been achieved?,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,NATA Test Report: Atterberg Limits,"Yes,No",,,,,,,,,,,,,,,
checkpoint,4.4 - Permeability (Capping & Verge Material only),,,,,,,,,,,,,,,,
label,Ref docs - VR Clause Table 204.041,,,,,,,,,,,,,,,,
label,Acceptance criteria - Permeability: 5E-9 m/s,,,,,,,,,,,,,,,,
label,○ Initial testing frequency: 1 test per 2 lots until 3 consecutive lots achieve specified requirements.,,,,,,,,,,,,,,,,
button,Have the ideal results been achieved?,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,NATA Test Report: Permeability,"Yes,No",,,,,,,,,,,,,,,
checkpoint,4.5 - Compaction Testing,,,,,,,,,,,,,,,,
label,"Ref docs - VR Clause Table 204.131, 173.04(d)",,,,,,,,,,,,,,,,
label,"Acceptance criteria - Minimum Characteristic Value of Density Ratio: 99% (Scale A), 98% (Scale B).",,,,,,,,,,,,,,,,
label,"○ For small areas (<500 m2): Mean value of density ratio: 101% (Scale A), 100% (Scale B).",,,,,,,,,,,,,,,,
label,○ Initial testing frequency: Each lot until 3 consecutive lots meet compaction requirements.,,,,,,,,,,,,,,,,
button,Have the ideal results been achieved?,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,NATA Test Report: Compaction and Moisture Content,"Yes,No",,,,,,,,,,,,,,,
checkpoint,4.6 - Reduced Frequency of Testing,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.14 – Table 204.141,,,,,,,,,,,,,,,,
label,Acceptance criteria - Unless otherwise specified:,,,,,,,,,,,,,,,,
label,"○ Material properties (Scale A): Test at the initial testing frequency, if compliant, seek approval from Surveillance Officer for minimum testing frequency.",,,,,,,,,,,,,,,,
label,○ Material Properties (Scale A): CBR/Swell: 1 test every 2 lots. Grading: 1 Test for every 2nd lot PI: 1 test every 4 lots,,,,,,,,,,,,,,,,
label,○ Permeability: 1 test every 4 lots,,,,,,,,,,,,,,,,
label,○ Material properties (Scale B): Test initial lot and no further testing required until changes in physical property/material source are observed.,,,,,,,,,,,,,,,,
label,○ Compaction / Moisture Content:,,,,,,,,,,,,,,,,
label,○ Reduced frequency: Test every 2nd lot.,,,,,,,,,,,,,,,,
button,Have the ideal results been achieved?,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,SI Key - R,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,NATA Test Reports: CBR / Swell Grading PI (Atterberg Limits) Permeability Compaction,"Yes,No",,,,,,,,,,,,,,,
section,5.0 Completion,,,,,,,,,,,,,,,,
checkpoint,5.1 - Conformity with Drawings,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.03 Table 204.031,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Earthworks shall be finished to conform to the levels, lines, grades and cross-sectional specified or shown on the drawings with the following requirements.",,,,,,,,,,,,,,,,
label,○ Scale A: mean +5 / -15 mm Max S 12 mm.,,,,,,,,,,,,,,,,
label,○ Scale B: mean +5 / -25 mm Max S 15 mm.,,,,,,,,,,,,,,,,
label,○ Alignment: ±50 mm.,,,,,,,,,,,,,,,,
label,"○ Scale C - random levelling not required, no point > +10 / - 30 mm.",,,,,,,,,,,,,,,,
button,Does the final product conform to the above criterial? ,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
checkpoint,5.2 - Preparation of Final Surface. (For Underside of Pavement Layers and the surface of the Cut Floor).,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.15,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Surface is Smooth, Hard, Tightly Bound and Free from Depressions Capable of Holding Water.",,,,,,,,,,,,,,,,
label,○ Material within 150 mm of subgrade shall be maintained such that its moisture content is not less than 70% of OMC prior to the placement of any pavement layers.,,,,,,,,,,,,,,,,
button,Does the final product conform to the above criterial? ,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
section,6.0 Work Lot Close Out,,,,,,,,,,,,,,,,
checkpoint,6.1 - Test Reports,,,,,,,,,,,,,,,,
label,Ref docs - VicRoads Specifications,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Test reports received and Reviewed,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,NATA Endorsed Test Reports,"Yes,No",,,,,,,,,,,,,,,
checkpoint,6.2 - Product Non-Conformance,,,,,,,,,,,,,,,,
label,Ref docs - CQMP,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Product Non-Conformance(s) recorded and closed (if applicable),,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,NCR reports,"Yes,No",,,,,,,,,,,,,,,
checkpoint,6.3 - Quality Representative to check the above criteria and records to confirm,,,,,,,,,,,,,,,,
label,Ref docs - CQMP Lot Records,,,,,,,,,,,,,,,,
label,"Acceptance criteria - All above criteria met, and records identified attached.",,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - Completed Checklist (if applicable) and reports and other compliance records attached.",,,,,,,,,,,,,,,,
