type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician / RAP Yard Supervisor,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Binder content of RAP,,,,,,,,,,,,,,,,,,,,
label,Frequency - One test per 500 tonnes of RAP,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ± 0.5 of target binder content,,,,,,,,,,,,,,,,,,,,
label,○ 1 out of 10 consecutive results is allowed outside tolerance,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Section 407.13(c), 407.11",,,,,,,,,,,,,,,,,,,,
label,Method - AS2891.3.3,,,,,,,,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician/ RAP Yard Supervisor,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Sieve analysis of RAP,,,,,,,,,,,,,,,,,,,,
label,Frequency - One test per 500 tonnes of RAP,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - See Table 2 of this document,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,Table 2: RAP grading tolerances (Table 407.131 in DTP Section 407),,,,,,,,,,,,,,,,,,,,
label,Description || Tolerance (from target grading) || Allowable number of results outside of tolerance,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,Passing 26.5 mm sieve and larger || ± 10 || 1 out of 5 consecutive results,,,,,,,,,,,,,,,,,,,,
label,Passing 4.75 mm to 19.0 mm sieve || ± 8 || 1 out of 5 consecutive results,,,,,,,,,,,,,,,,,,,,
label,Passing 1.18 mm and 2.36 mm || ± 6 || 1 out of 5 consecutive results,,,,,,,,,,,,,,,,,,,,
label,Passing 0.300 mm and 0.600 mm || ± 5 || 1 out of 5 consecutive results,,,,,,,,,,,,,,,,,,,,
label,Passing 0.150 mm || ± 3 || 1 out of 5 consecutive results,,,,,,,,,,,,,,,,,,,,
label,Passing 0.075 mm || ± 2 || 1 out of 10 consecutive results,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - Section 407.13(c),,,,,,,,,,,,,,,,,,,,
label,Method - AS2891.3.3,,,,,,,,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician/ RAP Yard Supervisor,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
section,3.0 - RAP Testing - RAP Level 2 (as per Table 407.121 Section 407),,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 - Binder viscosity,,,,,,,,,,,,,,,,,,,,
label,Frequency - One test per 1000 tonnes lot of RAP used for Level 2 mixes as per Table 407.121,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Viscosity of the blend of virgin and RAP binder shall fall within the range in table,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,Specified Binder Class || Binder Blend Viscosity Range (Pa.s @ 60°C),,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,C170 || 170 – 240,,,,,,,,,,,,,,,,,,,,
label,C320 || 320 – 500,,,,,,,,,,,,,,,,,,,,
label,C600 || 600 – 880,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - Section 407.13(e),,,,,,,,,,,,,,,,,,,,
label,"Method - AGPT/T192 or AS 2341.2, AGPT/T193",,,,,,,,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - RAP Yard Supervisor / Laboratory supervisor,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,,,,,,,,
note,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,,,,,,,,,,,
textbox,Position:,,,,,,,,,,,,,,,,,,,,
date,Work Completed On:,,,,,,,,,,,,,,,,,,,,
date,Date:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
checklist,ITP018 - Asphalt Placement,itp,,,,,FH-ZU2-QU-ITP018 - Asphalt Placement - Rev 0,,,,,,,,,,,,,,
section,1.0 - Preliminary Activities,,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Check for correct documentation,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Current revision of drawings, technical specifications and any other construction documentation is being utilised by Fulton Hogan and subcontractors.",,,,,,,,,,,,,,,,,,,,
label,○ Current revisions of these documents to be obtained via Aconex or ACC.,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - Current Revisions in Aconex or ACC,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Project / Site Engineer,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Implementation of all measures and controls,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, SWMS & WMS",,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - PSP, EMP, TMP, SWMS, WMS",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Visual Inspection,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Site Supervisor",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Plant & Equipment Check,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Asphalt plant & equipment meeting the requirements of Project Specification.,,,,,,,,,,,,,,,,,,,,
label,○ Pre-Start checks completed by operators of plant and equipment. All plant and equipment are acceptable for use. Any faults are reported. Standby equipment in place where required.,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 7.1 Cl 91-100,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Site Supervisor",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.4 - Tack Coat Material Submission,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Details of the proposed tack coat and test certificates shall be submitted to the Contract administrator for review.,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Beca Spec 002, 9.4.1, 9.9.1",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - Aconex Correspond ence,,,,,,,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
section,2.0 - Tack Coat,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Surface Preparation,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to applying tack coat,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Immediately before applying the tack coat, all loose and foreign materials shall be removed from the surfaces to approximately 150mm beyond the edge of the area to be coated.",,,,,,,,,,,,,,,,,,,,
label,"○ Tack coat must not be applied on a wet surface, or when the surface temperature is below 5 degrees Celsius.",,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Beca Spec 002, 9.5",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Visual Inspection,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer
Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Weather Limitations,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to works,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Tack coat shall not be applied on a wet surface, or when the surface temperature is below 5°C, or when the weather conditions would prevent the proper application or adhesion of the tack coat.",,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Beca Spec 002, 9.7",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Site Supervisor",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Application of Tack Coat,,,,,,,,,,,,,,,,,,,,
label,Frequency - During Works,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Tack coat must be applied to the prepared surface at a rate of 0.2-0.3 L/m2 of residual bituminous material, calculated at 25°C.",,,,,,,,,,,,,,,,,,,,
label,○ Vertical faces of milled and excavated existing pavement must be thoroughly tack coated by hand lance or other method.,,,,,,,,,,,,,,,,,,,,
label,○ Tack coated surfaces must be protected from construction equipment trafficking to the extent reasonably achievable.,,,,,,,,,,,,,,,,,,,,
label,○ Asphalt paving must not commence until emulsified tack coat is substantially broken over more than 80% of the surface of the paving run.,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Beca Spec 002, 9.9.3, 9.6, AfPA Sec 10.3 Cl153-156",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,"Record of conformity - Spray Rate Record Sheet, This ITP signed",,,,,,,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,2.4 - Test Certificates,,,,,,,,,,,,,,,,,,,,
label,Frequency - During works,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - If during the progress of the work the Contractor desires to use other materials or materials from other sources or materials produced from the same source using method of production different from those originally agreed, new samples shall be taken and tested and the results shall be submitted to the Contract Administrator.",,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Beca Spec 002, 9.9.1",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,"Record of conformity - This ITP signed, Test Reports",,,,,,,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
section,3.0 - Hot Mix Asphalt Placement,,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 - Construction Trial,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - A construction trial must be completed as per the requirements in the specification.,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - AfPA Sec, 8.3 & 8.4",,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - Aconex Reference,,,,,,,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint,3.2 - Ambient Conditions for Placing,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to placement,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Asphalt must not be produced and constructed during weather, or expected weather, that may be detrimental to the quality of the finished asphalt surface layer(s).",,,,,,,,,,,,,,,,,,,,
label,"○ If required, where the existing surface temperature is below 15°C, the Contractor must develop and submit cold weather construction procedures for the Contract Administrator approval.",,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 10.1 Cl 145-146,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Infrared Thermometer,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer
Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint,3.3 - Surface Preparation,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to placement,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - The surface on which the asphalt is to be placed has been jointly inspected by the Contract Administrator and the Contractor, and it is agreed to be suitable.",,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 10.2 Cl 147,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Visual Inspection,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint,3.4 - Asphalt Placement,,,,,,,,,,,,,,,,,,,,
label,Frequency - During Paving,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The following processes to be monitored with the Contract Administrator to confirm consistency with Construction Trial:,,,,,,,,,,,,,,,,,,,,
label,– Roller patterns,,,,,,,,,,,,,,,,,,,,
label,– Surface texture within paving lanes,,,,,,,,,,,,,,,,,,,,
label,– Surface texture at the joints,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 11.4.1,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Principal’s Representative",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,3.5 - Longitudinal Joints,,,,,,,,,,,,,,,,,,,,
label,Frequency - During Paving,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - All longitudinal joints shall be constructed as hot joints (exceeding 125°C upon placement of the adjacent paving run) unless restricted by staging constraints or in constrained working areas.,,,,,,,,,,,,,,,,,,,,
label,○ Gas fuelled infrared joint heaters may be used to reheat the joint and create a hot joint where the measured temperature has not fallen below 90°C.,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Beca Spec 002 10.5, AfPA Sec 10.4.4",,,,,,,,,,,,,,,,,,,,
label,"Inspection/Test Method - Verify, Infrared Thermometer",,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Site Supervisor",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,3.6 - Surface Finish of Wearing Course,,,,,,,,,,,,,,,,,,,,
label,Frequency - During paving and after final roll,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - The finished surface of the asphalt must be a tightly bonded, closed textured, surface of uniform appearance, free of dragged areas, cracks, segregation and open textured patches. Joints must be tightly closed. Surface finish must be consistent with the asphalt construction trial.",,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 12.4.1 Cl 288-291,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Visual Inspection,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Project / Site Engineer,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
section,4.0 - Compaction Testing,,,,,,,,,,,,,,,,,,,,
checkpoint,4.1 - Compaction Testing (AfPA Mix),,,,,,,,,,,,,,,,,,,,
label,Frequency - See Note 1.,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The in-situ air voids content to be determined using calibration between the nuclear density gauge (NDG) and the asphalt cores developed during the Construction Trial.,,,,,,,,,,,,,,,,,,,,
label,For test locations away from joints:,,,,,,,,,,,,,,,,,,,,
label, ○ Individual Air Voids: Minimum 2% and Maximum 8%,,,,,,,,,,,,,,,,,,,,
label, ○ Average Air Voids: Minimum 3% and Maximum 6.5%,,,,,,,,,,,,,,,,,,,,
label,For test locations on longitudinal joints:,,,,,,,,,,,,,,,,,,,,
label, ○ Individual Air Voids: Minimum 2% and Maximum 9%,,,,,,,,,,,,,,,,,,,,
label, ○ Average Air Voids: Minimum 3% and Maximum 7.5%,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 12.4.2 Table 22,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - NATA accredited test certificate,,,,,,,,,,,,,,,,,,,,
label,TP,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Project / Site Engineer, Laboratory Technician",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,4.2 - Compaction Testing (Type H Shoulder Mix),,,,,,,,,,,,,,,,,,,,
label,Frequency - See Note 2.,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The in-situ air voids content to be determined using calibration between the nuclear density gauge (NDG) and the asphalt cores developed during the Construction Trial.,,,,,,,,,,,,,,,,,,,,
label,For test locations away from joints:,,,,,,,,,,,,,,,,,,,,
label, ○ Individual Air Voids: Minimum 2% and Maximum 8%,,,,,,,,,,,,,,,,,,,,
label, ○ Average Air Voids: Minimum 3% and Maximum 8%,,,,,,,,,,,,,,,,,,,,
label,For test locations on longitudinal joints:,,,,,,,,,,,,,,,,,,,,
label, ○ Individual Air Voids: Minimum 2% and Maximum 9%,,,,,,,,,,,,,,,,,,,,
label, ○ Average Air Voids: Minimum 3% and Maximum 9%,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - AfPA Sec 12.4.2 Table 22,,,,,,,,,,,,,,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,,,,,,,,,,,,,,
label,Record of conformity - NATA accredited test certificate,,,,,,,,,,,,,,,,,,,,
