"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"65348e06-f5cb-446a-b899-db5e274a5674","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"f7378309-bb8c-5f1a-9a74-d8061f3d82a9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"41d351d1-28c0-5b2e-8124-7b634df62af8","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"cff59ae0-3f52-5d76-896d-b9180ac327e4","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"34b69f5f-9202-5987-be9f-4b4eb062ab1e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"2f757f5b-73f2-5480-9edf-0590a550a9ca","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"88ad302b-ea28-5d32-b832-2fef6d9620b4","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"60d7fabc-028b-4253-bfab-7d0599ae9cc2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"9a35beb7-ef18-4516-88b8-98db53abc0f7","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"88e4cd86-afcb-4999-b24b-011e344ffbf9","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01"
"51de5436-c487-477f-8895-d39fc1bc4d5d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist"
"7e6e98dd-5dbc-5ee9-93f6-5c97e5c1a401","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"0fc50811-a4d8-528a-bbc9-09c776071e38","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"54f8781b-3067-5b35-b76c-7b811541cf75","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 4 photos required"
"c98fb6ac-da6a-5ab1-b483-f0d9f49c3546","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"132b5484-a634-5942-9cfe-22bbbe71a3f8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"bf4b15a3-3c70-559f-a5e2-5c4bb5b29815","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"7fb339a4-756f-57f6-befe-f4158d31b8d5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"804e69c9-83bc-426e-9b99-d0f79645bbe9","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03"
"e288b128-e3a6-4079-804b-f9f6098df195","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist"
"73c12491-cccd-5d55-adac-3e2026ff53ee","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"a619c960-b698-5568-998c-6b8a9f9a8bc3","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","EMAIL PM"
"1a7f1a9d-596a-5ddf-aa2a-7dd20520d9f9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"a4e5fff8-7536-597e-bc5a-10d8b2c7bdb6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","Photos taken"
"a0ede534-b529-4a8b-8eb3-313e3774d25c","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03"
"14af4322-6998-5db3-abc3-657e04e37aa3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Confirm the structure is in accordance with the details supplied by PBI"
"2333ac12-7181-59b7-ab99-0188e9ecb4e5","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","EMAIL PM"
"bb72e390-77b1-5503-95a1-fa82835b7ef7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test - 4 photos required"
"ea500c29-7784-5bf4-8565-30580bf9ab42","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of Swages - 12 photos required"
"6928ea0c-61c7-5979-8dd1-7a20b9a5638c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"012509d0-b9e3-53f7-a5ae-bd631d18c28e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Video taken of system"
"4b7d3824-a3f7-5c65-a26f-f935cf52690f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"013fec24-fd6a-4d67-b206-97581fb1c0e4","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems"
"cbbcb921-a782-4e70-aabe-98d3e43e3260","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01"
"b1e421c0-ee85-4f7c-b43b-4638d017f2a0","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Pre-Fit Off Checklist"
"f2335565-d613-57f5-b770-4d9097a660b4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"c40441a9-6642-5104-9941-0625abf525bc","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Pre-Fit Off Checklist","EMAIL PM"
"55c385a3-a416-527f-b454-d464f0280b96","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"43923362-dd32-56d0-95b6-f3c11e65c170","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Pre-Fit Off Checklist","Photos taken"
"89e534c9-1026-4b72-84ed-bcf74df723bf","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Rail Checklist 01"
"b7557b23-f39e-57e0-956f-3d4b94756924","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Rail Checklist 01","Confirm the structure is in accordance with the details supplied by PBI"
"792733b9-11a3-5cb9-9cd9-9b7d57dc4d1f","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Rail Checklist 01","EMAIL PM"
"dd7c8395-5926-5809-a1a1-16463d9e2204","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Rail Checklist 01","Photo taken of Engraved Line Plate / ID Tag"
"cdadb976-13cd-5821-b409-93661928d98c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Rail Checklist 01","Video taken of system"
"e85daea7-048b-5a15-911e-e3347a54bda9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Rail Checklist 01","Description input of location / person Rail systems shuttle left with"
"c743f6c8-e6b3-5a63-81a4-116cddb521f4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 48m - RSRail 01","Rail Checklist 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"cac84998-4504-40a8-8674-244498bda667","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02"
"77272c74-d140-4296-8bfb-5f79533cec87","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Pre-Fit Off Checklist"
"35e16b90-0e8b-5640-96d9-7f0f7b57cd4b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"ebb06ff7-161e-523b-bd43-b9a9ce6a53e0","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Pre-Fit Off Checklist","EMAIL PM"
"0d7a632a-e95f-5dd9-8528-2216197bac7e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"1a8e2d63-ce4c-58f1-93c2-ef93d2e9542f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Pre-Fit Off Checklist","Photos taken"
"cc6bef13-b3e3-4f5d-a0e2-f26ec93ef645","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Rail Checklist 02"
"c63c688f-db5f-5955-912f-f3a4d6940c89","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Rail Checklist 02","Confirm the structure is in accordance with the details supplied by PBI"
"063ee0ad-4c89-5551-b59d-40f7a40fc59e","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Rail Checklist 02","EMAIL PM"
"1b00c628-b3ed-55c9-90dc-ff79f0f3be66","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Rail Checklist 02","Photo taken of Engraved Line Plate / ID Tag"
"3cea3139-8743-507a-b15c-58089c179280","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Rail Checklist 02","Video taken of system"
"1ee3d31a-c472-5f5d-8122-b10d232ce861","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Rail Checklist 02","Description input of location / person Rail systems shuttle left with"
"11eb0a2e-2f06-51a0-a380-093130e817a8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil Systems","1No RoofSafe Rail Fall Arrest & Abseil System @ 35m - RSRail 02","Rail Checklist 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"353d3f63-ec77-4748-806f-bd93f4b705fb","","folder-normal","not-started","","step","TRUE","FALSE","QA","Anchor Points"
"42c3f320-0524-4617-9cbd-c09e012a90e9","","folder-normal","not-started","","step","TRUE","FALSE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors"
"7ec55f49-dba8-4c94-ba0c-9c903dd9944f","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Pre-Fit Off Checklist"
"bb5ea7da-9983-5b35-86bc-17fa0891f81a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"973285b4-77b2-58b4-82fe-c8cf9468988b","","holdpoint","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Pre-Fit Off Checklist","EMAIL PM"
"3a99a1ed-152f-522f-b29d-acfd7abf4501","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"68844d77-4606-5e7e-9d8d-49444553421c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Pre-Fit Off Checklist","Photos taken"
"ab61fd14-db24-436d-9e3f-09dd510227f9","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 02"
"1c93a57f-354c-5b15-8508-2701c535170a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Confirm the structure is in accordance with the details supplied by PBI"
"b4ea95d2-388c-5830-887a-5444e067b820","","holdpoint","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 02","EMAIL PM"
"29b4a024-b069-5c9d-bdda-6a41d4cb58de","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"2b8fd0a1-462b-5cc9-aa36-3198fd6ea1ec","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"9ecde2bd-e096-44d0-9b3d-3f61f4947c90","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 03"
"ceac834e-cdba-5f3c-a540-139f48e0402a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Confirm the structure is in accordance with the details supplied by PBI"
"796fec64-2712-5267-afa9-b24170f257fe","","holdpoint","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 03","EMAIL PM"
"a12aed7d-b000-5553-b36f-d52a9d61c217","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"307662da-9e39-5f18-b544-a3ac9e26ec0f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"afe86f4d-ab12-4399-99e7-4a339dac18ca","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 04"
"058459db-033b-53c3-b3c2-f3ca43453f46","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 04","Confirm the structure is in accordance with the details supplied by PBI"
"bceb7250-333e-5228-9992-922a786a4839","","holdpoint","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 04","EMAIL PM"
"fd4534fd-b33c-53da-924d-c1fe65bf6149","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"05267ec6-69f7-57b0-983c-e76a08a2094f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"73479b02-4d72-4571-866d-25b576143e86","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 06"
"d7595026-44db-515f-b6b4-23da2bc9c10f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 06","Confirm the structure is in accordance with the details supplied by PBI"
"ed6edf5e-442d-501b-b92a-3afe450c6a83","","holdpoint","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 06","EMAIL PM"
"c79d4e51-1347-5104-acd1-f58381ea8b59","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"b1608c04-35c4-5955-96d4-1cee5b920719","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"a1a103bd-50eb-40e8-a976-5ea99f685105","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 07"
"b3d920b6-99b0-5694-b6d0-944f9e507327","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 07","Confirm the structure is in accordance with the details supplied by PBI"
"f4eab3fc-0b13-5ef0-95f0-91be7d79963b","","holdpoint","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 07","EMAIL PM"
"0939dfaf-98e7-5759-a62d-cd6b7981ea24","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Anchor Points","31No AP Type 01 - Fall Arrest Anchors","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
