"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba5a401f-21e2-4202-98e7-3b417073d499","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"48aeacb7-b9f6-4a88-b680-f56b01931f58","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"b50d3471-ee4f-4665-b38f-8ba4fadfad28","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"a760ac41-d0fe-4cc0-9292-2c47264dc878","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE"," Precast Manufacture","weld plate details"
"9b4c9819-1a4c-4a19-9c1e-35cd2c4d66ae","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details"
"4d6c3075-3b5e-48d6-9787-dbd01473960e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details","Edge Detail"
"f70b4190-6ede-4ca8-b9c1-9aa5f94b913a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details","Bar Projections"
"0dc5027f-7498-461f-8973-77916b414df2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details","Cast in items"
"7fb65d97-df39-4d7e-9d7d-dc489dc6360f","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","Panels 1 - 50"
"c56da1e8-12f4-40b4-bd95-e211208e6e85","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 50","Panel -1"
"d8ade419-7fd7-4ee0-b4d8-97d384542309","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check"
"17991def-775e-428e-8605-6c3e5a7a5274","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check","Edge Detail"
"36019eaa-6164-4355-b693-a5d9b2c36f80","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check","Bar Projections"
"3d8a119a-066e-42d0-a8f3-36da63f48836","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check","Cast in items"
"423b5106-5bb4-4555-9558-5eaae6ae9494","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Stripping and Stacking"
"69bb326a-c497-4336-a052-162f77158e97","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Stripping and Stacking","Stripping & Stacking"
"a809f461-97eb-4544-911f-ccd9eb48d674","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 50","Panel -4"
"4682b7b7-77c9-44ea-abeb-a0c4f62dea15","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check"
"41787ec4-62ed-421b-ae2e-cf0cdf7c8237","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Dimensions"
"82eaf5c6-5cb0-4f14-b6ea-95051c69cf2a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Mould Clean"
"6e90afb1-1ba8-4ae7-87f5-fa41c8343aa6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Mould Oiled"
"8a871283-8af0-49f3-9820-190c22e20179","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Mould - Workmanship"
"467a3972-2fc9-4a03-8c95-3430d2ed9888","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Reinforcing"
"138f556e-6ca3-4257-86d9-b093fb70e536","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Cast In Items"
"4039ede0-3ef9-4682-9d62-6d9a3116f4af","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Marker Position and No."
"8195764e-4dd1-44d9-b5d5-841a44d8de31","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Make mould to Green Status"
"79ffbf28-eb2b-4f38-b670-cfe38c87288b","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works"
"fd88ced6-b460-4071-9385-6e749968f4d4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Concrete Works Details"
"b0c2f000-3efa-4432-808e-b29b6df1edc2","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Wilco Sample Taken"
"bd666c16-3c9a-4bb1-8a58-3eb0e7dd5a1e","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Bridgeman Sample Taken"
"79c1e3e7-3905-486e-b101-badf8108e31a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Supervisor Approval"
"41d9c2f4-5066-4a99-ae63-ce2af090a5b4","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check"
"2dc71c05-d8b1-4050-b17e-f321a2606a8f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check","Edge Detail"
"ff343203-ef4f-4253-9ed1-4f86fed620e2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check","Bar Projections"
"32cc9fd7-ad43-4574-a251-ce112e35b777","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check","Cast in items"
"5b0ead5f-5c9b-4ee6-bb09-936709564693","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Stripping and Stacking"
"a84921c2-bf5b-4510-be9f-b0f635572ea3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -4","Stripping and Stacking","Stripping & Stacking"
"fbc1b2a6-2522-47b9-9e21-d5d0e02664d5","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 50","Panel -5"
"e0d2d8bc-da61-487f-8f2a-6c46c935de2a","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check"
"02082b31-f787-4d6d-b71d-b7178aca2901","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Dimensions"
"89d5c54d-50cf-47c5-983e-309862cd3e6e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Mould Clean"
"c70bc33a-d8dc-4656-92dc-7d91b21d9432","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Mould Oiled"
"c8f56f2e-26ec-46c6-9569-67cc8c78204f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Mould - Workmanship"
"8d9b8bdd-19e3-42d4-b523-68de06ac4f41","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Reinforcing"
"f1210eb0-a6ac-4d4b-84ab-f379e204a985","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Cast In Items"
"aaf6da9a-db7c-45a8-aed7-8415a2674025","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Marker Position and No."
"9be0fa7a-c23b-4145-8108-b4c6d6f3d19c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Make mould to Green Status"
"1f658821-e6cb-4878-8cae-4f390953ca6c","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works"
"be6e6356-6fe7-4b8f-aa26-6a4154f03137","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Concrete Works Details"
"e9e624bb-d2e8-4113-bb52-73f3ea05a4ff","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Wilco Sample Taken"
"3203ef72-de68-482c-b152-39de4967c583","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Bridgeman Sample Taken"
"f2546ac7-2810-4e30-84b5-99f5c4428fc1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Supervisor Approval"
"3d5fdc50-d51a-492c-9bb1-c51ed61ddbae","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check"
"7c867fcd-b869-493e-babb-a3a6be8e09c0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check","Edge Detail"
"2cd9328f-f597-4422-933b-9697b2b7d468","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check","Bar Projections"
"04cd550b-f294-415a-8c34-7111fc90cd26","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check","Cast in items"
"c386b92b-35ca-4507-8c6a-1d5e82998d09","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Stripping and Stacking"
"be6fdb4a-83bc-4a74-8c74-2ad6eb0f1d70","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -5","Stripping and Stacking","Stripping & Stacking"
"6166f373-e96a-4a0f-a5b5-a61b323d2a25","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 50","Panel -6"
"49b8aa3f-5432-402b-96cb-bc5b11063556","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check"
"3b2aea1f-9b3a-4dc0-9441-5bb63c0157c0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Dimensions"
"99563e84-6f5f-4911-b10c-3887417f4f59","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Mould Clean"
"86c70582-9a78-4bb3-837f-d2cec9a9d6dc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Mould Oiled"
"2b84dc88-f5d5-46b9-b803-68061c87d407","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Mould - Workmanship"
"5ef9a928-6cac-4ccf-98c3-0cb3e3990c6c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Reinforcing"
"b2245b92-5855-4c60-90af-2cf3a12967e3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Cast In Items"
"059a8248-759c-48e0-b35b-c58b50693416","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Marker Position and No."
"e2db5b6a-977a-4b42-a68d-0623ed1b6229","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Make mould to Green Status"
"d255f701-82d2-4cd9-81d4-d32840d83671","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works"
"748f67ad-fb9f-4c63-8c91-b5902ed2afc5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Concrete Works Details"
"7d861297-6186-4840-86d2-1a1a06a5bd8e","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Wilco Sample Taken"
"f387e36d-8bef-44c9-94d0-db1bb8a8987b","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Bridgeman Sample Taken"
"db9eac54-fb8b-4daf-a8c0-9c0580cf493e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Supervisor Approval"
"9062d324-ab83-4e40-b1ef-edcbb440df14","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check"
"cae7b7c5-ac26-498f-96ad-658310004049","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check","Edge Detail"
"920d5d4d-eef9-4f22-9b7a-7e6779010055","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check","Bar Projections"
"835b7bfe-b65e-45ad-a081-20590cd9e0a9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check","Cast in items"
"7b7bd2cd-0e2d-4c1c-9cfb-a6688a8407bb","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -6","Stripping and Stacking"
