"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"652928b3-520d-4922-a390-7a7d3f1a63eb","","checklist-flat","not-started","SYS - Fredon Compliance","checklist-flat","FALSE","FALSE","Compliance Documentation"
"8625df84-f6ff-5a0f-b4ac-b34f5f043499","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","Fully compliant, site specific Safety Manual and SWMS have been submitted and accepted by the Principal Contractor."
"4e1f2267-cca4-5abf-b9d5-b3a3adaa3b82","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","All Fredon electrical personnel undertaking these works have been trained and inducted in the Safety Manual and the relevant SWMS for these works."
"978cfdf6-ca16-5e66-b702-2d9a0740d08b","","checkpoint-status","not-started","","","TRUE","TRUE","Compliance Documentation","All Fredon electrical personnel undertaking these works are qualified to carry out these works, and are trained, and competent in the use of all equipment and plant required to carry out these works."
"b2ace1a4-35e2-47fa-b513-284f2b0c0df8","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"aba99fe8-b976-4701-ab8f-928212836072","","folder-normal","fail","","step","TRUE","FALSE","Site QA","In Ground Works"
"3d8335f3-5b16-488e-9043-c94f8073b0d2","","folder-normal","fail","","step","TRUE","FALSE","Site QA","In Ground Works","B2"
"c47cd587-351e-4847-809c-1b151bdd5546","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Ground Works","B2","Retail"
"2fb8e54e-d3bc-46ff-a47a-ff9fa0cae1a0","","checklist-flat","not-started","ITP 175 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works"
"67acc548-9335-5826-b383-c300d2176c92","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure sufficient concrete cover can be achieved"
"3c0a27f3-620f-5c9e-9b90-bd5397a1c069","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Complete as installed conduit drawing showing all conduits. Photograph area of works."
"ae333061-9ebc-56e3-94fd-701b3a16fd10","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"a673fd9a-fca4-5ad8-b573-5054953b7273","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Observe concrete pour with particular attention to critical area"
"e67a9748-886a-505b-a19b-1d3952c4e497","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"89ae697b-5f94-586b-8add-eca81b97edef","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITP 175 In Ground Works","Cross check and verify that the As Built Drawings are Complete and Correct"
"257d96fd-3d47-4958-a5b4-78447bc20aa0","","checklist-flat","not-started","ITC 175.1 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works"
"970d467f-d571-5be1-83a7-e121fbf1048e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works","Ensure that the latest revision drawings and specifications are being referred to"
"35c57581-34e7-5e39-9381-e682a132d05c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works","No Structural Implications"
"3b190d4e-bfcd-5652-8976-16f7d83d84b1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works","Marked Out Correctly"
"cfed86a5-d643-5b23-a027-d5231053dfd2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works","Glued & Tied Securely"
"a2778799-8bb7-515b-8e17-b0702b8a4509","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works","As Installed Drawing Attached"
"9145b8df-afaa-5237-aa94-daa217d601f5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works","Conduit Ends Capped"
"b74019ec-9b18-52db-a8c4-ae8709288c13","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Retail","ITC 175.1 In Ground Works","Signed off by Installing Tradesman"
"d1e85e10-d4da-44c8-9665-551970464bce","","folder-normal","fail","","step","TRUE","FALSE","Site QA","In Ground Works","B2","Commercial"
"eda13f5b-7ecb-41ca-ab76-b202b9d94431","","checklist-flat","pass","ITP 175 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works"
"47dbe5f2-9888-585a-ba16-a2118f6be626","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure that the latest revision drawings and specifications are being referred to"
"8e9ca3a2-e6f1-5a7f-bd9d-2e7740da3754","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure that all new installations have been coordinated with other services, both new and existing"
"99e25159-57af-565e-8f90-5e3724bb3e2f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure that the latest service & co-ordinated drawings are being referenced"
"a52fea80-97cb-5023-a20f-b425fce59460","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"649dc86b-d3a2-5336-b0e6-eae52373ee5d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Engage certified surveyor for critical set out works"
"1a0b9af3-23bd-580a-af6a-97387cd7d98f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"76062fa5-9180-5723-8056-a13940134384","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Conduit to be measured and cut using correct tools"
"a75f9a28-9dd5-55cb-89ea-b8a88cf31f01","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure entire conduit installation is fixed to steel work using tie wire"
"38077e23-ef59-5d11-bb14-ec472b3f6865","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure conduit installation is supported from deck over entire length"
"a033fc58-8d13-5914-8648-c83c131f9e21","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure that the void/materials are fixed securely at its final location with the correct dimensions to allow the final equipment to be installed at FFL and Adjacent to walls Floor Boxes & Cast in Light's etc"
"1e8f6f5e-e461-5bf0-b510-c64bd18e122d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure sufficient concrete cover can be achieved"
"47cbef4c-9b5b-5b01-a850-51d566e5de83","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Complete as installed conduit drawing showing all conduits. Photograph area of works."
"5d6f6344-ff17-5056-97cc-08efe0c7b915","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"5331a1bd-aa40-5b8c-8fe2-830a6043c6c1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Observe concrete pour with particular attention to critical area"
"7ed2566f-70ea-5212-866e-48027152d379","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"a0e43bea-f65f-52ef-b3b6-63d3b1fa1ab4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITP 175 In Ground Works","Cross check and verify that the As Built Drawings are Complete and Correct"
"541d3249-0395-4809-a783-072987d75286","","checklist-flat","fail","ITC 175.1 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works"
"dcb9bd32-9269-5d24-86d7-b61265ce566d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works","Ensure that the latest revision drawings and specifications are being referred to"
"b64b091d-5e2a-5a78-a271-a8226364ff70","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works","No Structural Implications"
"35126d1a-02cc-5b7e-97d4-dc46161e69b7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works","Marked Out Correctly"
"39c78ce1-4f1d-5c39-8950-b040dc09a1b2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works","Glued & Tied Securely"
"8ee15aaa-4f2c-5526-94f1-867f4d457b38","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works","As Installed Drawing Attached"
"e1f94f47-321c-5517-a095-71370f307a6c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works","Conduit Ends Capped"
"ef7b2b73-2898-5ece-b7cc-1612f76c875c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Works","B2","Commercial","ITC 175.1 In Ground Works","Signed off by Installing Tradesman"
"14f3a2d1-0484-4d54-a971-a7afe268e55e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Ground Works","B2","Residential"
"688e3d93-93e1-4f24-a1c7-62f566d1b2ce","","checklist-flat","not-started","ITP 175 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works"
"a88d2aa7-054e-538e-8237-a1dcaf8c6083","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure that the latest revision drawings and specifications are being referred to"
"795c7ce5-1e65-569c-ad3a-dfabe8a7b776","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure that all new installations have been coordinated with other services, both new and existing"
"b3c989f9-7125-5b55-95cd-68f5009e303b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure that the latest service & co-ordinated drawings are being referenced"
"9077d327-705a-5480-acf9-7409644b8ae1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"c0456eee-c01d-5f57-9d3a-8a84300c8361","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Engage certified surveyor for critical set out works"
"d45e19d5-e164-53e6-9904-f058f4bfb0c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"dabddf89-78ad-5571-be76-79ee2b37a4e5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Conduit to be measured and cut using correct tools"
"4377607b-3504-5783-828e-6487b2e47e55","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure entire conduit installation is fixed to steel work using tie wire"
"c1eec75c-1c42-5ca5-ae17-3eff7ad5e6fd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure conduit installation is supported from deck over entire length"
"23019296-6284-51a2-80bd-60cf2e5a82b9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure that the void/materials are fixed securely at its final location with the correct dimensions to allow the final equipment to be installed at FFL and Adjacent to walls Floor Boxes & Cast in Light's etc"
"ebc3b24e-d8e8-535b-930e-d73cf1be3270","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure sufficient concrete cover can be achieved"
"860963a9-b170-5ba1-90be-0284a4d5a63c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Complete as installed conduit drawing showing all conduits. Photograph area of works."
"77864d75-faf0-5315-a2fc-7ffa08861181","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"29165ed1-9bcb-5a2e-8b12-3ff9b4734dba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Observe concrete pour with particular attention to critical area"
"6399fd6d-fad8-58dd-9d48-2b8497642075","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"ff71bffc-17c7-5a54-845a-79dbf6029ed3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITP 175 In Ground Works","Cross check and verify that the As Built Drawings are Complete and Correct"
"06192dc2-f9ae-40dc-bc01-140bc5210714","","checklist-flat","not-started","ITC 175.1 In Ground Works","checklist-flat","FALSE","FALSE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works"
"9084edfe-730f-5a99-bd50-ee54979b95bd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works","Ensure that the latest revision drawings and specifications are being referred to"
"2382835c-0188-5722-84d9-6467efea784b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works","No Structural Implications"
"85b8db81-d123-5efe-997d-9b799fa38a8f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works","Marked Out Correctly"
"2e2c607e-96e3-590b-9158-87052737486e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works","Glued & Tied Securely"
"2d873fbd-38b5-5289-b8cf-29edfe67108e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works","As Installed Drawing Attached"
"4f5b2963-848c-53e4-bb73-fdff65f2010f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works","Conduit Ends Capped"
"6fcefe57-0232-5a04-9555-7decb0d0389e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Works","B2","Residential","ITC 175.1 In Ground Works","Signed off by Installing Tradesman"
"b412be00-88f7-4f46-bbda-6c0ca52d298c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Slab Works"
"e1bed04e-439d-4f75-a823-35565835d11b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Slab Works","B2"
"362c15f7-6ed7-42ca-9a44-a888efdf1671","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Slab Works","B2","Retail"
"a052caf6-3aba-4a34-98be-452b619b60eb","","checklist-flat","not-started","ITP 171 In Slab - Works","checklist-flat","FALSE","FALSE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works"
"ca1203fc-5b57-5494-9248-6268d6dabe68","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure that the latest revision drawings and specifications are being referred to"
"ef680cc9-fa52-5182-9b35-841ac4c61a17","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure that all new installations have been coordinated with other services, both new and existing"
"cb4af371-10bb-54a0-9627-7f3eb91ed469","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure that the latest service & co-ordinated drawings are being referenced"
"cde7a27c-214e-513f-aff5-4b4c4b1c8e59","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"c23a8be8-37cf-5cbe-8055-5bbaed44351f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Engage certified surveyor for critical set out works"
"248d5e08-7be5-58b5-a60c-b1f891a3ac15","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
"1c607023-de98-5186-bbf2-f2186551cd27","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Conduit to be measured and cut using correct tools"
"3ffdd723-4585-5c35-9f55-bbc69398bdb5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure entire conduit installation is fixed to steel work using tie wire"
"76cfa398-812b-52cd-affe-2b54281c489a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure conduit installation is supported from deck over entire length"
"2bd2b508-efe4-5638-ba48-abdcbbf81793","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure that the void/materials are fixed securely at its final location with the correct dimensions to allow the final equipment to be installed at FFL and Adjacent to walls Floor Boxes & Cast in Light's etc"
"0dc0a5db-03da-5dbf-a271-d9639e128612","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure sufficient concrete cover can be achieved"
"05e4a892-7f29-5482-8620-b8678289bac4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Complete as installed conduit drawing showing all conduits. Photograph area of works."
"e6ef48cb-9769-5265-8a0b-99b1c4780fbf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure that if the slab may be used as a floor for showers and bathrooms have an equipotential bond to the steel reinforcement."
"b08e5d53-d874-5921-8543-901d25a6c442","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Observe concrete pour with particular attention to critical area"
"7bdf89f3-1605-56ae-99d0-3b1028e2004e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Ensure that all changes made to the original drawing have been marked and noted on the Working Drawing located in the Site Office. These drawings MUST be kept updated for use as As built drawings."
"9e397a72-2bf0-5cce-a769-cab2734e4f68","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITP 171 In Slab - Works","Cross check and verify that the As Built Drawings are Complete and Correct"
"f3ea7176-9644-457c-aa84-6ef213de0e7b","","checklist-flat","not-started","ITC 171.1 In Slab - Works","checklist-flat","FALSE","FALSE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works"
"00deb828-655a-5697-829c-b7d48136913f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works","Ensure that the latest revision drawings and specifications are being referred to"
"a0c682e2-5596-517c-94a3-8c079d8ce3c7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works","No Structural Implications"
"f7648790-71d2-56b6-88a7-812847df1d94","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works","Marked Out Correctly"
"6815fdaf-be46-51ff-9a9d-bebc976f68a2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works","Glued & Tied Securely"
"e303b11f-f3a8-5aef-a66b-eb4493a48fb8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works","As Installed Drawing Attached"
"3d4d9b83-5a27-574e-8ce4-b29c36e6eaa6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works","Conduit Ends Capped"
"744f30b3-ef60-5fa2-8dc7-005d9dae21b9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Retail","ITC 171.1 In Slab - Works","Signed off by Installing Tradesman"
"8651eb29-44ec-4cfe-a019-6cdc5a94ead3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","In Slab Works","B2","Commercial"
"4e279e22-1cf7-4076-a62b-b0b4647a66eb","","checklist-flat","not-started","ITP 171 In Slab - Works","checklist-flat","FALSE","FALSE","Site QA","In Slab Works","B2","Commercial","ITP 171 In Slab - Works"
"0805f8e2-496a-551e-9314-c17f2b621592","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Commercial","ITP 171 In Slab - Works","Ensure that the latest revision drawings and specifications are being referred to"
"4a45e5a7-5cb7-54f2-b7f9-e9932813d1c4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Commercial","ITP 171 In Slab - Works","Ensure that all new installations have been coordinated with other services, both new and existing"
"bb905e75-169f-5c09-ba5e-f40cd9013fc3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Commercial","ITP 171 In Slab - Works","Ensure that the latest service & co-ordinated drawings are being referenced"
"5c130388-6aae-579d-8d55-41ff0f044034","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Commercial","ITP 171 In Slab - Works","Ensure correct datum points are identified confirm datum points with building works supervisor. Use correct set out measurement tools and equipment"
"f577cac1-2e6f-5cc0-8198-ebee31aaeb92","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Commercial","ITP 171 In Slab - Works","Engage certified surveyor for critical set out works"
"2298dfa0-88ab-5f9c-a259-151d2342f080","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Slab Works","B2","Commercial","ITP 171 In Slab - Works","Identify circuit to be installed, confirm circuit cabling requirement. Select conduit size accordingly"
