"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"110b12e9-485f-46be-aa4a-5d727e63ad1f","","work-in-progress","","folder","TRUE","FALSE","Chipseal"
"31bd338e-56a6-498a-ac1d-1eb12c98775f","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Manawahe Road Intersection"
"ee51dcfd-f61f-4467-b91d-70e30d66e01d","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Pine View Lane"
"6aea6eff-1e32-439c-9330-7e1be3570155","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Angle Road North"
"b5315a78-ab62-4f4f-bd2d-2a2d6772bc61","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Fortunes Road East"
"148165cc-c4bd-4b60-9e73-e4076c40f103","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Leonard Rd Curves I"
"49582be1-13d6-4c78-98a2-fd1a09134386","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Awakeri West"
"cf092bf4-3714-46d5-9d51-746adb1c8cdb","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Western Drain East"
"5002dc1d-23cf-402f-b49d-880be443b526","","work-in-progress","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Hydro Road East"
"c20c7167-4b3f-48c6-8a9b-721e8721a923","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Thirteen Curves"
"bca13d75-471e-4401-abae-64f66a0c3081","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Opato Bridge West II A"
"898a6969-d9d8-4db6-92a4-b37770a6188b","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Opato Bridge"
"ff392dde-e5df-4c7e-839b-ca3de6fa7ec0","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Opato Bridge East"
"51244b03-c091-47d5-b180-625a789ff0d0","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Apirana dTIMS Site"
"3c16e2ec-1882-4917-a397-d9856adce8d9","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Pekepeke OBridge East I"
"9aba9442-e5c3-4a0e-bc8b-faa97482a77b","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Phillips Cattle Underpass"
"e80c5081-f9b9-40b7-9329-8e0bedcca295","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Frosts"
"dc28fed4-82c7-4275-81b9-72b2005e61de","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Regional Boundary West 1"
"d9380a79-70f9-4c0f-8fc2-bdd6e58047ca","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Kaharoa Rd South 1"
"2c5ede47-ec26-4344-8846-5adfcef7fecb","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Jackson SCRIM SITE"
"22eb221b-077a-4e3c-b028-c0c816c9ee35","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Tupapakurua 1"
"ac901064-e3cc-4f59-9647-876f201948ae","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Tupapakurua 3"
"1dd2e263-6ccb-4b12-96e3-fd1726d18a10","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Ngongotaha Rd Straight"
"6e12fe3a-88ae-4ab8-b820-494c02f114e3","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Waiotapu I D"
"0af02a20-0dd0-45e4-b86e-792307c50243","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Wharepapa Bridge South II"
"6a8a14b0-adb7-4e75-9875-35ea93545884","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Boundary"
"3e81f885-5862-429d-b12c-6a80becba837","","not-started","Approved Design Report","checklist","FALSE","FALSE","Chipseal","Approved Design Report"
"2863520b-6d40-49e7-9837-5651b491f9ce","","work-in-progress","","folder","TRUE","FALSE","AC"
"1677dfff-2c3f-4aee-a8bd-d2a5797495ea","","not-started","Approved Design Report","checklist","FALSE","FALSE","AC","Approved Design Report"
"471c6890-5194-47f3-b8e6-15d04c4c57be","","work-in-progress","Approved JMF","checklist","FALSE","FALSE","AC","Approved JMF"
"abf392e6-e268-4aef-94cd-31a2610cbdf4","","not-started","Production and Testing ITPs","checklist","FALSE","FALSE","AC","Production and Testing ITPs"
"80b13754-71e0-423e-8a0d-675ac53a06c2","","not-started","QMP","checklist","FALSE","FALSE","AC","QMP"
"c6f16c5c-3b09-4351-b02c-ada464c68cad","","not-started","Verified Program","checklist","FALSE","FALSE","AC","Verified Program"
"c77334f1-7e46-4fe2-9f04-06a9e95a45b9","","work-in-progress","","folder","TRUE","FALSE","AC","Sala street"
"2d5f3348-c980-4dff-8ec9-186c5ae31c77","","work-in-progress","Site specific ITP items","checklist","FALSE","FALSE","AC","Sala street","Sala street"
"83a80013-baa3-4cfc-911e-9e1778806127","","not-started","ITP - Pavement Rehab - SH 30 - Sala Street","checklist","FALSE","FALSE","AC","Sala street","ITP - Pavement Rehab - SH 30 - Sala Street"
"ecba75b2-42cb-48b1-b44f-d011c7ba00a0","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Puarenga Bridge East - D"
"4944ce1b-4c49-42b9-b966-3bc34bd7e3bd","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Puarenga Bridge - I"
"e2a6b937-e8a5-43b0-b7a6-9d5a647c4693","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Hamiora place D and I"
"a7cadf34-9ffc-41aa-987b-8b99293b2c5e","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Ngapuna - I"
"a238c627-a313-4985-8a1f-3fead711fabf","","work-in-progress","Site specific ITP items","checklist","FALSE","FALSE","AC","Tarawera to Tennyson"
"9a1519de-d379-49f6-a10d-6b65620fb878","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Eruera street"
"7d08bca2-9fe9-4bd5-aad4-fc6d90942526","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Cochrane St Pedestrian Xing"
"537f2dd9-b038-410d-8582-6bc14e6bcb5c","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Rainbow Farm to Cochrane"
"88343ab7-dcd2-470d-9c61-f5ecaaa77d0f","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Dunn Rd Intersection I"
"d77533ba-63e3-44be-9d57-3f83cc417c29","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Goudies Rd Intersection"
"3df972aa-6b13-49fb-b4ca-d01f290115b2","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Fishermans bend"
"bdfe7d9d-2370-4b2c-960f-4ff889df7792","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Balls Bluff Waterfall"
"44bf3247-26e8-4470-a4f1-39c7314dd9ca","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","St John Rab"
"8b6f19f4-8cfa-499e-97d7-3e2ed3c79c4c","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Gauging station corner"
"334402a3-9933-471a-8a34-36cd681ba102","","not-started","Site specific ITP items","checklist","FALSE","FALSE","AC","Reids Road I"
"25b5f1c3-135b-4779-8b6c-d558a8a3ce39","","work-in-progress","Overarching ITP items","checklist","FALSE","FALSE","AC","Overarching ITP items"
"1939b832-956a-425b-b46e-fc5d659e50a8","","work-in-progress","","folder","TRUE","FALSE","Rehabs"
"988c552a-6447-47e9-85c9-a764da0306c8","","work-in-progress","ITP - Pavement Rehab - SH 02 - Apanui Road East","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 02 - Apanui Road East"
"6d104562-f021-4b58-9816-a3f3021c5f45","","not-started","ITP - Pavement Rehab - SH 02 - Waiotahi Valley Road","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 02 - Waiotahi Valley Road"
"f1083f43-8c0a-4002-94f0-997794970f4a","","not-started","ITP - Pavement Rehab - SH 05 - Boundary Road South","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 05 - Boundary Road South"
"b3740b39-8f3d-4db7-acab-44e06e602718","","work-in-progress","9e86d40e2bfffaa7172693385daef0482139f37c68dc3acecf32ddd6ebf4f853","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 34 - Lambert Road Intersection"
"765e9f5e-4acd-471c-b4cd-75219c476bfa","","not-started","ITP - Pavement Rehab - SH 35 - Tukaki Marae East","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 35 - Tukaki Marae East"
"d33af149-ccfa-4a73-a879-8dfe609885f4","","not-started","ITP - Pavement Rehab - SH 36 - Awahou to Central","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 36 - Awahou to Central"
"9066cd4f-3145-4874-ae1b-739469047d0d","","work-in-progress","ITP - Pavement Rehab - SH 30 - Sala Street","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 30 - Sala Street"
