"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"601d33c0-ea73-43aa-b4de-3a53050cd348","","pass","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST"
"670d3623-77f5-4e86-b929-7aa89f5be4ea","","pass","","folder","TRUE","FALSE","Checkers Checklist"
"5d4e0b20-d872-49a1-9f25-a6caab8bf5fe","","pass","Checkers Checklist - Abutment Base - AA","checklist","FALSE","FALSE","Checkers Checklist","Ab-AA2"
"7b670278-202f-4f1d-ab55-8b24ec60af3f","","pass","Checkers Checklist - Abutment Base - BB","checklist","FALSE","FALSE","Checkers Checklist","Ab-BB1"
"e6e58c5b-5f06-4d79-b703-bea9a55da4e1","","pass","Checkers Checklist - Abutment Base - BB","checklist","FALSE","FALSE","Checkers Checklist","Ab-BB2"
"33475cf6-63b9-48d8-978a-40bc236d9212","","pass","Checkers Checklist - Upper Wall - AA","checklist","FALSE","FALSE","Checkers Checklist","UW-AA1"
"c970df90-4146-47ac-a592-659ee1ec4e5a","","pass","Checkers Checklist - Upper Wall - AA","checklist","FALSE","FALSE","Checkers Checklist","UW-AA2"
"efe378bb-6903-4a94-9723-90d340314d8d","","pass","Checkers Checklist - Upper Wall - BB","checklist","FALSE","FALSE","Checkers Checklist","UW- BB1"
"c9830120-b2b5-4e59-9f92-03c9ceb7ba20","","pass","Checkers Checklist - Upper Wall - BB","checklist","FALSE","FALSE","Checkers Checklist","UW- BB2"
"7e308b35-727b-4e4c-b7ed-a019252cf240","","pass","","folder","TRUE","FALSE","Installers Checklist"
"516cc641-760f-407c-87c6-4701ca6a240f","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A1"
"5fcea5e2-c2f0-4a80-a7a2-08ca0cd4e41d","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A2"
"a7057305-6b11-4845-bc13-43b2a6d38e42","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A3"
"8f45cc71-6905-4eb5-aba6-2b5fd7dc0016","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A4"
"81273eba-f8ac-45f0-bc14-b14dc55e7a1c","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A5"
"c462895e-1cd9-4ca6-b4e2-a7c4012b53f9","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A6"
"edce0766-abec-465a-a4d4-a0cafdd14664","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A7"
"8002a11b-e6d4-43e5-807b-8e3f0855276e","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A8"
"55ace43a-01e6-48c1-9a78-cccb48e2a980","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A9"
"46e7b6c5-bcb9-4011-a708-e1752b400c30","","pass","Installers Checklist - Type A - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-A10"
"91c99a82-99f9-446a-aafa-369adfce51b6","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B1"
"0e01611f-4850-4c38-94f1-d1dd8c55a2f7","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B2"
"866c26eb-585e-4b3b-a3e2-c7b02cb05137","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B3"
"8ff8f94f-63d0-40e4-a77f-3268306c0eef","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B4"
"551b6477-662a-430b-b022-bf9115e633f5","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B5"
"36ea5dd7-e472-46eb-9f0a-9414d5085e6c","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B6"
"75db3351-5965-4ed8-abbd-a4fe2fa52beb","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B7"
"2d44edc3-d234-4a19-806c-8baac02d7837","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B8"
"b5fc1584-92b2-42d4-af92-7dc32efb680c","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B9"
"137cc90b-4f3e-45b5-a685-5b5ecbc8b643","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B10"
"3382cb51-2c92-4b54-a55f-c320d7e73c24","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B11"
"9baf2126-f436-4149-b9ea-a6819dd5de0d","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B12"
"0474e69a-91af-4ff7-b651-6b3d2744828f","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","DP-B13"
"ce752f94-1a9c-424b-a42d-c3d5d2916bc0","","pass","Installers Checklist - Abutment Base - AA","checklist","FALSE","FALSE","Installers Checklist","Ab-AA1"
"f248a741-cca1-4a4d-835d-a352bd3701c7","","pass","Installers Checklist - Abutment Base - AA","checklist","FALSE","FALSE","Installers Checklist","Ab-AA2"
"fdad4eb3-eee2-4dbc-a10a-d5c60c985f15","","pass","Installers Checklist - Abutment Base - BB","checklist","FALSE","FALSE","Installers Checklist","Ab-BB1"
"2992770f-cd77-41ea-996b-0370b04b07e4","","pass","Installers Checklist - Abutment Base - BB","checklist","FALSE","FALSE","Installers Checklist","Ab-BB2"
"9eb5cdc6-c4ed-4f8d-991a-5bcf64e790c5","","pass","Installers Checklist - Upper Wall - AA","checklist","FALSE","FALSE","Installers Checklist","UW-AA1"
"973637e9-5ecb-4352-a590-033a180c3962","","pass","Installers Checklist - Upper Wall - AA","checklist","FALSE","FALSE","Installers Checklist","UW-AA2"
"dc98bea0-46f7-4183-ae86-4d11075318f4","","pass","Installers Checklist - Upper Wall - BB","checklist","FALSE","FALSE","Installers Checklist","UW- BB1"
"7e8e1b9b-8604-40ba-9c0f-1c69a2494393","","pass","Installers Checklist - Upper Wall - BB","checklist","FALSE","FALSE","Installers Checklist","UW- BB2"
