"Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"signoff",,"HOLD POINT",,,,
"checkpoint",,"Each supply lots shall be sampled and tested for compliance in accordance with the testing frequencies specify in MRTS05. No material shall be incorporated into the work unless it has demonstrated compliance fully with the requirements of MRTS05 and MRTS10",,,,
"note","c07d50cc-d0a7-5864-864a-9b98161e51e3","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","4ae656d3-7049-5e54-829c-4439a20d245b","Check Item - Check Item",,,,
"note","19e91c73-e075-5bb7-aa7d-7f688967fbb8","Reference - MRTS05 Clause 7",,,,
"checkpoint",,"Equipment as specified in approved construction procedure.",,,,
"note","44cb1698-2315-5cbf-b66a-6a5d8f88a8aa","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","23c742eb-6901-56b5-9340-e17a4cc5a842","Check Item - Check Item",,,,
"note","8ab3eb98-0f90-595b-8f69-eb648c7884e7","Reference - MRTS10 Cl.8.2.1",,,,
"checkpoint",,"The time between the commencement of mixing the stabilisation agent into the unbound material and the completion of compaction of a single layer is less than the allowable working time. The allowable working time for the plant-mixed lightly bound pavement is to be the lesser of the following: a) Tested working time shown on the mix desing certificate, b) Four hours",,,,
"note","12298f37-9f9c-5829-9d7c-4b6c918bf2ec","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","dc8c7bb7-a6d4-5f0c-ac6b-a5e33365fd8c","Check Item - Check Item",,,,
"note","c95088d5-f0a5-5ee8-8b5a-3018a9d11ae0","Reference - MRTS10 Clause 8.2.3",,,,
"checkpoint",,"Lightly bound pavements not constructed when: a) air temperature is less than 10°C or greater than 40°C, b) during rain or when rain is likely to fall during placement, c) evaporation rate due to the combined effect of air temperature, wind and relative humidity may result in excessive drying of the pavement layers",,,,
"note","1f05a96d-7bf2-5e60-b04c-f255dfd1720b","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","228840e5-f008-5667-8c56-d116e06e45b8","Check Item - Check Item",,,,
"note","ab787a06-6369-5cc2-9829-bb84be2ef409","Reference - MRTS10 Clause 8.2.4",,,,
"checkpoint",,"Individual compacted layer thicknesses in accordance with Table 8.2.7.1. Minimum - 125mm, Maximum - 250mm",,,,
"note","9a7d3f97-6201-57f2-9938-6387cd939b8f","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","4dfad94b-fbb2-56f6-8851-2ec07da9627c","Check Item - Check Item",,,,
"note","554630cc-9a76-5d28-907a-5999dd88991d","Reference - MRTS10 Clause 8.2.7.1",,,,
"checkpoint",,"Where a lightly bound pavement layer is to be overlaid directly with another lightly bound pavement layer, the finished surface is hardcut to uniformly roughen the surface across the full width of the layer.",,,,
"note","86df1078-426a-58f0-8c80-ac9e8ef4704b","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","062d542f-b1aa-5c41-a506-80cd94b10008","Check Item - Check Item",,,,
"note","41444295-ec1f-558e-8c6f-6c702d8a8d79","Reference - MRTS10 Clause 8.2.7.2",,,,
"checkpoint",,"Unless constructed in the same shift, a cement slurry is applied to the hard-cut surface prior to placing the next lightly bound pavement layer.",,,,
"note","7c95658b-5922-5025-99d7-8deaf00d96db","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","87c40096-18e9-5bcf-9e75-0951c1581f87","Check Item - Check Item",,,,
"note","61113614-49b9-57dc-97d7-471fcee1fdb1","Reference - MRTS10 Clause 8.2.7.2",,,,
"checkpoint",,"Each layer of lightly bound pavement cover with the next layer or bituminous surfacing within seven days of placement. Lightly bound layers not covered with a sprayed seal or prime within 48 hours of placement.",,,,
"note","b6c6afce-4d86-5da3-9b3a-497bdfbbec97","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","5c9999bb-4e0b-5509-99af-32802b7e6284","Check Item - Check Item",,,,
"note","38eba4b1-cd17-5ea4-b158-e2c74f8cc7c4","Reference - MRTS10 Clause 8.2.9",,,,
"checkpoint",,"Longitudinal joints offset by a min. 150mm from joints in underlying layers, located away from wheel paths and in the final layer coincide with the lane-marking or change in crossfall. Transverse joints offset by a min. 2.0m from joints in underlying layers.",,,,
"note","2df68f3a-424c-5d1a-b5d4-5e6cce113a08","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","ab061882-408d-552d-bbd8-cd3df6622963","Check Item - Check Item",,,,
"note","3e380f93-432f-5b11-95f4-cd4cd2f5a8ff","Reference - MRTS10 Clause 8.2.10",,,,
"checkpoint",,"For fresh joints between adjoining or adjacent run, the outside 300mm of material from the first run shall be left uncompacted until the adjacent run is ready for compaction.",,,,
"note","164ff22e-f5fb-5bd6-a645-2064c43e9f99","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","89a3da69-a58e-58a0-9bc0-5fa826990f7e","Check Item - Check Item",,,,
"note","a613b5a8-9394-5bf3-8717-5baa616b52f6","Reference - MRTS10 Cl. 8.2.10.1",,,,
"checkpoint",,"Joints that are not fresh shall be cut back to form a neat, clean vertical face. Cutback distance shall be a minimum of 150mm and before placing the adjoining layer or adjacent layer, the cut back edge of the existing layer shall have a cement/water slurry at a rate of 2kg/m2. The slurry cement/water ratio to be 0.6 and 0.7.",,,,
"note","2a2634e5-665f-5e83-815c-9a0d69027445","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","7b12fd41-c430-5936-8c5d-531429f5238b","Check Item - Check Item",,,,
"note","d7a77d5b-7828-5e43-8096-5dd5b182e389","Reference - MRTS10 Cl. 8.2.10.2, Cl.6.4",,,,
"checkpoint",,"With the exception of vehicles directly involved with curing, compliance testing, sealing operations and construction of overlaying pavements and subsoil/pavement drains, lightly bound layers not opened to traffic until the lost has been tested and passes proff rolling.",,,,
"note","e84a2502-5c10-5be7-ae5f-797767d6c3b3","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","a340f3c0-ad06-59c1-a4c1-48a3ecd3644f","Check Item - Check Item",,,,
"note","32531f6b-e04f-54c2-9b3d-7491ec733413","Reference - MRTS10 Clause 8.2.11",,,,
"checkpoint",,"The actual content of stabilising agent for each lot complies with the requirements in Table 8.3.2. Min/Max Value = Target Content +/- MPV (Mixing-Plant-Variability)",,,,
"note","76b70d2d-fc4e-5bad-a5e3-46c9bb5516f4","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","779a24fc-e154-5308-871b-188959543a86","Check Item - Check Item",,,,
"note","39f7a7a9-8c70-56c8-9736-6b0999930d97","Reference - MRTS10 Clause 8.3.2",,,,
"checkpoint",,"Unconfined compressive strength between 1 - 2MPa",,,,
"note","b539bce7-3b54-53a8-9e40-3ec086bc9f83","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","a7d7e246-e05a-5259-8516-05da3087b906","Check Item - Check Item",,,,
"note","e97d06d0-911f-5872-baf8-47881cd82682","Reference - MRTS10 Clause 8.3.3",,,,
"checkpoint",,"The characteristic value of relative compaction shall not be less than 100%, except for the upper most layer of lightly bound base which shall not be less than 102%. Compaction testing will be conducted at the 4hrs working time after batching.",,,,
"note","cc36ea6f-6beb-5d0f-bcb6-c365eff18bb9","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","6b8bd859-3cd7-5dfb-81cd-c470d4be76cf","Check Item - Check Item",,,,
"note","6a450ede-78fd-518d-b105-c67ff8bf71a6","Reference - MRTS10 Clause 8.3.4",,,,
"checkpoint",,"Horizontal tolerances shall not be more than ± 50mm except for the following: a) Pavement edges not adjacent to any other part of the pavement and not adjacent to any structure or adjoining road, transverse tolerance shall be -50mm + 250mm, b) Where alignment of the pavement with an existing structure is necessary",,,,
"note","6cc2297b-5fd2-5c8e-92d7-3b7048e43c8a","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","4905f013-2ec1-5fe7-bafe-8d0baa19cbad","Check Item - Check Item",,,,
"note","67d4849b-e479-5e91-9ea3-44c990645900","Reference - MRTS10 Clause 8.3.5.2",,,,
"checkpoint",,"The primary tolerance for the Lightly Bound Layer shall be ± 10mm. Further, the total thickness of the constructed Lightly Bound Layer shall be within -20mm, +unspecified of the specified thickness.",,,,
"note","f7bbad61-1d7e-5b9b-a355-08ee5f5b7c95","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","7956d9e3-d2dd-5768-a625-f934648ca5cb","Check Item - Check Item",,,,
"note","38710e7e-d46b-5f28-b1f1-e37455317bcc","Reference - MRTS10 Clause 8.3.5.3",,,,
"checkpoint",,"Deviation of a straight edge placed anywhere on the surface shall not exceed 5mm over 3m",,,,
"note","0ca9b12e-2469-5782-88c4-74a11f17a05a","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","6f6158c8-71a1-5ab4-85fd-0d099477a624","Check Item - Check Item",,,,
"note","a3498fa6-17f7-5da4-b0bf-f36024a5156d","Reference - MRTS10 Clause 8.3.6",,,,
"checkpoint",,"Crossfall shall not differ from the designed crossfall by more than 0.5% absolute.",,,,
"note","d3f99aa8-a96f-5cb6-9309-e67a909e6e15","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","a75d1d47-f949-5efe-88a2-165177cbe5c9","Check Item - Check Item",,,,
"note","1189febc-097a-55c9-b241-10bd00d1ad70","Reference - MRTS10 Clause 8.3.5.4",,,,
"checkpoint",,"For lightly bound layers that are to be covered by a sprayed bituminous surfacing, the maximum ball penetration is less than 3mm",,,,
"note","e0c53125-2dd6-5bcc-b67c-39d7e16dd50c","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","6b3a5c98-ba2b-53b2-93ee-762fda22a37b","Check Item - Check Item",,,,
"note","fe8c5957-bdec-53f8-88ad-23c09de634f3","Reference - MRTS10 Clause 8.3.8",,,,
"checkpoint",,"The perceptible surface deformation test shall be undertaken in the presence of the Administrator",,,,
"note","7beffcfd-cfe3-5c47-998c-2ada5fa509cf","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","797c2d4b-60b3-5896-8e03-14742e34e033","Check Item - WITNESS POINT",,,,
"note","2b6c6a48-4bb0-5efc-8303-db356b653b4a","Reference - MRTS10 Clause 9.4.10",,,,
"checkpoint",,"No lightly bound layer shall be covered by a subsequent layer of pavement or surfacing untill all testing has been completed, the surface finish comlies with Clause 8.2.7 and the layer presented to the Administrator.",,,,
"note","99f3764f-31ae-5154-a946-6e89593c57bc","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","0f71b48f-3f23-554c-81b1-878b2baa49a1","Check Item - HOLD POINT",,,,
"note","ebff21b4-5e66-58f8-b29f-8d806ae90074","Reference - MRTS10 Clause 9.5.1",,,,
"signoff",,"HOLD POINT",,,,
"checkpoint",,"Final Verification",,,,
"note","6686c78a-bcf1-50f2-b33f-58809ff843c1","Project Manager Verify that the Above has been Constructed according to Specification",,,,
"textbox","1823663c-d375-5521-8032-7b76bf768124","Print Name:",,,,
"date","b75528d9-701b-51a2-b2c9-f32c36012770","Date:",,,,
"note","b9ff7dfe-79c5-559c-bb40-bb53dfdbd196","Client Verify that the Above has been Constructed according to Specification",,,,
"textbox","b1da697a-1536-520d-ada8-03e8923600c0","Print Name:",,,,
"date","02bc12fe-6347-58d5-a8d9-dd47022728c7","Date:",,,,
"signoff",,"Signature",,,,

"checklist",,"03.27 - Subsoil Drains","itp","03.27 - Subsoil Drains",0,"22f75cee-f532-4d07-8e4e-0249655baaad"
"section",,"Details",,,,
"checkpoint",,"Subsoil Drains constructed to appropriate dimensions, Geotextile surround and Pipe perforated with textile suround (Inspect trench prior to backfill)",,,,
"note","69b1bc94-c1c5-58f9-8ea6-e34cdce0f83c","Acceptance Criteria and Frequency (Project Specific) - Type B: 700x300mm Trench, 100mm Pipe - 50mm off base",,,,
"note","ead2dffe-5377-5c76-b5dc-724071cc1969","○ Type D: 100mm Wide Trench, 40mm Strip Drain",,,,
"note","60802c00-03d6-5cdc-b6a4-c2ef9fcabe56","Check Item - Check Item",,,,
"note","ced78bcb-8492-558f-9857-d2141504a1e9","Reference - MRTS03 Fig 22.1",,,,
"checkpoint",,"Type B subsoil drains backfilled with either 10mm/20mm drainage agregate or 20mm no fines concrete. Type D subsoil drains backfilled with either course sand or 20mm no fines concrete.",,,,
"note","b8a134ce-8a71-54ef-9190-db069dc401ff","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","02ab3ea8-a6b6-5cac-a73f-a94ffef0fec2","Check Item - Check Item",,,,
"note","a17268c4-d6ce-5791-85ae-6763f56e82f5","Reference - MRTS03 Cl22.2.5",,,,
"checkpoint",,"Minimum cover over strip filter drains comply with Table 22.3.1 of MRTS03 for the relevant compactor size used for construction.",,,,
"note","1cd5f9ca-ce22-5f3c-b824-6483a3f7b82c","○ Hand Held Unit - 100mm",,,,
"note","d02a2228-ebf5-55be-8cb9-626afcc58e81","○ < 15 tonnes - 200mm",,,,
"note","74964150-ef4e-5fed-9a84-daf87b9c142e","○ > 15 tonnes - 300mm",,,,
"note","04386bb6-0601-5c19-8fd6-31432de9b2eb","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","08fe8ed5-9734-5b8a-886e-4ae23fcccb2d","Check Item - Check Item",,,,
"note","d55e93f2-0212-5deb-bbf1-b925818107be","Reference - MRTS03 Cl22.3",,,,
"checkpoint",,"Minimum grades for subsoil drains comply with Table 22.3.2 of MRTS03.",,,,
"note","9ceec1f8-ad6d-5ade-ab3c-89cd60e1796c","○ Type B - 0.5%",,,,
"note","67f6152f-8c16-5477-ab0f-7669f9de07df","○ Type D - 1.0%",,,,
"note","3bbd169f-fbe2-59f3-8e8a-cda1bf1442d0","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","23ac03ea-435b-5a9e-a5db-6d3b2e536e45","Check Item - Check Item",,,,
"note","b2a75c4a-40ed-5e42-ac9d-4172fdf7cbc4","Reference - MRTS03 Cl22.3",,,,
"checkpoint",,"Clean outs installed at head of all subsoil drains and at 60m intervals (Type B - pipe drain) / 50m (Type D - strip drain). Clean outs in accordance with standard drawing 1116",,,,
"note","7e3fba23-ca82-5b26-b9e8-fd587ea35b24","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","740b87aa-94b5-5087-8771-9a08f4113100","Check Item - Check Item",,,,
"note","35a1cd66-b177-5f65-b519-8e378872c86c","Reference - MRTS03 Cl22.3 TMR SD 1116",,,,
"checkpoint",,"Backfill material dampened when placed in trench. Placed in 200mm layers and tamped.",,,,
"note","0b6bc5db-334f-5b30-83dc-8ce0659b945d","Acceptance Criteria and Frequency (Project Specific) -",,,,
"note","fcdba911-78bf-50c0-b2b9-ee167acbf146","Check Item - Check Item",,,,
"note","f59ddeeb-c02e-5e68-bfdf-48b6a7c6d964","Reference - MRTS03 Cl22.3",,,,
"checkpoint",,"Concrete outlets, surrounds ,chicken wire cones, pest proof flaps, cast iron/PVC caps, rock pitching in accordance with standard drawings.",,,,
"note","defa2802-35c8-5e3d-bf5d-d1a9f819ab15","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","a15fecd2-bc14-5063-bbcd-bf5342c39cfc","Check Item - Check Item",,,,
"note","14a1c9a8-4dc1-5e39-8ac9-1eb6ad3027b3","Reference - MRTS03 Cl22.3 TMR SD 1116",,,,
"checkpoint",,"Marker posts installed where and when required as shown in the project drawings or standard drawings.",,,,
"note","cf23d84e-2b4e-5d75-a8d7-6cb97c279d81","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","b300bd3f-d407-593a-ad2d-eff16198c4bb","Check Item - Check Item",,,,
"note","a826de5b-3a96-5495-9f19-7933bf2d96c0","Reference - MRTS03 Cl22.3 TMR SD 1116",,,,
"checkpoint",,"Subsoil Drains Flushed when complete until outlet water is clean and flows consistently",,,,
"note","86e493ca-6e49-5764-9649-69d051c3dbd0","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","9b5b1502-3160-585f-a7fe-6ccefe7dff62","Check Item - Witness Point 4",,,,
"note","4537ca9a-fcb4-534f-ba01-168026b83483","Reference - MRTS03 Cl22.3",,,,
"checkpoint",,"Final Verification",,,,
"note","5b8335b8-d220-53ef-abf2-1125208f3241","Project Manager Verify that the Above has been Constructed according to Specification",,,,
"textbox","8d63abbc-f4ec-566e-bee4-b9e1c26a78e4","Print Name:",,,,
"date","59e08c75-813d-56aa-9cb8-ad99c31bb3dd","Date:",,,,
"note","7db12370-2d13-5a87-848d-a8b9b6422729","Client Verify that the Above has been Constructed according to Specification",,,,
"textbox","10badf60-772c-5788-bdad-fbb783c07691","Print Name:",,,,
"date","394d2ca1-91d9-5bc0-8003-cf4e69eeaf9f","Date:",,,,
"signoff",,"Signature",,,,

"checklist",,"03.02 - Supply and Installation of Precast Concrete Pipe","itp","03.02 - Supply and Installation of Precast Concrete Pipe",0,"48e8cca5-94de-4043-b278-223ab5328864"
"section",,"Details",,,,
"checkpoint",,"Contractor shall set out installation as shown on the drawings. The Administrator will determine the design appropriateness of the set out with regard to the actual site conditions.",,,,
"note","574a9e0e-4da8-5523-9e40-72dcb18af1ac","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","a4b313d9-26fc-5908-810a-20d1c703bb04","Check Item - Hold Point 1",,,,
"note","c7f3027b-6a49-5887-a0ea-228f7c2f6a66","Reference - MRTS01 Cl. 8",,,,
"signoff",,"HOLD POINT",,,,
"checkpoint",,"Concrete Pipe culvert components comply with MRTS25/26, Box Culverts Comply with MRTS24",,,,
"note","963add51-d983-5272-93f8-70200536d564","Acceptance Criteria and Frequency (Project Specific) - Manufacture and Test Certificates",,,,
"note","a7daf4bc-7816-596d-a05b-4d84e8c83bc1","Check Item - Check Item",,,,
"note","f1bb715c-ae91-51c5-9e53-410aa091fdb3","Reference - MRTS03 Cl10.2, MRTS25, MRTS26, MRTS24",,,,
"checkpoint",,"Component size, wall thickness and class is as specified in the drawings",,,,
"note","c17de2d2-9872-57ba-85e4-3436bb77b859","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","309f6144-4c53-576c-b2b3-250c2914899b","Check Item - Check Item",,,,
"note","4e92c4b5-1791-5d84-a91d-a707afc4b1c0","Reference - MRTS03 Cl11.2",,,,
"checkpoint",,"Bandage Covers are a Proprietary Product, either: Synthetic or Rubber Band, samples inspected by administrator",,,,
"note","e24b1548-7334-5e00-aa8c-8f85eb39c81c","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","b2dd2fb5-069b-5e7c-80b3-8ebc79904ae5","Check Item - Hold Point 1",,,,
"note","a94a6206-0e44-5c6c-875b-42ebc1b36b4f","Reference - MRTS03 Cl11.2",,,,
"signoff",,"HOLD POINT",,,,
"checkpoint",,"Procedure for excavation, installation and backfill submitted 14 days prior to works.",,,,
"note","006da610-1577-5b4a-8d98-e6a233c569a0","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","a51f4690-a6c1-5eea-b092-1b9018a0f718","Check Item - Milestone",,,,
"note","285d4fa0-80fb-579d-8bb4-36e6273dab57","Reference - MRTS03 Cl11.3.1",,,,
"checkpoint",,"Culvert Construction Procedures accepted prior to commencement of Installation",,,,
"note","0143ddea-b7c9-5a1a-8e9a-4b785598a32e","Acceptance Criteria and Frequency (Project Specific) - Written",,,,
"note","410353ab-0b3b-5924-b6c0-7bbef1620dad","Check Item - Hold Point 2",,,,
"note","3dd530f9-cc69-53fe-9f51-fc676b90f282","Reference - MRTS03 Cl11.3.1",,,,
"signoff",,"HOLD POINT",,,,
"checkpoint",,"Components installed in the locations and in accordance with the details as shown on the drawings",,,,
"note","52d7ecda-d55b-5670-b02b-5dd379a08fc2","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","bc67ff97-c5a9-50cd-83a4-604dac480d55","Check Item - Check Item",,,,
"note","03a16df3-d54f-5ec8-bede-a421d500ca06","Reference - MRTS03 Cl11.3.1",,,,
"checkpoint",,"Excavations completed as per MRTS04",,,,
"note","5a10d4a5-1c15-5894-a4b3-6f2d169004d3","Acceptance Criteria and Frequency (Project Specific) - Visual, MRTS04 ITP",,,,
"note","fc9ee606-716c-55d5-86c7-00787ba30224","Check Item - Check Item",,,,
"note","eeb5f62b-6294-5bb3-a4c9-db2ddcc76317","Reference - MRTS03 Cl12.3.1, MRTS04",,,,
"checkpoint",,"Foundation bedding and Haunch zone material placed in Accordance with MRTS04",,,,
"note","ef3a50f7-8095-5d7b-9998-a6f83f371d4c","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","32d5dd23-bc94-5ca5-b004-eb853d1eb2a1","Check Item - Check Item",,,,
"note","6e40860a-400b-5670-9534-dba4dea32b50","Reference - MRTS03 Cl11.3.2",,,,
"checkpoint",,"Components are assembled as per manufaturers specifications",,,,
"note","1a91a0ab-fb2a-552c-8170-8265abfbc3b6","Acceptance Criteria and Frequency (Project Specific) - Visual",,,,
"note","25a68a10-b766-5583-acc9-79a677ce9630","Check Item - Check Item",,,,
"note","228d9942-1fb9-5989-b252-a698bb589fdf","Reference - MRTS03 Cl11.3.3",,,,
"checkpoint",,"If Possible, Contruction commenced at outlet Ends of components free from foreign matter",,,,
