type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
note,• 300mm<Horizontal clearance for corrugated metal culverts<1000mm,,,,,,,,,,,,,
note,• 300mm<Horizontal clearance for other Pipe culverts<600mm,,,,,,,,,,,,,
note,○ Box Culverts:,,,,,,,,,,,,,
note,• 0.5 times the height of the culvert<Horizontal clearance<overall height of the culvert,,,,,,,,,,,,,
note,"Method - Visual Inspection, Measure",,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.2 - Trench Base,,,,,,,,,,,,,
note,Reference - VR Section 701.15,,,,,,,,,,,,,
note,Acceptance Criteria - The base of the trench shall be compacted to refusal using mechanical plant.,,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - SP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.3 - Bedding-Placement and compaction,,,,,,,,,,,,,
note,"Reference - VR Section 701.16, VR Section 701.20 (a)",,,,,,,,,,,,,
note,Acceptance Criteria - Bedding material shall be provided and placed for the full width of the trench. The compacted thickness of bedding material following any shaping necessary shall be not less than:,,,,,,,,,,,,,
note,– 100 mm where D < 1500 mm,,,,,,,,,,,,,
note,– 200 mm where D ≥ 1500 mm,,,,,,,,,,,,,
note,• Bedding materials shall be placed and compacted in layers not exceeding 150 mm loose thickness. Bedding shall be compacted to refusal using hand held mechanical equipment.  Bedding material which has a swell equal to or greater than 2.5% shall be maintained at a mean moisture ratio of 92% between the completion of rolling and the placement of the overlying layer.,,,,,,,,,,,,,
note,"Method - Visual, Measure",,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.4 - Laying pipes-Bedding conformity,,,,,,,,,,,,,
note,Reference - VR Section 701.17,,,,,,,,,,,,,
note,"Acceptance Criteria - Laying of pipes or box culverts shall not commence until the Contractor has verified that culvert bedding complies with the specified lines and levels and compaction requirements, and that box culverts and pipes are not damaged.",,,,,,,,,,,,,
note,• Laying of pipes or box culverts shall commence from the downstream end.,,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.5 - Pipe Laying,,,,,,,,,,,,,
note,"Reference - VR Section 701.16, VR Section 701.17",,,,,,,,,,,,,
note,Acceptance Criteria - Laying of pipes or box culverts shall commence from the downstream end.,,,,,,,,,,,,,
note,– Rebate and socket ends of pipe sections shall be placed facing upstream and be fully entered.,,,,,,,,,,,,,
note,– The lower portion of the pipe shall be in contact with the bedding for the full length of each section.,,,,,,,,,,,,,
note,– The compacted bedding shall be shaped to accommodate the joint collar and ensure that the pipe is supported along its full length.,,,,,,,,,,,,,
note,"– When the sections are in position, an additional layer of bedding material shall be placed to a height equal to 30% of the nominal pipe diameter or culvert height",,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Pipe,,,,,,,,,,,,,
note,Category - SP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.6 - Pipe Joints and rotation,,,,,,,,,,,,,
note,Reference - VR Section 701.18,,,,,,,,,,,,,
note,"Acceptance Criteria - All interlocking RCP shall be mortar jointed, or wrapped with a 200 mm wide external joint rubber band.",,,,,,,,,,,,,
note,– Pipes shall be laid with lifting holes uppermost. Lifting holes shall be plugged or otherwise closed off in accordance with the manufacturer’s instructions after the pipe is installed. .,,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Pipe,,,,,,,,,,,,,
note,Category - SP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.7 - Conformity with drawings,,,,,,,,,,,,,
note,Reference - VR Section 701.10,,,,,,,,,,,,,
note,Acceptance Criteria - The location of each run of underground drainage shall be verified by a survey certificate prior to backfilling the culverts and shall be recorded progressively on the Contractor’s as constructed drawings,,,,,,,,,,,,,
note,• Unless specified otherwise the tolerance on location of pipes compared to the design or a change to the design notified in accordance with this clause shall be:,,,,,,,,,,,,,
note,(a) offset of entry pits required to match lines of  kerbs or barriers ±20 mm,,,,,,,,,,,,,
note,(b) plan location of pits other than offsets to kerb lines or barriers ±100 mm,,,,,,,,,,,,,
note,(c) invert level of pipes at pits ±50 mm,,,,,,,,,,,,,
note,(d) departure from design grade of pipe runs ±10 mm in 10 m provided minimum grade is not less than 1:250,,,,,,,,,,,,,
note,• ATTACH: Survey Report,,,,,,,,,,,,,
note,Method - Measure,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Survey Report,,,,,,,,,,,,,
checkpoint,5.8 - Backfill-Under area to be paved,,,,,,,,,,,,,
note,Reference - VR Section 701.19 (a) i,,,,,,,,,,,,,
note,Acceptance Criteria - Culvert under area to be paved,,,,,,,,,,,,,
note,"– Where the trench has been excavated from design subgrade level or above, the trench shall be backfilled to design subgrade level with selected backfill material, and above that level with appropriate pavement material.",,,,,,,,,,,,,
note,– Where the trench is excavated from below design subgrade level the trench shall be filled with selected backfill material.,,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - SP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.9 - Backfill-Under area not to be paved,,,,,,,,,,,,,
note,Reference - VR Section 701.19 (a) ii,,,,,,,,,,,,,
note,Acceptance Criteria - The trench shall be backfilled with selected backfill material to a level 0.3 m above the top of the culvert and with ordinary backfill material above that level.,,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - SP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.10 - Backfilling with cement stabilised sand,,,,,,,,,,,,,
note,Reference - VR Section 701.19 (c),,,,,,,,,,,,,
note,"Acceptance Criteria - Where approved by the Superintendent, culverts in trenches may be backfilled to half the pipe diameter or box culvert height.",,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - SP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.11 - Backfill Placement,,,,,,,,,,,,,
note,Reference - VR Section 701.20,,,,,,,,,,,,,
note,Acceptance Criteria - backfill materials shall be placed and compacted in layers not exceeding 150 mm loose thickness.,,,,,,,,,,,,,
note,Method - Visual,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - SP,,,,,,,,,,,,,
note,Responsible person - SE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,5.12 - Backfill Compaction,,,,,,,,,,,,,
note,Reference - VR Section 701.20 (b),,,,,,,,,,,,,
note,Acceptance Criteria - 20% of all bedding/Backfill layers for each culvert shall be tested.,,,,,,,,,,,,,
note,– Backfill material which will have a nominal size after compaction of 40 mm or less shall be compacted to a mean value of density ratio of not less than 97%.  ,,,,,,,,,,,,,
note,– Backfill material which has a swell equal to or greater than 2.5% shall be maintained at a mean moisture ratio of 92% between the completion of rolling and the placement of the overlying layer.,,,,,,,,,,,,,
note,Method - Test,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - PE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
section,6. Post-construction Activities,,,,,,,,,,,,,
checkpoint,6.1 - Compaction and Moisture content tests,,,,,,,,,,,,,
note,Reference - VR Section 701.20,,,,,,,,,,,,,
note,"Acceptance Criteria - Bedding and backfill shall be assessed for compaction and or moisture in lots.  The number of tests per lot shall be three.  A lot shall consist of one layer of bedding or backfill for a culvert length between adjacent pits or endwalls.  Notwithstanding the provisions of Section 173, a minimum of 20% of all lots for each culvert shall be tested.",,,,,,,,,,,,,
note,• ATTACH: Compaction and Moisture content test results:,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - IP,,,,,,,,,,,,,
note,Responsible person - SE/PE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
note,• Attach Test Results,,,,,,,,,,,,,
checkpoint,6.2 - CCTV Inspection,,,,,,,,,,,,,
note,Reference - VR Section 701.30,,,,,,,,,,,,,
note,"Acceptance Criteria - All drainage lines constructed shall be inspected, after completion of earthworks to subgrade level and prior to construction of pavement layers, by an independent testing organisation using closed circuit television (CCTV) to verify that the flow of water is not obstructed by waste construction material left inside and to check for visible signs of defects.",,,,,,,,,,,,,
note,• ATTACH: CCTV Report (PDF),,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,Frequency - Each Lot,,,,,,,,,,,,,
note,Category - HP,,,,,,,,,,,,,
note,Responsible person - Nominated Authority,,,,,,,,,,,,,
note,Verifying Documents - ConQA HP Release ,,,,,,,,,,,,,
note,• Attach CCTV Reports,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,6.3 - Non-conformance Report (NCR) Closure,,,,,,,,,,,,,
note,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,
note,"Acceptance Criteria - Ensure that any NCRs pertaining to the lot / element / Work area that this ITP covers, have been closed in Teambinder.",,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,
note,"Frequency - Once, prior to closure of this lot / element / Work area",,,,,,,,,,,,,
note,Category - HP*,,,,,,,,,,,,,
note,Responsible person - PE,,,,,,,,,,,,,
note,Verifying Documents - This Checklist Signed-Off,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,
note,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,
textbox,Name:,,,,,,,,,,,,,
textbox,Position:,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,
signoff,Sign ITP,,,,,,,,,,,,,
