"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"06a004aa-ba78-408e-9c3f-d67094b6e32e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Pre-starts"
"a17d6eaa-0a05-4b4a-b14e-63a4e2305a5d","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"39069bcf-089a-41b6-99e0-4ebff953d2d5","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"174b7fba-e94f-56b9-8319-fd69fddf3411","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"75bed85b-39d7-5c41-ad6d-6d236f7f8fd5","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"a2c7d6d8-fd8b-4b8b-a017-115f27af6d6f","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"e4820f68-aef4-5c1b-9fef-12f302620e94","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"d7ad90ac-605a-5879-a6d6-62a181823f03","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"7b0f42a4-4927-4941-a66d-ab5e0e91208f","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"fff3bb3f-d26a-539f-b4b5-a7e396976b75","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"902bd53f-8dde-55b8-830f-fc1723a71a76","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"7b86eb0c-8e7e-4f7d-ad5e-a1188274e64b","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"eb9740eb-5331-5f61-a769-ebb75a2737cc","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"d8cfaec9-2add-56ed-b20d-76577a18c29c","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"fac1664b-914e-4126-b722-7524048ce319","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"ee663eae-0290-51cc-aa80-66c25222882f","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"2f90c6b9-b01a-520b-9ef2-b120525f80d4","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"d32c7f62-7d9f-4965-95d9-83637422e67f","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"ce308b10-b676-566f-b269-0356b815d245","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"64c7646a-ceee-5f1b-a541-e5480adfd086","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"94d4529d-5a86-4f10-a94a-34cafafc0f0e","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"319f6640-c959-5846-9581-8f6b3df3e01f","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"618c8bc6-57a7-5211-bb51-89d8bc1822ed","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"1be4368b-aff7-43a1-aac5-7ead92b9b909","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"c7ff6ac1-88a4-5a89-96ec-953e1c48e2e8","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"085cde6c-8dfb-5649-bd1d-1bca0f1f1d23","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"8a0b5655-a2d3-4887-ada3-ba09f5ad9882","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"ed12f0af-36b1-5ec3-b488-9f2881521649","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"f2971039-d59d-553b-a8cb-80421628e925","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"8ec897d3-969c-4c1d-a9d8-7a00b3b80d10","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"d61c6c4e-becd-5e62-b708-b59d439573f0","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"41ff7d4e-143b-5233-8056-f1ff6ab93aad","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"a57cf6f4-4b62-4f7c-b469-359ec95665c8","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"7b36d27b-fdef-57a4-9169-aa71c4e24243","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"055f393c-bad2-5b62-aa16-a8645d400b8d","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"6f859ba7-4b22-4096-bdeb-6f636b860ca5","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"1f2e6b5c-9d81-528e-a291-d47590bfd8a3","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"b9b86f76-112e-5095-b0da-c82f861c8ace","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"8ecfabd0-df23-4798-a215-851d1676deb8","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"8f8bbac6-4aab-5093-bd64-6913e817d7ff","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"5b307fca-1ef8-50de-b3f3-1caaa5030793","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"4b29d32c-230a-4acf-afdf-ab7aec1f122d","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"7fe12336-8843-53e1-8875-50107be4dc3e","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"d32bd73e-4163-5cd5-8093-f9b0c9a9cee0","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"e5209fbc-41d5-4bb0-a465-db8204c19458","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"6021f120-d720-5c50-b1ab-a7d4c6141887","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"065971f3-13bd-5f79-b6f0-69aded6216de","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"49495ae6-acac-4394-bce9-cfd655f9a45c","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"b2005ae2-db39-5fb0-b01b-459c86410315","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"e6b2c7ea-b07c-5ad2-b27d-d4e95dc17cfa","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"f27bf6b5-7d9e-4a35-bb94-834ec6141f3c","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"bb8d392a-3f15-5dd9-b37a-f40c8e7c0429","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"41f7603b-40de-50bb-9a49-b48da4004107","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"6a428b4e-48ef-4124-8655-371eee9e4061","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"83814582-58ab-5ad2-877b-a556e468ecb7","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"249e1227-e68b-51d8-a194-622d565ac63d","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"45306202-4fee-4af4-8f1e-26568ca8fc16","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"89120de7-4339-502e-8322-c9fff87e4e95","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"af1ce7ab-f5f9-5b86-a43e-18e59aa64c3f","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"26d5fb2f-9262-4fc0-b61b-1c984c6f295f","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"b4d06e7d-a051-52c6-a892-ed4d585dd5aa","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"deef7883-4675-5bba-9193-8aa230929819","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"b03abc8f-827b-46c6-985e-807f000c302e","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"3de54ddb-fc16-51de-aad2-0cb3aba422e1","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"cf5f68bd-c968-5f38-a2ef-0a4e81ac221d","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"dac8f7bd-a787-4394-a1c1-8b018d42c59f","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"cc57ba75-e1c3-59de-86a3-074538e1f036","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"18dbbc06-2a8e-5e0e-b916-b7b635ac87ab","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"aa6a514a-9c72-4806-8b7f-fec8118a5eea","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"35be1e0a-af35-5303-b1f9-f59574104f95","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"824a4888-b191-55b4-bdd0-62375abaafb3","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"f3f6642d-358d-456a-9ecb-cd712998ea5f","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"4b23eaee-0154-5d5e-858b-f81981cc8504","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"549f676e-d688-55cc-9962-fe1738dbf189","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"f6c2eae7-6c34-45b0-85ad-34b3af7b56f9","","checklist-flat","not-started","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"00c7dc54-8599-5dfc-9cf9-cbd12e3f2402","","checkpoint-status","not-started","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"49d0da19-5820-5737-9d02-bfff3f3e2781","","checkpoint-status","not-started","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"7a13ead8-415d-4c25-abda-2c6de21c32fe","","checklist-flat","not-started","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"0445a64a-0602-5c7d-b9a9-af3a476422e4","","checkpoint-status","not-started","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"e05612cb-f19f-5895-acd1-a1c2ec878971","","checkpoint-status","not-started","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"1429376e-c076-42e6-8b3d-4c8a1d96b189","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"1e881376-542a-5cbd-ae5c-53570b305eea","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"870a6d1b-dfab-5e78-9e46-72147fdc1f35","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"48a574ac-91f3-4af9-bf18-938000220fc7","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"1d2f7ab7-74b4-5ca1-8320-ffe20cd923fd","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"9acacc8a-a006-5f23-978c-66bb5ccb2f3b","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"fbd897e5-1765-4ffd-9a22-b60ab6bef3b9","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"0621fd21-0dfd-56c8-b8ce-4289fa8a1731","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"ae6b2353-8974-5ffc-9ce8-a198b03a1b4a","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"24c51800-977c-46bc-8cae-93e21a765df6","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"289a7d10-ebf6-5bb2-bbfc-1c78969a61bb","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"0048972e-dc98-533f-bd3e-657ff94a5d51","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"eee26617-c9ff-4698-ae18-fd4d37136ecc","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"0770e332-9f7e-5b93-9103-4f2f8e28d565","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"7a199dba-707f-577e-a133-58edeaacddd2","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"f2c93404-b177-43e2-9ac0-cc29f955cf5f","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"3336a0c4-677b-5186-a9fa-041cb1630c39","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"ad007ef0-6974-5806-882f-7d20763800ea","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"2cfece88-342d-4da5-935c-49f170da9e39","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"4d840596-06fd-5c94-99a4-3fb8a42df556","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"2087dbf6-a095-5954-aa68-abdaa6292c52","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"03e6e85d-e854-470c-98b9-3c648912761b","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"c8c849e1-9f00-5601-bc95-e25adcf459c5","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"b3543fa7-d45d-5cef-bb52-a8203b6893df","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"529f969c-9ca9-4a27-807a-12562d88af7d","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"c4c1fa73-7051-551e-b330-936e075813ca","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"b5320205-31f6-5150-b7a8-1923b372a4e8","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"99a11b83-5ad2-4d04-92cd-f4a257652c2a","","checklist-flat","pass","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"433a1ad1-ba6a-5424-9bae-47373d2f6b00","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"3ff3677c-39ff-5bf4-8975-e019fa55a593","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"cb72770f-0ef3-40bd-8a25-f8dee8f51552","","checklist-flat","work-in-progress","Pre-start Toolbox Talks","checklist-flat","FALSE","FALSE","Daily Pre-starts","Pre-start Toolbox Talks"
"32e51b17-70b1-58ba-bbd4-88abd563e640","","checkpoint-status","pass","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Pre-start Toolbox Safety meeting completed"
"d5d99bc5-2207-5d5f-a421-9614d98cae5d","","checkpoint-status","not-started","","","TRUE","TRUE","Daily Pre-starts","Pre-start Toolbox Talks","Signed off by Ergo Group Supervisor"
"349263ef-7d15-43b9-89b9-d7ec2bb69529","","folder-normal","pass","","step","TRUE","FALSE","Weekly Toolbox Talks"
"2dc3e9d5-ced0-41d2-94eb-8c3398f2171a","","checklist-flat","pass","Toolbox Safety Talks Meeting Minutes","checklist-flat","FALSE","FALSE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes"
"78eb3ac9-9231-5618-85ab-3d596cbf3804","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes","Toolbox Safety meeting completed"
"cd5ac1e3-f206-51ee-aa81-771e47d9efb0","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes","Signed off by Ergo Group Supervisor"
"734b0326-688a-4755-a202-2e58195ece25","","checklist-flat","pass","Toolbox Safety Talks Meeting Minutes","checklist-flat","FALSE","FALSE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes 01/08"
"9fd3b3a6-d753-5376-a8de-fb42f55e0b59","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes 01/08","Toolbox Safety meeting completed"
"4909424a-a94a-56eb-b358-19cb20130e8e","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes 01/08","Signed off by Ergo Group Supervisor"
"d362e418-365f-4a3d-ba6b-e4fbf38e5fb8","","checklist-flat","pass","Toolbox Safety Talks Meeting Minutes","checklist-flat","FALSE","FALSE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes 30/08/23"
"09a7c709-f1c3-5c1e-b141-5e51acdaa792","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes 30/08/23","Toolbox Safety meeting completed"
"b10a0d89-635b-5ac7-9e56-5e7c9e7680b1","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes 30/08/23","Signed off by Ergo Group Supervisor"
"62657892-7c68-49bb-b616-69a768d84e6f","","checklist-flat","pass","Toolbox Safety Talks Meeting Minutes","checklist-flat","FALSE","FALSE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes"
"41d26f44-b936-555c-9a3c-78e36f6d3988","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes","Toolbox Safety meeting completed"
"398d764d-6e93-51fc-b6b2-f1a8dfad12a3","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes","Signed off by Ergo Group Supervisor"
"37ee3a92-9d64-483c-bc60-73a270bafa13","","checklist-flat","pass","Toolbox Safety Talks Meeting Minutes","checklist-flat","FALSE","FALSE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes"
"56c8f2b0-f06e-5eb4-a763-9490d341031d","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes","Toolbox Safety meeting completed"
"47b13bac-46a4-5291-87e6-75bb3c0b0f02","","checkpoint-status","pass","","","TRUE","TRUE","Weekly Toolbox Talks","Toolbox Safety Talks Meeting Minutes","Signed off by Ergo Group Supervisor"
