"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"84dcdaef-f9d9-42be-90bc-77b00453a684","","work-in-progress","","folder","TRUE","FALSE","QA"
"88d3dcb8-caea-428c-bde9-655cad4cbcca","","work-in-progress","Stormwater BG","checklist","FALSE","FALSE","QA","Stormwater BG Kavanagh St stage 1"
"3402305d-dbd8-540e-9a60-31dd0b6f2574","","pass","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual)"
"c200bbf5-c8fb-5779-8219-9dcda80de620","","pass","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a:962e5f6c-c171-43a6-9d63-8956c3994f36","signoff","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Notify and gain permit from principal contractor / client for inspection"
"091e0573-65b3-5683-a228-58342eee33d2","","pass","Stormwater BG:ca296f48-5010-50b6-a3a2-23677a2db500","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Latest specifications and standards nominated in ITP"
"6f707292-8d2d-5fb9-9aff-a6d64711ad0e","","pass","Stormwater BG:7aeeba92-0cf6-54f9-a401-eb28f9fdb45a","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Setout & alignment as per latest available drawing (include revision below)"
"3151a6db-e19b-5d49-bc9d-7a98691ddd60","","pass","Stormwater BG:f0f55c81-bcaf-59f1-9682-e6c957a7d1eb","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Correct approved materials as per sample register"
"f668e120-910d-59e7-925e-f29303e88cc0","","pass","Stormwater BG:4455766f-3eac-55cc-8857-4db1f20983f2","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Excavation undertaken & no issues (Any issues comment below)"
"14437fc9-b291-5dec-a9a0-7191454fbd57","","pass","Stormwater BG:c1585814-0959-5d58-87ab-4cfc872605cc","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Pipe bedding material (as per AS 500)"
"3635aafe-9609-5ca0-aa20-f809988eafcf","","pass","Stormwater BG:ce322e6d-7f63-5bf6-a477-b5f1a151ddbc","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Grades, fittings & joints installed to standards"
"2ef02a9b-04d3-5007-98aa-f7fb13595c90","","not-applicable","Stormwater BG:1744ed1f-3d17-58c0-b87e-b5de1228f3d4","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Pipe clean out via water flush"
"fe5f2a3e-9f0b-50cb-ad62-a4e9cbd1851e","","pass","Stormwater BG:3e501ca0-b9ec-5db7-953d-7fa76b2c0e91","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Inspection and Testing Prior to Concealment to AS 3500.2 section 13"
"c9c7af95-bef8-5adb-af47-4d226bc3e99d","","pass","Stormwater BG:0ccc95fa-921b-541d-b612-6d25903a866c","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Builder sign off prior concealment"
"c6ecd218-2817-5884-8012-28aa581f8e98","","pass","Stormwater BG:ae7f647a-2d28-5dfc-b8c3-04ca6f8e6945","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Seal open ends with caps & high light to avoid damage"
"78fa552f-5322-5675-b72a-783ff22b6054","","pass","Stormwater BG:e38f2575-5287-591a-80c5-9b90bda8b0c4","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Backfill & Compaction of Material (As per Specification / Geotechnical report)"
"2d7166b7-be27-56cb-a54c-670495caaa98","","work-in-progress","Stormwater BG:9d169dc9-90d0-5c2c-b845-d76ae7914da8","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","CCTV on completion & record results (If applicable)"
"738a0f40-4383-56e1-913e-3bda282d12c0","","pass","Stormwater BG:a51941bf-58da-55a5-9a43-3db39640fbb2","checkpoint","TRUE","TRUE","QA","Stormwater BG Kavanagh St stage 1","Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below)"
"da574ad0-1431-408d-bb2e-a290d6d6aa08","","work-in-progress","","folder","TRUE","FALSE","QA","Civil"
"185812e3-a33e-4852-be69-1bff9b1acaa7","","work-in-progress","","folder","TRUE","FALSE","QA","Civil","Stormwater Drains"
"6c3c3cfe-35bd-42c1-a737-1444b225c9b8","","work-in-progress","Stormwater BG","checklist","FALSE","FALSE","QA","Civil","Stormwater Drains","Section 4.1 - 4.2"
"5eaaaf47-1db2-5f8e-8720-6c3b803266d7","","pass","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual)"
"6d18c5c8-d5fc-52ce-9536-7e6e69401886","","pass","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a:962e5f6c-c171-43a6-9d63-8956c3994f36","signoff","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Notify and gain permit from principal contractor / client for inspection"
"1f1a1a0f-c22b-5851-b2ec-92fc97b93725","","not-started","Stormwater BG:ca296f48-5010-50b6-a3a2-23677a2db500","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Latest specifications and standards nominated in ITP"
"580f9a8f-c540-5d12-94e8-a300f56d2539","","pass","Stormwater BG:7aeeba92-0cf6-54f9-a401-eb28f9fdb45a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Setout & alignment as per latest available drawing (include revision below)"
"15f7236b-7735-5fa9-8532-b9310e354eea","","work-in-progress","Stormwater BG:f0f55c81-bcaf-59f1-9682-e6c957a7d1eb","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Correct approved materials as per sample register"
"4dba2705-82fd-5817-a31a-bb3f973266f2","","pass","Stormwater BG:4455766f-3eac-55cc-8857-4db1f20983f2","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Excavation undertaken & no issues (Any issues comment below)"
"11118b07-291a-56c6-9dca-5e81c9a6ebdd","","pass","Stormwater BG:c1585814-0959-5d58-87ab-4cfc872605cc","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Pipe bedding material (as per AS 500)"
"94c40efc-bbc6-5e9d-a363-f94a10a9856e","","pass","Stormwater BG:ce322e6d-7f63-5bf6-a477-b5f1a151ddbc","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Grades, fittings & joints installed to standards"
"4a99013d-e0e6-5f75-a15e-6dc6ed0ff52c","","not-started","Stormwater BG:1744ed1f-3d17-58c0-b87e-b5de1228f3d4","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Pipe clean out via water flush"
"3b744da3-9bed-5f9d-84ea-28ee01da3e2c","","pass","Stormwater BG:3e501ca0-b9ec-5db7-953d-7fa76b2c0e91","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Inspection and Testing Prior to Concealment to AS 3500.2 section 13"
"9a38ef06-8b85-5bfb-bd14-aad745c6bd46","","not-started","Stormwater BG:0ccc95fa-921b-541d-b612-6d25903a866c","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Builder sign off prior concealment"
"f0ac1e37-5906-508a-b541-330afb5242a1","","pass","Stormwater BG:ae7f647a-2d28-5dfc-b8c3-04ca6f8e6945","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Seal open ends with caps & high light to avoid damage"
"3b609f7a-ba4c-59db-a9d0-cd7808c97ff1","","pass","Stormwater BG:e38f2575-5287-591a-80c5-9b90bda8b0c4","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Backfill & Compaction of Material (As per Specification / Geotechnical report)"
"d37a57c9-4512-598a-bd95-28f43eddcbc9","","not-started","Stormwater BG:9d169dc9-90d0-5c2c-b845-d76ae7914da8","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","CCTV on completion & record results (If applicable)"
"7351fe11-5d43-5c89-92aa-96297ac5b7a2","","not-started","Stormwater BG:a51941bf-58da-55a5-9a43-3db39640fbb2","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.1 - 1.2","Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below)"
"78a5e184-c669-4e9b-80ce-070d2b95c272","","work-in-progress","Stormwater BG","checklist","FALSE","FALSE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3"
"f1452dc6-bbcd-5504-b1e8-514b13f4fb2d","","not-started","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual)"
"13771a62-92bb-578a-9ea2-0cfc63bb2a74","","not-started","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a:962e5f6c-c171-43a6-9d63-8956c3994f36","signoff","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Notify and gain permit from principal contractor / client for inspection"
"f379eddb-b598-52cd-8cd3-9db84c764e81","","not-started","Stormwater BG:ca296f48-5010-50b6-a3a2-23677a2db500","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Latest specifications and standards nominated in ITP"
"d7d0eb25-5ca3-5fd8-97e0-412dcaf010a9","","work-in-progress","Stormwater BG:7aeeba92-0cf6-54f9-a401-eb28f9fdb45a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Setout & alignment as per latest available drawing (include revision below)"
"11d7914f-ba22-5cad-b69f-4bb1dedce4b5","","not-started","Stormwater BG:f0f55c81-bcaf-59f1-9682-e6c957a7d1eb","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Correct approved materials as per sample register"
"0fa91309-1da1-5714-b411-4a561d1c3e05","","not-started","Stormwater BG:4455766f-3eac-55cc-8857-4db1f20983f2","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Excavation undertaken & no issues (Any issues comment below)"
"9e175da0-012a-5925-9202-76fcaee3a0ea","","not-started","Stormwater BG:c1585814-0959-5d58-87ab-4cfc872605cc","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Pipe bedding material (as per AS 500)"
"ef9bd710-100e-5ffb-98bb-7678ae4e319e","","not-started","Stormwater BG:ce322e6d-7f63-5bf6-a477-b5f1a151ddbc","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Grades, fittings & joints installed to standards"
"fcb4f561-308c-51e6-9a5c-4009491345c7","","not-started","Stormwater BG:1744ed1f-3d17-58c0-b87e-b5de1228f3d4","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Pipe clean out via water flush"
"76cd01e0-9fa0-57b7-a936-2a954f7d98fa","","not-started","Stormwater BG:3e501ca0-b9ec-5db7-953d-7fa76b2c0e91","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Inspection and Testing Prior to Concealment to AS 3500.2 section 13"
"75879612-72e1-536a-adfe-cff39d22276c","","not-started","Stormwater BG:0ccc95fa-921b-541d-b612-6d25903a866c","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Builder sign off prior concealment"
"b45e799b-5d4c-538d-828c-fe106e1da4f0","","not-started","Stormwater BG:ae7f647a-2d28-5dfc-b8c3-04ca6f8e6945","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Seal open ends with caps & high light to avoid damage"
"43113191-65e3-57d7-be07-15e25b0f6b30","","not-started","Stormwater BG:e38f2575-5287-591a-80c5-9b90bda8b0c4","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Backfill & Compaction of Material (As per Specification / Geotechnical report)"
"a746d2d6-639a-5e17-81de-78d550301e30","","not-started","Stormwater BG:9d169dc9-90d0-5c2c-b845-d76ae7914da8","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","CCTV on completion & record results (If applicable)"
"bfa1989a-8b4b-5ebc-bf6b-443dc50f6fff","","not-started","Stormwater BG:a51941bf-58da-55a5-9a43-3db39640fbb2","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.2 - 1.3","Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below)"
"2b8762c0-4822-4470-8399-9b526c357a48","","work-in-progress","Stormwater BG","checklist","FALSE","FALSE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building"
"2d182f98-bbc5-59a0-82eb-8be3e91970d6","","not-started","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual)"
"fe6113d0-abac-5485-b890-bb18a91e1bf1","","not-started","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a:962e5f6c-c171-43a6-9d63-8956c3994f36","signoff","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Notify and gain permit from principal contractor / client for inspection"
"4f032f18-3cd5-5792-9e66-4d106f10a06a","","not-started","Stormwater BG:ca296f48-5010-50b6-a3a2-23677a2db500","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Latest specifications and standards nominated in ITP"
"2de09b62-b3ce-5f8c-a01e-13e4a57e5d07","","work-in-progress","Stormwater BG:7aeeba92-0cf6-54f9-a401-eb28f9fdb45a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Setout & alignment as per latest available drawing (include revision below)"
"891b75aa-d210-5569-8672-2b519b963b21","","not-started","Stormwater BG:f0f55c81-bcaf-59f1-9682-e6c957a7d1eb","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Correct approved materials as per sample register"
"338d9dbf-1801-5311-a9ba-481f986a1d2f","","pass","Stormwater BG:4455766f-3eac-55cc-8857-4db1f20983f2","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Excavation undertaken & no issues (Any issues comment below)"
"b6d27028-7eb3-56b5-b17c-6a8a7ba70f94","","not-started","Stormwater BG:c1585814-0959-5d58-87ab-4cfc872605cc","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Pipe bedding material (as per AS 500)"
"65736b6a-1376-570f-bf4d-39c7244730a3","","pass","Stormwater BG:ce322e6d-7f63-5bf6-a477-b5f1a151ddbc","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Grades, fittings & joints installed to standards"
"e46a330a-13a9-5825-b65b-332e427bd4d7","","not-started","Stormwater BG:1744ed1f-3d17-58c0-b87e-b5de1228f3d4","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Pipe clean out via water flush"
"a07eb0ce-7834-5b04-a77f-d7bb189d4950","","pass","Stormwater BG:3e501ca0-b9ec-5db7-953d-7fa76b2c0e91","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Inspection and Testing Prior to Concealment to AS 3500.2 section 13"
"5bf461a9-5c77-5686-9b69-75e71d8d0f69","","not-started","Stormwater BG:0ccc95fa-921b-541d-b612-6d25903a866c","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Builder sign off prior concealment"
"74355cb5-399b-5a29-b1eb-b6d27f9855c9","","not-started","Stormwater BG:ae7f647a-2d28-5dfc-b8c3-04ca6f8e6945","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Seal open ends with caps & high light to avoid damage"
"bdec0242-bb65-5d63-93b1-8b4f3e4e2d93","","not-started","Stormwater BG:e38f2575-5287-591a-80c5-9b90bda8b0c4","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Backfill & Compaction of Material (As per Specification / Geotechnical report)"
"b3acb1e2-23d6-587d-b157-af67fae354a2","","not-started","Stormwater BG:9d169dc9-90d0-5c2c-b845-d76ae7914da8","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","CCTV on completion & record results (If applicable)"
"69cc0e95-0c26-58ce-96a1-8d18a10dec2b","","not-started","Stormwater BG:a51941bf-58da-55a5-9a43-3db39640fbb2","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section GPT 525 Pipe - Building","Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below)"
"c217ce8e-90ff-4e82-a890-c649afe00304","","work-in-progress","Stormwater BG","checklist","FALSE","FALSE","QA","Civil","Stormwater Drains","Section 1.3 - 1.4/EX.3"
"939a40eb-7d87-5061-a4b5-99272dd90f54","","not-started","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.3 - 1.4/EX.3","Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual)"
"2609ddf6-0b1b-53dd-a4ca-dc00106e7584","","not-started","Stormwater BG:083eb9c4-fa14-554f-aec0-197652d9497a:962e5f6c-c171-43a6-9d63-8956c3994f36","signoff","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.3 - 1.4/EX.3","Notify and gain permit from principal contractor / client for inspection"
"1b8c6223-e7d7-5636-bfd2-f4c44d8c2188","","not-started","Stormwater BG:ca296f48-5010-50b6-a3a2-23677a2db500","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.3 - 1.4/EX.3","Latest specifications and standards nominated in ITP"
"6ee506e1-06ce-5f80-b08c-75aa358d062e","","work-in-progress","Stormwater BG:7aeeba92-0cf6-54f9-a401-eb28f9fdb45a","checkpoint","TRUE","TRUE","QA","Civil","Stormwater Drains","Section 1.3 - 1.4/EX.3","Setout & alignment as per latest available drawing (include revision below)"
