"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b482182c-2e25-47b9-b2e7-fa5cebbc4038","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"d924c322-c128-507a-9f39-e02b374cc859","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"26a4297d-133a-5674-85a5-8731c42931f6","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"4b22831a-36f3-530c-8aa2-d556b715f61f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"4d1a38d8-3fb5-5ad5-b2a4-0cef7fbd9c46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"41f84eca-dc57-5123-ba8c-fe26465e4e54","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"e73fa813-3e4d-5d1a-af87-accc6f0a80a6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"879ee930-294d-49b7-b438-0caf28e50165","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"21197986-7c8a-4f2c-a141-7d9b0aef3907","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01"
"dc80e1cc-4342-4067-88db-fbe79f024ee1","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01"
"e3efab24-927b-410f-92b0-f3194dcc60d5","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Pre-Fit Off Checklist"
"7101a617-b5f8-51df-96e8-720ce084f536","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 01","Rail Checklist 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"f2c6972d-bddc-47c7-89f7-b92669362972","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02"
"82df746b-ff34-4437-82ce-c5f4b615c3dc","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Pre-Fit Off Checklist"
"c17ac4c2-63fc-5656-8010-54573ce36cd3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"a7983711-8b5f-57ca-92ed-ceae2e32d284","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Pre-Fit Off Checklist","EMAIL PM"
"f6cf9121-6d69-5265-951e-ebf7795e61e5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"a478e21b-5603-511e-bd2f-7588f24e6faa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Pre-Fit Off Checklist","Photos taken"
"13c6123a-7f91-495e-94f0-b92fb5573b5a","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Rail Checklist 02"
"e160789e-9d28-5f92-a9e0-7a079add8cea","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Rail Checklist 02","Confirm the structure is in accordance with the details supplied by PBI"
"309c3fdc-60b5-57e2-99fd-9dcf506f8096","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Rail Checklist 02","EMAIL PM"
"ea277740-ff64-5297-9f4a-0a4030366420","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Rail Checklist 02","Photo taken of Engraved Line Plate / ID Tag"
"0ac57947-56b8-5720-be08-ca03ae453495","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Rail Checklist 02","Video taken of system"
"3ca5b689-e6a9-5813-9c93-56c5a4458efc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Rail Checklist 02","Description input of location / person Rail systems shuttle left with"
"849f0239-d41d-55fe-b33c-6e4818c25eec","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No RoofSafe Rail Fall Arrest System @ 36m - RSRail 02","Rail Checklist 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"ab269073-9480-4e75-9daa-135e5518ff30","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors"
"12491ed6-1027-4d04-b6f4-a72c656b2953","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist"
"ffe6fdc2-22e5-5f49-be79-ed352b8a97f6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"972f29e8-3061-5313-9ebe-fad58a1ecd67","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","EMAIL PM"
"1ab77279-5310-5f0e-9902-55fdeeb2cade","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"6a9226d9-ba3a-5320-b1c6-7cbb725b3b09","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist","Photos taken"
"03e02abc-a51a-45eb-87f5-1d28e273f40b","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08"
"77dd4c77-98a9-55d8-9b97-23ca56999046","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","Confirm the structure is in accordance with the details supplied by PBI"
"8408c91e-14d4-518d-8109-2dd416cfed11","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","EMAIL PM"
"16a3e1b1-34b1-5317-87f7-14dae622333b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"8aa4c932-fe0c-51f4-af16-136f0582c9fb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"858b6b76-c226-4021-90b7-5999745e67f7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09"
"8d5110ba-f444-5de3-b398-e7fb765f7b14","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","Confirm the structure is in accordance with the details supplied by PBI"
"0a230a70-7095-5b17-a669-7700fd175b16","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","EMAIL PM"
"3e15f29c-86f2-598f-bc11-e144803aa3ae","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"4a1d7412-a705-5482-907e-bfeaaf970fcd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"060fc10f-8b01-48a2-a2e6-00cd1eb8d97a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10"
"15ab7429-6f08-5af3-80c0-d0654209a589","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10","Confirm the structure is in accordance with the details supplied by PBI"
"1a8893c9-402b-574d-b955-5bd745b4a2bf","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10","EMAIL PM"
"31662f98-44ec-59b3-8fd1-38719f7f761d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"1524ae33-2f29-5330-a559-4be65017451f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"0766195a-f845-4b87-ace3-6a876af8b979","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11"
"6e12ea26-0954-55ff-b230-99c47b7b5586","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11","Confirm the structure is in accordance with the details supplied by PBI"
"7bc23128-d016-52e5-a2ca-6883764d7c84","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11","EMAIL PM"
"7c0bd28c-242f-56ad-a79f-418a3504f3d2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
"c0d2886d-273d-57ed-902b-666b72ea236b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","4No AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"6a8835ca-a67c-494f-b0b3-9f0dbd8529d8","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 01","1No Permanent Access Ladder"
"db660697-1166-4f35-9f33-7d1db6521377","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No Permanent Access Ladder","Pre-Fit Off Checklist"
"478203db-0790-5768-91f2-66db87311837","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"0dc7c66f-0f3a-5ca5-bd94-61f88e86090f","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Pre-Fit Off Checklist","EMAIL PM"
"6cea5921-0ed3-5ee3-8d49-34ed4906b768","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"1fa971ee-0059-590c-a1ed-e1b5fbadc9aa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Pre-Fit Off Checklist","Photos taken"
"5d7f30a9-f0a0-474e-aa73-e652cfc8b6bf","","checklist-flat","not-started","Fit Off Checklist - Ladder System","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01"
"19281115-b0e6-5ed9-bfd0-987f0792b1b5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","Installed to manufacturer or PBI Installation instructions"
"d1af11c1-5671-5ebc-a93f-80177af5809a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","Installed as per AS1657:2018"
"290040ce-6c09-5207-88ad-8a3bb01ed31a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","All fixings secure"
"5c5fc31d-18a6-5fd8-a27a-b1f040cde93d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","Top step of ladder flush with either walk-off kit or building edge"
"1a1449e0-3eac-57b6-a2f0-c8619b699961","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","No unsealed penetrations to the roof"
"e041124c-7559-5fbe-92ea-d7d4de2a6602","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","If caged, cage start between 2m and 2.2m from ground level?"
"6cd11204-14dc-5f2b-aff8-def8c7033a04","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","If ladder is above 3.5m, does it contain a cage?"
"6ddad100-a42c-503d-848c-5b248469abb6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","If ladder is above 6m, does it have a mid-way platform?"
"0d05f97b-5532-50b0-8e92-299971e1a43e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","Photo uploaded of clean work area"
"c788a65f-6679-503d-afff-49dc1df3fdd2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","1No Permanent Access Ladder","Fit Off Checklist - Ladder System 01","Video taken"
"62abb574-ce58-4cad-b064-288809a13019","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Teaching Block 01","Data Plate, Access Point"
"a6b71dec-1614-5108-9b59-9deb5d13a958","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","Data Plate, Access Point","Details of Data Plate"
"fd0edb4a-5ded-5a27-a59a-d61d57340dc2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","Data Plate, Access Point","1 photo required of Data Plate"
"bb771acc-88f2-598b-b4d3-9797c162d066","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","Data Plate, Access Point","Details of Access Point"
"d49de518-9a69-5a6e-abec-4871bb56ed4c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","Data Plate, Access Point","1 photo required of Access Area"
"7a9f9b9a-1df8-56fc-8bac-901281694a37","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","Data Plate, Access Point","Details of Rail Carriages/Cable Travellers"
"2cb1f250-2faa-55b5-ac3c-3b75828af3fc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 01","Data Plate, Access Point","1 photo required of carriages/travellers"
"40a9f9c0-c8a1-442d-8a9c-31d5b01ed166","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 02"
"671f0fbe-4416-4bd1-8a6a-05139b763fb6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03"
"f83b3e78-af33-42be-8134-a696c6e1eaf4","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Pre-Fit Off Checklist"
"89fbbdbd-386f-50e3-8dd7-ee733bfbbb95","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"b14ba3fa-c375-5c63-b457-251f1d1e4d5f","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Pre-Fit Off Checklist","EMAIL PM"
"5fd2c77f-c612-5d10-9100-a39e64e00995","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"6ef82a04-1181-5a22-ae5f-46d3a6364002","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Pre-Fit Off Checklist","Photos taken"
"62dd5af7-3213-4118-b3e0-17d2ca0021d0","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Rail Checklist 03"
"384e31ea-25dd-5c26-8ada-a2b9974e8a7e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Rail Checklist 03","Confirm the structure is in accordance with the details supplied by PBI"
"1429fbae-cb89-5ba0-b24c-e46963fd0cee","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Rail Checklist 03","EMAIL PM"
"68883402-227b-51d2-a424-17c8f09b7197","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Rail Checklist 03","Photo taken of Engraved Line Plate / ID Tag"
"f9703f97-b3cb-5420-ada2-3b374b8f41fb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Rail Checklist 03","Video taken of system"
"4cdf4a38-cbfd-5ccd-bc34-7356ee0e44e5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Rail Checklist 03","Description input of location / person Rail systems shuttle left with"
"efe88556-0c04-54e7-93e1-82cd8eb6eb32","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 03","Rail Checklist 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"c57402e1-dac7-4960-b679-8cbd037fa547","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04"
"74799ed2-9809-4fa5-b0c3-dab9d54d9284","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Pre-Fit Off Checklist"
"5df3e44b-a066-5ae0-ad71-43f10075b0a6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"223f8603-8bdd-559f-bc52-26693aefbb3c","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Pre-Fit Off Checklist","EMAIL PM"
"51061ac1-cbd8-51b8-8961-ec7484b9623d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"528a7c88-7c83-5822-b5f3-c4edd0f5ea11","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Pre-Fit Off Checklist","Photos taken"
"5751d3f0-da1f-4333-b5c1-6fc03542a99c","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Rail Checklist 04"
"cb9c7dde-c122-55da-9985-bab98ff27bc4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Rail Checklist 04","Confirm the structure is in accordance with the details supplied by PBI"
"b2511d73-4eb4-5683-bdca-e5d1c2b37ed6","","holdpoint","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Rail Checklist 04","EMAIL PM"
"94d4445c-b9fd-5cd9-a181-fbefb7bfde47","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Rail Checklist 04","Photo taken of Engraved Line Plate / ID Tag"
"2b16c727-b7d4-53d1-9875-8fc1ce01cdfd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Rail Checklist 04","Video taken of system"
"182b68fd-cc46-5194-84c5-6216531b09a2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Rail Checklist 04","Description input of location / person Rail systems shuttle left with"
"ad3047a0-4932-523a-bd94-e0b4198486a0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Teaching Block 02","1No RoofSafe Rail Fall Arrest System @ 66m - RSRail 04","Rail Checklist 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"149f80e1-fb61-49ec-9589-e00e154edbe9","","folder-normal","not-started","","step","TRUE","FALSE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors"
"7448086b-8d3f-4208-96e9-69491bedfc17","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Teaching Block 02","4No AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist"
