"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3bc5c2c2-2eca-4255-9e70-e19de8c14886","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"79822113-bc36-4b27-bbae-32355e01ecad","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"895332ca-dbed-4472-afd6-08b8721b413f","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"26bd579e-008e-49f2-9da8-dca6758c0225","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","East Feature"
"7035c855-d61d-4474-9daa-d33a025b9551","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","East Feature","E1"
"fd8d8e3d-2e92-4a5a-b47e-4cd589f64788","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-1"
"ae189634-bf5a-43eb-a123-c07ec8237894","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-1","Pre-Pour Check"
"45e64a33-0ad0-4006-afba-e8d380bedca1","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-4"
"10ff1058-96b3-4ff5-80ea-c27fcee5a2a0","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check"
"efbcb7db-3161-43e8-a03f-2cf3523404d9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Dimensions"
"d0ce7d01-71c2-4401-ab84-f02604bc7902","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Mould Clean"
"03890eb1-352a-438a-9648-8d0afd21a3c3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Mould Oiled"
"06c19d6c-637f-4f6d-a372-351b02475ecf","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Mould - Workmanship"
"c03ae6ee-7fb0-4979-9835-b37ac1a304b8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Reinforcing"
"fc6e2cf8-3626-4b76-b419-9da6be2c7a12","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Cast In Items"
"234081ed-9e2b-42ca-a73b-1b05bd2b6e52","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Marker Position and No."
"4a00c083-11c7-42fc-9431-136df2bad7e8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Pre-Pour Check","Make mould to Green Status"
"85b107bf-b8f5-4ac6-bae1-39948e31091c","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Concrete Works"
"ec28becf-d5cc-4bdd-b216-a392d8797645","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Concrete Works","Concrete Works Details"
"d0e67c89-25c9-4317-acc1-587219982833","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Concrete Works","Wilco Sample Taken"
"26c70ad6-6064-4a4f-a6e1-7d6975392a23","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Concrete Works","Bridgeman Sample Taken"
"6675d0ce-503b-4a8a-aafe-a013b7c4b8b0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Concrete Works","Supervisor Approval"
"98a754b3-2f4e-4467-b90f-15b1af4be7a4","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Post Pour Check"
"e390dc6a-883e-4cc3-a7a2-c5a05778d87d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Post Pour Check","Edge Detail"
"6bba89fb-783c-4108-96ed-a759a20d01fc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Post Pour Check","Bar Projections"
"a575d12a-9b44-4cda-b3e9-f50200f1ead2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Post Pour Check","Cast in items"
"c8d41bde-2485-48c8-b479-d477fc3364a0","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Stripping and Stacking"
"c7af14f7-eb32-4795-b1c5-1037723c54a3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-4","Stripping and Stacking","Stripping & Stacking"
"e88081db-4586-4f66-8639-8a4838e08b2d","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-5A"
"4f99ee5d-0eed-4e27-aa1b-e5ec9d05433c","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check"
"64ea2044-619f-427a-8136-98ee0afc891a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Dimensions"
"bc6b8d6f-b8ec-42c0-98e0-48d7e55ecfd9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Mould Clean"
"1d193ecc-527c-45d3-a40d-7ae658a23f6e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Mould Oiled"
"75351714-462d-4b2e-9e14-8ed06a48ed3b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Mould - Workmanship"
"458cd262-e17e-4242-83d7-17522411f04e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Reinforcing"
"a61e55bf-bb5c-4b04-a96c-98c8db183084","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Cast In Items"
"0f53045e-3b72-4bfd-a941-f7f065f4abcc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Marker Position and No."
"7be0671a-1dce-4151-b9ba-e7aa54bb2e6b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Pre-Pour Check","Make mould to Green Status"
"5400d512-6569-4cc3-b77b-a969475a3e8a","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Concrete Works"
"84d01ec5-0f96-4ee4-8d5e-5e3765da609c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Concrete Works","Concrete Works Details"
"54716e35-008b-44a0-a75b-c81cdbab4d50","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Concrete Works","Wilco Sample Taken"
"ac8d23e1-4071-4c91-95ad-2f03b633e36e","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Concrete Works","Bridgeman Sample Taken"
"25d54edc-a776-41ba-aa3c-be0c7605e705","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Concrete Works","Supervisor Approval"
"cb52d77e-2f2a-4bff-a913-c00c42721b44","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Post Pour Check"
"7fa0e98f-efe6-4df7-83ad-9b147f2550ae","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Post Pour Check","Edge Detail"
"554147f5-9cea-48bc-ab60-a0936bdae7f8","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Post Pour Check","Bar Projections"
"da2ec139-beb7-422c-bd5d-dc63596bfe27","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Post Pour Check","Cast in items"
"552c23ce-d407-4355-a286-2ca79a76f431","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Stripping and Stacking"
"f8c0e35f-3dee-4dba-8162-45c3c641e202","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5A","Stripping and Stacking","Stripping & Stacking"
"4c4926a6-b03a-44a1-a6c6-5569052be4af","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-5B"
"ad0ba359-2976-4edf-8b93-b7d0059e68ab","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check"
"85bb704c-9300-453b-a089-1abd7b616837","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Dimensions"
"53b329e2-6ffe-4f0b-9458-67b01c154e34","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Mould Clean"
"169224f4-adab-4835-81ee-50e9f527bf83","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Mould Oiled"
"0015e273-01e0-4ca7-be2c-989d85b81637","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Mould - Workmanship"
"e6da1e20-b32a-49fd-b979-140521835b2f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Reinforcing"
"e176c967-8560-49e9-8ada-1af447fcee2e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Cast In Items"
"e482ec42-5de0-4500-967c-0383764a11c9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Marker Position and No."
"6629e53e-c29e-49b0-bf7e-f95cf7d2b211","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Pre-Pour Check","Make mould to Green Status"
"605489b5-b4a9-4bb4-843b-60bc21372271","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Concrete Works"
"aeb53035-4834-44ce-ba0b-7ae0ac32e6b8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Concrete Works","Concrete Works Details"
"f9a7ffbc-44a9-4cc0-b4fd-32629105e5d9","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Concrete Works","Wilco Sample Taken"
"7a0c50f7-cb59-42e8-8d8d-3feb2cfa748c","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Concrete Works","Bridgeman Sample Taken"
"dec9feb5-787a-43b0-b30c-0614886865d1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Concrete Works","Supervisor Approval"
"fc6b2753-a355-4869-9ec1-4641ce2ca154","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Post Pour Check"
"c00721c6-4af3-4247-9cca-06b546f71e6f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Post Pour Check","Edge Detail"
"5eae24f9-93fc-4860-9872-a3be658c8bca","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Post Pour Check","Bar Projections"
"053e3c2e-0f80-4df4-9041-4eb79f4fef38","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Post Pour Check","Cast in items"
"3f73c2a9-2bc5-4aab-877c-21266aff2891","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Stripping and Stacking"
"d5e8778b-ebea-487a-a1d5-758039affff3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-5B","Stripping and Stacking","Stripping & Stacking"
"75a180fa-d2c2-4b1e-8f18-2f9a3d2d8f1a","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-6"
"8d80eefa-e027-48b1-b140-b7c49cc43c2c","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check"
"b128a3f3-cdc8-48b4-874c-0236104d0dee","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Dimensions"
"99294cab-4b5a-49db-8e04-99d463717f4c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Mould Clean"
"1859ea07-5acf-4ee8-874b-1a67e06bf7a1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Mould Oiled"
"8f8397f2-d8b3-4920-b8d7-0328c8a02c5b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Mould - Workmanship"
"6489f15b-38a3-402c-bb78-5af30ea14a3c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Reinforcing"
"f33f147b-aef2-43e6-8879-b318df80b897","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Cast In Items"
"f1040651-27c0-48ae-9d4b-c6bb47a432ab","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Marker Position and No."
"17081b0c-86e6-4fb3-be24-873bff174bfa","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Pre-Pour Check","Make mould to Green Status"
"08e6e598-c010-47e0-b839-15c3e2655c26","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Concrete Works"
"c1ff02d6-4f66-4f5f-b42a-3ebceddb0416","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Concrete Works","Concrete Works Details"
"0d6672af-e4d3-4868-90f6-51607c8124eb","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Concrete Works","Wilco Sample Taken"
"ec4d67d2-db5d-42b0-b835-07bc76b0ed2d","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Concrete Works","Bridgeman Sample Taken"
"f998e72d-217a-4c42-a15d-8f246ad326db","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Concrete Works","Supervisor Approval"
"487ad4b8-6709-44fe-b5a9-fe4d83d392c8","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Post Pour Check"
"e42f234e-cc80-4ae1-8b59-fd41faa8f7cf","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Post Pour Check","Edge Detail"
"0f4f425f-97da-4f41-9279-7cee41f7f6db","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Post Pour Check","Bar Projections"
"b96a3436-9db4-44c2-a1f0-8822432aefb2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Post Pour Check","Cast in items"
"5c61389a-c835-46e2-b374-659947c41ce2","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Stripping and Stacking"
"b7bb205e-70b2-4759-8f19-c17d5e5aeadc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-6","Stripping and Stacking","Stripping & Stacking"
"d97c95b2-d698-4142-8b89-6e2951ce4b55","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","East Feature","E1","E1-7"
"7fcdf2a0-2bf2-4e47-a73d-9daaef712e34","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check"
"75ae2872-2ad9-47da-b066-f7fda7efab7b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Dimensions"
"8e607b0c-85e2-4311-8f16-59a569bed986","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Mould Clean"
"06ea0a31-6255-4aa9-87ac-009580b84be8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Mould Oiled"
"921ec045-080f-401a-a8bb-886c7fd304ae","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Mould - Workmanship"
"1ebbd661-ccac-433c-b6a9-a41662a13a9a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Reinforcing"
"06b173b2-38e4-48b4-b009-4aff65bf1a69","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Cast In Items"
"842eed40-e021-46e2-9f3a-2bfdb11ecf58","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Marker Position and No."
"3c6a7137-fc17-46d9-b51f-c870551d414d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","East Feature","E1","E1-7","Pre-Pour Check","Make mould to Green Status"
