"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"54269ed9-e994-42b6-b639-fdcdeb5bc1a3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"97364d62-ef85-4242-9df7-da7855f7f99b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Site 1 - 73628"
"d186b55b-c9ae-472c-9a02-c6f1d95a3b1c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","14.20 - Installation of Steel beam Guardrail and End Treatments"
"b5e758d6-46c7-4d98-bde9-4f3e579ba3bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","16.01 - Landscape and Revegetation"
"4f7fbcdf-6518-4f31-9138-40c4b2d748da","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","22.01 - Supply of Cover Aggregate"
"6fbcb083-3a3e-4bf0-9b75-c58ccc9402c7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","27.01 - Geotextile"
"7582c75b-7e45-433f-bb0c-1a4ccc1cb63e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","28.01 - Contractor's Camp and Site Facilities"
"e16a29fb-4f3e-4d89-9e51-e301e22dd35a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Site 1 - 73628","51.01 - Environmental Management Systems"
"86320874-0afe-4fae-af67-0bbac16c9083","","checklist-sectioned","work-in-progress","51.01 - Environmental Management Systems","checklist","FALSE","FALSE","Site QA","Site 1 - 73628","51.01 - Environmental Management Systems","QA10M-73628-51.01-LOT-001 - Environmental Management"
"0f21ddaa-4479-41a6-a716-94dfb02ff9c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","52.01 - Erosion and Sediment Control"
"a987d991-3246-495b-87f6-cb61d4869cc4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","70.01 - Placement of Concrete"
"877cd18f-3c96-4846-bea1-0505fbe5dd43","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","70.02 - Concrete Record"
"b3e5310f-1cb2-4597-8379-c6d5a370ae49","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 1 - 73628","70.03 - Supply of Concrete"
"f92de0e4-8a77-4b67-a6fb-2b9a15ecd062","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Site 2 - 92559"
"194767df-719e-4686-ba0a-40bfea1ae0f4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","02.01 - Traffic Management"
"81dc541a-fba8-48b2-85c8-366e3a00743b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"449745e1-fcbd-45fb-9418-e8a48be91167","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","04.01 - Clear and Grub Stripping of Topsoil"
"15d9eb33-14c7-4ddd-ab15-4cd75e9be778","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","04.06 - General Excavation"
"1c0526eb-3426-4f56-9045-23724afa1d6d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","04.09 - Subgrade"
"97e8f99f-cf0e-4641-8559-0a543ea2dc13","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","05.01 - Placement of Unbound Pavement"
"8d2615d0-8314-48be-ac28-d64868268dd1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Site 2 - 92559","05.02 - Supply of Unbound Material"
"3ee4adf4-6b2d-4038-a3f9-774a7e905421","","checklist-sectioned","work-in-progress","05.02 - Supply of Unbound Material","checklist","FALSE","FALSE","Site QA","Site 2 - 92559","05.02 - Supply of Unbound Material","QA10M-92559-05.02-LOT-001 - Supply of Type 2.1 Unbound Pavement Material"
"cce974b9-b2cb-4e57-9514-ee8f2775845d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","11.00 - Sealing Works"
"306d9a6a-3efa-4ac2-bd42-7b6d6f61b89e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","14.08 - Demolition, Removal, Salvage & Re-erection of Road Furniture"
"3a04560c-34dc-4eb0-988f-72408cb2b4cb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","14.20 - Installation of Steel beam Guardrail and End Treatments"
"13bcfb0a-9fb9-45c8-8696-e9d742f7b463","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","16.01 - Landscape and Revegetation"
"10914ed0-6292-45aa-937a-3f1728b388ac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","22.01 - Supply of Cover Aggregate"
"6ec4c5e0-9466-40d4-b98b-e11f06814bae","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","27.01 - Geotextile"
"cb122e6b-ae2f-41d7-b9ff-561bcc1ac16f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","28.01 - Contractor's Camp and Site Facilities"
"0bb26772-f4ce-438b-a6f2-e2f77cf2f20c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","51.01 - Environmental Management Systems"
"3e00304a-082f-4876-bf6a-5cb56f9669cb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","52.01 - Erosion and Sediment Control"
"aaf7b6f4-1d7a-48da-b982-d5e07a14fa32","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","70.01 - Placement of Concrete"
"345f66ea-0c3f-4c5a-8c8d-012dd90bd110","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","70.02 - Concrete Record"
"0af3dd80-d8b8-47ba-b29b-6927be51a9f8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Site 2 - 92559","70.03 - Supply of Concrete"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Variations"
